Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2023-08-11,20:00 (12:00),Premier League,Matchweek 1,Fri,Home,L,0,3,Manchester City,0,6,1,16.7,0.00,0.00,14.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report,2023-08-11,20:00 (12:00),Premier League,Matchweek 1,Fri,Home,L,0,3,Manchester City,8,3,5,62.5,0,2.7,-0.3,0,0,0,0,5,16,31.3,47,8,27.7,26.8,5,60.0,40.4,14,0,0.0,4,22.3,Match Report,2023-08-11,20:00 (12:00),Premier League,Matchweek 1,Fri,Home,L,0,3,Manchester City,313,395,79.2,5807,1910,133,148,89.9,134,151,88.7,40,74,54.1,0,0.3,0.2,5,14,3,0,18,Match Report,2023-08-11,20:00 (12:00),Premier League,Matchweek 1,Fri,Home,L,0,3,Manchester City,395,356,39,9,0,4,7,15,6,2,3,0,313,0,8,Match Report,2023-08-11,20:00 (12:00),Premier League,Matchweek 1,Fri,Home,L,0,3,Manchester City,10,7,1,1,0,0,1,0,0,0,0,0,0,0,Match Report,2023-08-11,20:00 (12:00),Premier League,Matchweek 1,Fri,Home,L,0,3,Manchester City,12,8,5,5,2,3,6,50.0,3,12,5,7,7,19,16,0,Match Report,2023-08-11,20:00 (12:00),Premier League,Matchweek 1,Fri,Home,L,0,3,Manchester City,35,496,89,224,192,81,14,496,15,3,20.0,12,80.0,225,1181,508,10,9,3,13,5,313,18,Match Report,2023-08-11,20:00 (12:00),Premier League,Matchweek 1,Fri,Home,L,0,3,Manchester City,0,1,0,11,8,0,7,7,8,0,0,0,45,13,13,50.0,Match Report
2023-08-27,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,L,1,3,Aston Villa,1,9,2,22.2,0.11,0.50,17.7,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Match Report,2023-08-27,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,L,1,3,Aston Villa,6,3,3,50.0,0,3.8,+0.8,0,0,0,0,2,4,50.0,23,7,17.4,24.4,4,0.0,12.3,9,0,0.0,4,35.8,Match Report,2023-08-27,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,L,1,3,Aston Villa,553,636,86.9,8783,2567,299,324,92.3,220,239,92.1,28,50,56.0,1,0.7,0.9,9,41,9,2,47,Match Report,2023-08-27,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,L,1,3,Aston Villa,636,593,38,12,2,1,16,14,4,0,2,1,553,5,6,Match Report,2023-08-27,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,L,1,3,Aston Villa,16,11,2,3,0,0,0,2,2,0,0,0,0,0,Match Report,2023-08-27,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,L,1,3,Aston Villa,10,4,1,6,3,4,14,28.6,10,6,6,0,11,21,14,1,Match Report,2023-08-27,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,L,1,3,Aston Villa,57,712,46,155,395,164,16,712,15,8,53.3,6,40.0,528,2430,1418,15,19,4,10,9,547,46,Match Report,2023-08-27,14:00 (06:00),Premier League,Matchweek 3,Sun,Home,L,1,3,Aston Villa,2,0,0,12,8,5,16,11,4,0,0,0,47,9,8,52.9,Match Report
2023-08-30,19:45 (11:45),EFL Cup,Second round,Wed,Away,W,1,0,Nott'ham Forest,1,10,2,20.0,0.10,0.50,,,0,0,,,,,,Match Report,2023-08-30,19:45 (11:45),EFL Cup,Second round,Wed,Away,W,1,0,Nott'ham Forest,0,0,0,,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2023-08-30,19:45 (11:45),EFL Cup,Second round,Wed,Away,W,1,0,Nott'ham Forest,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2023-08-30,19:45 (11:45),EFL Cup,Second round,Wed,Away,W,1,0,Nott'ham Forest,,,,,,,13,,,,,,,,,Match Report,2023-08-30,19:45 (11:45),EFL Cup,Second round,Wed,Away,W,1,0,Nott'ham Forest,,,,,,,,,,,,,,,Match Report,2023-08-30,19:45 (11:45),EFL Cup,Second round,Wed,Away,W,1,0,Nott'ham Forest,,5,,,,,,,,,,,3,0,,,Match Report,2023-08-30,19:45 (11:45),EFL Cup,Second round,Wed,Away,W,1,0,Nott'ham Forest,60,,,,,,,,,,,,,,,,,,,,,,,Match Report,2023-08-30,19:45 (11:45),EFL Cup,Second round,Wed,Away,W,1,0,Nott'ham Forest,4,0,0,13,13,3,13,3,5,,,0,,,,,Match Report
2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,L,2,5,Tottenham,2,16,4,25.0,0.13,0.50,17.9,1,0,0,1.3,1.3,0.08,+0.7,+0.7,Match Report,2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,L,2,5,Tottenham,11,5,6,54.5,0,4.5,-0.5,0,0,0,0,8,24,33.3,59,12,33.9,30.7,7,57.1,44.0,6,0,0.0,3,19.8,Match Report,2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,L,2,5,Tottenham,413,515,80.2,7206,2467,178,202,88.1,176,199,88.4,47,83,56.6,2,1.2,1.4,11,16,9,3,27,Match Report,2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,L,2,5,Tottenham,515,462,51,9,3,4,12,22,7,2,1,1,413,2,10,Match Report,2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,L,2,5,Tottenham,31,23,3,2,2,1,0,4,4,0,0,0,0,0,Match Report,2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,L,2,5,Tottenham,27,16,10,11,6,14,28,50.0,14,11,6,5,8,35,11,3,Match Report,2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,L,2,5,Tottenham,47,627,115,276,204,150,30,627,24,9,37.5,12,50.0,412,1654,780,20,16,8,11,7,413,27,Match Report,2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,L,2,5,Tottenham,4,0,0,15,9,2,12,8,16,0,0,0,54,8,9,47.1,Match Report
2023-09-18,19:45 (11:45),Premier League,Matchweek 5,Mon,Away,D,1,1,Nott'ham Forest,1,10,3,30.0,0.10,0.33,18.9,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Match Report,2023-09-18,19:45 (11:45),Premier League,Matchweek 5,Mon,Away,D,1,1,Nott'ham Forest,4,1,3,75.0,0,1.0,0.0,0,0,0,0,2,8,25.0,47,2,10.6,20.0,6,50.0,40.3,15,1,6.7,2,16.0,Match Report,2023-09-18,19:45 (11:45),Premier League,Matchweek 5,Mon,Away,D,1,1,Nott'ham Forest,424,529,80.2,7094,2256,212,235,90.2,168,191,88.0,33,73,45.2,1,0.3,0.2,4,25,1,0,31,Match Report,2023-09-18,19:45 (11:45),Premier League,Matchweek 5,Mon,Away,D,1,1,Nott'ham Forest,529,477,50,18,0,6,18,20,4,3,1,0,424,2,8,Match Report,2023-09-18,19:45 (11:45),Premier League,Matchweek 5,Mon,Away,D,1,1,Nott'ham Forest,13,4,4,1,3,1,0,2,1,0,1,0,0,0,Match Report,2023-09-18,19:45 (11:45),Premier League,Matchweek 5,Mon,Away,D,1,1,Nott'ham Forest,10,7,5,1,4,7,16,43.8,9,12,5,7,7,17,32,0,Match Report,2023-09-18,19:45 (11:45),Premier League,Matchweek 5,Mon,Away,D,1,1,Nott'ham Forest,54,640,77,243,267,134,21,640,14,7,50.0,6,42.9,420,2383,1115,18,8,8,15,7,417,31,Match Report,2023-09-18,19:45 (11:45),Premier League,Matchweek 5,Mon,Away,D,1,1,Nott'ham Forest,3,1,0,10,16,2,18,7,7,0,0,0,49,13,17,43.3,Match Report
2023-09-23,20:00 (12:00),Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester Utd,0,12,4,33.3,0.00,0.00,15.6,0,0,0,1.1,1.1,0.09,-1.1,-1.1,Match Report,2023-09-23,20:00 (12:00),Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester Utd,4,1,3,75.0,0,0.8,-0.2,0,0,0,0,2,7,28.6,78,6,9.0,19.1,3,0.0,21.7,9,1,11.1,0,7.0,Match Report,2023-09-23,20:00 (12:00),Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester Utd,586,687,85.3,10603,2785,224,253,88.5,304,331,91.8,48,78,61.5,0,0.9,1.3,10,27,9,1,45,Match Report,2023-09-23,20:00 (12:00),Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester Utd,687,648,38,15,4,1,24,9,9,3,2,0,586,1,9,Match Report,2023-09-23,20:00 (12:00),Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester Utd,21,15,2,1,0,2,1,0,0,0,0,0,0,0,Match Report,2023-09-23,20:00 (12:00),Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester Utd,13,6,7,4,2,7,9,77.8,2,15,5,10,7,20,14,0,Match Report,2023-09-23,20:00 (12:00),Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester Utd,61,777,78,264,334,189,20,777,25,10,40.0,9,36.0,492,2423,1456,28,19,3,9,4,582,43,Match Report,2023-09-23,20:00 (12:00),Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester Utd,1,0,0,6,12,1,24,7,6,0,0,0,54,12,11,52.2,Match Report
2023-09-26,19:45 (11:45),EFL Cup,Third round,Tue,Away,W,4,0,Salford City,4,16,8,50.0,0.25,0.50,,,0,0,,,,,,Match Report,2023-09-26,19:45 (11:45),EFL Cup,Third round,Tue,Away,W,4,0,Salford City,0,0,0,,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2023-09-26,19:45 (11:45),EFL Cup,Third round,Tue,Away,W,4,0,Salford City,,,,,,,,,,,,,,,3,,,,,,,,Match Report,2023-09-26,19:45 (11:45),EFL Cup,Third round,Tue,Away,W,4,0,Salford City,,,,,,,18,,,,,,,,,Match Report,2023-09-26,19:45 (11:45),EFL Cup,Third round,Tue,Away,W,4,0,Salford City,,,,,,,,,,,,,,,Match Report,2023-09-26,19:45 (11:45),EFL Cup,Third round,Tue,Away,W,4,0,Salford City,,8,,,,,,,,,,,8,0,,,Match Report,2023-09-26,19:45 (11:45),EFL Cup,Third round,Tue,Away,W,4,0,Salford City,66,,,,,,,,,,,,,,,,,,,,,,,Match Report,2023-09-26,19:45 (11:45),EFL Cup,Third round,Tue,Away,W,4,0,Salford City,1,0,0,14,5,3,18,8,8,,,0,,,,,Match Report
2023-09-30,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,2,Newcastle Utd,0,8,2,25.0,0.00,0.00,16.3,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Match Report,2023-09-30,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,2,Newcastle Utd,7,2,5,85.7,0,2.1,+0.1,1,1,0,0,5,27,18.5,57,9,36.8,30.1,9,66.7,44.3,17,1,5.9,0,7.0,Match Report,2023-09-30,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,2,Newcastle Utd,391,500,78.2,6374,2032,216,237,91.1,147,180,81.7,24,61,39.3,0,0.6,0.6,6,9,3,0,14,Match Report,2023-09-30,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,2,Newcastle Utd,500,455,42,8,1,1,6,19,3,2,0,0,391,3,12,Match Report,2023-09-30,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,2,Newcastle Utd,13,8,1,1,3,0,0,0,0,0,0,0,0,0,Match Report,2023-09-30,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,2,Newcastle Utd,13,6,6,6,1,7,16,43.8,9,15,7,8,4,17,23,2,Match Report,2023-09-30,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,2,Newcastle Utd,47,611,110,285,246,90,16,611,21,9,42.9,12,57.1,380,1583,771,14,8,4,13,9,388,13,Match Report,2023-09-30,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,2,Newcastle Utd,3,0,0,15,7,3,6,4,6,0,1,0,60,7,19,26.9,Match Report
2023-10-03,19:30 (11:30),Premier League,Matchweek 2,Tue,Away,W,2,1,Luton Town,2,14,4,28.6,0.14,0.50,20.2,0,0,0,1.1,1.1,0.08,+0.9,+0.9,Match Report,2023-10-03,19:30 (11:30),Premier League,Matchweek 2,Tue,Away,W,2,1,Luton Town,2,1,1,50.0,0,0.3,-0.7,0,0,0,0,8,31,25.8,35,4,54.3,43.4,12,100.0,70.3,25,1,4.0,2,15.7,Match Report,2023-10-03,19:30 (11:30),Premier League,Matchweek 2,Tue,Away,W,2,1,Luton Town,313,452,69.2,5851,2370,144,177,81.4,131,163,80.4,34,88,38.6,2,1.0,0.8,9,22,2,0,24,Match Report,2023-10-03,19:30 (11:30),Premier League,Matchweek 2,Tue,Away,W,2,1,Luton Town,452,392,57,16,1,3,12,21,6,2,1,1,313,3,12,Match Report,2023-10-03,19:30 (11:30),Premier League,Matchweek 2,Tue,Away,W,2,1,Luton Town,23,14,4,2,2,1,0,4,4,0,0,0,0,0,Match Report,2023-10-03,19:30 (11:30),Premier League,Matchweek 2,Tue,Away,W,2,1,Luton Town,15,9,7,5,3,6,15,40.0,9,15,6,9,7,22,38,0,Match Report,2023-10-03,19:30 (11:30),Premier League,Matchweek 2,Tue,Away,W,2,1,Luton Town,51,586,71,211,187,195,26,586,23,8,34.8,8,34.8,280,1268,597,19,9,10,14,6,310,24,Match Report,2023-10-03,19:30 (11:30),Premier League,Matchweek 2,Tue,Away,W,2,1,Luton Town,2,0,0,6,13,3,12,7,9,0,0,0,57,23,35,39.7,Match Report
2023-10-07,15:00 (07:00),Premier League,Matchweek 8,Sat,Home,L,1,4,Chelsea,1,10,3,30.0,0.10,0.33,18.2,1,0,0,0.7,0.7,0.08,+0.3,+0.3,Match Report,2023-10-07,15:00 (07:00),Premier League,Matchweek 8,Sat,Home,L,1,4,Chelsea,5,4,2,40.0,0,2.8,-0.2,1,1,0,0,9,18,50.0,63,9,22.2,24.7,5,80.0,58.2,10,2,20.0,0,5.0,Match Report,2023-10-07,15:00 (07:00),Premier League,Matchweek 8,Sat,Home,L,1,4,Chelsea,353,432,81.7,6275,2149,162,182,89.0,153,172,89.0,35,61,57.4,1,0.6,0.7,8,9,3,1,13,Match Report,2023-10-07,15:00 (07:00),Premier League,Matchweek 8,Sat,Home,L,1,4,Chelsea,432,382,46,9,1,1,9,20,7,4,0,0,353,4,7,Match Report,2023-10-07,15:00 (07:00),Premier League,Matchweek 8,Sat,Home,L,1,4,Chelsea,19,12,3,1,2,1,0,2,2,0,0,0,0,0,Match Report,2023-10-07,15:00 (07:00),Premier League,Matchweek 8,Sat,Home,L,1,4,Chelsea,24,15,14,4,6,14,22,63.6,8,6,2,4,4,28,10,0,Match Report,2023-10-07,15:00 (07:00),Premier League,Matchweek 8,Sat,Home,L,1,4,Chelsea,38,532,78,250,190,96,8,532,24,8,33.3,12,50.0,333,1710,887,11,7,2,13,10,350,12,Match Report,2023-10-07,15:00 (07:00),Premier League,Matchweek 8,Sat,Home,L,1,4,Chelsea,2,0,0,11,8,4,9,4,15,0,1,1,41,10,9,52.6,Match Report
