Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2023-08-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Away,L,1,2,Arsenal,1,6,2,33.3,0.17,0.50,17.3,0,0,0,1.2,1.2,0.20,-0.2,-0.2,Match Report,2023-08-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Away,L,1,2,Arsenal,7,2,5,71.4,0,2.0,0.0,0,0,0,0,9,19,47.4,28,12,50.0,39.1,5,100.0,69.2,10,0,0.0,0,,Match Report,2023-08-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Away,L,1,2,Arsenal,154,228,67.5,3239,1786,57,76,75.0,68,83,81.9,25,53,47.2,1,1.2,0.9,5,15,5,0,14,Match Report,2023-08-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Away,L,1,2,Arsenal,228,193,34,14,1,0,6,9,3,2,1,0,154,1,5,Match Report,2023-08-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Away,L,1,2,Arsenal,10,7,1,1,0,1,0,2,2,0,0,0,0,0,Match Report,2023-08-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Away,L,1,2,Arsenal,17,10,13,3,1,8,12,66.7,4,10,5,5,8,25,18,0,Match Report,2023-08-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Away,L,1,2,Arsenal,22,336,61,160,126,54,12,336,18,7,38.9,8,44.4,159,959,579,11,8,2,11,11,151,14,Match Report,2023-08-12,12:30 (04:30),Premier League,Matchweek 1,Sat,Away,L,1,2,Arsenal,2,0,0,12,12,1,6,8,10,0,0,0,34,20,12,62.5,Match Report
2023-08-18,19:45 (11:45),Premier League,Matchweek 2,Fri,Home,W,2,1,Sheffield Utd,2,16,4,25.0,0.13,0.50,15.6,0,0,0,1.4,1.4,0.09,+0.6,+0.6,Match Report,2023-08-18,19:45 (11:45),Premier League,Matchweek 2,Fri,Home,W,2,1,Sheffield Utd,3,1,2,66.7,0,1.5,+0.5,0,0,0,0,8,16,50.0,25,4,44.0,35.9,6,83.3,52.7,17,0,0.0,2,18.7,Match Report,2023-08-18,19:45 (11:45),Premier League,Matchweek 2,Fri,Home,W,2,1,Sheffield Utd,371,494,75.1,6984,2763,156,189,82.5,166,208,79.8,47,79,59.5,2,1.0,1.1,13,29,8,2,40,Match Report,2023-08-18,19:45 (11:45),Premier League,Matchweek 2,Fri,Home,W,2,1,Sheffield Utd,494,438,53,9,0,5,21,30,6,2,4,0,371,3,9,Match Report,2023-08-18,19:45 (11:45),Premier League,Matchweek 2,Fri,Home,W,2,1,Sheffield Utd,28,19,4,1,3,1,0,4,4,0,0,0,0,0,Match Report,2023-08-18,19:45 (11:45),Premier League,Matchweek 2,Fri,Home,W,2,1,Sheffield Utd,20,11,14,3,3,15,21,71.4,6,10,1,9,14,34,25,1,Match Report,2023-08-18,19:45 (11:45),Premier League,Matchweek 2,Fri,Home,W,2,1,Sheffield Utd,50,624,67,188,274,166,25,624,25,7,28.0,16,64.0,303,1632,752,16,16,2,16,6,369,39,Match Report,2023-08-18,19:45 (11:45),Premier League,Matchweek 2,Fri,Home,W,2,1,Sheffield Utd,2,0,0,5,9,3,21,14,11,0,0,0,54,30,20,60.0,Match Report
2023-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,L,2,3,Manchester Utd,2,9,4,44.4,0.22,0.50,14.7,0,0,0,1.2,1.2,0.13,+0.8,+0.8,Match Report,2023-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,L,2,3,Manchester Utd,9,3,6,77.8,0,3.9,+0.9,1,1,0,0,11,23,47.8,30,9,60.0,39.1,9,55.6,43.8,17,1,5.9,0,12.8,Match Report,2023-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,L,2,3,Manchester Utd,246,353,69.7,4533,2227,115,145,79.3,93,120,77.5,29,64,45.3,1,1.0,0.4,7,14,3,1,14,Match Report,2023-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,L,2,3,Manchester Utd,353,305,46,16,1,0,12,14,3,0,3,0,246,2,6,Match Report,2023-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,L,2,3,Manchester Utd,16,8,3,3,0,2,0,4,1,0,2,0,1,0,Match Report,2023-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,L,2,3,Manchester Utd,19,13,14,3,2,6,13,46.2,7,10,4,6,14,33,31,0,Match Report,2023-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,L,2,3,Manchester Utd,34,475,86,215,168,100,20,475,20,10,50.0,9,45.0,206,1177,618,9,8,4,13,6,242,11,Match Report,2023-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,L,2,3,Manchester Utd,4,1,0,11,13,2,12,14,13,0,1,0,54,21,11,65.6,Match Report
2023-08-30,19:45 (11:45),EFL Cup,Second round,Wed,Home,L,0,1,Burnley,0,7,0,0.0,0.00,,,,0,0,,,,,,Match Report,2023-08-30,19:45 (11:45),EFL Cup,Second round,Wed,Home,L,0,1,Burnley,2,1,1,50.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2023-08-30,19:45 (11:45),EFL Cup,Second round,Wed,Home,L,0,1,Burnley,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2023-08-30,19:45 (11:45),EFL Cup,Second round,Wed,Home,L,0,1,Burnley,,,,,,,16,,,,,,,,,Match Report,2023-08-30,19:45 (11:45),EFL Cup,Second round,Wed,Home,L,0,1,Burnley,,,,,,,,,,,,,,,Match Report,2023-08-30,19:45 (11:45),EFL Cup,Second round,Wed,Home,L,0,1,Burnley,,7,,,,,,,,,,,5,0,,,Match Report,2023-08-30,19:45 (11:45),EFL Cup,Second round,Wed,Home,L,0,1,Burnley,40,,,,,,,,,,,,,,,,,,,,,,,Match Report,2023-08-30,19:45 (11:45),EFL Cup,Second round,Wed,Home,L,0,1,Burnley,3,0,0,13,12,1,16,5,7,,,0,,,,,Match Report
2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,W,1,0,Chelsea,1,7,3,42.9,0.14,0.33,19.0,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Match Report,2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,W,1,0,Chelsea,2,0,2,100.0,1,0.2,+0.2,0,0,0,0,10,26,38.5,24,5,54.2,42.1,13,100.0,59.4,30,2,6.7,1,10.5,Match Report,2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,W,1,0,Chelsea,155,258,60.1,2877,1711,69,96,71.9,53,81,65.4,22,59,37.3,1,0.6,0.3,5,5,1,0,15,Match Report,2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,W,1,0,Chelsea,258,213,42,12,2,2,4,16,0,0,0,0,155,3,5,Match Report,2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,W,1,0,Chelsea,14,6,2,3,0,2,1,2,2,0,0,0,0,0,Match Report,2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,W,1,0,Chelsea,23,11,15,8,0,9,22,40.9,13,19,13,6,9,32,42,0,Match Report,2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,W,1,0,Chelsea,25,397,95,214,147,41,9,397,15,5,33.3,7,46.7,147,836,432,12,9,4,14,9,153,15,Match Report,2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,W,1,0,Chelsea,4,0,0,9,10,3,4,9,11,0,0,0,54,13,24,35.1,Match Report
2023-09-18,19:45 (11:45),Premier League,Matchweek 5,Mon,Home,D,1,1,Burnley,1,14,4,28.6,0.07,0.25,18.8,0,0,0,0.7,0.7,0.05,+0.3,+0.3,Match Report,2023-09-18,19:45 (11:45),Premier League,Matchweek 5,Mon,Home,D,1,1,Burnley,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,6,14,42.9,32,9,34.4,31.5,8,37.5,35.8,14,2,14.3,2,16.8,Match Report,2023-09-18,19:45 (11:45),Premier League,Matchweek 5,Mon,Home,D,1,1,Burnley,347,455,76.3,6189,2253,154,181,85.1,153,183,83.6,37,74,50.0,1,0.6,0.7,11,19,8,1,33,Match Report,2023-09-18,19:45 (11:45),Premier League,Matchweek 5,Mon,Home,D,1,1,Burnley,455,407,46,12,1,2,18,19,5,3,2,0,347,2,9,Match Report,2023-09-18,19:45 (11:45),Premier League,Matchweek 5,Mon,Home,D,1,1,Burnley,28,23,1,0,0,1,3,2,2,0,0,0,0,0,Match Report,2023-09-18,19:45 (11:45),Premier League,Matchweek 5,Mon,Home,D,1,1,Burnley,13,9,5,4,4,6,13,46.2,7,10,3,7,6,19,18,0,Match Report,2023-09-18,19:45 (11:45),Premier League,Matchweek 5,Mon,Home,D,1,1,Burnley,46,557,71,219,192,153,26,557,16,9,56.3,7,43.8,296,1532,877,20,14,7,16,3,344,32,Match Report,2023-09-18,19:45 (11:45),Premier League,Matchweek 5,Mon,Home,D,1,1,Burnley,2,0,0,16,9,2,18,6,9,0,0,0,44,17,13,56.7,Match Report
2023-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,0,2,Manchester City,0,10,3,30.0,0.00,0.00,17.8,1,0,0,1.0,1.0,0.10,-1.0,-1.0,Match Report,2023-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,0,2,Manchester City,4,2,2,50.0,0,1.0,-1.0,0,0,0,0,2,5,40.0,9,2,44.4,33.7,3,33.3,35.0,7,1,14.3,0,4.0,Match Report,2023-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,0,2,Manchester City,369,450,82.0,6152,2022,195,216,90.3,141,170,82.9,30,49,61.2,0,0.8,0.7,6,31,10,0,43,Match Report,2023-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,0,2,Manchester City,450,417,30,4,2,1,17,14,6,2,1,0,369,3,5,Match Report,2023-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,0,2,Manchester City,17,13,2,0,1,1,0,0,0,0,0,0,0,0,Match Report,2023-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,0,2,Manchester City,18,11,10,6,2,10,18,55.6,8,5,2,3,8,26,14,0,Match Report,2023-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,0,2,Manchester City,43,537,32,134,237,170,22,537,8,4,50.0,2,25.0,360,1835,1034,19,24,7,14,6,366,43,Match Report,2023-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,0,2,Manchester City,7,0,0,17,5,3,17,8,11,0,0,0,53,7,7,50.0,Match Report
2023-10-01,14:00 (06:00),Premier League,Matchweek 7,Sun,Home,D,1,1,Brentford,1,6,1,16.7,0.17,1.00,15.4,0,0,0,0.5,0.5,0.08,+0.5,+0.5,Match Report,2023-10-01,14:00 (06:00),Premier League,Matchweek 7,Sun,Home,D,1,1,Brentford,3,1,2,66.7,0,0.7,-0.3,0,0,0,0,8,21,38.1,29,3,37.9,31.6,11,90.9,58.0,24,3,12.5,5,22.3,Match Report,2023-10-01,14:00 (06:00),Premier League,Matchweek 7,Sun,Home,D,1,1,Brentford,337,443,76.1,5790,2166,170,190,89.5,127,160,79.4,35,74,47.3,1,0.5,0.5,6,24,4,2,19,Match Report,2023-10-01,14:00 (06:00),Premier League,Matchweek 7,Sun,Home,D,1,1,Brentford,443,397,44,11,1,2,12,19,1,0,1,0,337,2,9,Match Report,2023-10-01,14:00 (06:00),Premier League,Matchweek 7,Sun,Home,D,1,1,Brentford,11,8,2,0,0,1,0,2,2,0,0,0,0,0,Match Report,2023-10-01,14:00 (06:00),Premier League,Matchweek 7,Sun,Home,D,1,1,Brentford,17,11,12,5,0,7,12,58.3,5,21,9,12,6,23,40,1,Match Report,2023-10-01,14:00 (06:00),Premier League,Matchweek 7,Sun,Home,D,1,1,Brentford,41,567,91,227,238,108,12,567,14,9,64.3,5,35.7,274,1317,641,13,10,3,13,6,336,19,Match Report,2023-10-01,14:00 (06:00),Premier League,Matchweek 7,Sun,Home,D,1,1,Brentford,3,1,1,6,10,2,12,6,11,0,0,0,46,15,25,37.5,Match Report
2023-10-07,17:30 (09:30),Premier League,Matchweek 8,Sat,Away,D,0,0,Crystal Palace,0,16,5,31.3,0.00,0.00,18.4,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Match Report,2023-10-07,17:30 (09:30),Premier League,Matchweek 8,Sat,Away,D,0,0,Crystal Palace,2,0,2,100.0,1,0.1,+0.1,0,0,0,0,4,7,57.1,27,6,18.5,26.5,6,33.3,26.8,11,1,9.1,0,5.8,Match Report,2023-10-07,17:30 (09:30),Premier League,Matchweek 8,Sat,Away,D,0,0,Crystal Palace,443,522,84.9,7148,2490,215,243,88.5,172,190,90.5,32,60,53.3,0,0.7,0.7,10,36,10,1,41,Match Report,2023-10-07,17:30 (09:30),Premier League,Matchweek 8,Sat,Away,D,0,0,Crystal Palace,522,485,35,7,0,4,18,14,7,3,4,0,443,2,4,Match Report,2023-10-07,17:30 (09:30),Premier League,Matchweek 8,Sat,Away,D,0,0,Crystal Palace,27,17,3,2,4,1,0,0,0,0,0,0,0,0,Match Report,2023-10-07,17:30 (09:30),Premier League,Matchweek 8,Sat,Away,D,0,0,Crystal Palace,20,10,9,9,2,4,13,30.8,9,7,2,5,9,29,23,0,Match Report,2023-10-07,17:30 (09:30),Premier League,Matchweek 8,Sat,Away,D,0,0,Crystal Palace,48,626,60,198,264,170,27,626,19,9,47.4,8,42.1,358,1873,1017,15,19,5,8,10,438,40,Match Report,2023-10-07,17:30 (09:30),Premier League,Matchweek 8,Sat,Away,D,0,0,Crystal Palace,1,0,0,12,7,2,18,9,10,0,0,0,43,13,10,56.5,Match Report
2023-10-21,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,D,2,2,Luton Town,2,19,8,42.1,0.11,0.25,11.1,0,0,0,2.9,2.9,0.16,-0.9,-0.9,Match Report,2023-10-21,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,D,2,2,Luton Town,4,2,2,50.0,0,1.2,-0.8,0,0,0,0,4,12,33.3,37,9,16.2,25.6,7,85.7,54.3,19,3,15.8,2,17.8,Match Report,2023-10-21,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,D,2,2,Luton Town,414,543,76.2,7095,2801,175,211,82.9,180,221,81.4,40,70,57.1,2,1.6,1.1,11,28,8,6,33,Match Report,2023-10-21,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,D,2,2,Luton Town,543,497,44,11,6,3,19,19,4,2,1,0,414,2,14,Match Report,2023-10-21,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,D,2,2,Luton Town,33,25,3,2,3,0,0,4,4,0,0,0,0,0,Match Report,2023-10-21,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,D,2,2,Luton Town,14,9,7,6,1,5,11,45.5,6,16,4,12,9,23,26,1,Match Report,2023-10-21,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,D,2,2,Luton Town,57,667,59,248,306,117,31,667,13,7,53.8,5,38.5,316,1794,1008,17,7,3,17,4,409,31,Match Report,2023-10-21,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,D,2,2,Luton Town,3,0,0,12,11,2,19,9,9,0,0,0,58,33,23,58.9,Match Report
