Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2017-08-12,20:45 (11:45),Coppa Italia,Third round,Sat,Home,W,3,0,Foggia,3,,,,,,,,0,0,,,,,,Match Report,2017-08-12,20:45 (11:45),Coppa Italia,Third round,Sat,Home,W,3,0,Foggia,,0,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-08-12,20:45 (11:45),Coppa Italia,Third round,Sat,Home,W,3,0,Foggia,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2017-08-12,20:45 (11:45),Coppa Italia,Third round,Sat,Home,W,3,0,Foggia,,,,,,,,,,,,,,,,Match Report,2017-08-12,20:45 (11:45),Coppa Italia,Third round,Sat,Home,W,3,0,Foggia,,,,,,,,,,,,,,,Match Report,2017-08-12,20:45 (11:45),Coppa Italia,Third round,Sat,Home,W,3,0,Foggia,,,,,,,,,,,,,,0,,,Match Report,2017-08-12,20:45 (11:45),Coppa Italia,Third round,Sat,Home,W,3,0,Foggia,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-08-12,20:45 (11:45),Coppa Italia,Third round,Sat,Home,W,3,0,Foggia,0,0,0,,,,,,,,,0,,,,,Match Report
2017-08-20,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,2,1,Benevento,2,16,6,37.5,0.13,0.33,16.4,1,0,0,2.7,2.7,0.18,-0.7,-0.7,Match Report,2017-08-20,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,2,1,Benevento,7,1,6,85.7,0,1.3,+0.3,0,0,0,0,4,9,44.4,31,11,16.1,25.5,12,33.3,35.3,17,0,0.0,3,20.0,Match Report,2017-08-20,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,2,1,Benevento,575,679,84.7,9714,3594,257,281,91.5,235,259,90.7,53,89,59.6,1,1.9,1.0,11,35,16,3,56,Match Report,2017-08-20,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,2,1,Benevento,679,626,51,12,3,4,24,19,6,3,0,0,575,2,12,Match Report,2017-08-20,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,2,1,Benevento,27,17,1,2,4,1,2,3,1,0,0,1,0,1,Match Report,2017-08-20,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,2,1,Benevento,17,11,5,8,4,2,12,16.7,10,10,1,9,5,22,20,1,Match Report,2017-08-20,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,2,1,Benevento,64,771,61,182,402,191,27,771,22,18,81.8,4,18.2,462,2257,1111,18,15,3,13,14,571,55,Match Report,2017-08-20,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,2,1,Benevento,1,0,0,10,10,2,24,5,11,0,0,0,39,10,8,55.6,Match Report
2017-08-27,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,2,1,Fiorentina,2,11,4,36.4,0.09,0.25,17.2,1,1,1,2.2,1.4,0.13,-0.2,-0.4,Match Report,2017-08-27,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,2,1,Fiorentina,10,1,9,90.0,0,2.8,+1.8,0,0,0,0,3,27,11.1,38,9,55.3,44.5,9,66.7,48.4,31,2,6.5,1,13.5,Match Report,2017-08-27,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,2,1,Fiorentina,293,397,73.8,5433,2279,111,126,88.1,142,172,82.6,32,86,37.2,0,0.9,0.7,7,24,6,1,35,Match Report,2017-08-27,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,2,1,Fiorentina,397,339,57,23,4,2,15,17,6,5,0,0,293,1,3,Match Report,2017-08-27,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,2,1,Fiorentina,19,14,1,0,2,2,0,2,1,0,0,1,0,0,Match Report,2017-08-27,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,2,1,Fiorentina,12,8,7,5,0,3,9,33.3,6,16,9,7,10,22,33,0,Match Report,2017-08-27,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,2,1,Fiorentina,44,519,100,200,220,105,15,518,11,7,63.6,4,36.4,260,1685,821,12,11,4,13,12,290,35,Match Report,2017-08-27,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,2,1,Fiorentina,4,0,0,11,18,1,15,10,8,0,0,0,44,12,14,46.2,Match Report
2017-09-17,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,D,2,2,Torino,2,11,5,45.5,0.18,0.40,20.6,0,0,0,1.0,1.0,0.09,+1.0,+1.0,Match Report,2017-09-17,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,D,2,2,Torino,3,2,1,33.3,0,1.4,-0.6,0,0,0,0,7,17,41.2,27,6,44.4,38.4,8,62.5,45.6,10,2,20.0,2,13.5,Match Report,2017-09-17,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,D,2,2,Torino,409,511,80.0,7089,3043,188,213,88.3,153,182,84.1,47,87,54.0,2,0.8,0.9,7,34,4,3,28,Match Report,2017-09-17,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,D,2,2,Torino,511,453,57,20,0,2,23,20,6,5,0,0,409,1,9,Match Report,2017-09-17,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,D,2,2,Torino,20,17,1,0,0,0,2,4,4,0,0,0,0,0,Match Report,2017-09-17,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,D,2,2,Torino,17,13,4,11,2,5,19,26.3,14,17,3,14,10,27,15,1,Match Report,2017-09-17,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,D,2,2,Torino,51,598,52,151,336,115,13,598,6,4,66.7,2,33.3,201,1316,568,13,16,2,13,16,407,27,Match Report,2017-09-17,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,D,2,2,Torino,1,0,0,15,13,1,23,10,13,0,0,0,49,8,10,44.4,Match Report
2017-09-20,20:45 (11:45),Serie A,Matchweek 5,Wed,Away,D,0,0,Hellas Verona,0,17,5,29.4,0.00,0.00,19.2,0,0,0,1.5,1.5,0.09,-1.5,-1.5,Match Report,2017-09-20,20:45 (11:45),Serie A,Matchweek 5,Wed,Away,D,0,0,Hellas Verona,5,0,5,100.0,1,0.7,+0.7,0,0,0,0,9,17,52.9,26,6,46.2,34.7,9,55.6,47.4,15,0,0.0,4,22.7,Match Report,2017-09-20,20:45 (11:45),Serie A,Matchweek 5,Wed,Away,D,0,0,Hellas Verona,528,639,82.6,10397,3510,182,214,85.0,275,311,88.4,68,103,66.0,0,1.5,1.1,15,43,14,7,60,Match Report,2017-09-20,20:45 (11:45),Serie A,Matchweek 5,Wed,Away,D,0,0,Hellas Verona,639,577,59,17,2,4,32,25,7,6,1,0,528,3,11,Match Report,2017-09-20,20:45 (11:45),Serie A,Matchweek 5,Wed,Away,D,0,0,Hellas Verona,33,26,4,1,2,0,0,0,0,0,0,0,0,0,Match Report,2017-09-20,20:45 (11:45),Serie A,Matchweek 5,Wed,Away,D,0,0,Hellas Verona,9,7,1,6,2,2,5,40.0,3,12,2,10,12,21,18,1,Match Report,2017-09-20,20:45 (11:45),Serie A,Matchweek 5,Wed,Away,D,0,0,Hellas Verona,63,737,58,135,453,158,22,737,14,10,71.4,4,28.6,336,2363,1338,27,23,5,12,14,526,60,Match Report,2017-09-20,20:45 (11:45),Serie A,Matchweek 5,Wed,Away,D,0,0,Hellas Verona,1,0,0,6,17,3,32,12,7,0,0,0,57,13,12,52.0,Match Report
2017-09-24,12:30 (03:30),Serie A,Matchweek 6,Sun,Home,W,2,0,Milan,2,12,3,25.0,0.17,0.67,14.2,0,0,0,1.6,1.6,0.14,+0.4,+0.4,Match Report,2017-09-24,12:30 (03:30),Serie A,Matchweek 6,Sun,Home,W,2,0,Milan,0,0,0,,1,0.0,0.0,0,0,0,0,10,21,47.6,27,2,59.3,37.4,5,100.0,57.2,16,2,12.5,3,15.1,Match Report,2017-09-24,12:30 (03:30),Serie A,Matchweek 6,Sun,Home,W,2,0,Milan,316,418,75.6,5077,2097,154,175,88.0,112,140,80.0,31,70,44.3,0,0.9,0.3,9,23,6,1,27,Match Report,2017-09-24,12:30 (03:30),Serie A,Matchweek 6,Sun,Home,W,2,0,Milan,418,361,52,24,0,0,22,15,7,4,2,0,316,5,8,Match Report,2017-09-24,12:30 (03:30),Serie A,Matchweek 6,Sun,Home,W,2,0,Milan,18,8,3,3,2,1,1,2,1,0,0,0,0,1,Match Report,2017-09-24,12:30 (03:30),Serie A,Matchweek 6,Sun,Home,W,2,0,Milan,13,7,6,5,2,1,8,12.5,7,13,2,11,9,22,24,0,Match Report,2017-09-24,12:30 (03:30),Serie A,Matchweek 6,Sun,Home,W,2,0,Milan,46,510,43,172,229,115,18,510,12,8,66.7,4,33.3,231,1208,662,16,7,7,9,9,314,27,Match Report,2017-09-24,12:30 (03:30),Serie A,Matchweek 6,Sun,Home,W,2,0,Milan,0,0,0,13,17,5,22,9,7,0,0,0,60,11,10,52.4,Match Report
2017-09-30,18:00 (09:00),Serie A,Matchweek 7,Sat,Away,L,0,4,Udinese,0,13,2,15.4,0.00,0.00,22.4,1,0,0,0.6,0.6,0.05,-0.6,-0.6,Match Report,2017-09-30,18:00 (09:00),Serie A,Matchweek 7,Sat,Away,L,0,4,Udinese,7,4,3,85.7,0,3.5,-0.5,3,3,0,0,0,5,0.0,23,8,21.7,24.9,9,0.0,25.8,12,1,8.3,3,20.2,Match Report,2017-09-30,18:00 (09:00),Serie A,Matchweek 7,Sat,Away,L,0,4,Udinese,546,639,85.4,8498,3011,279,303,92.1,217,234,92.7,29,60,48.3,0,0.4,0.6,9,43,9,2,71,Match Report,2017-09-30,18:00 (09:00),Serie A,Matchweek 7,Sat,Away,L,0,4,Udinese,639,585,54,16,0,3,16,21,4,3,0,0,546,0,16,Match Report,2017-09-30,18:00 (09:00),Serie A,Matchweek 7,Sat,Away,L,0,4,Udinese,24,18,1,1,2,2,0,0,0,0,0,0,0,0,Match Report,2017-09-30,18:00 (09:00),Serie A,Matchweek 7,Sat,Away,L,0,4,Udinese,12,6,5,7,0,7,18,38.9,11,12,0,12,7,19,9,0,Match Report,2017-09-30,18:00 (09:00),Serie A,Matchweek 7,Sat,Away,L,0,4,Udinese,62,719,54,134,460,135,14,719,10,6,60.0,4,40.0,458,2564,1502,18,14,0,20,18,544,71,Match Report,2017-09-30,18:00 (09:00),Serie A,Matchweek 7,Sat,Away,L,0,4,Udinese,2,1,1,10,11,0,16,7,6,0,3,0,58,11,13,45.8,Match Report
2017-10-15,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,3,1,Atalanta,3,12,8,66.7,0.25,0.38,16.5,0,0,0,1.3,1.3,0.11,+1.7,+1.7,Match Report,2017-10-15,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,3,1,Atalanta,11,1,10,90.9,0,2.3,+1.3,0,0,0,0,8,11,72.7,22,7,31.8,31.4,11,36.4,35.2,26,2,7.7,0,8.5,Match Report,2017-10-15,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,3,1,Atalanta,432,531,81.4,7116,3083,203,228,89.0,162,194,83.5,43,73,58.9,3,1.3,1.1,11,41,8,1,36,Match Report,2017-10-15,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,3,1,Atalanta,531,477,53,16,1,2,18,20,4,1,2,0,432,1,10,Match Report,2017-10-15,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,3,1,Atalanta,18,14,1,3,0,0,0,6,5,0,1,0,0,0,Match Report,2017-10-15,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,3,1,Atalanta,26,19,15,9,2,12,25,48.0,13,20,4,16,11,37,27,0,Match Report,2017-10-15,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,3,1,Atalanta,48,658,84,202,313,152,17,658,22,14,63.6,8,36.4,265,1864,1080,21,20,4,11,14,425,34,Match Report,2017-10-15,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,3,1,Atalanta,3,0,0,10,13,1,18,11,19,0,0,0,63,4,1,80.0,Match Report
2017-10-21,18:00 (09:00),Serie A,Matchweek 9,Sat,Home,W,5,0,Crotone,5,5,4,80.0,0.80,1.00,13.2,0,1,1,2.0,1.3,0.25,+3.0,+2.7,Match Report,2017-10-21,18:00 (09:00),Serie A,Matchweek 9,Sat,Home,W,5,0,Crotone,2,0,2,100.0,1,0.7,+0.7,0,0,0,0,3,5,60.0,22,5,18.2,31.8,5,20.0,32.8,6,0,0.0,0,7.6,Match Report,2017-10-21,18:00 (09:00),Serie A,Matchweek 9,Sat,Home,W,5,0,Crotone,719,812,88.5,12624,4078,285,311,91.6,359,390,92.1,57,82,69.5,3,1.2,1.0,3,28,3,0,56,Match Report,2017-10-21,18:00 (09:00),Serie A,Matchweek 9,Sat,Home,W,5,0,Crotone,812,767,45,22,2,3,17,13,4,3,1,0,719,0,10,Match Report,2017-10-21,18:00 (09:00),Serie A,Matchweek 9,Sat,Home,W,5,0,Crotone,9,5,0,2,0,2,0,8,5,0,1,0,2,0,Match Report,2017-10-21,18:00 (09:00),Serie A,Matchweek 9,Sat,Home,W,5,0,Crotone,13,7,6,5,2,2,9,22.2,7,10,0,10,7,20,9,0,Match Report,2017-10-21,18:00 (09:00),Serie A,Matchweek 9,Sat,Home,W,5,0,Crotone,67,886,44,262,508,126,11,885,15,11,73.3,4,26.7,504,2314,1131,14,15,5,15,10,717,56,Match Report,2017-10-21,18:00 (09:00),Serie A,Matchweek 9,Sat,Home,W,5,0,Crotone,1,0,0,11,20,0,17,7,7,1,0,0,61,7,10,41.2,Match Report
2017-10-24,20:45 (11:45),Serie A,Matchweek 10,Tue,Away,L,2,3,Inter,2,12,2,16.7,0.17,1.00,20.9,1,0,0,0.9,0.9,0.08,+1.1,+1.1,Match Report,2017-10-24,20:45 (11:45),Serie A,Matchweek 10,Tue,Away,L,2,3,Inter,8,3,5,62.5,0,3.8,+0.8,0,0,0,0,8,16,50.0,18,4,50.0,36.3,10,70.0,50.2,15,1,6.7,5,24.0,Match Report,2017-10-24,20:45 (11:45),Serie A,Matchweek 10,Tue,Away,L,2,3,Inter,412,512,80.5,7814,3294,165,182,90.7,183,219,83.6,54,90,60.0,2,0.8,1.2,10,39,11,4,48,Match Report,2017-10-24,20:45 (11:45),Serie A,Matchweek 10,Tue,Away,L,2,3,Inter,512,463,47,11,3,2,31,18,4,1,3,0,412,2,5,Match Report,2017-10-24,20:45 (11:45),Serie A,Matchweek 10,Tue,Away,L,2,3,Inter,21,19,0,1,0,1,0,4,4,0,0,0,0,0,Match Report,2017-10-24,20:45 (11:45),Serie A,Matchweek 10,Tue,Away,L,2,3,Inter,17,12,5,10,2,6,11,54.5,5,14,4,10,11,28,28,1,Match Report,2017-10-24,20:45 (11:45),Serie A,Matchweek 10,Tue,Away,L,2,3,Inter,48,621,54,180,300,148,18,621,17,11,64.7,6,35.3,262,1287,608,17,13,3,17,9,408,48,Match Report,2017-10-24,20:45 (11:45),Serie A,Matchweek 10,Tue,Away,L,2,3,Inter,2,0,0,11,12,2,31,11,12,0,0,0,60,11,9,55.0,Match Report
