Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2018-08-12,20:30 (11:30),Coppa Italia,Third round,Sun,Home,W,2,1,Palermo,2,,,,,,,,0,0,,,,,,Match Report,2018-08-12,20:30 (11:30),Coppa Italia,Third round,Sun,Home,W,2,1,Palermo,,1,,,0,,,1,1,0,0,,,,,,,,,,,,,,,,Match Report,2018-08-12,20:30 (11:30),Coppa Italia,Third round,Sun,Home,W,2,1,Palermo,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2018-08-12,20:30 (11:30),Coppa Italia,Third round,Sun,Home,W,2,1,Palermo,,,,,,,,,,,,,,,,Match Report,2018-08-12,20:30 (11:30),Coppa Italia,Third round,Sun,Home,W,2,1,Palermo,,,,,,,,,,,,,,,Match Report,2018-08-12,20:30 (11:30),Coppa Italia,Third round,Sun,Home,W,2,1,Palermo,,,,,,,,,,,,,,0,,,Match Report,2018-08-12,20:30 (11:30),Coppa Italia,Third round,Sun,Home,W,2,1,Palermo,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2018-08-12,20:30 (11:30),Coppa Italia,Third round,Sun,Home,W,2,1,Palermo,1,0,0,,,,,,,,,0,,,,,Match Report
2018-08-19,20:30 (11:30),Serie A,Matchweek 1,Sun,Away,L,0,2,Empoli,0,15,3,20.0,0.00,0.00,17.3,1,0,0,0.9,0.9,0.06,-0.9,-0.9,Match Report,2018-08-19,20:30 (11:30),Serie A,Matchweek 1,Sun,Away,L,0,2,Empoli,4,2,2,50.0,0,0.8,-1.2,0,0,0,0,9,21,42.9,29,9,44.8,37.7,10,80.0,55.5,9,0,0.0,1,26.0,Match Report,2018-08-19,20:30 (11:30),Serie A,Matchweek 1,Sun,Away,L,0,2,Empoli,405,520,77.9,7793,3184,174,199,87.4,169,207,81.6,54,93,58.1,0,0.8,1.0,13,40,13,6,50,Match Report,2018-08-19,20:30 (11:30),Serie A,Matchweek 1,Sun,Away,L,0,2,Empoli,520,458,62,23,0,7,33,20,6,1,3,0,405,0,9,Match Report,2018-08-19,20:30 (11:30),Serie A,Matchweek 1,Sun,Away,L,0,2,Empoli,28,23,2,0,1,2,0,0,0,0,0,0,0,0,Match Report,2018-08-19,20:30 (11:30),Serie A,Matchweek 1,Sun,Away,L,0,2,Empoli,13,9,8,4,1,4,19,21.1,15,8,1,7,15,28,13,0,Match Report,2018-08-19,20:30 (11:30),Serie A,Matchweek 1,Sun,Away,L,0,2,Empoli,54,628,47,155,284,189,22,628,6,2,33.3,4,66.7,315,1727,877,17,16,2,30,8,403,50,Match Report,2018-08-19,20:30 (11:30),Serie A,Matchweek 1,Sun,Away,L,0,2,Empoli,3,0,0,19,18,0,33,15,9,0,0,0,48,19,21,47.5,Match Report
2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Home,D,2,2,Sassuolo,2,15,6,40.0,0.13,0.33,14.1,0,0,0,1.3,1.3,0.09,+0.7,+0.7,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Home,D,2,2,Sassuolo,5,2,3,80.0,0,2.3,+0.3,1,1,0,0,10,19,52.6,19,1,57.9,39.2,9,88.9,58.2,13,1,7.7,0,15.5,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Home,D,2,2,Sassuolo,301,394,76.4,5499,2289,144,171,84.2,102,125,81.6,42,74,56.8,2,0.8,1.1,11,19,10,4,23,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Home,D,2,2,Sassuolo,394,337,56,17,0,4,26,20,7,1,5,0,301,1,7,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Home,D,2,2,Sassuolo,26,13,7,1,2,3,0,4,3,1,0,0,0,0,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Home,D,2,2,Sassuolo,20,14,4,11,5,5,7,71.4,2,10,1,9,16,36,23,0,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Home,D,2,2,Sassuolo,41,506,48,131,234,148,23,506,8,4,50.0,4,50.0,299,1294,522,11,7,3,21,4,295,23,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Home,D,2,2,Sassuolo,4,0,0,14,15,1,26,16,14,0,1,0,42,15,11,57.7,Match Report
2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Away,W,1,0,Atalanta,1,6,3,50.0,0.17,0.33,19.3,1,0,0,0.3,0.3,0.06,+0.7,+0.7,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Away,W,1,0,Atalanta,2,0,2,100.0,1,0.6,+0.6,0,0,0,0,15,34,44.1,37,4,70.3,46.8,8,100.0,63.5,14,1,7.1,0,7.3,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Away,W,1,0,Atalanta,356,479,74.3,6183,2795,178,200,89.0,102,135,75.6,55,108,50.9,0,0.3,0.5,5,23,2,1,25,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Away,W,1,0,Atalanta,479,431,46,15,0,1,16,18,4,2,1,0,356,2,7,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Away,W,1,0,Atalanta,11,8,2,0,0,1,0,2,1,0,0,0,1,0,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Away,W,1,0,Atalanta,14,10,6,6,2,4,10,40.0,6,13,3,10,15,29,27,0,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Away,W,1,0,Atalanta,47,576,72,201,262,119,11,576,6,3,50.0,3,50.0,312,1421,730,18,10,3,15,8,354,25,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Away,W,1,0,Atalanta,2,0,0,17,14,2,16,15,10,0,0,0,64,31,22,58.5,Match Report
2018-09-16,20:30 (11:30),Serie A,Matchweek 4,Sun,Home,D,1,1,Milan,1,6,2,33.3,0.17,0.50,23.6,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Match Report,2018-09-16,20:30 (11:30),Serie A,Matchweek 4,Sun,Home,D,1,1,Milan,6,1,5,83.3,0,1.3,+0.3,0,0,0,0,15,25,60.0,22,7,59.1,36.2,12,100.0,62.0,31,2,6.5,0,7.0,Match Report,2018-09-16,20:30 (11:30),Serie A,Matchweek 4,Sun,Home,D,1,1,Milan,315,405,77.8,5802,2633,143,157,91.1,125,145,86.2,37,76,48.7,0,0.2,0.9,3,21,7,0,24,Match Report,2018-09-16,20:30 (11:30),Serie A,Matchweek 4,Sun,Home,D,1,1,Milan,405,359,44,13,3,4,10,14,3,3,0,0,315,2,10,Match Report,2018-09-16,20:30 (11:30),Serie A,Matchweek 4,Sun,Home,D,1,1,Milan,9,5,2,0,2,0,0,1,0,0,0,1,0,0,Match Report,2018-09-16,20:30 (11:30),Serie A,Matchweek 4,Sun,Home,D,1,1,Milan,12,9,8,3,1,4,11,36.4,7,17,8,9,11,23,25,0,Match Report,2018-09-16,20:30 (11:30),Serie A,Matchweek 4,Sun,Home,D,1,1,Milan,36,507,77,189,229,94,20,507,11,3,27.3,8,72.7,229,1267,614,10,8,3,15,8,311,23,Match Report,2018-09-16,20:30 (11:30),Serie A,Matchweek 4,Sun,Home,D,1,1,Milan,1,0,0,12,10,2,10,11,9,0,0,0,48,13,8,61.9,Match Report
2018-09-22,15:00 (06:00),Serie A,Matchweek 5,Sat,Away,L,0,2,Parma,0,16,2,12.5,0.00,0.00,18.3,1,0,0,0.9,0.9,0.05,-0.9,-0.9,Match Report,2018-09-22,15:00 (06:00),Serie A,Matchweek 5,Sat,Away,L,0,2,Parma,6,2,4,66.7,0,1.7,-0.3,0,0,0,0,4,6,66.7,21,4,14.3,26.7,8,37.5,34.4,8,1,12.5,1,10.3,Match Report,2018-09-22,15:00 (06:00),Serie A,Matchweek 5,Sat,Away,L,0,2,Parma,559,666,83.9,9996,3565,246,277,88.8,239,262,91.2,58,92,63.0,0,0.7,1.5,12,66,20,3,73,Match Report,2018-09-22,15:00 (06:00),Serie A,Matchweek 5,Sat,Away,L,0,2,Parma,666,596,67,16,0,7,39,29,11,6,3,0,559,3,16,Match Report,2018-09-22,15:00 (06:00),Serie A,Matchweek 5,Sat,Away,L,0,2,Parma,30,22,3,1,1,2,1,0,0,0,0,0,0,0,Match Report,2018-09-22,15:00 (06:00),Serie A,Matchweek 5,Sat,Away,L,0,2,Parma,12,12,3,3,6,5,11,45.5,6,8,4,4,11,23,12,0,Match Report,2018-09-22,15:00 (06:00),Serie A,Matchweek 5,Sat,Away,L,0,2,Parma,72,746,47,126,349,274,38,746,8,3,37.5,5,62.5,438,2870,1699,35,29,7,13,11,556,73,Match Report,2018-09-22,15:00 (06:00),Serie A,Matchweek 5,Sat,Away,L,0,2,Parma,1,0,0,5,15,3,39,11,12,0,0,0,41,12,14,46.2,Match Report
2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Home,D,0,0,Sampdoria,0,14,1,7.1,0.00,0.00,16.2,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Match Report,2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Home,D,0,0,Sampdoria,3,0,2,100.0,1,1.5,+1.5,1,0,1,0,17,32,53.1,30,1,76.7,45.5,10,90.0,56.5,9,0,0.0,1,16.0,Match Report,2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Home,D,0,0,Sampdoria,364,503,72.4,7297,3047,156,189,82.5,132,169,78.1,68,118,57.6,0,0.7,0.8,9,32,10,4,34,Match Report,2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Home,D,0,0,Sampdoria,503,436,62,23,3,4,22,21,7,1,4,0,364,5,11,Match Report,2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Home,D,0,0,Sampdoria,25,17,5,0,1,1,1,0,0,0,0,0,0,0,Match Report,2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Home,D,0,0,Sampdoria,19,14,6,10,3,7,13,53.8,6,9,1,8,16,35,17,0,Match Report,2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Home,D,0,0,Sampdoria,47,619,54,173,330,122,20,619,7,1,14.3,6,85.7,323,1346,595,12,3,2,23,10,363,34,Match Report,2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Home,D,0,0,Sampdoria,1,0,0,17,22,5,22,16,14,0,1,0,63,23,20,53.5,Match Report
2018-09-29,20:30 (11:30),Serie A,Matchweek 7,Sat,Away,L,0,2,Inter,0,6,2,33.3,0.00,0.00,17.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Match Report,2018-09-29,20:30 (11:30),Serie A,Matchweek 7,Sat,Away,L,0,2,Inter,6,2,4,66.7,0,1.0,-1.0,0,0,0,0,8,17,47.1,22,6,36.4,30.2,9,100.0,60.1,22,1,4.5,1,11.8,Match Report,2018-09-29,20:30 (11:30),Serie A,Matchweek 7,Sat,Away,L,0,2,Inter,431,535,80.6,7992,2829,175,197,88.8,186,214,86.9,57,89,64.0,0,0.2,0.4,6,21,8,1,37,Match Report,2018-09-29,20:30 (11:30),Serie A,Matchweek 7,Sat,Away,L,0,2,Inter,535,479,54,14,1,7,21,24,4,2,1,0,431,2,13,Match Report,2018-09-29,20:30 (11:30),Serie A,Matchweek 7,Sat,Away,L,0,2,Inter,12,8,2,1,0,1,0,0,0,0,0,0,0,0,Match Report,2018-09-29,20:30 (11:30),Serie A,Matchweek 7,Sat,Away,L,0,2,Inter,9,6,4,4,1,2,8,25.0,6,10,4,6,12,21,25,0,Match Report,2018-09-29,20:30 (11:30),Serie A,Matchweek 7,Sat,Away,L,0,2,Inter,50,630,71,188,340,109,12,630,10,6,60.0,4,40.0,305,1532,869,15,12,1,14,13,430,37,Match Report,2018-09-29,20:30 (11:30),Serie A,Matchweek 7,Sat,Away,L,0,2,Inter,4,0,0,11,12,2,21,12,6,0,0,0,54,24,18,57.1,Match Report
2018-10-06,15:00 (06:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Bologna,2,11,5,45.5,0.18,0.40,18.7,1,0,0,1.7,1.7,0.15,+0.3,+0.3,Match Report,2018-10-06,15:00 (06:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Bologna,4,0,4,100.0,1,0.6,+0.6,0,0,0,0,10,19,52.6,27,5,44.4,39.1,11,63.6,47.2,18,0,0.0,2,17.0,Match Report,2018-10-06,15:00 (06:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Bologna,375,480,78.1,7541,3009,137,152,90.1,171,204,83.8,62,108,57.4,2,1.6,1.3,8,26,10,5,44,Match Report,2018-10-06,15:00 (06:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Bologna,480,431,49,16,1,1,27,17,4,0,1,2,375,0,8,Match Report,2018-10-06,15:00 (06:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Bologna,16,12,1,1,1,1,0,4,3,0,1,0,0,0,Match Report,2018-10-06,15:00 (06:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Bologna,11,10,4,6,1,2,4,50.0,2,8,1,7,6,17,32,0,Match Report,2018-10-06,15:00 (06:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Bologna,52,587,57,176,253,163,20,587,10,4,40.0,6,60.0,245,1680,919,22,16,2,15,10,375,44,Match Report,2018-10-06,15:00 (06:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Bologna,2,0,0,8,16,0,27,6,10,0,0,0,41,23,21,52.3,Match Report
2018-10-21,18:00 (09:00),Serie A,Matchweek 9,Sun,Away,D,1,1,Fiorentina,1,9,4,44.4,0.11,0.25,20.3,2,0,0,1.0,1.0,0.11,0.0,0.0,Match Report,2018-10-21,18:00 (09:00),Serie A,Matchweek 9,Sun,Away,D,1,1,Fiorentina,2,1,1,100.0,0,1.2,+0.2,1,1,0,0,7,14,50.0,14,2,42.9,36.1,8,100.0,52.8,17,0,0.0,0,,Match Report,2018-10-21,18:00 (09:00),Serie A,Matchweek 9,Sun,Away,D,1,1,Fiorentina,274,410,66.8,4600,1955,140,166,84.3,95,139,68.3,30,77,39.0,1,0.8,0.9,7,20,3,1,23,Match Report,2018-10-21,18:00 (09:00),Serie A,Matchweek 9,Sun,Away,D,1,1,Fiorentina,410,350,58,11,0,0,13,30,7,2,4,0,274,2,12,Match Report,2018-10-21,18:00 (09:00),Serie A,Matchweek 9,Sun,Away,D,1,1,Fiorentina,18,13,2,0,0,3,0,2,2,0,0,0,0,0,Match Report,2018-10-21,18:00 (09:00),Serie A,Matchweek 9,Sun,Away,D,1,1,Fiorentina,21,15,13,7,1,6,10,60.0,4,13,4,9,13,34,27,0,Match Report,2018-10-21,18:00 (09:00),Serie A,Matchweek 9,Sun,Away,D,1,1,Fiorentina,43,523,50,183,209,138,15,523,8,6,75.0,2,25.0,247,1096,518,12,10,4,13,13,271,23,Match Report,2018-10-21,18:00 (09:00),Serie A,Matchweek 9,Sun,Away,D,1,1,Fiorentina,2,0,0,20,13,2,13,13,15,0,1,0,51,23,21,52.3,Match Report
