Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2018-08-12,18:00 (09:00),Coppa Italia,Third round,Sun,Home,W,1.0,0.0,Pescara,1,,,,,,,,0,0,,,,,,Match Report,2018-08-12,18:00 (09:00),Coppa Italia,Third round,Sun,Home,W,1.0,0.0,Pescara,,0,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2018-08-12,18:00 (09:00),Coppa Italia,Third round,Sun,Home,W,1.0,0.0,Pescara,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2018-08-12,18:00 (09:00),Coppa Italia,Third round,Sun,Home,W,1.0,0.0,Pescara,,,,,,,,,,,,,,,,Match Report,2018-08-12,18:00 (09:00),Coppa Italia,Third round,Sun,Home,W,1.0,0.0,Pescara,,,,,,,,,,,,,,,Match Report,2018-08-12,18:00 (09:00),Coppa Italia,Third round,Sun,Home,W,1.0,0.0,Pescara,,,,,,,,,,,,,,0,,,Match Report,2018-08-12,18:00 (09:00),Coppa Italia,Third round,Sun,Home,W,1.0,0.0,Pescara,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2018-08-12,18:00 (09:00),Coppa Italia,Third round,Sun,Home,W,1.0,0.0,Pescara,0,0,0,,,,,,,,,0,,,,,Match Report
2018-08-18,18:00 (09:00),Serie A,Matchweek 1,Sat,Home,L,2.0,3.0,Juventus,2,5.0,1.0,20.0,0.2,1.0,27.8,0.0,1,1,1.1,0.3,0.07,0.9,0.7,Match Report,2018-08-18,18:00 (09:00),Serie A,Matchweek 1,Sat,Home,L,2.0,3.0,Juventus,10.0,3,8.0,70.0,0,1.7,-0.3,0,0,0,0,8.0,20.0,40.0,18.0,1.0,72.2,44.2,11.0,63.6,44.3,26.0,0.0,0.0,0.0,,Match Report,2018-08-18,18:00 (09:00),Serie A,Matchweek 1,Sat,Home,L,2.0,3.0,Juventus,214.0,284.0,75.4,4179.0,1885.0,92.0,101.0,91.1,82.0,99.0,82.8,34.0,68.0,50.0,1,0.3,0.2,5.0,18.0,3.0,2.0,22.0,Match Report,2018-08-18,18:00 (09:00),Serie A,Matchweek 1,Sat,Home,L,2.0,3.0,Juventus,284.0,245.0,38.0,11.0,0.0,3.0,9.0,12.0,0.0,0.0,0.0,0.0,214.0,1.0,5.0,Match Report,2018-08-18,18:00 (09:00),Serie A,Matchweek 1,Sat,Home,L,2.0,3.0,Juventus,12.0,10.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,Match Report,2018-08-18,18:00 (09:00),Serie A,Matchweek 1,Sat,Home,L,2.0,3.0,Juventus,23.0,13.0,15.0,8.0,0.0,9.0,20.0,45.0,11.0,8.0,4.0,4.0,11.0,34,48.0,0.0,Match Report,2018-08-18,18:00 (09:00),Serie A,Matchweek 1,Sat,Home,L,2.0,3.0,Juventus,28.0,414.0,74.0,202.0,156.0,60.0,6.0,413.0,9.0,5.0,55.6,4.0,44.4,163.0,819.0,426.0,8.0,3.0,2.0,20.0,7.0,211.0,21.0,Match Report,2018-08-18,18:00 (09:00),Serie A,Matchweek 1,Sat,Home,L,2.0,3.0,Juventus,2,0,0,8.0,9.0,1.0,9.0,11.0,13.0,1.0,0.0,1,45.0,11.0,19.0,36.7,Match Report
2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Away,L,1.0,6.0,Fiorentina,1,8.0,3.0,37.5,0.13,0.33,17.2,0.0,0,0,0.7,0.7,0.09,0.3,0.3,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Away,L,1.0,6.0,Fiorentina,11.0,6,5.0,45.5,0,3.8,-2.2,0,0,0,0,6.0,12.0,50.0,18.0,3.0,50.0,35.3,5.0,60.0,47.0,6.0,0.0,0.0,2.0,19.7,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Away,L,1.0,6.0,Fiorentina,480.0,600.0,80.0,8498.0,2881.0,226.0,253.0,89.3,194.0,228.0,85.1,51.0,89.0,57.3,1,0.6,0.6,6.0,28.0,4.0,1.0,49.0,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Away,L,1.0,6.0,Fiorentina,600.0,533.0,62.0,16.0,0.0,10.0,17.0,31.0,3.0,2.0,0.0,0.0,480.0,5.0,15.0,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Away,L,1.0,6.0,Fiorentina,16.0,13.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Away,L,1.0,6.0,Fiorentina,14.0,10.0,3.0,9.0,2.0,5.0,10.0,50.0,5.0,7.0,5.0,2.0,8.0,22,13.0,1.0,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Away,L,1.0,6.0,Fiorentina,54.0,678.0,43.0,165.0,393.0,122.0,13.0,678.0,9.0,5.0,55.6,4.0,44.4,397.0,1954.0,895.0,19.0,9.0,2.0,16.0,11.0,479.0,49.0,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Away,L,1.0,6.0,Fiorentina,3,0,0,9.0,14.0,5.0,17.0,8.0,10.0,0.0,0.0,0,54.0,6.0,19.0,24.0,Match Report
2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,D,0.0,0.0,Empoli,0,9.0,3.0,33.3,0.0,0.0,17.9,1.0,0,0,1.1,1.1,0.12,-1.1,-1.1,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,D,0.0,0.0,Empoli,2.0,0,2.0,100.0,1,0.8,0.8,0,0,0,0,6.0,17.0,35.3,20.0,7.0,45.0,39.5,13.0,61.5,40.1,22.0,1.0,4.5,0.0,6.0,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,D,0.0,0.0,Empoli,287.0,404.0,71.0,5177.0,2427.0,132.0,159.0,83.0,113.0,150.0,75.3,36.0,76.0,47.4,0,1.1,0.7,8.0,20.0,6.0,1.0,26.0,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,D,0.0,0.0,Empoli,404.0,344.0,57.0,12.0,0.0,2.0,17.0,27.0,4.0,3.0,1.0,0.0,287.0,3.0,10.0,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,D,0.0,0.0,Empoli,14.0,8.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,D,0.0,0.0,Empoli,18.0,11.0,10.0,7.0,1.0,8.0,15.0,53.3,7.0,15.0,1.0,14.0,12.0,30,25.0,0.0,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,D,0.0,0.0,Empoli,35.0,516.0,62.0,200.0,227.0,93.0,8.0,516.0,5.0,1.0,20.0,4.0,80.0,267.0,1110.0,544.0,12.0,3.0,0.0,15.0,4.0,285.0,26.0,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,D,0.0,0.0,Empoli,1,0,0,10.0,10.0,3.0,17.0,12.0,11.0,0.0,0.0,0,36.0,20.0,13.0,60.6,Match Report
2018-09-16,12:30 (03:30),Serie A,Matchweek 4,Sun,Away,D,2.0,2.0,Roma,2,13.0,5.0,38.5,0.15,0.4,22.0,0.0,0,0,1.6,1.6,0.12,0.4,0.4,Match Report,2018-09-16,12:30 (03:30),Serie A,Matchweek 4,Sun,Away,D,2.0,2.0,Roma,9.0,2,7.0,77.8,0,2.5,0.5,0,0,0,0,2.0,9.0,22.2,16.0,3.0,43.8,41.8,11.0,18.2,34.5,18.0,0.0,0.0,0.0,4.0,Match Report,2018-09-16,12:30 (03:30),Serie A,Matchweek 4,Sun,Away,D,2.0,2.0,Roma,456.0,532.0,85.7,7310.0,2781.0,239.0,255.0,93.7,177.0,197.0,89.8,31.0,62.0,50.0,1,1.5,0.9,12.0,22.0,5.0,2.0,31.0,Match Report,2018-09-16,12:30 (03:30),Serie A,Matchweek 4,Sun,Away,D,2.0,2.0,Roma,532.0,483.0,47.0,13.0,1.0,2.0,19.0,18.0,2.0,2.0,0.0,0.0,456.0,2.0,6.0,Match Report,2018-09-16,12:30 (03:30),Serie A,Matchweek 4,Sun,Away,D,2.0,2.0,Roma,24.0,20.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,Match Report,2018-09-16,12:30 (03:30),Serie A,Matchweek 4,Sun,Away,D,2.0,2.0,Roma,15.0,10.0,9.0,4.0,2.0,11.0,19.0,57.9,8.0,6.0,1.0,5.0,16.0,31,29.0,0.0,Match Report,2018-09-16,12:30 (03:30),Serie A,Matchweek 4,Sun,Away,D,2.0,2.0,Roma,44.0,628.0,78.0,239.0,285.0,105.0,12.0,628.0,8.0,4.0,50.0,4.0,50.0,374.0,1809.0,919.0,18.0,16.0,2.0,10.0,5.0,453.0,30.0,Match Report,2018-09-16,12:30 (03:30),Serie A,Matchweek 4,Sun,Away,D,2.0,2.0,Roma,1,0,0,15.0,10.0,2.0,19.0,16.0,10.0,0.0,0.0,0,36.0,5.0,13.0,27.8,Match Report
2018-09-23,15:00 (06:00),Serie A,Matchweek 5,Sun,Home,L,0.0,2.0,Udinese,0,14.0,5.0,35.7,0.0,0.0,17.1,3.0,0,0,1.5,1.5,0.1,-1.5,-1.5,Match Report,2018-09-23,15:00 (06:00),Serie A,Matchweek 5,Sun,Home,L,0.0,2.0,Udinese,5.0,2,3.0,60.0,0,1.2,-0.8,0,0,0,0,5.0,7.0,71.4,16.0,3.0,18.8,28.4,9.0,44.4,34.9,5.0,0.0,0.0,0.0,,Match Report,2018-09-23,15:00 (06:00),Serie A,Matchweek 5,Sun,Home,L,0.0,2.0,Udinese,451.0,544.0,82.9,8356.0,3172.0,183.0,197.0,92.9,195.0,225.0,86.7,58.0,91.0,63.7,0,1.2,1.3,10.0,46.0,10.0,4.0,46.0,Match Report,2018-09-23,15:00 (06:00),Serie A,Matchweek 5,Sun,Home,L,0.0,2.0,Udinese,544.0,496.0,48.0,11.0,0.0,7.0,19.0,18.0,7.0,6.0,1.0,0.0,451.0,0.0,11.0,Match Report,2018-09-23,15:00 (06:00),Serie A,Matchweek 5,Sun,Home,L,0.0,2.0,Udinese,27.0,20.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-09-23,15:00 (06:00),Serie A,Matchweek 5,Sun,Home,L,0.0,2.0,Udinese,12.0,8.0,6.0,4.0,2.0,4.0,22.0,18.2,18.0,8.0,2.0,6.0,9.0,21,16.0,1.0,Match Report,2018-09-23,15:00 (06:00),Serie A,Matchweek 5,Sun,Home,L,0.0,2.0,Udinese,59.0,638.0,39.0,159.0,367.0,117.0,23.0,638.0,5.0,3.0,60.0,2.0,40.0,332.0,1423.0,744.0,13.0,9.0,3.0,18.0,9.0,450.0,46.0,Match Report,2018-09-23,15:00 (06:00),Serie A,Matchweek 5,Sun,Home,L,0.0,2.0,Udinese,1,0,0,18.0,10.0,0.0,19.0,9.0,8.0,0.0,0.0,0,46.0,16.0,19.0,45.7,Match Report
2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Away,L,0.0,2.0,Genoa,0,9.0,1.0,11.1,0.0,0.0,15.1,0.0,0,0,1.2,1.2,0.14,-1.2,-1.2,Match Report,2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Away,L,0.0,2.0,Genoa,4.0,2,2.0,50.0,0,1.5,-0.5,0,0,0,0,3.0,9.0,33.3,17.0,4.0,29.4,32.8,7.0,57.1,35.1,20.0,0.0,0.0,0.0,16.0,Match Report,2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Away,L,0.0,2.0,Genoa,421.0,541.0,77.8,7464.0,2822.0,182.0,207.0,87.9,173.0,224.0,77.2,47.0,74.0,63.5,0,1.2,1.0,7.0,41.0,10.0,4.0,46.0,Match Report,2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Away,L,0.0,2.0,Genoa,541.0,484.0,55.0,13.0,0.0,6.0,28.0,28.0,4.0,2.0,0.0,0.0,421.0,2.0,12.0,Match Report,2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Away,L,0.0,2.0,Genoa,16.0,12.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Away,L,0.0,2.0,Genoa,16.0,6.0,10.0,5.0,1.0,8.0,16.0,50.0,8.0,14.0,5.0,9.0,10.0,26,35.0,1.0,Match Report,2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Away,L,0.0,2.0,Genoa,51.0,664.0,64.0,197.0,302.0,168.0,19.0,664.0,7.0,6.0,85.7,1.0,14.3,263.0,1388.0,718.0,13.0,8.0,2.0,15.0,10.0,418.0,45.0,Match Report,2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Away,L,0.0,2.0,Genoa,4,0,0,17.0,12.0,2.0,28.0,10.0,6.0,0.0,0.0,0,57.0,13.0,21.0,38.2,Match Report
2018-09-30,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,L,0.0,1.0,Torino,0,9.0,1.0,11.1,0.0,0.0,24.0,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report,2018-09-30,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,L,0.0,1.0,Torino,5.0,1,4.0,80.0,0,0.9,-0.1,0,0,0,0,11.0,30.0,36.7,23.0,2.0,73.9,41.9,15.0,86.7,47.5,15.0,0.0,0.0,0.0,4.0,Match Report,2018-09-30,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,L,0.0,1.0,Torino,230.0,355.0,64.8,4419.0,2252.0,101.0,128.0,78.9,74.0,102.0,72.5,43.0,89.0,48.3,0,0.2,0.3,6.0,20.0,4.0,1.0,22.0,Match Report,2018-09-30,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,L,0.0,1.0,Torino,355.0,287.0,66.0,17.0,0.0,6.0,13.0,29.0,3.0,2.0,0.0,0.0,230.0,2.0,16.0,Match Report,2018-09-30,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,L,0.0,1.0,Torino,17.0,13.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-09-30,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,L,0.0,1.0,Torino,25.0,19.0,9.0,12.0,4.0,8.0,13.0,61.5,5.0,14.0,7.0,7.0,7.0,32,23.0,0.0,Match Report,2018-09-30,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,L,0.0,1.0,Torino,37.0,463.0,64.0,159.0,211.0,96.0,8.0,463.0,7.0,2.0,28.6,5.0,71.4,187.0,1019.0,473.0,12.0,9.0,2.0,15.0,18.0,227.0,22.0,Match Report,2018-09-30,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,L,0.0,1.0,Torino,3,0,0,15.0,16.0,2.0,13.0,7.0,19.0,0.0,0.0,0,55.0,18.0,28.0,39.1,Match Report
2018-10-07,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,L,1.0,3.0,Milan,1,13.0,1.0,7.7,0.08,1.0,22.8,0.0,0,0,0.5,0.5,0.04,0.5,0.5,Match Report,2018-10-07,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,L,1.0,3.0,Milan,6.0,3,3.0,50.0,0,2.7,-0.3,0,0,0,0,8.0,11.0,72.7,11.0,0.0,45.5,32.2,7.0,85.7,50.9,18.0,1.0,5.6,0.0,4.3,Match Report,2018-10-07,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,L,1.0,3.0,Milan,298.0,375.0,79.5,5709.0,2250.0,129.0,147.0,87.8,123.0,145.0,84.8,42.0,74.0,56.8,1,0.4,0.4,8.0,27.0,6.0,3.0,31.0,Match Report,2018-10-07,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,L,1.0,3.0,Milan,375.0,331.0,44.0,12.0,0.0,0.0,24.0,14.0,7.0,0.0,7.0,0.0,298.0,0.0,4.0,Match Report,2018-10-07,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,L,1.0,3.0,Milan,18.0,13.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-10-07,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,L,1.0,3.0,Milan,10.0,7.0,9.0,1.0,0.0,2.0,6.0,33.3,4.0,12.0,5.0,7.0,14.0,24,22.0,0.0,Match Report,2018-10-07,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,L,1.0,3.0,Milan,32.0,471.0,52.0,138.0,230.0,109.0,13.0,471.0,8.0,4.0,50.0,4.0,50.0,299.0,1431.0,665.0,9.0,8.0,2.0,11.0,18.0,297.0,31.0,Match Report,2018-10-07,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,L,1.0,3.0,Milan,1,0,0,13.0,8.0,0.0,24.0,14.0,7.0,0.0,0.0,0,34.0,8.0,22.0,26.7,Match Report
2018-10-21,15:00 (06:00),Serie A,Matchweek 9,Sun,Home,L,1.0,5.0,Atalanta,1,2.0,0.0,0.0,0.0,,27.0,1.0,1,1,0.9,0.1,0.05,0.1,-0.1,Match Report,2018-10-21,15:00 (06:00),Serie A,Matchweek 9,Sun,Home,L,1.0,5.0,Atalanta,7.0,5,2.0,28.6,0,3.1,-1.9,0,0,0,0,7.0,15.0,46.7,30.0,4.0,30.0,33.3,9.0,66.7,40.6,6.0,0.0,0.0,0.0,,Match Report,2018-10-21,15:00 (06:00),Serie A,Matchweek 9,Sun,Home,L,1.0,5.0,Atalanta,345.0,447.0,77.2,6553.0,2592.0,143.0,167.0,85.6,146.0,176.0,83.0,49.0,76.0,64.5,0,0.1,0.1,1.0,15.0,4.0,1.0,29.0,Match Report,2018-10-21,15:00 (06:00),Serie A,Matchweek 9,Sun,Home,L,1.0,5.0,Atalanta,447.0,393.0,52.0,14.0,0.0,2.0,12.0,22.0,1.0,0.0,0.0,0.0,345.0,2.0,13.0,Match Report,2018-10-21,15:00 (06:00),Serie A,Matchweek 9,Sun,Home,L,1.0,5.0,Atalanta,5.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Match Report,2018-10-21,15:00 (06:00),Serie A,Matchweek 9,Sun,Home,L,1.0,5.0,Atalanta,18.0,11.0,10.0,7.0,1.0,12.0,20.0,60.0,8.0,9.0,2.0,7.0,13.0,31,13.0,1.0,Match Report,2018-10-21,15:00 (06:00),Serie A,Matchweek 9,Sun,Home,L,1.0,5.0,Atalanta,39.0,539.0,59.0,202.0,288.0,52.0,4.0,538.0,6.0,1.0,16.7,5.0,83.3,340.0,1359.0,609.0,8.0,4.0,0.0,20.0,8.0,342.0,29.0,Match Report,2018-10-21,15:00 (06:00),Serie A,Matchweek 9,Sun,Home,L,1.0,5.0,Atalanta,3,1,1,14.0,15.0,2.0,12.0,13.0,11.0,1.0,0.0,0,52.0,15.0,11.0,57.7,Match Report
