Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2018-08-12,20:30 (11:30),Coppa Italia,Third round,Sun,Home,L,0.0,2.0,Südtirol,0,,,,,,,,0,0,,,,,,Match Report,2018-08-12,20:30 (11:30),Coppa Italia,Third round,Sun,Home,L,0.0,2.0,Südtirol,,2,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2018-08-12,20:30 (11:30),Coppa Italia,Third round,Sun,Home,L,0.0,2.0,Südtirol,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2018-08-12,20:30 (11:30),Coppa Italia,Third round,Sun,Home,L,0.0,2.0,Südtirol,,,,,,,,,,,,,,,,Match Report,2018-08-12,20:30 (11:30),Coppa Italia,Third round,Sun,Home,L,0.0,2.0,Südtirol,,,,,,,,,,,,,,,Match Report,2018-08-12,20:30 (11:30),Coppa Italia,Third round,Sun,Home,L,0.0,2.0,Südtirol,,,,,,,,,,,,,,0,,,Match Report,2018-08-12,20:30 (11:30),Coppa Italia,Third round,Sun,Home,L,0.0,2.0,Südtirol,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2018-08-12,20:30 (11:30),Coppa Italia,Third round,Sun,Home,L,0.0,2.0,Südtirol,3,0,0,,,,,,,,,0,,,,,Match Report
2018-08-20,20:30 (11:30),Serie A,Matchweek 1,Mon,Away,L,0.0,4.0,Atalanta,0,6.0,0.0,0.0,0.0,,25.3,1.0,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report,2018-08-20,20:30 (11:30),Serie A,Matchweek 1,Mon,Away,L,0.0,4.0,Atalanta,9.0,4,5.0,55.6,0,2.8,-1.2,0,0,0,0,4.0,17.0,23.5,26.0,3.0,38.5,37.6,11.0,63.6,46.7,11.0,0.0,0.0,0.0,9.0,Match Report,2018-08-20,20:30 (11:30),Serie A,Matchweek 1,Mon,Away,L,0.0,4.0,Atalanta,345.0,452.0,76.3,6125.0,2368.0,161.0,174.0,92.5,134.0,160.0,83.8,38.0,82.0,46.3,0,0.1,0.2,3.0,28.0,4.0,0.0,34.0,Match Report,2018-08-20,20:30 (11:30),Serie A,Matchweek 1,Mon,Away,L,0.0,4.0,Atalanta,452.0,386.0,63.0,20.0,1.0,5.0,17.0,23.0,4.0,2.0,2.0,0.0,345.0,3.0,19.0,Match Report,2018-08-20,20:30 (11:30),Serie A,Matchweek 1,Mon,Away,L,0.0,4.0,Atalanta,9.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-08-20,20:30 (11:30),Serie A,Matchweek 1,Mon,Away,L,0.0,4.0,Atalanta,14.0,8.0,8.0,4.0,2.0,2.0,8.0,25.0,6.0,8.0,1.0,7.0,4.0,18,24.0,0.0,Match Report,2018-08-20,20:30 (11:30),Serie A,Matchweek 1,Mon,Away,L,0.0,4.0,Atalanta,43.0,541.0,65.0,219.0,243.0,85.0,6.0,541.0,11.0,6.0,54.5,5.0,45.5,287.0,1390.0,706.0,13.0,8.0,1.0,16.0,6.0,342.0,34.0,Match Report,2018-08-20,20:30 (11:30),Serie A,Matchweek 1,Mon,Away,L,0.0,4.0,Atalanta,2,0,0,11.0,14.0,3.0,17.0,4.0,8.0,0.0,0.0,0,49.0,13.0,15.0,46.4,Match Report
2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Home,D,0.0,0.0,Bologna,0,11.0,4.0,36.4,0.0,0.0,15.0,1.0,0,0,1.7,1.7,0.16,-1.7,-1.7,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Home,D,0.0,0.0,Bologna,3.0,0,3.0,100.0,1,0.6,0.6,0,0,0,0,3.0,16.0,18.8,30.0,7.0,30.0,31.5,14.0,50.0,41.6,15.0,1.0,6.7,0.0,7.8,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Home,D,0.0,0.0,Bologna,386.0,494.0,78.1,7460.0,2754.0,146.0,171.0,85.4,177.0,209.0,84.7,54.0,92.0,58.7,0,1.7,1.1,9.0,21.0,7.0,3.0,34.0,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Home,D,0.0,0.0,Bologna,494.0,440.0,54.0,9.0,1.0,7.0,11.0,28.0,2.0,2.0,0.0,0.0,386.0,0.0,8.0,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Home,D,0.0,0.0,Bologna,19.0,12.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Home,D,0.0,0.0,Bologna,13.0,6.0,5.0,7.0,1.0,4.0,7.0,57.1,3.0,11.0,8.0,3.0,10.0,23,33.0,0.0,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Home,D,0.0,0.0,Bologna,51.0,617.0,82.0,253.0,281.0,91.0,12.0,617.0,9.0,5.0,55.6,4.0,44.4,332.0,1644.0,961.0,18.0,13.0,2.0,15.0,16.0,383.0,33.0,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Home,D,0.0,0.0,Bologna,2,0,0,16.0,10.0,0.0,11.0,10.0,6.0,0.0,0.0,0,56.0,21.0,31.0,40.4,Match Report
2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Away,L,0.0,1.0,Lazio,0,9.0,2.0,22.2,0.0,0.0,18.9,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Away,L,0.0,1.0,Lazio,5.0,1,4.0,80.0,0,0.5,-0.5,0,0,0,0,4.0,22.0,18.2,24.0,3.0,54.2,43.0,10.0,90.0,58.8,21.0,0.0,0.0,1.0,12.0,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Away,L,0.0,1.0,Lazio,276.0,391.0,70.6,4949.0,1974.0,124.0,137.0,90.5,112.0,145.0,77.2,33.0,79.0,41.8,0,0.5,0.3,9.0,18.0,0.0,0.0,27.0,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Away,L,0.0,1.0,Lazio,391.0,332.0,59.0,15.0,0.0,3.0,14.0,25.0,7.0,2.0,4.0,0.0,276.0,0.0,13.0,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Away,L,0.0,1.0,Lazio,14.0,8.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Away,L,0.0,1.0,Lazio,17.0,11.0,11.0,5.0,1.0,7.0,15.0,46.7,8.0,12.0,6.0,6.0,10.0,27,38.0,0.0,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Away,L,0.0,1.0,Lazio,36.0,505.0,78.0,203.0,222.0,87.0,9.0,505.0,11.0,5.0,45.5,6.0,54.5,280.0,1572.0,806.0,13.0,7.0,4.0,8.0,14.0,276.0,27.0,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Away,L,0.0,1.0,Lazio,2,0,0,8.0,11.0,0.0,14.0,10.0,11.0,0.0,0.0,0,52.0,11.0,14.0,44.0,Match Report
2018-09-15,20:30 (11:30),Serie A,Matchweek 4,Sat,Home,L,0.0,5.0,Sampdoria,0,9.0,3.0,33.3,0.0,0.0,18.5,0.0,0,0,0.7,0.7,0.08,-0.7,-0.7,Match Report,2018-09-15,20:30 (11:30),Serie A,Matchweek 4,Sat,Home,L,0.0,5.0,Sampdoria,7.0,5,2.0,42.9,0,3.1,-1.9,1,1,0,0,5.0,10.0,50.0,27.0,7.0,33.3,32.7,10.0,10.0,27.4,6.0,0.0,0.0,0.0,16.0,Match Report,2018-09-15,20:30 (11:30),Serie A,Matchweek 4,Sat,Home,L,0.0,5.0,Sampdoria,331.0,421.0,78.6,6458.0,2229.0,126.0,143.0,88.1,156.0,179.0,87.2,44.0,78.0,56.4,0,0.5,0.5,4.0,17.0,5.0,1.0,26.0,Match Report,2018-09-15,20:30 (11:30),Serie A,Matchweek 4,Sat,Home,L,0.0,5.0,Sampdoria,421.0,355.0,62.0,20.0,1.0,7.0,21.0,21.0,5.0,1.0,1.0,1.0,331.0,4.0,14.0,Match Report,2018-09-15,20:30 (11:30),Serie A,Matchweek 4,Sat,Home,L,0.0,5.0,Sampdoria,17.0,10.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-09-15,20:30 (11:30),Serie A,Matchweek 4,Sat,Home,L,0.0,5.0,Sampdoria,16.0,10.0,2.0,11.0,3.0,3.0,8.0,37.5,5.0,9.0,0.0,9.0,9.0,25,7.0,0.0,Match Report,2018-09-15,20:30 (11:30),Serie A,Matchweek 4,Sat,Home,L,0.0,5.0,Sampdoria,39.0,491.0,54.0,185.0,213.0,99.0,13.0,491.0,14.0,4.0,28.6,10.0,71.4,294.0,1539.0,668.0,11.0,8.0,2.0,6.0,12.0,329.0,26.0,Match Report,2018-09-15,20:30 (11:30),Serie A,Matchweek 4,Sat,Home,L,0.0,5.0,Sampdoria,3,0,0,13.0,16.0,4.0,21.0,9.0,10.0,0.0,1.0,0,33.0,3.0,6.0,33.3,Match Report
2018-09-23,20:30 (11:30),Serie A,Matchweek 5,Sun,Home,L,0.0,2.0,Juventus,0,3.0,0.0,0.0,0.0,,26.4,1.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Match Report,2018-09-23,20:30 (11:30),Serie A,Matchweek 5,Sun,Home,L,0.0,2.0,Juventus,7.0,2,5.0,71.4,0,2.1,0.1,0,0,0,0,8.0,26.0,30.8,20.0,7.0,55.0,43.0,15.0,100.0,62.1,27.0,0.0,0.0,0.0,1.5,Match Report,2018-09-23,20:30 (11:30),Serie A,Matchweek 5,Sun,Home,L,0.0,2.0,Juventus,195.0,270.0,72.2,3961.0,1526.0,86.0,102.0,84.3,70.0,90.0,77.8,37.0,69.0,53.6,0,0.1,0.1,2.0,13.0,2.0,1.0,23.0,Match Report,2018-09-23,20:30 (11:30),Serie A,Matchweek 5,Sun,Home,L,0.0,2.0,Juventus,270.0,221.0,48.0,9.0,1.0,8.0,15.0,18.0,3.0,2.0,1.0,0.0,195.0,1.0,5.0,Match Report,2018-09-23,20:30 (11:30),Serie A,Matchweek 5,Sun,Home,L,0.0,2.0,Juventus,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-09-23,20:30 (11:30),Serie A,Matchweek 5,Sun,Home,L,0.0,2.0,Juventus,15.0,8.0,11.0,4.0,0.0,6.0,16.0,37.5,10.0,16.0,12.0,4.0,6.0,21,50.0,1.0,Match Report,2018-09-23,20:30 (11:30),Serie A,Matchweek 5,Sun,Home,L,0.0,2.0,Juventus,28.0,391.0,96.0,178.0,162.0,55.0,4.0,391.0,6.0,2.0,33.3,4.0,66.7,171.0,891.0,454.0,4.0,12.0,1.0,5.0,11.0,193.0,23.0,Match Report,2018-09-23,20:30 (11:30),Serie A,Matchweek 5,Sun,Home,L,0.0,2.0,Juventus,3,0,0,16.0,9.0,1.0,15.0,6.0,8.0,0.0,0.0,0,25.0,12.0,14.0,46.2,Match Report
2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Away,L,0.0,4.0,Roma,0,11.0,1.0,9.1,0.0,0.0,17.7,1.0,0,0,0.6,0.6,0.06,-0.6,-0.6,Match Report,2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Away,L,0.0,4.0,Roma,10.0,4,6.0,60.0,0,4.2,0.2,0,0,0,0,5.0,14.0,35.7,22.0,2.0,45.5,34.1,5.0,80.0,51.4,8.0,0.0,0.0,0.0,9.0,Match Report,2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Away,L,0.0,4.0,Roma,309.0,404.0,76.5,5052.0,1925.0,165.0,188.0,87.8,108.0,129.0,83.7,26.0,60.0,43.3,0,0.5,0.4,8.0,12.0,4.0,2.0,22.0,Match Report,2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Away,L,0.0,4.0,Roma,404.0,363.0,41.0,13.0,3.0,3.0,21.0,15.0,3.0,2.0,1.0,0.0,309.0,0.0,10.0,Match Report,2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Away,L,0.0,4.0,Roma,17.0,8.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Away,L,0.0,4.0,Roma,10.0,8.0,6.0,4.0,0.0,2.0,10.0,20.0,8.0,9.0,4.0,5.0,8.0,18,16.0,1.0,Match Report,2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Away,L,0.0,4.0,Roma,33.0,469.0,48.0,167.0,231.0,76.0,8.0,469.0,6.0,4.0,66.7,2.0,33.3,290.0,1455.0,850.0,10.0,9.0,0.0,11.0,2.0,304.0,20.0,Match Report,2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Away,L,0.0,4.0,Roma,1,0,0,9.0,13.0,0.0,21.0,8.0,8.0,0.0,0.0,0,45.0,11.0,10.0,52.4,Match Report
2018-09-30,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,L,1.0,2.0,Genoa,1,16.0,3.0,18.8,0.0,0.0,22.2,1.0,1,1,1.6,0.9,0.05,-0.6,-0.9,Match Report,2018-09-30,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,L,1.0,2.0,Genoa,4.0,2,2.0,50.0,0,0.7,-1.3,0,0,0,0,5.0,12.0,41.7,20.0,7.0,40.0,36.0,5.0,80.0,56.0,6.0,0.0,0.0,1.0,24.0,Match Report,2018-09-30,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,L,1.0,2.0,Genoa,354.0,463.0,76.5,7306.0,2787.0,118.0,140.0,84.3,162.0,197.0,82.2,64.0,101.0,63.4,0,0.7,0.5,11.0,27.0,8.0,4.0,48.0,Match Report,2018-09-30,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,L,1.0,2.0,Genoa,463.0,410.0,52.0,19.0,0.0,10.0,25.0,20.0,5.0,4.0,1.0,0.0,354.0,1.0,8.0,Match Report,2018-09-30,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,L,1.0,2.0,Genoa,32.0,22.0,3.0,0.0,0.0,7.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,Match Report,2018-09-30,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,L,1.0,2.0,Genoa,9.0,7.0,5.0,4.0,0.0,2.0,11.0,18.2,9.0,9.0,2.0,7.0,9.0,18,11.0,1.0,Match Report,2018-09-30,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,L,1.0,2.0,Genoa,50.0,544.0,40.0,134.0,292.0,124.0,14.0,543.0,5.0,2.0,40.0,3.0,60.0,291.0,1440.0,786.0,12.0,18.0,0.0,13.0,18.0,351.0,47.0,Match Report,2018-09-30,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,L,1.0,2.0,Genoa,3,0,0,21.0,20.0,1.0,25.0,9.0,7.0,1.0,0.0,0,44.0,20.0,20.0,50.0,Match Report
2018-10-05,20:30 (11:30),Serie A,Matchweek 8,Fri,Away,L,2.0,3.0,Torino,2,12.0,5.0,41.7,0.17,0.4,13.8,0.0,0,0,2.0,2.0,0.18,0.0,0.0,Match Report,2018-10-05,20:30 (11:30),Serie A,Matchweek 8,Fri,Away,L,2.0,3.0,Torino,9.0,3,6.0,66.7,0,3.4,0.4,0,0,0,0,10.0,19.0,52.6,20.0,6.0,55.0,43.1,9.0,88.9,58.2,9.0,1.0,11.1,0.0,12.7,Match Report,2018-10-05,20:30 (11:30),Serie A,Matchweek 8,Fri,Away,L,2.0,3.0,Torino,237.0,346.0,68.5,4312.0,2144.0,123.0,148.0,83.1,75.0,105.0,71.4,32.0,64.0,50.0,2,1.9,0.7,10.0,15.0,4.0,2.0,26.0,Match Report,2018-10-05,20:30 (11:30),Serie A,Matchweek 8,Fri,Away,L,2.0,3.0,Torino,346.0,280.0,65.0,18.0,0.0,3.0,21.0,30.0,4.0,2.0,2.0,0.0,237.0,1.0,11.0,Match Report,2018-10-05,20:30 (11:30),Serie A,Matchweek 8,Fri,Away,L,2.0,3.0,Torino,21.0,14.0,4.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,Match Report,2018-10-05,20:30 (11:30),Serie A,Matchweek 8,Fri,Away,L,2.0,3.0,Torino,13.0,9.0,2.0,7.0,4.0,3.0,13.0,23.1,10.0,15.0,2.0,13.0,5.0,18,10.0,0.0,Match Report,2018-10-05,20:30 (11:30),Serie A,Matchweek 8,Fri,Away,L,2.0,3.0,Torino,39.0,451.0,39.0,127.0,222.0,108.0,12.0,451.0,11.0,7.0,63.6,4.0,36.4,192.0,987.0,525.0,13.0,11.0,2.0,20.0,12.0,237.0,26.0,Match Report,2018-10-05,20:30 (11:30),Serie A,Matchweek 8,Fri,Away,L,2.0,3.0,Torino,3,0,0,18.0,15.0,1.0,21.0,5.0,9.0,0.0,0.0,0,53.0,20.0,21.0,48.8,Match Report
2018-10-21,12:30 (03:30),Serie A,Matchweek 9,Sun,Home,D,3.0,3.0,Empoli,2,6.0,3.0,50.0,0.17,0.33,20.4,0.0,1,1,1.1,0.3,0.05,0.9,0.7,Match Report,2018-10-21,12:30 (03:30),Serie A,Matchweek 9,Sun,Home,D,3.0,3.0,Empoli,10.0,3,7.0,70.0,0,2.8,-0.2,0,0,0,0,6.0,18.0,33.3,27.0,8.0,51.9,40.6,10.0,40.0,38.8,16.0,0.0,0.0,0.0,15.0,Match Report,2018-10-21,12:30 (03:30),Serie A,Matchweek 9,Sun,Home,D,3.0,3.0,Empoli,243.0,336.0,72.3,4630.0,2090.0,105.0,124.0,84.7,108.0,131.0,82.4,29.0,68.0,42.6,1,0.2,0.3,4.0,20.0,4.0,0.0,30.0,Match Report,2018-10-21,12:30 (03:30),Serie A,Matchweek 9,Sun,Home,D,3.0,3.0,Empoli,336.0,288.0,47.0,19.0,1.0,7.0,20.0,8.0,6.0,3.0,2.0,0.0,243.0,1.0,10.0,Match Report,2018-10-21,12:30 (03:30),Serie A,Matchweek 9,Sun,Home,D,3.0,3.0,Empoli,13.0,9.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,Match Report,2018-10-21,12:30 (03:30),Serie A,Matchweek 9,Sun,Home,D,3.0,3.0,Empoli,15.0,8.0,7.0,5.0,3.0,2.0,17.0,11.8,15.0,11.0,5.0,6.0,10.0,25,32.0,0.0,Match Report,2018-10-21,12:30 (03:30),Serie A,Matchweek 9,Sun,Home,D,3.0,3.0,Empoli,40.0,441.0,73.0,178.0,192.0,78.0,13.0,440.0,14.0,5.0,35.7,9.0,64.3,259.0,1563.0,865.0,15.0,8.0,3.0,8.0,6.0,241.0,30.0,Match Report,2018-10-21,12:30 (03:30),Serie A,Matchweek 9,Sun,Home,D,3.0,3.0,Empoli,2,0,0,15.0,17.0,1.0,20.0,10.0,8.0,1.0,0.0,0,39.0,10.0,26.0,27.8,Match Report
