Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2018-08-18,20:30 (11:30),Serie A,Matchweek 1,Sat,Home,L,1,2,Napoli,1,10,1,10.0,0.10,1.00,17.0,0,0,0,1.0,1.0,0.10,0.0,0.0,Match Report,2018-08-18,20:30 (11:30),Serie A,Matchweek 1,Sat,Home,L,1,2,Napoli,3,2,1,33.3,0,1.7,-0.3,0,0,0,0,5,16,31.3,31,3,48.4,31.8,7,14.3,29.0,13,0,0.0,3,20.5,Match Report,2018-08-18,20:30 (11:30),Serie A,Matchweek 1,Sat,Home,L,1,2,Napoli,337,430,78.4,5605,2328,162,182,89.0,103,118,87.3,42,81,51.9,1,0.7,0.6,8,25,4,1,37,Match Report,2018-08-18,20:30 (11:30),Serie A,Matchweek 1,Sat,Home,L,1,2,Napoli,430,394,32,7,2,8,9,11,4,3,0,0,337,4,9,Match Report,2018-08-18,20:30 (11:30),Serie A,Matchweek 1,Sat,Home,L,1,2,Napoli,16,14,2,0,0,0,0,2,2,0,0,0,0,0,Match Report,2018-08-18,20:30 (11:30),Serie A,Matchweek 1,Sat,Home,L,1,2,Napoli,18,13,5,10,3,8,12,66.7,4,13,2,11,14,32,24,0,Match Report,2018-08-18,20:30 (11:30),Serie A,Matchweek 1,Sat,Home,L,1,2,Napoli,35,546,60,165,264,126,20,546,17,8,47.1,9,52.9,324,1637,871,10,10,5,21,10,334,36,Match Report,2018-08-18,20:30 (11:30),Serie A,Matchweek 1,Sat,Home,L,1,2,Napoli,0,0,0,8,5,4,9,14,13,0,0,0,68,15,13,53.6,Match Report
2018-08-25,18:00 (09:00),Serie A,Matchweek 2,Sat,Away,L,0,2,Juventus,0,9,2,22.2,0.00,0.00,21.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report,2018-08-25,18:00 (09:00),Serie A,Matchweek 2,Sat,Away,L,0,2,Juventus,7,2,5,71.4,0,2.0,0.0,0,0,0,0,3,11,27.3,20,8,25.0,28.8,10,60.0,42.4,21,1,4.8,0,8.4,Match Report,2018-08-25,18:00 (09:00),Serie A,Matchweek 2,Sat,Away,L,0,2,Juventus,380,475,80.0,6313,1985,183,205,89.3,151,181,83.4,30,62,48.4,0,0.2,0.4,6,30,3,1,36,Match Report,2018-08-25,18:00 (09:00),Serie A,Matchweek 2,Sat,Away,L,0,2,Juventus,475,429,44,11,2,3,15,18,2,1,0,0,380,2,5,Match Report,2018-08-25,18:00 (09:00),Serie A,Matchweek 2,Sat,Away,L,0,2,Juventus,15,11,1,1,0,1,1,0,0,0,0,0,0,0,Match Report,2018-08-25,18:00 (09:00),Serie A,Matchweek 2,Sat,Away,L,0,2,Juventus,14,6,5,4,5,3,11,27.3,8,13,5,8,22,36,25,0,Match Report,2018-08-25,18:00 (09:00),Serie A,Matchweek 2,Sat,Away,L,0,2,Juventus,45,597,64,168,277,155,10,597,16,7,43.8,9,56.3,375,1687,854,19,21,4,15,11,380,36,Match Report,2018-08-25,18:00 (09:00),Serie A,Matchweek 2,Sat,Away,L,0,2,Juventus,2,0,0,14,10,2,15,22,6,0,0,0,56,14,12,53.8,Match Report
2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,W,1,0,Frosinone,1,23,5,21.7,0.04,0.20,17.9,0,0,0,2.6,2.6,0.12,-1.6,-1.6,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,W,1,0,Frosinone,2,0,2,100.0,1,0.3,+0.3,0,0,0,0,2,4,50.0,19,5,15.8,26.2,5,20.0,31.0,12,0,0.0,1,20.3,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,W,1,0,Frosinone,596,699,85.3,9738,2814,314,340,92.4,221,254,87.0,47,76,61.8,0,2.6,2.2,20,52,14,4,50,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,W,1,0,Frosinone,699,657,38,8,3,4,23,17,7,3,3,0,596,4,7,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,W,1,0,Frosinone,41,32,3,0,4,0,2,1,0,0,0,1,0,0,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,W,1,0,Frosinone,20,14,11,6,3,6,11,54.5,5,17,5,12,12,32,23,0,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,W,1,0,Frosinone,64,827,48,153,419,264,28,827,15,8,53.3,7,46.7,567,2801,1754,34,25,6,14,10,594,50,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,W,1,0,Frosinone,1,0,0,11,8,4,23,12,14,0,0,0,67,14,11,56.0,Match Report
2018-09-16,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,W,1,0,Empoli,1,21,3,14.3,0.05,0.33,15.6,1,0,0,2.4,2.4,0.12,-1.4,-1.4,Match Report,2018-09-16,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,W,1,0,Empoli,3,0,3,100.0,1,1.2,+1.2,0,0,0,0,5,17,29.4,24,4,58.3,39.7,8,37.5,38.3,14,0,0.0,1,22.7,Match Report,2018-09-16,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,W,1,0,Empoli,386,497,77.7,6984,2681,168,198,84.8,158,188,84.0,47,79,59.5,0,1.6,1.1,15,38,9,2,41,Match Report,2018-09-16,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,W,1,0,Empoli,497,452,43,14,0,7,15,13,7,2,3,0,386,2,13,Match Report,2018-09-16,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,W,1,0,Empoli,37,24,4,2,6,1,0,2,2,0,0,0,0,0,Match Report,2018-09-16,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,W,1,0,Empoli,15,7,8,6,1,2,7,28.6,5,11,3,8,15,30,18,0,Match Report,2018-09-16,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,W,1,0,Empoli,45,605,52,199,262,152,31,605,7,3,42.9,4,57.1,312,1878,1075,23,24,7,12,1,384,41,Match Report,2018-09-16,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,W,1,0,Empoli,3,0,0,11,12,2,15,15,7,0,0,0,62,21,10,67.7,Match Report
2018-09-20,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,2,1,cy Apollon,2,13,4,30.8,0.08,0.25,17.6,0,1,1,3.2,2.4,0.18,-1.2,-1.4,Match Report,2018-09-20,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,2,1,cy Apollon,4,1,3,75.0,0,0.8,-0.2,0,0,0,0,6,10,60.0,14,5,35.7,35.1,10,50.0,43.5,15,1,6.7,0,4.0,Match Report,2018-09-20,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,2,1,cy Apollon,522,607,86.0,8749,3190,247,269,91.8,197,216,91.2,56,83,67.5,1,2.1,1.0,9,45,10,1,53,Match Report,2018-09-20,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,2,1,cy Apollon,607,566,39,8,3,2,15,17,2,0,2,0,522,2,9,Match Report,2018-09-20,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,2,1,cy Apollon,19,15,1,1,1,1,0,3,2,0,0,0,1,0,Match Report,2018-09-20,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,2,1,cy Apollon,18,8,5,9,4,7,17,41.2,10,13,6,7,9,27,13,0,Match Report,2018-09-20,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,2,1,cy Apollon,51,695,47,126,400,172,21,694,9,5,55.6,4,44.4,331,1708,945,16,15,5,10,13,518,53,Match Report,2018-09-20,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,2,1,cy Apollon,3,0,0,12,8,2,15,9,8,1,0,0,48,7,7,50.0,Match Report
2018-09-23,15:00 (06:00),Serie A,Matchweek 5,Sun,Home,W,4,1,Genoa,4,20,7,35.0,0.20,0.57,14.8,1,0,0,2.9,2.9,0.15,+1.1,+1.1,Match Report,2018-09-23,15:00 (06:00),Serie A,Matchweek 5,Sun,Home,W,4,1,Genoa,4,1,3,75.0,0,1.1,+0.1,0,0,0,0,4,9,44.4,20,6,35.0,34.3,8,25.0,36.8,10,0,0.0,0,2.0,Match Report,2018-09-23,15:00 (06:00),Serie A,Matchweek 5,Sun,Home,W,4,1,Genoa,467,545,85.7,8900,2987,185,202,91.6,191,216,88.4,73,99,73.7,3,2.6,1.4,17,43,13,7,41,Match Report,2018-09-23,15:00 (06:00),Serie A,Matchweek 5,Sun,Home,W,4,1,Genoa,545,500,45,8,8,12,20,22,5,1,4,0,467,0,5,Match Report,2018-09-23,15:00 (06:00),Serie A,Matchweek 5,Sun,Home,W,4,1,Genoa,37,25,3,3,3,2,1,7,5,0,0,1,0,1,Match Report,2018-09-23,15:00 (06:00),Serie A,Matchweek 5,Sun,Home,W,4,1,Genoa,16,11,6,9,1,9,18,50.0,9,8,3,5,12,28,21,1,Match Report,2018-09-23,15:00 (06:00),Serie A,Matchweek 5,Sun,Home,W,4,1,Genoa,56,660,54,143,338,185,31,660,23,10,43.5,13,56.5,389,2260,1123,21,19,4,10,9,463,40,Match Report,2018-09-23,15:00 (06:00),Serie A,Matchweek 5,Sun,Home,W,4,1,Genoa,1,0,0,10,6,0,20,12,11,0,0,0,49,14,10,58.3,Match Report
2018-09-26,19:00 (10:00),Serie A,Matchweek 6,Wed,Away,W,2,1,Udinese,2,10,2,20.0,0.20,1.00,18.4,0,0,0,1.6,1.6,0.16,+0.4,+0.4,Match Report,2018-09-26,19:00 (10:00),Serie A,Matchweek 6,Wed,Away,W,2,1,Udinese,5,1,5,80.0,0,1.1,+1.1,0,0,0,0,6,15,40.0,20,1,50.0,36.1,8,62.5,44.1,18,1,5.6,2,15.3,Match Report,2018-09-26,19:00 (10:00),Serie A,Matchweek 6,Wed,Away,W,2,1,Udinese,395,485,81.4,6632,2076,179,199,89.9,147,172,85.5,40,71,56.3,1,1.0,0.4,7,23,5,2,35,Match Report,2018-09-26,19:00 (10:00),Serie A,Matchweek 6,Wed,Away,W,2,1,Udinese,485,444,40,10,0,1,11,16,4,0,4,0,395,1,5,Match Report,2018-09-26,19:00 (10:00),Serie A,Matchweek 6,Wed,Away,W,2,1,Udinese,17,14,1,2,0,0,0,4,2,1,1,0,0,0,Match Report,2018-09-26,19:00 (10:00),Serie A,Matchweek 6,Wed,Away,W,2,1,Udinese,10,7,3,4,3,5,12,41.7,7,12,1,11,9,19,29,0,Match Report,2018-09-26,19:00 (10:00),Serie A,Matchweek 6,Wed,Away,W,2,1,Udinese,49,591,47,134,334,130,11,591,15,5,33.3,10,66.7,372,2162,1227,18,14,1,10,6,393,35,Match Report,2018-09-26,19:00 (10:00),Serie A,Matchweek 6,Wed,Away,W,2,1,Udinese,6,0,0,18,9,1,11,9,7,0,0,1,51,12,9,57.1,Match Report
2018-09-29,15:00 (06:00),Serie A,Matchweek 7,Sat,Away,L,1,3,Roma,1,16,4,25.0,0.06,0.25,19.7,0,0,0,0.9,0.9,0.06,+0.1,+0.1,Match Report,2018-09-29,15:00 (06:00),Serie A,Matchweek 7,Sat,Away,L,1,3,Roma,7,3,4,57.1,0,2.5,-0.5,0,0,0,0,7,16,43.8,27,4,44.4,32.9,8,50.0,42.3,14,0,0.0,1,25.0,Match Report,2018-09-29,15:00 (06:00),Serie A,Matchweek 7,Sat,Away,L,1,3,Roma,372,479,77.7,6509,2465,168,185,90.8,149,180,82.8,39,74,52.7,0,0.6,0.8,12,31,8,1,52,Match Report,2018-09-29,15:00 (06:00),Serie A,Matchweek 7,Sat,Away,L,1,3,Roma,479,425,49,11,0,4,23,17,9,2,5,0,372,5,11,Match Report,2018-09-29,15:00 (06:00),Serie A,Matchweek 7,Sat,Away,L,1,3,Roma,28,23,2,0,3,0,0,0,0,0,0,0,0,0,Match Report,2018-09-29,15:00 (06:00),Serie A,Matchweek 7,Sat,Away,L,1,3,Roma,17,10,6,10,1,10,23,43.5,13,17,6,11,5,22,19,1,Match Report,2018-09-29,15:00 (06:00),Serie A,Matchweek 7,Sat,Away,L,1,3,Roma,55,578,67,178,271,132,28,578,4,3,75.0,1,25.0,392,2092,1122,21,21,10,15,10,371,52,Match Report,2018-09-29,15:00 (06:00),Serie A,Matchweek 7,Sat,Away,L,1,3,Roma,1,0,0,11,9,5,23,5,10,0,0,0,55,13,22,37.1,Match Report
2018-10-04,21:00 (12:00),Europa Lg,Group stage,Thu,Away,L,1,4,de Eint Frankfurt,1,8,5,62.5,0.13,0.20,18.7,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Match Report,2018-10-04,21:00 (12:00),Europa Lg,Group stage,Thu,Away,L,1,4,de Eint Frankfurt,7,4,3,42.9,0,3.7,-0.3,0,0,0,0,3,8,37.5,33,6,15.2,26.6,8,37.5,43.0,14,0,0.0,1,22.5,Match Report,2018-10-04,21:00 (12:00),Europa Lg,Group stage,Thu,Away,L,1,4,de Eint Frankfurt,415,528,78.6,7855,2966,187,224,83.5,143,170,84.1,70,101,69.3,0,0.6,0.6,7,27,4,1,34,Match Report,2018-10-04,21:00 (12:00),Europa Lg,Group stage,Thu,Away,L,1,4,de Eint Frankfurt,528,479,45,14,1,7,8,15,4,2,2,0,415,4,9,Match Report,2018-10-04,21:00 (12:00),Europa Lg,Group stage,Thu,Away,L,1,4,de Eint Frankfurt,12,10,1,0,1,0,0,2,2,0,0,0,0,0,Match Report,2018-10-04,21:00 (12:00),Europa Lg,Group stage,Thu,Away,L,1,4,de Eint Frankfurt,15,10,8,4,3,3,8,37.5,5,10,4,6,16,31,25,0,Match Report,2018-10-04,21:00 (12:00),Europa Lg,Group stage,Thu,Away,L,1,4,de Eint Frankfurt,54,641,74,223,326,98,14,641,14,6,42.9,8,57.1,277,1592,820,23,7,6,20,8,410,34,Match Report,2018-10-04,21:00 (12:00),Europa Lg,Group stage,Thu,Away,L,1,4,de Eint Frankfurt,3,2,1,9,13,4,8,16,10,0,0,0,57,12,12,50.0,Match Report
2018-10-07,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,1,0,Fiorentina,1,13,6,46.2,0.08,0.17,14.3,1,0,0,1.5,1.5,0.12,-0.5,-0.5,Match Report,2018-10-07,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,1,0,Fiorentina,5,0,5,100.0,1,0.5,+0.5,0,0,0,0,2,10,20.0,13,3,38.5,33.8,8,62.5,44.1,17,0,0.0,0,11.5,Match Report,2018-10-07,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,1,0,Fiorentina,272,371,73.3,4484,1918,133,153,86.9,94,126,74.6,28,57,49.1,1,0.7,0.5,9,21,5,4,26,Match Report,2018-10-07,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,1,0,Fiorentina,371,322,45,11,1,1,19,20,5,0,5,0,272,4,11,Match Report,2018-10-07,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,1,0,Fiorentina,23,13,4,1,1,4,0,1,0,0,0,1,0,0,Match Report,2018-10-07,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,1,0,Fiorentina,19,13,10,8,1,12,21,57.1,9,15,4,11,12,31,44,1,Match Report,2018-10-07,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,1,0,Fiorentina,40,518,61,200,233,90,14,518,12,7,58.3,5,41.7,244,1574,866,27,14,2,18,12,269,26,Match Report,2018-10-07,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,1,0,Fiorentina,5,0,0,18,9,4,19,12,13,0,0,0,68,15,21,41.7,Match Report
