Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2018-08-25,20:30 (11:30),Serie A,Matchweek 2,Sat,Away,L,2,3,Napoli,2,8,2,25.0,0.25,1.00,16.4,0,0,0,0.7,0.7,0.09,+1.3,+1.3,Match Report,2018-08-25,20:30 (11:30),Serie A,Matchweek 2,Sat,Away,L,2,3,Napoli,8,3,5,62.5,0,1.9,-1.1,0,0,0,0,2,5,40.0,47,11,8.5,23.0,10,10.0,27.0,14,0,0.0,1,14.3,Match Report,2018-08-25,20:30 (11:30),Serie A,Matchweek 2,Sat,Away,L,2,3,Napoli,549,632,86.9,9455,3283,245,260,94.2,234,260,90.0,56,85,65.9,2,0.7,0.9,7,23,6,1,30,Match Report,2018-08-25,20:30 (11:30),Serie A,Matchweek 2,Sat,Away,L,2,3,Napoli,632,577,53,14,1,4,10,24,1,1,0,0,549,2,8,Match Report,2018-08-25,20:30 (11:30),Serie A,Matchweek 2,Sat,Away,L,2,3,Napoli,16,14,1,1,0,0,0,4,4,0,0,0,0,0,Match Report,2018-08-25,20:30 (11:30),Serie A,Matchweek 2,Sat,Away,L,2,3,Napoli,12,9,8,4,0,4,17,23.5,13,12,7,5,9,21,28,0,Match Report,2018-08-25,20:30 (11:30),Serie A,Matchweek 2,Sat,Away,L,2,3,Napoli,50,731,108,345,312,79,15,731,18,12,66.7,6,33.3,415,2189,1092,17,5,3,13,14,545,30,Match Report,2018-08-25,20:30 (11:30),Serie A,Matchweek 2,Sat,Away,L,2,3,Napoli,2,0,0,11,11,2,10,9,9,0,0,0,48,4,8,33.3,Match Report
2018-08-31,20:30 (11:30),Serie A,Matchweek 3,Fri,Home,W,2,1,Roma,2,26,10,38.5,0.08,0.20,20.5,1,0,0,1.9,1.9,0.07,+0.1,+0.1,Match Report,2018-08-31,20:30 (11:30),Serie A,Matchweek 3,Fri,Home,W,2,1,Roma,2,1,1,50.0,0,0.5,-0.5,0,0,0,0,1,6,16.7,30,10,13.3,23.7,4,50.0,38.8,12,0,0.0,2,23.3,Match Report,2018-08-31,20:30 (11:30),Serie A,Matchweek 3,Fri,Home,W,2,1,Roma,508,592,85.8,7874,2560,276,289,95.5,179,205,87.3,35,64,54.7,2,1.7,1.3,20,36,10,1,40,Match Report,2018-08-31,20:30 (11:30),Serie A,Matchweek 3,Fri,Home,W,2,1,Roma,592,552,33,7,4,5,23,12,8,2,1,0,508,7,6,Match Report,2018-08-31,20:30 (11:30),Serie A,Matchweek 3,Fri,Home,W,2,1,Roma,42,27,5,2,4,2,2,4,4,0,0,0,0,0,Match Report,2018-08-31,20:30 (11:30),Serie A,Matchweek 3,Fri,Home,W,2,1,Roma,15,9,7,4,4,6,14,42.9,8,10,1,9,14,29,26,1,Match Report,2018-08-31,20:30 (11:30),Serie A,Matchweek 3,Fri,Home,W,2,1,Roma,51,699,72,228,269,210,25,699,15,10,66.7,5,33.3,406,2680,1579,29,21,6,5,8,507,39,Match Report,2018-08-31,20:30 (11:30),Serie A,Matchweek 3,Fri,Home,W,2,1,Roma,0,0,0,8,5,7,23,14,9,0,0,0,48,10,16,38.5,Match Report
2018-09-16,20:30 (11:30),Serie A,Matchweek 4,Sun,Away,D,1,1,Cagliari,1,21,6,28.6,0.05,0.17,15.5,0,0,0,2.1,2.1,0.10,-1.1,-1.1,Match Report,2018-09-16,20:30 (11:30),Serie A,Matchweek 4,Sun,Away,D,1,1,Cagliari,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,0,2,0.0,28,6,3.6,21.1,7,14.3,25.9,9,0,0.0,1,13.3,Match Report,2018-09-16,20:30 (11:30),Serie A,Matchweek 4,Sun,Away,D,1,1,Cagliari,613,709,86.5,10784,3353,285,307,92.8,261,289,90.3,59,90,65.6,1,1.9,1.3,17,57,16,6,62,Match Report,2018-09-16,20:30 (11:30),Serie A,Matchweek 4,Sun,Away,D,1,1,Cagliari,709,658,50,14,3,6,40,19,8,5,2,0,613,1,11,Match Report,2018-09-16,20:30 (11:30),Serie A,Matchweek 4,Sun,Away,D,1,1,Cagliari,38,30,1,4,3,0,0,1,0,0,1,0,0,0,Match Report,2018-09-16,20:30 (11:30),Serie A,Matchweek 4,Sun,Away,D,1,1,Cagliari,16,6,7,4,5,8,11,72.7,3,10,1,9,3,19,14,0,Match Report,2018-09-16,20:30 (11:30),Serie A,Matchweek 4,Sun,Away,D,1,1,Cagliari,64,800,62,185,364,255,32,800,11,7,63.6,4,36.4,493,2624,1595,29,23,8,12,8,610,62,Match Report,2018-09-16,20:30 (11:30),Serie A,Matchweek 4,Sun,Away,D,1,1,Cagliari,1,0,0,12,11,1,40,3,6,0,0,0,55,8,13,38.1,Match Report
2018-09-20,21:00 (12:00),Europa Lg,Group stage,Thu,Away,W,1,0,lu F91 Dudelange,1,18,5,27.8,0.06,0.20,15.8,1,0,0,2.5,2.5,0.14,-1.5,-1.5,Match Report,2018-09-20,21:00 (12:00),Europa Lg,Group stage,Thu,Away,W,1,0,lu F91 Dudelange,1,0,1,100.0,1,0.0,0.0,0,0,0,0,1,5,20.0,25,6,20.0,27.4,3,0.0,30.3,11,1,9.1,3,21.5,Match Report,2018-09-20,21:00 (12:00),Europa Lg,Group stage,Thu,Away,W,1,0,lu F91 Dudelange,514,604,85.1,8848,2828,217,234,92.7,226,253,89.3,47,77,61.0,1,2.3,1.7,14,41,14,3,50,Match Report,2018-09-20,21:00 (12:00),Europa Lg,Group stage,Thu,Away,W,1,0,lu F91 Dudelange,604,544,59,20,2,5,27,25,10,5,3,0,514,1,9,Match Report,2018-09-20,21:00 (12:00),Europa Lg,Group stage,Thu,Away,W,1,0,lu F91 Dudelange,32,27,3,0,1,1,0,2,2,0,0,0,0,0,Match Report,2018-09-20,21:00 (12:00),Europa Lg,Group stage,Thu,Away,W,1,0,lu F91 Dudelange,13,7,4,6,3,6,13,46.2,7,8,0,8,7,20,13,0,Match Report,2018-09-20,21:00 (12:00),Europa Lg,Group stage,Thu,Away,W,1,0,lu F91 Dudelange,58,693,34,147,342,212,33,693,9,3,33.3,6,66.7,496,2909,1482,25,20,10,19,9,511,50,Match Report,2018-09-20,21:00 (12:00),Europa Lg,Group stage,Thu,Away,W,1,0,lu F91 Dudelange,2,0,0,13,20,1,27,7,7,0,0,0,48,6,10,37.5,Match Report
2018-09-23,18:00 (09:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Atalanta,2,17,5,29.4,0.12,0.40,16.5,0,0,0,2.6,2.6,0.16,-0.6,-0.6,Match Report,2018-09-23,18:00 (09:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Atalanta,5,2,3,60.0,0,1.6,-0.4,0,0,0,0,10,20,50.0,44,2,31.8,30.7,12,50.0,37.5,16,1,6.3,0,9.5,Match Report,2018-09-23,18:00 (09:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Atalanta,493,594,83.0,8903,3134,226,246,91.9,198,227,87.2,57,92,62.0,2,2.6,1.9,17,30,12,6,49,Match Report,2018-09-23,18:00 (09:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Atalanta,594,545,44,7,1,7,19,18,4,1,0,0,493,5,10,Match Report,2018-09-23,18:00 (09:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Atalanta,34,29,2,1,0,2,0,4,3,0,1,0,0,0,Match Report,2018-09-23,18:00 (09:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Atalanta,21,11,15,5,1,10,18,55.6,8,8,4,4,13,34,16,0,Match Report,2018-09-23,18:00 (09:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Atalanta,56,686,86,228,324,140,17,686,10,6,60.0,4,40.0,399,2430,1322,23,13,2,8,12,486,49,Match Report,2018-09-23,18:00 (09:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Atalanta,2,0,0,7,5,5,19,13,11,0,0,0,44,10,11,47.6,Match Report
2018-09-27,21:00 (12:00),Serie A,Matchweek 6,Thu,Away,D,1,1,Empoli,0,24,10,41.7,0.00,0.00,18.0,0,0,0,1.4,1.4,0.06,-1.4,-1.4,Match Report,2018-09-27,21:00 (12:00),Serie A,Matchweek 6,Thu,Away,D,1,1,Empoli,3,1,2,100.0,0,1.9,+0.9,1,1,0,0,3,5,60.0,15,2,26.7,33.3,7,14.3,30.1,8,0,0.0,0,,Match Report,2018-09-27,21:00 (12:00),Serie A,Matchweek 6,Thu,Away,D,1,1,Empoli,464,562,82.6,8596,2986,196,217,90.3,194,222,87.4,60,93,64.5,0,0.8,0.9,17,38,8,2,41,Match Report,2018-09-27,21:00 (12:00),Serie A,Matchweek 6,Thu,Away,D,1,1,Empoli,562,497,65,18,0,14,30,28,10,5,3,0,464,0,10,Match Report,2018-09-27,21:00 (12:00),Serie A,Matchweek 6,Thu,Away,D,1,1,Empoli,39,30,4,1,4,0,0,0,0,0,0,0,0,0,Match Report,2018-09-27,21:00 (12:00),Serie A,Matchweek 6,Thu,Away,D,1,1,Empoli,26,17,15,8,3,14,20,70.0,6,11,0,11,8,34,15,0,Match Report,2018-09-27,21:00 (12:00),Serie A,Matchweek 6,Thu,Away,D,1,1,Empoli,53,686,39,164,317,213,37,686,10,10,100.0,0,0.0,368,2251,1115,23,18,6,23,21,459,40,Match Report,2018-09-27,21:00 (12:00),Serie A,Matchweek 6,Thu,Away,D,1,1,Empoli,2,0,0,9,12,0,30,8,17,0,1,0,54,11,12,47.8,Match Report
2018-09-30,20:30 (11:30),Serie A,Matchweek 7,Sun,Away,W,4,1,Sassuolo,4,12,7,58.3,0.33,0.57,19.2,1,0,0,1.2,1.2,0.10,+2.8,+2.8,Match Report,2018-09-30,20:30 (11:30),Serie A,Matchweek 7,Sun,Away,W,4,1,Sassuolo,2,1,1,50.0,0,0.7,-0.3,0,0,0,0,7,9,77.8,16,4,25.0,28.7,8,62.5,43.6,27,1,3.7,1,14.4,Match Report,2018-09-30,20:30 (11:30),Serie A,Matchweek 7,Sun,Away,W,4,1,Sassuolo,348,432,80.6,6233,2275,166,177,93.8,111,135,82.2,49,75,65.3,2,1.0,0.4,8,23,7,1,32,Match Report,2018-09-30,20:30 (11:30),Serie A,Matchweek 7,Sun,Away,W,4,1,Sassuolo,432,386,45,12,0,9,13,18,5,4,0,0,348,1,15,Match Report,2018-09-30,20:30 (11:30),Serie A,Matchweek 7,Sun,Away,W,4,1,Sassuolo,19,13,1,2,1,1,1,5,4,0,0,1,0,0,Match Report,2018-09-30,20:30 (11:30),Serie A,Matchweek 7,Sun,Away,W,4,1,Sassuolo,17,9,8,7,2,7,15,46.7,8,11,2,9,6,23,27,0,Match Report,2018-09-30,20:30 (11:30),Serie A,Matchweek 7,Sun,Away,W,4,1,Sassuolo,40,520,61,181,188,156,12,520,7,4,57.1,3,42.9,321,1602,863,17,16,5,8,10,346,32,Match Report,2018-09-30,20:30 (11:30),Serie A,Matchweek 7,Sun,Away,W,4,1,Sassuolo,1,0,0,13,12,1,13,6,9,0,0,0,48,6,10,37.5,Match Report
2018-10-04,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,3,1,gr Olympiacos,3,19,6,31.6,0.16,0.50,16.9,3,0,0,2.1,2.1,0.11,+0.9,+0.9,Match Report,2018-10-04,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,3,1,gr Olympiacos,3,1,2,66.7,0,0.3,-0.7,0,0,0,0,4,6,66.7,21,6,14.3,26.1,9,33.3,39.1,10,0,0.0,2,26.0,Match Report,2018-10-04,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,3,1,gr Olympiacos,484,579,83.6,8606,3091,188,210,89.5,223,250,89.2,47,78,60.3,3,1.8,1.2,15,36,13,5,54,Match Report,2018-10-04,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,3,1,gr Olympiacos,579,525,50,8,1,10,33,24,7,6,0,0,484,4,10,Match Report,2018-10-04,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,3,1,gr Olympiacos,35,26,3,2,1,3,0,6,5,0,1,0,0,0,Match Report,2018-10-04,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,3,1,gr Olympiacos,25,17,14,10,1,16,28,57.1,12,2,1,1,3,28,13,0,Match Report,2018-10-04,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,3,1,gr Olympiacos,52,665,40,166,317,189,33,665,15,6,40.0,9,60.0,492,2904,1550,28,20,8,11,8,483,54,Match Report,2018-10-04,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,3,1,gr Olympiacos,1,0,0,10,11,4,33,3,17,0,0,0,46,13,13,50.0,Match Report
2018-10-07,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,3,1,Chievo,3,20,6,30.0,0.15,0.50,17.0,0,0,0,2.7,2.7,0.13,+0.3,+0.3,Match Report,2018-10-07,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,3,1,Chievo,1,1,0,0.0,0,0.2,-0.8,0,0,0,0,2,5,40.0,35,6,11.4,27.4,5,20.0,29.6,20,0,0.0,0,12.0,Match Report,2018-10-07,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,3,1,Chievo,708,793,89.3,13076,3843,308,333,92.5,308,323,95.4,83,109,76.1,3,2.3,1.8,16,47,15,4,64,Match Report,2018-10-07,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,3,1,Chievo,793,741,49,13,6,12,21,17,12,3,0,1,708,3,10,Match Report,2018-10-07,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,3,1,Chievo,36,31,2,2,1,0,0,6,6,0,0,0,0,0,Match Report,2018-10-07,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,3,1,Chievo,22,11,13,9,0,4,8,50.0,4,11,7,4,8,30,23,0,Match Report,2018-10-07,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,3,1,Chievo,68,898,71,271,426,205,30,898,6,4,66.7,2,33.3,612,2964,1505,20,18,1,18,8,704,63,Match Report,2018-10-07,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,3,1,Chievo,1,0,0,9,13,3,21,8,11,0,0,0,42,22,8,73.3,Match Report
2018-10-21,20:30 (11:30),Serie A,Matchweek 9,Sun,Away,L,0,1,Inter,0,15,1,6.7,0.00,0.00,22.2,2,0,0,0.7,0.7,0.04,-0.7,-0.7,Match Report,2018-10-21,20:30 (11:30),Serie A,Matchweek 9,Sun,Away,L,0,1,Inter,4,1,3,75.0,0,1.0,0.0,0,0,0,0,4,6,66.7,21,5,9.5,26.2,11,36.4,32.9,34,1,2.9,1,12.3,Match Report,2018-10-21,20:30 (11:30),Serie A,Matchweek 9,Sun,Away,L,0,1,Inter,378,465,81.3,6411,2255,191,216,88.4,151,169,89.3,32,61,52.5,0,0.5,0.4,10,22,7,4,37,Match Report,2018-10-21,20:30 (11:30),Serie A,Matchweek 9,Sun,Away,L,0,1,Inter,465,425,39,12,0,7,21,10,4,3,0,0,378,1,9,Match Report,2018-10-21,20:30 (11:30),Serie A,Matchweek 9,Sun,Away,L,0,1,Inter,27,22,1,0,1,2,1,0,0,0,0,0,0,0,Match Report,2018-10-21,20:30 (11:30),Serie A,Matchweek 9,Sun,Away,L,0,1,Inter,19,13,12,4,3,8,16,50.0,8,14,4,10,13,32,35,0,Match Report,2018-10-21,20:30 (11:30),Serie A,Matchweek 9,Sun,Away,L,0,1,Inter,42,575,74,229,240,112,10,575,10,6,60.0,4,40.0,326,1901,1099,23,17,1,10,8,376,37,Match Report,2018-10-21,20:30 (11:30),Serie A,Matchweek 9,Sun,Away,L,0,1,Inter,5,0,0,7,13,1,21,13,13,0,0,0,60,12,7,63.2,Match Report
