Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2018-08-12,20:30 (11:30),Coppa Italia,Third round,Sun,Home,W,5,1,Ternana,5,,,,,,,,1,1,,,,,,Match Report,2018-08-12,20:30 (11:30),Coppa Italia,Third round,Sun,Home,W,5,1,Ternana,,1,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2018-08-12,20:30 (11:30),Coppa Italia,Third round,Sun,Home,W,5,1,Ternana,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2018-08-12,20:30 (11:30),Coppa Italia,Third round,Sun,Home,W,5,1,Ternana,,,,,,,,,,,,,,,,Match Report,2018-08-12,20:30 (11:30),Coppa Italia,Third round,Sun,Home,W,5,1,Ternana,,,,,,,,,,,,,,,Match Report,2018-08-12,20:30 (11:30),Coppa Italia,Third round,Sun,Home,W,5,1,Ternana,,,,,,,,,,,,,,0,,,Match Report,2018-08-12,20:30 (11:30),Coppa Italia,Third round,Sun,Home,W,5,1,Ternana,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2018-08-12,20:30 (11:30),Coppa Italia,Third round,Sun,Home,W,5,1,Ternana,2,0,0,,,,,,,,,0,,,,,Match Report
2018-08-19,20:30 (11:30),Serie A,Matchweek 1,Sun,Home,W,1,0,Inter,1,11,1,9.1,0.00,0.00,18.8,0,1,1,1.5,0.8,0.07,-0.5,-0.8,Match Report,2018-08-19,20:30 (11:30),Serie A,Matchweek 1,Sun,Home,W,1,0,Inter,3,0,3,100.0,1,0.4,+0.4,0,0,0,0,6,24,25.0,33,2,57.6,41.2,9,55.6,37.3,26,1,3.8,0,8.0,Match Report,2018-08-19,20:30 (11:30),Serie A,Matchweek 1,Sun,Home,W,1,0,Inter,294,380,77.4,5553,2199,118,134,88.1,137,158,86.7,34,73,46.6,0,0.6,0.5,7,21,7,2,26,Match Report,2018-08-19,20:30 (11:30),Serie A,Matchweek 1,Sun,Home,W,1,0,Inter,380,336,41,11,2,5,12,16,4,3,1,0,294,3,7,Match Report,2018-08-19,20:30 (11:30),Serie A,Matchweek 1,Sun,Home,W,1,0,Inter,19,15,0,1,2,1,0,2,1,0,0,0,1,0,Match Report,2018-08-19,20:30 (11:30),Serie A,Matchweek 1,Sun,Home,W,1,0,Inter,12,8,8,4,0,5,14,35.7,9,11,3,8,13,25,32,0,Match Report,2018-08-19,20:30 (11:30),Serie A,Matchweek 1,Sun,Home,W,1,0,Inter,39,491,82,219,191,94,17,490,18,8,44.4,10,55.6,269,1679,808,13,16,6,12,11,293,26,Match Report,2018-08-19,20:30 (11:30),Serie A,Matchweek 1,Sun,Home,W,1,0,Inter,3,0,0,23,11,3,12,13,8,1,0,0,49,7,17,29.2,Match Report
2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Away,D,2,2,Cagliari,2,12,4,33.3,0.08,0.25,19.4,1,1,1,1.8,1.1,0.09,+0.2,-0.1,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Away,D,2,2,Cagliari,6,2,4,66.7,0,1.4,-0.6,0,0,0,0,1,6,16.7,18,4,27.8,25.6,8,12.5,27.0,22,0,0.0,3,24.0,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Away,D,2,2,Cagliari,466,566,82.3,8255,2697,204,233,87.6,199,224,88.8,47,79,59.5,1,1.0,1.6,10,29,11,4,40,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Away,D,2,2,Cagliari,566,506,59,13,2,7,16,33,2,1,1,0,466,1,11,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Away,D,2,2,Cagliari,23,19,1,1,1,1,0,3,2,0,0,1,0,0,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Away,D,2,2,Cagliari,8,6,6,2,0,4,8,50.0,4,7,3,4,13,21,21,0,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Away,D,2,2,Cagliari,59,663,51,231,328,106,24,662,7,2,28.6,5,71.4,461,2154,1195,16,5,3,17,15,461,40,Match Report,2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Away,D,2,2,Cagliari,4,1,1,16,12,1,16,13,6,0,0,0,39,11,15,42.3,Match Report
2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,W,5,3,Genoa,4,10,7,70.0,0.40,0.57,16.0,0,0,0,1.7,1.7,0.18,+2.3,+2.3,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,W,5,3,Genoa,5,3,2,40.0,0,2.0,-1.0,0,0,0,0,8,15,53.3,14,1,78.6,44.4,7,57.1,39.4,30,1,3.3,0,7.3,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,W,5,3,Genoa,314,414,75.8,5501,2272,151,179,84.4,115,143,80.4,40,73,54.8,2,0.6,0.3,7,13,5,2,20,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,W,5,3,Genoa,414,359,52,19,1,2,7,20,2,1,1,0,314,3,7,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,W,5,3,Genoa,15,10,2,0,3,0,0,5,1,1,0,3,0,0,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,W,5,3,Genoa,18,11,7,8,3,8,22,36.4,14,21,9,12,10,28,38,1,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,W,5,3,Genoa,44,532,74,231,219,87,11,532,10,6,60.0,4,40.0,298,1459,747,14,6,3,10,16,311,20,Match Report,2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Home,W,5,3,Genoa,3,0,0,13,17,3,7,10,11,0,0,0,60,13,20,39.4,Match Report
2018-09-16,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,L,1,2,Juventus,1,15,5,33.3,0.07,0.20,23.9,0,0,0,0.8,0.8,0.05,+0.2,+0.2,Match Report,2018-09-16,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,L,1,2,Juventus,4,2,2,50.0,0,1.6,-0.4,0,0,0,0,9,14,64.3,23,8,34.8,31.3,14,42.9,34.4,22,0,0.0,1,10.3,Match Report,2018-09-16,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,L,1,2,Juventus,519,591,87.8,8564,2992,267,287,93.0,202,229,88.2,41,58,70.7,1,0.6,0.6,11,42,6,2,44,Match Report,2018-09-16,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,L,1,2,Juventus,591,544,47,14,0,4,18,12,4,2,2,0,519,0,6,Match Report,2018-09-16,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,L,1,2,Juventus,26,22,1,1,1,1,0,2,2,0,0,0,0,0,Match Report,2018-09-16,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,L,1,2,Juventus,17,12,7,5,5,7,17,41.2,10,10,5,5,6,23,24,1,Match Report,2018-09-16,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,L,1,2,Juventus,57,698,84,223,328,152,10,698,10,4,40.0,6,60.0,383,1979,1137,21,8,2,17,7,517,44,Match Report,2018-09-16,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,L,1,2,Juventus,3,0,0,15,13,0,18,6,12,0,0,0,48,6,7,46.2,Match Report
2018-09-21,20:30 (11:30),Serie A,Matchweek 5,Fri,Home,W,3,1,Empoli,3,23,7,30.4,0.13,0.43,20.1,1,0,0,2.2,2.2,0.10,+0.8,+0.8,Match Report,2018-09-21,20:30 (11:30),Serie A,Matchweek 5,Fri,Home,W,3,1,Empoli,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,9,18,50.0,22,5,45.5,33.5,10,80.0,48.0,9,0,0.0,1,25.0,Match Report,2018-09-21,20:30 (11:30),Serie A,Matchweek 5,Fri,Home,W,3,1,Empoli,594,656,90.5,10294,3704,272,289,94.1,230,239,96.2,72,102,70.6,3,2.1,1.6,20,50,8,1,66,Match Report,2018-09-21,20:30 (11:30),Serie A,Matchweek 5,Fri,Home,W,3,1,Empoli,656,616,40,12,0,3,12,11,5,3,1,1,594,0,4,Match Report,2018-09-21,20:30 (11:30),Serie A,Matchweek 5,Fri,Home,W,3,1,Empoli,44,38,2,0,2,2,0,6,5,1,0,0,0,0,Match Report,2018-09-21,20:30 (11:30),Serie A,Matchweek 5,Fri,Home,W,3,1,Empoli,10,5,4,2,4,7,14,50.0,7,14,8,6,8,18,12,0,Match Report,2018-09-21,20:30 (11:30),Serie A,Matchweek 5,Fri,Home,W,3,1,Empoli,60,743,63,185,377,185,24,743,4,3,75.0,1,25.0,411,2190,1106,18,21,6,11,15,593,66,Match Report,2018-09-21,20:30 (11:30),Serie A,Matchweek 5,Fri,Home,W,3,1,Empoli,1,0,0,14,9,0,12,8,5,0,0,0,39,5,7,41.7,Match Report
2018-09-27,19:00 (10:00),Serie A,Matchweek 6,Thu,Away,W,2,0,SPAL,2,12,6,50.0,0.17,0.33,18.1,0,0,0,1.9,1.9,0.18,+0.1,+0.1,Match Report,2018-09-27,19:00 (10:00),Serie A,Matchweek 6,Thu,Away,W,2,0,SPAL,2,0,2,100.0,1,0.3,+0.3,0,0,0,0,9,13,69.2,20,2,40.0,33.3,8,62.5,39.4,14,1,7.1,1,11.0,Match Report,2018-09-27,19:00 (10:00),Serie A,Matchweek 6,Thu,Away,W,2,0,SPAL,384,472,81.4,6429,2189,188,209,90.0,142,161,88.2,40,67,59.7,0,0.8,0.3,7,21,5,0,28,Match Report,2018-09-27,19:00 (10:00),Serie A,Matchweek 6,Thu,Away,W,2,0,SPAL,472,412,56,20,3,2,17,20,7,3,4,0,384,4,15,Match Report,2018-09-27,19:00 (10:00),Serie A,Matchweek 6,Thu,Away,W,2,0,SPAL,16,14,0,0,2,0,0,2,0,0,0,2,0,0,Match Report,2018-09-27,19:00 (10:00),Serie A,Matchweek 6,Thu,Away,W,2,0,SPAL,14,7,7,7,0,9,9,100.0,0,9,2,7,5,19,18,0,Match Report,2018-09-27,19:00 (10:00),Serie A,Matchweek 6,Thu,Away,W,2,0,SPAL,49,558,49,171,278,117,12,558,12,7,58.3,5,41.7,303,2026,1061,22,18,6,15,10,377,28,Match Report,2018-09-27,19:00 (10:00),Serie A,Matchweek 6,Thu,Away,W,2,0,SPAL,0,0,0,13,15,4,17,5,7,0,0,0,44,8,12,40.0,Match Report
2018-09-30,20:30 (11:30),Serie A,Matchweek 7,Sun,Home,L,1,4,Milan,1,12,2,16.7,0.08,0.50,19.7,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Match Report,2018-09-30,20:30 (11:30),Serie A,Matchweek 7,Sun,Home,L,1,4,Milan,7,4,3,42.9,0,1.7,-2.3,0,0,0,0,1,3,33.3,12,6,25.0,24.8,3,0.0,22.7,9,1,11.1,1,10.7,Match Report,2018-09-30,20:30 (11:30),Serie A,Matchweek 7,Sun,Home,L,1,4,Milan,559,638,87.6,9330,2743,251,265,94.7,251,275,91.3,36,60,60.0,1,0.7,1.0,10,42,11,3,60,Match Report,2018-09-30,20:30 (11:30),Serie A,Matchweek 7,Sun,Home,L,1,4,Milan,638,591,47,14,0,2,29,17,9,5,4,0,559,0,11,Match Report,2018-09-30,20:30 (11:30),Serie A,Matchweek 7,Sun,Home,L,1,4,Milan,21,17,2,1,0,0,1,2,2,0,0,0,0,0,Match Report,2018-09-30,20:30 (11:30),Serie A,Matchweek 7,Sun,Home,L,1,4,Milan,13,10,9,3,1,3,7,42.9,4,17,4,13,10,23,14,0,Match Report,2018-09-30,20:30 (11:30),Serie A,Matchweek 7,Sun,Home,L,1,4,Milan,60,737,37,158,371,211,26,737,15,8,53.3,7,46.7,434,2399,1341,20,13,5,11,10,557,60,Match Report,2018-09-30,20:30 (11:30),Serie A,Matchweek 7,Sun,Home,L,1,4,Milan,1,0,0,13,12,0,29,10,10,0,0,0,45,10,6,62.5,Match Report
2018-10-07,18:00 (09:00),Serie A,Matchweek 8,Sun,Away,L,0,2,Napoli,0,12,7,58.3,0.00,0.00,19.3,0,0,0,1.0,1.0,0.09,-1.0,-1.0,Match Report,2018-10-07,18:00 (09:00),Serie A,Matchweek 8,Sun,Away,L,0,2,Napoli,7,2,5,71.4,0,2.0,0.0,0,0,0,0,1,8,12.5,33,2,24.2,27.3,9,0.0,22.9,7,0,0.0,0,16.0,Match Report,2018-10-07,18:00 (09:00),Serie A,Matchweek 8,Sun,Away,L,0,2,Napoli,591,682,86.7,9563,3234,304,328,92.7,248,276,89.9,31,55,56.4,0,1.0,0.5,11,31,5,2,40,Match Report,2018-10-07,18:00 (09:00),Serie A,Matchweek 8,Sun,Away,L,0,2,Napoli,682,626,55,15,0,3,16,24,4,1,3,0,591,1,11,Match Report,2018-10-07,18:00 (09:00),Serie A,Matchweek 8,Sun,Away,L,0,2,Napoli,22,19,2,0,1,0,0,0,0,0,0,0,0,0,Match Report,2018-10-07,18:00 (09:00),Serie A,Matchweek 8,Sun,Away,L,0,2,Napoli,18,10,11,6,1,10,18,55.6,8,12,1,11,8,26,10,1,Match Report,2018-10-07,18:00 (09:00),Serie A,Matchweek 8,Sun,Away,L,0,2,Napoli,55,795,76,261,409,129,13,795,18,4,22.2,14,77.8,380,1864,1095,13,11,1,15,10,590,40,Match Report,2018-10-07,18:00 (09:00),Serie A,Matchweek 8,Sun,Away,L,0,2,Napoli,2,1,0,8,12,1,16,8,10,0,0,0,55,4,4,50.0,Match Report
2018-10-22,20:30 (11:30),Serie A,Matchweek 9,Mon,Away,D,0,0,Sampdoria,0,10,0,0.0,0.00,,22.6,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Match Report,2018-10-22,20:30 (11:30),Serie A,Matchweek 9,Mon,Away,D,0,0,Sampdoria,1,0,1,100.0,1,0.2,+0.2,0,0,0,0,5,12,41.7,33,3,24.2,29.6,11,36.4,35.5,10,0,0.0,0,,Match Report,2018-10-22,20:30 (11:30),Serie A,Matchweek 9,Mon,Away,D,0,0,Sampdoria,376,476,79.0,7320,2357,148,175,84.6,168,192,87.5,53,82,64.6,0,0.5,0.3,8,19,8,1,25,Match Report,2018-10-22,20:30 (11:30),Serie A,Matchweek 9,Mon,Away,D,0,0,Sampdoria,476,415,59,12,0,10,11,32,3,0,3,0,376,2,12,Match Report,2018-10-22,20:30 (11:30),Serie A,Matchweek 9,Mon,Away,D,0,0,Sampdoria,19,15,1,1,1,0,1,0,0,0,0,0,0,0,Match Report,2018-10-22,20:30 (11:30),Serie A,Matchweek 9,Mon,Away,D,0,0,Sampdoria,19,8,11,6,2,9,19,47.4,10,8,1,7,13,32,13,0,Match Report,2018-10-22,20:30 (11:30),Serie A,Matchweek 9,Mon,Away,D,0,0,Sampdoria,47,586,79,269,211,114,13,586,30,15,50.0,15,50.0,300,1648,839,15,9,3,9,14,373,25,Match Report,2018-10-22,20:30 (11:30),Serie A,Matchweek 9,Mon,Away,D,0,0,Sampdoria,3,0,0,18,10,2,11,13,8,0,0,0,52,4,9,30.8,Match Report
