Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2019-08-18,18:15 (09:15),Coppa Italia,Third round,Sun,Home,W,3,1,Monza,3,0,0,,,,,,0,0,,,,,,Match Report,2019-08-18,18:15 (09:15),Coppa Italia,Third round,Sun,Home,W,3,1,Monza,0,1,0,,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2019-08-18,18:15 (09:15),Coppa Italia,Third round,Sun,Home,W,3,1,Monza,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2019-08-18,18:15 (09:15),Coppa Italia,Third round,Sun,Home,W,3,1,Monza,,,,,,,0,,,,,,,,,Match Report,2019-08-18,18:15 (09:15),Coppa Italia,Third round,Sun,Home,W,3,1,Monza,,,,,,,,,,,,,,,Match Report,2019-08-18,18:15 (09:15),Coppa Italia,Third round,Sun,Home,W,3,1,Monza,,0,,,,,,,,,,,0,0,,,Match Report,2019-08-18,18:15 (09:15),Coppa Italia,Third round,Sun,Home,W,3,1,Monza,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2019-08-18,18:15 (09:15),Coppa Italia,Third round,Sun,Home,W,3,1,Monza,3,0,0,0,0,0,0,0,0,,,0,,,,,Match Report
2019-08-24,20:45 (11:45),Serie A,Matchweek 1,Sat,Home,L,3,4,Napoli,3,19,5,26.3,0.11,0.40,21.5,1,1,1,1.7,0.9,0.05,+1.3,+1.1,Match Report,2019-08-24,20:45 (11:45),Serie A,Matchweek 1,Sat,Home,L,3,4,Napoli,7,4,3,57.1,0,3.2,-0.8,1,1,0,0,7,11,63.6,19,4,52.6,37.8,3,33.3,30.7,12,1,8.3,0,4.0,Match Report,2019-08-24,20:45 (11:45),Serie A,Matchweek 1,Sat,Home,L,3,4,Napoli,341,423,80.6,5804,2315,159,183,86.9,140,166,84.3,27,46,58.7,2,0.7,0.5,16,29,4,1,36,Match Report,2019-08-24,20:45 (11:45),Serie A,Matchweek 1,Sat,Home,L,3,4,Napoli,423,382,40,14,2,2,15,14,4,1,3,0,341,1,6,Match Report,2019-08-24,20:45 (11:45),Serie A,Matchweek 1,Sat,Home,L,3,4,Napoli,35,22,3,3,3,4,0,5,2,1,0,2,0,0,Match Report,2019-08-24,20:45 (11:45),Serie A,Matchweek 1,Sat,Home,L,3,4,Napoli,14,9,9,4,1,4,13,30.8,9,13,6,7,11,25,15,0,Match Report,2019-08-24,20:45 (11:45),Serie A,Matchweek 1,Sat,Home,L,3,4,Napoli,43,528,65,183,224,132,18,527,21,16,76.2,5,23.8,299,1803,1159,20,15,7,14,7,340,35,Match Report,2019-08-24,20:45 (11:45),Serie A,Matchweek 1,Sat,Home,L,3,4,Napoli,2,0,0,21,15,1,15,11,9,0,1,0,53,9,11,45.0,Match Report
2019-09-01,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,L,1,2,Genoa,1,18,5,27.8,0.00,0.00,20.2,0,1,1,1.9,1.1,0.06,-0.9,-1.1,Match Report,2019-09-01,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,L,1,2,Genoa,8,2,6,75.0,0,1.9,-0.1,0,0,0,0,1,7,14.3,18,8,11.1,29.2,10,50.0,38.2,24,0,0.0,0,5.0,Match Report,2019-09-01,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,L,1,2,Genoa,321,427,75.2,5595,2358,152,180,84.4,127,166,76.5,38,65,58.5,0,1.0,0.9,16,43,3,1,49,Match Report,2019-09-01,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,L,1,2,Genoa,427,368,58,17,1,1,28,20,8,0,7,0,321,1,9,Match Report,2019-09-01,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,L,1,2,Genoa,33,22,4,4,0,3,0,2,0,1,0,0,1,0,Match Report,2019-09-01,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,L,1,2,Genoa,7,2,3,3,1,4,7,57.1,3,10,3,7,9,16,18,0,Match Report,2019-09-01,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,L,1,2,Genoa,51,542,59,141,235,170,22,541,20,16,80.0,4,20.0,318,1893,1098,26,13,5,20,16,318,49,Match Report,2019-09-01,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,L,1,2,Genoa,0,0,0,14,16,1,28,9,2,1,0,0,53,16,19,45.7,Match Report
2019-09-14,15:00 (06:00),Serie A,Matchweek 3,Sat,Home,D,0,0,Juventus,0,18,5,27.8,0.00,0.00,16.5,0,0,0,1.8,1.8,0.10,-1.8,-1.8,Match Report,2019-09-14,15:00 (06:00),Serie A,Matchweek 3,Sat,Home,D,0,0,Juventus,4,0,4,100.0,1,0.9,+0.9,0,0,0,0,3,9,33.3,20,4,45.0,35.6,4,0.0,20.3,8,0,0.0,1,17.5,Match Report,2019-09-14,15:00 (06:00),Serie A,Matchweek 3,Sat,Home,D,0,0,Juventus,347,446,77.8,6501,2293,147,180,81.7,139,158,88.0,47,75,62.7,0,1.4,1.0,16,32,11,3,44,Match Report,2019-09-14,15:00 (06:00),Serie A,Matchweek 3,Sat,Home,D,0,0,Juventus,446,388,55,20,0,8,19,20,10,4,3,0,347,3,12,Match Report,2019-09-14,15:00 (06:00),Serie A,Matchweek 3,Sat,Home,D,0,0,Juventus,34,29,3,0,1,1,0,0,0,0,0,0,0,0,Match Report,2019-09-14,15:00 (06:00),Serie A,Matchweek 3,Sat,Home,D,0,0,Juventus,18,7,5,10,3,6,12,50.0,6,8,3,5,6,24,11,0,Match Report,2019-09-14,15:00 (06:00),Serie A,Matchweek 3,Sat,Home,D,0,0,Juventus,47,545,42,154,238,159,25,545,17,12,70.6,5,29.4,299,1731,964,21,15,4,13,6,342,43,Match Report,2019-09-14,15:00 (06:00),Serie A,Matchweek 3,Sat,Home,D,0,0,Juventus,3,0,0,12,16,3,19,6,7,0,0,0,49,10,5,66.7,Match Report
2019-09-22,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,D,2,2,Atalanta,1,9,2,22.2,0.11,0.50,18.8,1,0,0,1.0,1.0,0.12,0.0,0.0,Match Report,2019-09-22,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,D,2,2,Atalanta,3,2,1,33.3,0,1.1,-0.9,0,0,0,0,7,24,29.2,29,2,55.2,42.8,16,50.0,43.5,19,0,0.0,2,17.7,Match Report,2019-09-22,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,D,2,2,Atalanta,248,345,71.9,4621,1906,115,128,89.8,90,108,83.3,35,88,39.8,1,0.5,0.3,5,17,2,0,16,Match Report,2019-09-22,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,D,2,2,Atalanta,345,301,44,15,1,0,7,9,1,1,0,0,248,0,5,Match Report,2019-09-22,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,D,2,2,Atalanta,14,5,4,2,0,3,0,2,1,0,1,0,0,0,Match Report,2019-09-22,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,D,2,2,Atalanta,24,12,18,5,1,8,25,32.0,17,14,4,10,8,32,31,1,Match Report,2019-09-22,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,D,2,2,Atalanta,36,476,84,226,185,70,6,476,20,12,60.0,8,40.0,204,1233,496,10,7,1,19,13,245,16,Match Report,2019-09-22,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,D,2,2,Atalanta,5,0,0,11,13,0,7,8,12,0,0,0,56,14,27,34.1,Match Report
2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,W,2,1,Sampdoria,2,17,8,47.1,0.12,0.25,17.0,3,0,0,1.6,1.6,0.10,+0.4,+0.4,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,W,2,1,Sampdoria,2,1,1,50.0,0,0.9,-0.1,0,0,0,0,2,8,25.0,15,3,40.0,33.9,9,22.2,28.6,11,1,9.1,0,6.0,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,W,2,1,Sampdoria,456,545,83.7,7938,2760,189,208,90.9,197,221,89.1,45,72,62.5,2,1.3,1.6,12,33,5,1,42,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,W,2,1,Sampdoria,545,501,43,14,7,5,12,15,3,1,2,0,456,1,13,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,W,2,1,Sampdoria,30,19,2,2,2,5,0,4,4,0,0,0,0,0,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,W,2,1,Sampdoria,18,10,5,13,0,9,26,34.6,17,7,1,6,8,26,15,0,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,W,2,1,Sampdoria,55,670,44,180,378,121,19,670,15,11,73.3,4,26.7,350,1831,999,21,10,6,24,4,452,41,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,W,2,1,Sampdoria,4,0,0,13,15,1,12,8,10,0,0,0,64,12,10,54.5,Match Report
2019-09-29,20:45 (11:45),Serie A,Matchweek 6,Sun,Away,W,3,1,Milan,3,14,5,35.7,0.14,0.40,22.2,0,1,2,2.5,1.3,0.09,+0.5,+0.7,Match Report,2019-09-29,20:45 (11:45),Serie A,Matchweek 6,Sun,Away,W,3,1,Milan,3,1,2,66.7,0,1.0,0.0,0,0,0,0,3,14,21.4,26,1,46.2,39.2,6,33.3,33.2,14,1,7.1,1,11.7,Match Report,2019-09-29,20:45 (11:45),Serie A,Matchweek 6,Sun,Away,W,3,1,Milan,433,511,84.7,7385,2361,186,206,90.3,174,188,92.6,44,74,59.5,1,0.4,0.5,9,34,6,0,38,Match Report,2019-09-29,20:45 (11:45),Serie A,Matchweek 6,Sun,Away,W,3,1,Milan,511,471,38,8,2,7,11,16,6,1,4,0,433,2,7,Match Report,2019-09-29,20:45 (11:45),Serie A,Matchweek 6,Sun,Away,W,3,1,Milan,27,14,3,5,2,3,0,4,1,0,1,1,1,0,Match Report,2019-09-29,20:45 (11:45),Serie A,Matchweek 6,Sun,Away,W,3,1,Milan,20,11,11,3,6,7,27,25.9,20,11,3,8,10,30,23,0,Match Report,2019-09-29,20:45 (11:45),Serie A,Matchweek 6,Sun,Away,W,3,1,Milan,45,630,64,195,293,151,20,628,23,17,73.9,6,26.1,323,1802,917,20,7,5,10,13,431,38,Match Report,2019-09-29,20:45 (11:45),Serie A,Matchweek 6,Sun,Away,W,3,1,Milan,4,0,0,14,10,2,11,10,11,2,0,0,52,7,11,38.9,Match Report
2019-10-06,12:30 (03:30),Serie A,Matchweek 7,Sun,Home,W,1,0,Udinese,1,16,4,25.0,0.06,0.25,16.1,1,0,0,1.1,1.1,0.07,-0.1,-0.1,Match Report,2019-10-06,12:30 (03:30),Serie A,Matchweek 7,Sun,Home,W,1,0,Udinese,1,0,1,100.0,1,0.5,+0.5,0,0,0,0,3,9,33.3,23,6,26.1,27.4,6,50.0,34.3,13,1,7.7,1,14.3,Match Report,2019-10-06,12:30 (03:30),Serie A,Matchweek 7,Sun,Home,W,1,0,Udinese,381,472,80.7,6968,2498,150,169,88.8,176,202,87.1,39,71,54.9,1,0.8,0.9,12,41,11,1,53,Match Report,2019-10-06,12:30 (03:30),Serie A,Matchweek 7,Sun,Home,W,1,0,Udinese,472,428,44,10,4,7,16,15,12,1,7,0,381,0,8,Match Report,2019-10-06,12:30 (03:30),Serie A,Matchweek 7,Sun,Home,W,1,0,Udinese,25,13,5,0,2,3,2,2,0,1,0,0,1,0,Match Report,2019-10-06,12:30 (03:30),Serie A,Matchweek 7,Sun,Home,W,1,0,Udinese,15,12,8,5,2,5,17,29.4,12,10,1,9,9,24,26,0,Match Report,2019-10-06,12:30 (03:30),Serie A,Matchweek 7,Sun,Home,W,1,0,Udinese,50,590,59,155,267,173,28,590,17,7,41.2,10,58.8,322,1858,1148,24,7,5,13,9,378,52,Match Report,2019-10-06,12:30 (03:30),Serie A,Matchweek 7,Sun,Home,W,1,0,Udinese,1,0,0,9,10,0,16,9,12,0,0,0,60,14,6,70.0,Match Report
2019-10-21,21:00 (12:00),Serie A,Matchweek 8,Mon,Away,D,0,0,Brescia,0,13,4,30.8,0.00,0.00,15.2,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Match Report,2019-10-21,21:00 (12:00),Serie A,Matchweek 8,Mon,Away,D,0,0,Brescia,1,0,1,100.0,1,0.5,+0.5,0,0,0,0,2,8,25.0,22,8,22.7,32.5,9,33.3,37.0,12,1,8.3,1,10.5,Match Report,2019-10-21,21:00 (12:00),Serie A,Matchweek 8,Mon,Away,D,0,0,Brescia,390,506,77.1,7321,2809,152,174,87.4,184,219,84.0,45,96,46.9,0,0.8,0.9,12,26,12,1,40,Match Report,2019-10-21,21:00 (12:00),Serie A,Matchweek 8,Mon,Away,D,0,0,Brescia,506,453,53,12,1,8,18,22,9,3,5,0,390,0,7,Match Report,2019-10-21,21:00 (12:00),Serie A,Matchweek 8,Mon,Away,D,0,0,Brescia,24,16,4,0,3,1,0,0,0,0,0,0,0,0,Match Report,2019-10-21,21:00 (12:00),Serie A,Matchweek 8,Mon,Away,D,0,0,Brescia,15,8,7,6,2,6,10,60.0,4,11,0,11,15,30,13,0,Match Report,2019-10-21,21:00 (12:00),Serie A,Matchweek 8,Mon,Away,D,0,0,Brescia,54,618,57,185,278,159,30,618,8,4,50.0,4,50.0,393,2152,1112,21,14,7,16,9,388,39,Match Report,2019-10-21,21:00 (12:00),Serie A,Matchweek 8,Mon,Away,D,0,0,Brescia,3,0,0,16,9,0,18,15,8,0,0,0,47,18,17,51.4,Match Report
2019-10-27,20:45 (12:45),Serie A,Matchweek 9,Sun,Home,L,1,2,Lazio,1,11,3,27.3,0.09,0.33,19.1,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Match Report,2019-10-27,20:45 (12:45),Serie A,Matchweek 9,Sun,Home,L,1,2,Lazio,7,2,4,71.4,0,2.8,+0.8,1,0,1,0,4,14,28.6,32,7,40.6,34.9,6,16.7,28.2,11,1,9.1,4,17.3,Match Report,2019-10-27,20:45 (12:45),Serie A,Matchweek 9,Sun,Home,L,1,2,Lazio,386,497,77.7,6895,2599,173,204,84.8,165,194,85.1,41,75,54.7,1,0.6,0.6,10,29,2,0,37,Match Report,2019-10-27,20:45 (12:45),Serie A,Matchweek 9,Sun,Home,L,1,2,Lazio,497,444,52,15,2,3,16,21,7,5,2,0,386,1,10,Match Report,2019-10-27,20:45 (12:45),Serie A,Matchweek 9,Sun,Home,L,1,2,Lazio,20,14,2,2,0,2,0,2,2,0,0,0,0,0,Match Report,2019-10-27,20:45 (12:45),Serie A,Matchweek 9,Sun,Home,L,1,2,Lazio,13,5,7,5,1,4,15,26.7,11,6,1,5,9,22,11,0,Match Report,2019-10-27,20:45 (12:45),Serie A,Matchweek 9,Sun,Home,L,1,2,Lazio,47,608,69,207,261,145,12,608,22,13,59.1,9,40.9,321,1787,968,17,10,6,24,10,384,37,Match Report,2019-10-27,20:45 (12:45),Serie A,Matchweek 9,Sun,Home,L,1,2,Lazio,5,1,1,13,10,1,16,9,5,0,1,0,66,13,11,54.2,Match Report
