Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2019-08-18,20:30 (11:30),Coppa Italia,Third round,Sun,Home,L,1.0,2.0,Cremonese,1,0,0,,,,,,0,0,,,,,,Match Report,2019-08-18,20:30 (11:30),Coppa Italia,Third round,Sun,Home,L,1.0,2.0,Cremonese,0,2,0,,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2019-08-18,20:30 (11:30),Coppa Italia,Third round,Sun,Home,L,1.0,2.0,Cremonese,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2019-08-18,20:30 (11:30),Coppa Italia,Third round,Sun,Home,L,1.0,2.0,Cremonese,,,,,,,0,,,,,,,,,Match Report,2019-08-18,20:30 (11:30),Coppa Italia,Third round,Sun,Home,L,1.0,2.0,Cremonese,,,,,,,,,,,,,,,Match Report,2019-08-18,20:30 (11:30),Coppa Italia,Third round,Sun,Home,L,1.0,2.0,Cremonese,,0,,,,,,,,,,,0,0,,,Match Report,2019-08-18,20:30 (11:30),Coppa Italia,Third round,Sun,Home,L,1.0,2.0,Cremonese,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2019-08-18,20:30 (11:30),Coppa Italia,Third round,Sun,Home,L,1.0,2.0,Cremonese,1,0,0,0,0,0,0,0,0,,,0,,,,,Match Report
2019-08-25,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,D,1.0,1.0,Bologna,1,5,2,40.0,0.2,0.5,33.0,1.0,0,0,0.2,0.2,0.03,0.8,0.8,Match Report,2019-08-25,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,D,1.0,1.0,Bologna,2,1,1,100.0,0,1.2,0.2,1,1,0,0,8.0,28.0,28.6,14.0,0.0,100.0,57.5,15.0,93.3,57.8,22.0,1.0,4.5,0.0,7.3,Match Report,2019-08-25,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,D,1.0,1.0,Bologna,136.0,233.0,58.4,2663.0,1371.0,54.0,74.0,73.0,49.0,69.0,71.0,23.0,65.0,35.4,0,0.0,0.0,1.0,12.0,1.0,0.0,10.0,Match Report,2019-08-25,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,D,1.0,1.0,Bologna,233.0,181.0,50.0,14.0,0.0,2.0,3,18.0,1.0,0.0,1.0,0.0,136.0,2.0,3.0,Match Report,2019-08-25,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,D,1.0,1.0,Bologna,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Match Report,2019-08-25,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,D,1.0,1.0,Bologna,16.0,9,9.0,4.0,3.0,9.0,11.0,81.8,2.0,6.0,5.0,1.0,11,27,38.0,0.0,Match Report,2019-08-25,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,D,1.0,1.0,Bologna,27.0,335.0,84.0,159.0,126.0,55.0,3.0,335.0,9.0,4.0,44.4,5.0,55.6,127.0,732.0,258.0,5.0,6.0,3.0,13.0,10.0,135.0,10.0,Match Report,2019-08-25,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,D,1.0,1.0,Bologna,1,1,0,13,12,2,3,11,9,0.0,1.0,0,39.0,21.0,16.0,56.8,Match Report
2019-09-01,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,1.0,0.0,Lecce,1,15,4,26.7,0.07,0.25,17.1,1.0,0,0,1.4,1.4,0.1,-0.4,-0.4,Match Report,2019-09-01,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,1.0,0.0,Lecce,3,0,3,100.0,1,0.4,0.4,0,0,0,0,6.0,26.0,23.1,22.0,0.0,77.3,48.1,9.0,100.0,62.6,20.0,2.0,10.0,0.0,10.0,Match Report,2019-09-01,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,1.0,0.0,Lecce,408.0,520.0,78.5,6967.0,2463.0,173.0,205.0,84.4,176.0,199.0,88.4,36.0,77.0,46.8,1,1.2,0.8,11.0,24.0,13.0,0.0,44.0,Match Report,2019-09-01,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,1.0,0.0,Lecce,520.0,471.0,48.0,14.0,0.0,0.0,16,17.0,7.0,3.0,4.0,0.0,408.0,1.0,7.0,Match Report,2019-09-01,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,1.0,0.0,Lecce,26.0,21.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-09-01,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,1.0,0.0,Lecce,10.0,8,2.0,7.0,1.0,6.0,13.0,46.2,7.0,7.0,2.0,5.0,7,17,22.0,0.0,Match Report,2019-09-01,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,1.0,0.0,Lecce,52.0,613.0,68.0,195.0,278.0,144.0,27.0,613.0,18.0,9.0,50.0,9.0,50.0,338.0,1730.0,924.0,19.0,17.0,4.0,7.0,5.0,402.0,43.0,Match Report,2019-09-01,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,1.0,0.0,Lecce,3,0,0,13,13,1,16,7,8,0.0,0.0,0,54.0,27.0,19.0,58.7,Match Report
2019-09-15,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,L,0.0,1.0,Milan,0,8,1,12.5,0.0,0.0,23.2,1.0,0,0,0.5,0.5,0.06,-0.5,-0.5,Match Report,2019-09-15,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,L,0.0,1.0,Milan,4,1,3,100.0,0,1.2,0.2,1,1,0,0,7.0,22.0,31.8,17.0,1.0,76.5,48.4,9.0,100.0,58.9,11.0,1.0,9.1,0.0,4.5,Match Report,2019-09-15,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,L,0.0,1.0,Milan,202.0,291.0,69.4,3852.0,1529.0,78.0,94.0,83.0,84.0,106.0,79.2,29.0,61.0,47.5,0,0.2,0.2,5.0,9.0,4.0,2.0,14.0,Match Report,2019-09-15,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,L,0.0,1.0,Milan,291.0,240.0,46.0,16.0,0.0,4.0,8,17.0,2.0,0.0,1.0,0.0,202.0,5.0,7.0,Match Report,2019-09-15,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,L,0.0,1.0,Milan,13.0,9.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-09-15,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,L,0.0,1.0,Milan,16.0,9,9.0,6.0,1.0,5.0,10.0,50.0,5.0,8.0,7.0,1.0,13,29,24.0,0.0,Match Report,2019-09-15,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,L,0.0,1.0,Milan,31.0,403.0,60.0,158.0,184.0,64.0,7.0,403.0,14.0,8.0,57.1,6.0,42.9,190.0,996.0,414.0,7.0,10.0,3.0,12.0,9.0,200.0,14.0,Match Report,2019-09-15,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,L,0.0,1.0,Milan,4,1,0,13,16,5,8,13,9,0.0,1.0,0,42.0,9.0,17.0,34.6,Match Report
2019-09-21,18:00 (09:00),Serie A,Matchweek 4,Sat,Away,L,1.0,2.0,Juventus,1,9,3,33.3,0.11,0.33,22.5,0.0,0,1,1.6,0.8,0.09,-0.6,0.2,Match Report,2019-09-21,18:00 (09:00),Serie A,Matchweek 4,Sat,Away,L,1.0,2.0,Juventus,3,2,1,66.7,0,1.2,-0.8,1,1,0,0,6.0,28.0,21.4,19.0,1.0,84.2,53.7,13.0,92.3,58.5,6.0,0.0,0.0,1.0,26.0,Match Report,2019-09-21,18:00 (09:00),Serie A,Matchweek 4,Sat,Away,L,1.0,2.0,Juventus,285.0,390.0,73.1,4941.0,1732.0,134.0,152.0,88.2,96.0,118.0,81.4,37.0,90.0,41.1,0,0.1,0.3,4.0,22.0,9.0,0.0,34.0,Match Report,2019-09-21,18:00 (09:00),Serie A,Matchweek 4,Sat,Away,L,1.0,2.0,Juventus,390.0,340.0,50.0,12.0,0.0,5.0,18,17.0,5.0,3.0,1.0,0.0,285.0,0.0,5.0,Match Report,2019-09-21,18:00 (09:00),Serie A,Matchweek 4,Sat,Away,L,1.0,2.0,Juventus,14.0,10.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-09-21,18:00 (09:00),Serie A,Matchweek 4,Sat,Away,L,1.0,2.0,Juventus,10.0,7,4.0,2.0,4.0,3.0,13.0,23.1,10.0,12.0,5.0,7.0,13,23,11.0,0.0,Match Report,2019-09-21,18:00 (09:00),Serie A,Matchweek 4,Sat,Away,L,1.0,2.0,Juventus,41.0,486.0,60.0,132.0,232.0,128.0,11.0,485.0,15.0,9.0,60.0,6.0,40.0,253.0,1316.0,621.0,14.0,10.0,1.0,15.0,9.0,282.0,34.0,Match Report,2019-09-21,18:00 (09:00),Serie A,Matchweek 4,Sat,Away,L,1.0,2.0,Juventus,4,1,1,19,12,0,18,13,7,1.0,1.0,0,51.0,6.0,21.0,22.2,Match Report
2019-09-24,19:00 (10:00),Serie A,Matchweek 5,Tue,Home,D,0.0,0.0,Udinese,0,13,4,30.8,0.0,0.0,14.5,0.0,0,0,1.0,1.0,0.08,-1.0,-1.0,Match Report,2019-09-24,19:00 (10:00),Serie A,Matchweek 5,Tue,Home,D,0.0,0.0,Udinese,3,0,3,100.0,1,0.2,0.2,0,0,0,0,6.0,14.0,42.9,21.0,4.0,42.9,36.0,6.0,83.3,56.8,13.0,2.0,15.4,1.0,11.4,Match Report,2019-09-24,19:00 (10:00),Serie A,Matchweek 5,Tue,Home,D,0.0,0.0,Udinese,409.0,531.0,77.0,7809.0,2981.0,156.0,178.0,87.6,178.0,220.0,80.9,57.0,93.0,61.3,0,0.9,0.8,9.0,29.0,9.0,5.0,48.0,Match Report,2019-09-24,19:00 (10:00),Serie A,Matchweek 5,Tue,Home,D,0.0,0.0,Udinese,531.0,469.0,58.0,20.0,0.0,2.0,26,25.0,6.0,1.0,5.0,0.0,409.0,4.0,6.0,Match Report,2019-09-24,19:00 (10:00),Serie A,Matchweek 5,Tue,Home,D,0.0,0.0,Udinese,23.0,18.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-09-24,19:00 (10:00),Serie A,Matchweek 5,Tue,Home,D,0.0,0.0,Udinese,10.0,7,3.0,7.0,0.0,1.0,6.0,16.7,5.0,3.0,3.0,0.0,12,22,20.0,0.0,Match Report,2019-09-24,19:00 (10:00),Serie A,Matchweek 5,Tue,Home,D,0.0,0.0,Udinese,56.0,652.0,48.0,161.0,353.0,145.0,25.0,652.0,19.0,7.0,36.8,12.0,63.2,350.0,1933.0,1028.0,19.0,10.0,3.0,20.0,9.0,407.0,48.0,Match Report,2019-09-24,19:00 (10:00),Serie A,Matchweek 5,Tue,Home,D,0.0,0.0,Udinese,0,0,0,5,19,4,26,12,7,0.0,0.0,0,66.0,22.0,28.0,44.0,Match Report
2019-09-29,18:00 (09:00),Serie A,Matchweek 6,Sun,Away,D,1.0,1.0,Cagliari,1,13,4,30.8,0.08,0.25,13.8,0.0,0,0,1.6,1.6,0.12,-0.6,-0.6,Match Report,2019-09-29,18:00 (09:00),Serie A,Matchweek 6,Sun,Away,D,1.0,1.0,Cagliari,4,1,3,75.0,0,1.4,0.4,0,0,0,0,4.0,10.0,40.0,10.0,4.0,30.0,33.0,9.0,77.8,50.0,13.0,0.0,0.0,0.0,,Match Report,2019-09-29,18:00 (09:00),Serie A,Matchweek 6,Sun,Away,D,1.0,1.0,Cagliari,360.0,474.0,75.9,6649.0,2851.0,137.0,164.0,83.5,154.0,181.0,85.1,53.0,91.0,58.2,0,1.4,0.9,12.0,25.0,8.0,3.0,52.0,Match Report,2019-09-29,18:00 (09:00),Serie A,Matchweek 6,Sun,Away,D,1.0,1.0,Cagliari,474.0,412.0,61.0,22.0,0.0,1.0,22,23.0,5.0,2.0,1.0,0.0,360.0,1.0,9.0,Match Report,2019-09-29,18:00 (09:00),Serie A,Matchweek 6,Sun,Away,D,1.0,1.0,Cagliari,23.0,19.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-09-29,18:00 (09:00),Serie A,Matchweek 6,Sun,Away,D,1.0,1.0,Cagliari,8.0,6,4.0,3.0,1.0,4.0,5.0,80.0,1.0,8.0,2.0,6.0,3,11,17.0,0.0,Match Report,2019-09-29,18:00 (09:00),Serie A,Matchweek 6,Sun,Away,D,1.0,1.0,Cagliari,56.0,557.0,54.0,156.0,280.0,123.0,22.0,557.0,9.0,7.0,77.8,2.0,22.2,297.0,1609.0,834.0,20.0,17.0,5.0,13.0,13.0,358.0,52.0,Match Report,2019-09-29,18:00 (09:00),Serie A,Matchweek 6,Sun,Away,D,1.0,1.0,Cagliari,2,0,0,20,19,1,22,3,6,0.0,0.0,0,52.0,22.0,18.0,55.0,Match Report
2019-10-05,18:00 (09:00),Serie A,Matchweek 7,Sat,Home,W,2.0,0.0,Sampdoria,1,8,3,37.5,0.13,0.33,21.2,1.0,0,0,0.7,0.7,0.09,0.3,0.3,Match Report,2019-10-05,18:00 (09:00),Serie A,Matchweek 7,Sat,Home,W,2.0,0.0,Sampdoria,2,0,2,100.0,1,0.5,0.5,0,0,0,0,9.0,27.0,33.3,18.0,2.0,88.9,50.8,11.0,100.0,59.3,14.0,0.0,0.0,0.0,6.0,Match Report,2019-10-05,18:00 (09:00),Serie A,Matchweek 7,Sat,Home,W,2.0,0.0,Sampdoria,264.0,403.0,65.5,4717.0,2050.0,127.0,159.0,79.9,102.0,139.0,73.4,27.0,74.0,36.5,1,0.6,0.4,5.0,16.0,6.0,0.0,31.0,Match Report,2019-10-05,18:00 (09:00),Serie A,Matchweek 7,Sat,Home,W,2.0,0.0,Sampdoria,403.0,324.0,76.0,18.0,0.0,3.0,24,37.0,9.0,5.0,4.0,0.0,264.0,3.0,11.0,Match Report,2019-10-05,18:00 (09:00),Serie A,Matchweek 7,Sat,Home,W,2.0,0.0,Sampdoria,14.0,8.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Match Report,2019-10-05,18:00 (09:00),Serie A,Matchweek 7,Sat,Home,W,2.0,0.0,Sampdoria,20.0,13,8.0,11.0,1.0,7.0,17.0,41.2,10.0,13.0,6.0,7.0,9,29,19.0,0.0,Match Report,2019-10-05,18:00 (09:00),Serie A,Matchweek 7,Sat,Home,W,2.0,0.0,Sampdoria,48.0,525.0,49.0,158.0,235.0,137.0,12.0,525.0,12.0,5.0,41.7,7.0,58.3,287.0,1105.0,487.0,12.0,9.0,1.0,23.0,9.0,263.0,30.0,Match Report,2019-10-05,18:00 (09:00),Serie A,Matchweek 7,Sat,Home,W,2.0,0.0,Sampdoria,1,0,0,14,13,3,24,9,13,0.0,0.0,0,55.0,19.0,22.0,46.3,Match Report
2019-10-19,18:00 (09:00),Serie A,Matchweek 8,Sat,Away,L,0.0,2.0,Napoli,0,20,5,25.0,0.0,0.0,16.8,1.0,0,0,1.7,1.7,0.1,-1.7,-1.7,Match Report,2019-10-19,18:00 (09:00),Serie A,Matchweek 8,Sat,Away,L,0.0,2.0,Napoli,6,2,4,66.7,0,2.0,0.0,0,0,0,0,2.0,20.0,10.0,19.0,0.0,73.7,47.2,8.0,75.0,51.8,11.0,0.0,0.0,0.0,10.5,Match Report,2019-10-19,18:00 (09:00),Serie A,Matchweek 8,Sat,Away,L,0.0,2.0,Napoli,315.0,422.0,74.6,4909.0,1859.0,151.0,179.0,84.4,113.0,139.0,81.3,27.0,67.0,40.3,0,1.0,0.5,14.0,25.0,6.0,2.0,34.0,Match Report,2019-10-19,18:00 (09:00),Serie A,Matchweek 8,Sat,Away,L,0.0,2.0,Napoli,422.0,366.0,53.0,14.0,1.0,1.0,17,20.0,8.0,4.0,4.0,0.0,315.0,3.0,5.0,Match Report,2019-10-19,18:00 (09:00),Serie A,Matchweek 8,Sat,Away,L,0.0,2.0,Napoli,36.0,15.0,6.0,5.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-10-19,18:00 (09:00),Serie A,Matchweek 8,Sat,Away,L,0.0,2.0,Napoli,17.0,11,6.0,10.0,1.0,6.0,11.0,54.5,5.0,17.0,7.0,10.0,10,27,21.0,0.0,Match Report,2019-10-19,18:00 (09:00),Serie A,Matchweek 8,Sat,Away,L,0.0,2.0,Napoli,44.0,541.0,61.0,134.0,292.0,119.0,17.0,541.0,16.0,8.0,50.0,8.0,50.0,233.0,1375.0,635.0,16.0,9.0,4.0,8.0,11.0,312.0,33.0,Match Report,2019-10-19,18:00 (09:00),Serie A,Matchweek 8,Sat,Away,L,0.0,2.0,Napoli,3,0,0,16,12,3,17,10,11,0.0,0.0,0,57.0,10.0,20.0,33.3,Match Report
2019-10-25,20:45 (11:45),Serie A,Matchweek 9,Fri,Home,L,0.0,1.0,Sassuolo,0,8,4,50.0,0.0,0.0,13.6,0.0,0,0,1.3,1.3,0.17,-1.3,-1.3,Match Report,2019-10-25,20:45 (11:45),Serie A,Matchweek 9,Fri,Home,L,0.0,1.0,Sassuolo,4,1,3,75.0,0,1.4,0.4,0,0,0,0,9.0,19.0,47.4,22.0,2.0,54.5,39.7,9.0,77.8,55.2,7.0,0.0,0.0,1.0,21.3,Match Report,2019-10-25,20:45 (11:45),Serie A,Matchweek 9,Fri,Home,L,0.0,1.0,Sassuolo,371.0,497.0,74.6,7167.0,2688.0,130.0,160.0,81.3,176.0,208.0,84.6,51.0,91.0,56.0,0,1.3,1.0,8.0,34.0,11.0,3.0,63.0,Match Report,2019-10-25,20:45 (11:45),Serie A,Matchweek 9,Fri,Home,L,0.0,1.0,Sassuolo,497.0,431.0,62.0,16.0,0.0,3.0,31,26.0,9.0,3.0,5.0,0.0,371.0,4.0,12.0,Match Report,2019-10-25,20:45 (11:45),Serie A,Matchweek 9,Fri,Home,L,0.0,1.0,Sassuolo,16.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-10-25,20:45 (11:45),Serie A,Matchweek 9,Fri,Home,L,0.0,1.0,Sassuolo,9.0,4,5.0,2.0,2.0,3.0,9.0,33.3,6.0,7.0,6.0,1.0,7,16,19.0,0.0,Match Report,2019-10-25,20:45 (11:45),Serie A,Matchweek 9,Fri,Home,L,0.0,1.0,Sassuolo,56.0,596.0,61.0,164.0,285.0,150.0,23.0,596.0,10.0,7.0,70.0,3.0,30.0,310.0,1835.0,1088.0,27.0,17.0,5.0,15.0,11.0,369.0,63.0,Match Report,2019-10-25,20:45 (11:45),Serie A,Matchweek 9,Fri,Home,L,0.0,1.0,Sassuolo,5,0,0,18,12,4,31,7,4,0.0,0.0,0,49.0,13.0,23.0,36.1,Match Report
