Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2019-08-26,20:45 (11:45),Serie A,Matchweek 1,Mon,Home,W,4,0,Lecce,4,24,8,33.3,0.17,0.50,19.0,0,0,0,1.7,1.7,0.07,+2.3,+2.3,Match Report,2019-08-26,20:45 (11:45),Serie A,Matchweek 1,Mon,Home,W,4,0,Lecce,1,0,1,100.0,1,0.3,+0.3,0,0,0,0,6,7,85.7,16,7,18.8,27.3,7,57.1,40.1,18,0,0.0,2,13.8,Match Report,2019-08-26,20:45 (11:45),Serie A,Matchweek 1,Mon,Home,W,4,0,Lecce,505,581,86.9,10286,3379,171,184,92.9,259,286,90.6,73,97,75.3,3,1.2,1.0,19,46,15,5,50,Match Report,2019-08-26,20:45 (11:45),Serie A,Matchweek 1,Mon,Home,W,4,0,Lecce,581,545,31,9,0,14,23,7,7,0,3,0,505,5,4,Match Report,2019-08-26,20:45 (11:45),Serie A,Matchweek 1,Mon,Home,W,4,0,Lecce,43,36,1,2,4,0,0,7,4,0,1,2,0,0,Match Report,2019-08-26,20:45 (11:45),Serie A,Matchweek 1,Mon,Home,W,4,0,Lecce,11,8,6,4,1,3,12,25.0,9,18,6,12,12,23,25,0,Match Report,2019-08-26,20:45 (11:45),Serie A,Matchweek 1,Mon,Home,W,4,0,Lecce,59,706,73,198,326,186,36,706,18,13,72.2,5,27.8,348,2492,1408,31,20,9,12,5,502,50,Match Report,2019-08-26,20:45 (11:45),Serie A,Matchweek 1,Mon,Home,W,4,0,Lecce,1,0,0,13,9,5,23,12,8,0,0,0,49,11,14,44.0,Match Report
2019-09-01,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,2,1,Cagliari,2,8,4,50.0,0.13,0.25,19.7,1,1,1,1.7,0.9,0.12,+0.3,+0.1,Match Report,2019-09-01,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,2,1,Cagliari,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,2,5,40.0,34,10,11.8,25.2,7,14.3,30.0,15,2,13.3,1,10.7,Match Report,2019-09-01,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,2,1,Cagliari,544,634,85.8,10111,3262,231,250,92.4,235,256,91.8,69,102,67.6,0,0.7,0.8,6,37,9,0,56,Match Report,2019-09-01,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,2,1,Cagliari,634,594,39,11,0,10,12,14,5,1,1,0,544,1,11,Match Report,2019-09-01,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,2,1,Cagliari,17,12,0,2,0,2,1,4,2,0,1,0,1,0,Match Report,2019-09-01,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,2,1,Cagliari,18,10,9,8,1,5,12,41.7,7,7,3,4,2,20,13,0,Match Report,2019-09-01,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,2,1,Cagliari,59,718,58,211,379,132,21,717,15,13,86.7,2,13.3,355,1897,1111,20,5,5,13,8,539,55,Match Report,2019-09-01,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,2,1,Cagliari,3,0,0,10,12,1,12,2,10,1,0,0,42,16,17,48.5,Match Report
2019-09-14,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,W,1,0,Udinese,1,22,8,36.4,0.05,0.13,21.6,2,0,0,1.6,1.6,0.07,-0.6,-0.6,Match Report,2019-09-14,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,W,1,0,Udinese,5,0,5,100.0,1,0.5,+0.5,0,0,0,0,1,4,25.0,23,8,13.0,24.9,3,33.3,33.7,8,1,12.5,0,9.0,Match Report,2019-09-14,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,W,1,0,Udinese,601,704,85.4,9888,3298,285,315,90.5,231,257,89.9,49,74,66.2,1,0.5,0.6,13,58,7,2,56,Match Report,2019-09-14,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,W,1,0,Udinese,704,664,39,9,0,8,20,18,8,3,0,0,601,1,10,Match Report,2019-09-14,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,W,1,0,Udinese,34,23,1,4,2,3,1,2,2,0,0,0,0,0,Match Report,2019-09-14,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,W,1,0,Udinese,14,9,3,8,3,6,14,42.9,8,9,0,9,4,18,9,0,Match Report,2019-09-14,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,W,1,0,Udinese,64,804,43,152,438,220,26,804,10,7,70.0,3,30.0,430,2160,1135,25,17,8,14,9,598,56,Match Report,2019-09-14,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,W,1,0,Udinese,2,0,0,9,11,1,20,4,9,0,0,0,60,21,11,65.6,Match Report
2019-09-17,18:55 (09:55),Champions Lg,Group stage,Tue,Home,D,1,1,cz Slavia Prague,1,16,5,31.3,0.06,0.20,20.0,1,0,0,1.4,1.4,0.09,-0.4,-0.4,Match Report,2019-09-17,18:55 (09:55),Champions Lg,Group stage,Tue,Home,D,1,1,cz Slavia Prague,5,1,4,80.0,0,1.1,+0.1,0,0,0,0,4,8,50.0,41,9,14.6,24.2,6,33.3,36.3,9,0,0.0,2,23.5,Match Report,2019-09-17,18:55 (09:55),Champions Lg,Group stage,Tue,Home,D,1,1,cz Slavia Prague,410,536,76.5,7288,2545,175,211,82.9,188,224,83.9,34,70,48.6,1,1.1,0.9,11,22,3,1,30,Match Report,2019-09-17,18:55 (09:55),Champions Lg,Group stage,Tue,Home,D,1,1,cz Slavia Prague,536,483,50,17,1,3,14,23,2,1,0,0,410,3,11,Match Report,2019-09-17,18:55 (09:55),Champions Lg,Group stage,Tue,Home,D,1,1,cz Slavia Prague,29,18,3,2,1,4,1,1,0,0,0,1,0,0,Match Report,2019-09-17,18:55 (09:55),Champions Lg,Group stage,Tue,Home,D,1,1,cz Slavia Prague,18,10,12,5,1,9,16,56.3,7,15,2,13,10,28,10,0,Match Report,2019-09-17,18:55 (09:55),Champions Lg,Group stage,Tue,Home,D,1,1,cz Slavia Prague,55,631,75,252,276,108,12,631,19,14,73.7,5,26.3,311,2040,1163,15,8,3,7,7,406,30,Match Report,2019-09-17,18:55 (09:55),Champions Lg,Group stage,Tue,Home,D,1,1,cz Slavia Prague,3,0,0,10,17,3,14,10,10,0,0,0,46,20,20,50.0,Match Report
2019-09-21,20:45 (11:45),Serie A,Matchweek 4,Sat,Away,W,2,0,Milan,2,16,7,43.8,0.13,0.29,17.8,0,0,0,2.1,2.1,0.15,-0.1,-0.1,Match Report,2019-09-21,20:45 (11:45),Serie A,Matchweek 4,Sat,Away,W,2,0,Milan,1,0,1,100.0,1,0.0,0.0,0,0,0,0,3,10,30.0,17,2,35.3,30.4,9,44.4,34.8,11,0,0.0,0,6.0,Match Report,2019-09-21,20:45 (11:45),Serie A,Matchweek 4,Sat,Away,W,2,0,Milan,399,483,82.6,6803,2335,195,212,92.0,136,160,85.0,47,70,67.1,2,1.1,0.7,10,39,7,0,49,Match Report,2019-09-21,20:45 (11:45),Serie A,Matchweek 4,Sat,Away,W,2,0,Milan,483,432,46,15,0,8,17,15,6,1,1,0,399,5,6,Match Report,2019-09-21,20:45 (11:45),Serie A,Matchweek 4,Sat,Away,W,2,0,Milan,26,18,2,1,3,2,0,4,2,1,0,0,1,0,Match Report,2019-09-21,20:45 (11:45),Serie A,Matchweek 4,Sat,Away,W,2,0,Milan,21,8,8,9,4,12,21,57.1,9,10,3,7,11,32,19,0,Match Report,2019-09-21,20:45 (11:45),Serie A,Matchweek 4,Sat,Away,W,2,0,Milan,48,598,62,172,255,176,29,598,12,5,41.7,7,58.3,360,1691,872,18,11,9,8,11,398,49,Match Report,2019-09-21,20:45 (11:45),Serie A,Matchweek 4,Sat,Away,W,2,0,Milan,1,0,0,22,12,5,17,11,8,0,0,0,50,19,11,63.3,Match Report
2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,W,1,0,Lazio,1,15,3,20.0,0.07,0.33,16.5,0,0,0,1.5,1.5,0.10,-0.5,-0.5,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,W,1,0,Lazio,4,0,4,100.0,1,1.4,+1.4,0,0,0,0,2,2,100.0,24,3,4.2,21.6,4,25.0,22.5,11,0,0.0,1,16.3,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,W,1,0,Lazio,623,728,85.6,10895,3326,264,290,91.0,253,291,86.9,74,94,78.7,1,0.9,0.8,12,37,7,3,46,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,W,1,0,Lazio,728,682,45,9,0,7,20,27,4,2,1,0,623,1,12,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,W,1,0,Lazio,27,22,2,0,1,2,0,2,2,0,0,0,0,0,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,W,1,0,Lazio,16,8,4,11,1,6,18,33.3,12,12,4,8,15,31,9,1,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,W,1,0,Lazio,64,834,55,237,427,175,20,834,13,8,61.5,5,38.5,584,2561,1226,22,19,4,15,12,619,46,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,W,1,0,Lazio,2,0,0,10,8,1,20,15,8,0,0,0,59,21,12,63.6,Match Report
2019-09-28,18:00 (09:00),Serie A,Matchweek 6,Sat,Away,W,3,1,Sampdoria,3,15,7,46.7,0.20,0.43,15.6,0,0,0,2.2,2.2,0.15,+0.8,+0.8,Match Report,2019-09-28,18:00 (09:00),Serie A,Matchweek 6,Sat,Away,W,3,1,Sampdoria,2,1,1,50.0,0,0.7,-0.3,0,0,0,0,6,17,35.3,21,6,28.6,29.2,18,61.1,44.4,27,2,7.4,0,6.3,Match Report,2019-09-28,18:00 (09:00),Serie A,Matchweek 6,Sat,Away,W,3,1,Sampdoria,460,563,81.7,7726,2794,206,228,90.4,188,211,89.1,41,71,57.7,2,1.3,0.9,11,26,7,2,37,Match Report,2019-09-28,18:00 (09:00),Serie A,Matchweek 6,Sat,Away,W,3,1,Sampdoria,563,499,57,14,2,2,15,18,5,2,2,0,460,7,7,Match Report,2019-09-28,18:00 (09:00),Serie A,Matchweek 6,Sat,Away,W,3,1,Sampdoria,26,18,4,2,2,0,0,4,3,0,0,1,0,0,Match Report,2019-09-28,18:00 (09:00),Serie A,Matchweek 6,Sat,Away,W,3,1,Sampdoria,19,11,8,9,2,6,20,30.0,14,11,4,7,8,27,22,1,Match Report,2019-09-28,18:00 (09:00),Serie A,Matchweek 6,Sat,Away,W,3,1,Sampdoria,54,668,74,241,304,126,29,668,12,9,75.0,3,25.0,267,1284,597,12,4,5,9,11,458,37,Match Report,2019-09-28,18:00 (09:00),Serie A,Matchweek 6,Sat,Away,W,3,1,Sampdoria,4,1,1,12,11,7,15,8,11,0,0,0,49,14,11,56.0,Match Report
2019-10-02,21:00 (12:00),Champions Lg,Group stage,Wed,Away,L,1,2,es Barcelona,1,11,3,27.3,0.09,0.33,16.1,0,0,0,1.1,1.1,0.10,-0.1,-0.1,Match Report,2019-10-02,21:00 (12:00),Champions Lg,Group stage,Wed,Away,L,1,2,es Barcelona,7,2,5,71.4,0,2.0,0.0,0,0,0,0,3,4,75.0,29,9,10.3,27.6,10,10.0,21.7,6,1,16.7,0,7.5,Match Report,2019-10-02,21:00 (12:00),Champions Lg,Group stage,Wed,Away,L,1,2,es Barcelona,346,423,81.8,6194,2550,167,182,91.8,134,154,87.0,43,69,62.3,1,1.0,1.3,9,17,7,1,32,Match Report,2019-10-02,21:00 (12:00),Champions Lg,Group stage,Wed,Away,L,1,2,es Barcelona,423,377,42,19,2,7,7,7,3,1,0,0,346,4,7,Match Report,2019-10-02,21:00 (12:00),Champions Lg,Group stage,Wed,Away,L,1,2,es Barcelona,18,13,2,0,1,2,0,0,0,0,0,0,0,0,Match Report,2019-10-02,21:00 (12:00),Champions Lg,Group stage,Wed,Away,L,1,2,es Barcelona,15,7,7,7,1,3,24,12.5,21,9,3,6,15,30,14,0,Match Report,2019-10-02,21:00 (12:00),Champions Lg,Group stage,Wed,Away,L,1,2,es Barcelona,35,524,83,248,207,74,20,524,11,8,72.7,3,27.3,309,1419,726,12,7,4,14,6,341,29,Match Report,2019-10-02,21:00 (12:00),Champions Lg,Group stage,Wed,Away,L,1,2,es Barcelona,2,0,0,18,17,4,7,15,7,0,0,0,44,3,5,37.5,Match Report
2019-10-06,20:45 (11:45),Serie A,Matchweek 7,Sun,Home,L,1,2,Juventus,1,9,2,22.2,0.00,0.00,20.9,0,1,1,1.6,0.8,0.09,-0.6,-0.8,Match Report,2019-10-06,20:45 (11:45),Serie A,Matchweek 7,Sun,Home,L,1,2,Juventus,6,2,4,66.7,0,1.2,-0.8,0,0,0,0,3,10,30.0,21,6,33.3,34.7,7,42.9,33.0,11,1,9.1,0,9.0,Match Report,2019-10-06,20:45 (11:45),Serie A,Matchweek 7,Sun,Home,L,1,2,Juventus,432,531,81.4,7838,2632,183,198,92.4,196,228,86.0,47,70,67.1,0,0.7,0.6,5,23,8,4,48,Match Report,2019-10-06,20:45 (11:45),Serie A,Matchweek 7,Sun,Home,L,1,2,Juventus,531,480,49,10,1,9,21,22,7,2,0,0,432,2,13,Match Report,2019-10-06,20:45 (11:45),Serie A,Matchweek 7,Sun,Home,L,1,2,Juventus,17,14,1,1,0,0,1,1,1,0,0,0,0,0,Match Report,2019-10-06,20:45 (11:45),Serie A,Matchweek 7,Sun,Home,L,1,2,Juventus,15,12,10,2,3,5,18,27.8,13,14,6,8,12,27,13,0,Match Report,2019-10-06,20:45 (11:45),Serie A,Matchweek 7,Sun,Home,L,1,2,Juventus,51,634,60,225,259,152,27,633,16,11,68.8,5,31.3,310,1571,834,22,21,7,10,6,431,48,Match Report,2019-10-06,20:45 (11:45),Serie A,Matchweek 7,Sun,Home,L,1,2,Juventus,2,0,0,22,7,2,21,12,12,0,0,0,46,6,10,37.5,Match Report
2019-10-20,12:30 (03:30),Serie A,Matchweek 8,Sun,Away,W,4,3,Sassuolo,4,11,5,45.5,0.18,0.40,17.9,1,2,2,2.6,1.0,0.09,+1.4,+1.0,Match Report,2019-10-20,12:30 (03:30),Serie A,Matchweek 8,Sun,Away,W,4,3,Sassuolo,4,3,1,25.0,0,1.1,-1.9,0,0,0,0,5,8,62.5,23,3,21.7,29.5,7,42.9,34.4,14,1,7.1,2,18.3,Match Report,2019-10-20,12:30 (03:30),Serie A,Matchweek 8,Sun,Away,W,4,3,Sassuolo,347,427,81.3,6326,2282,139,157,88.5,150,176,85.2,43,59,72.9,2,0.9,0.8,9,21,11,2,36,Match Report,2019-10-20,12:30 (03:30),Serie A,Matchweek 8,Sun,Away,W,4,3,Sassuolo,427,378,47,11,2,3,22,18,7,1,4,0,347,2,9,Match Report,2019-10-20,12:30 (03:30),Serie A,Matchweek 8,Sun,Away,W,4,3,Sassuolo,25,18,1,3,0,3,0,8,6,0,0,0,2,0,Match Report,2019-10-20,12:30 (03:30),Serie A,Matchweek 8,Sun,Away,W,4,3,Sassuolo,22,10,9,9,4,10,21,47.6,11,5,2,3,10,32,25,0,Match Report,2019-10-20,12:30 (03:30),Serie A,Matchweek 8,Sun,Away,W,4,3,Sassuolo,46,516,67,170,232,120,26,514,13,9,69.2,4,30.8,287,1750,1006,17,14,3,14,9,343,36,Match Report,2019-10-20,12:30 (03:30),Serie A,Matchweek 8,Sun,Away,W,4,3,Sassuolo,3,0,0,18,14,2,22,10,10,2,0,0,35,6,7,46.2,Match Report
