Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2019-08-24,20:45 (11:45),Serie A,Matchweek 1,Sat,Away,W,4,3,Fiorentina,4,15,6,40.0,0.20,0.50,21.3,0,1,1,2.0,1.2,0.08,+2.0,+1.8,Match Report,2019-08-24,20:45 (11:45),Serie A,Matchweek 1,Sat,Away,W,4,3,Fiorentina,6,3,3,66.7,0,1.8,-1.2,1,1,0,0,2,8,25.0,24,8,20.8,27.7,8,37.5,32.6,13,0,0.0,0,7.0,Match Report,2019-08-24,20:45 (11:45),Serie A,Matchweek 1,Sat,Away,W,4,3,Fiorentina,470,557,84.4,7505,2414,240,260,92.3,164,189,86.8,45,74,60.8,3,1.2,1.6,15,30,10,1,34,Match Report,2019-08-24,20:45 (11:45),Serie A,Matchweek 1,Sat,Away,W,4,3,Fiorentina,557,504,53,21,0,4,14,15,5,0,3,0,470,0,7,Match Report,2019-08-24,20:45 (11:45),Serie A,Matchweek 1,Sat,Away,W,4,3,Fiorentina,31,24,3,0,2,1,1,7,6,0,0,0,1,0,Match Report,2019-08-24,20:45 (11:45),Serie A,Matchweek 1,Sat,Away,W,4,3,Fiorentina,12,6,5,6,1,5,21,23.8,16,13,8,5,9,21,13,0,Match Report,2019-08-24,20:45 (11:45),Serie A,Matchweek 1,Sat,Away,W,4,3,Fiorentina,57,644,81,222,277,148,21,643,13,9,69.2,4,30.8,431,2055,1104,26,19,4,10,10,469,34,Match Report,2019-08-24,20:45 (11:45),Serie A,Matchweek 1,Sat,Away,W,4,3,Fiorentina,4,0,0,16,20,0,14,9,6,1,1,0,42,11,9,55.0,Match Report
2019-08-31,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,3,4,Juventus,3,15,7,46.7,0.20,0.43,21.2,0,0,0,1.4,1.4,0.09,+1.6,+1.6,Match Report,2019-08-31,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,3,4,Juventus,7,4,4,42.9,0,2.8,-0.2,0,0,0,0,0,4,0.0,17,5,5.9,19.1,7,42.9,33.3,14,0,0.0,0,,Match Report,2019-08-31,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,3,4,Juventus,503,588,85.5,8015,2258,265,287,92.3,193,221,87.3,34,52,65.4,3,1.4,0.7,14,39,6,0,47,Match Report,2019-08-31,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,3,4,Juventus,588,534,53,13,0,5,14,23,5,3,1,0,503,1,5,Match Report,2019-08-31,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,3,4,Juventus,28,19,3,3,0,2,1,6,2,2,0,0,2,0,Match Report,2019-08-31,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,3,4,Juventus,13,9,3,8,2,6,14,42.9,8,2,0,2,9,22,15,0,Match Report,2019-08-31,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,3,4,Juventus,55,675,50,161,352,165,12,675,12,8,66.7,4,33.3,440,1948,1126,21,17,2,9,5,501,46,Match Report,2019-08-31,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,3,4,Juventus,3,0,0,13,12,1,14,9,9,0,0,1,36,11,7,61.1,Match Report
2019-09-14,18:00 (09:00),Serie A,Matchweek 3,Sat,Home,W,2,0,Sampdoria,2,26,6,23.1,0.08,0.33,21.3,1,0,0,1.6,1.6,0.06,+0.4,+0.4,Match Report,2019-09-14,18:00 (09:00),Serie A,Matchweek 3,Sat,Home,W,2,0,Sampdoria,2,0,2,100.0,1,1.7,+1.7,0,0,0,0,2,5,40.0,23,3,21.7,25.7,8,0.0,12.8,8,0,0.0,1,12.6,Match Report,2019-09-14,18:00 (09:00),Serie A,Matchweek 3,Sat,Home,W,2,0,Sampdoria,648,738,87.8,9405,3087,360,380,94.7,225,245,91.8,31,58,53.4,2,1.3,0.8,19,37,10,1,62,Match Report,2019-09-14,18:00 (09:00),Serie A,Matchweek 3,Sat,Home,W,2,0,Sampdoria,738,689,47,9,1,6,24,21,8,3,3,0,648,2,13,Match Report,2019-09-14,18:00 (09:00),Serie A,Matchweek 3,Sat,Home,W,2,0,Sampdoria,43,32,1,2,5,1,2,4,4,0,0,0,0,0,Match Report,2019-09-14,18:00 (09:00),Serie A,Matchweek 3,Sat,Home,W,2,0,Sampdoria,13,6,4,6,3,5,13,38.5,8,11,2,9,8,21,13,0,Match Report,2019-09-14,18:00 (09:00),Serie A,Matchweek 3,Sat,Home,W,2,0,Sampdoria,67,842,64,212,442,194,21,842,15,8,53.3,7,46.7,567,2435,1436,27,20,6,3,10,647,62,Match Report,2019-09-14,18:00 (09:00),Serie A,Matchweek 3,Sat,Home,W,2,0,Sampdoria,2,0,0,6,9,2,24,8,6,0,0,0,61,9,5,64.3,Match Report
2019-09-17,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,2,0,eng Liverpool,2,9,4,44.4,0.11,0.25,21.3,0,1,1,1.8,1.0,0.11,+0.2,0.0,Match Report,2019-09-17,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,2,0,eng Liverpool,4,0,4,100.0,1,0.6,+0.6,0,0,0,0,4,12,33.3,25,2,36.0,31.0,10,30.0,28.8,12,0,0.0,1,12.3,Match Report,2019-09-17,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,2,0,eng Liverpool,465,567,82.0,7652,2906,267,289,92.4,143,167,85.6,45,73,61.6,0,0.6,0.8,6,24,7,1,37,Match Report,2019-09-17,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,2,0,eng Liverpool,567,509,54,10,1,4,20,26,7,1,6,0,465,4,10,Match Report,2019-09-17,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,2,0,eng Liverpool,16,12,1,1,1,1,0,2,1,0,0,0,1,0,Match Report,2019-09-17,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,2,0,eng Liverpool,14,6,10,3,1,8,17,47.1,9,15,4,11,12,26,20,2,Match Report,2019-09-17,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,2,0,eng Liverpool,48,671,80,248,306,122,17,670,16,10,62.5,6,37.5,326,1333,684,10,5,6,15,18,461,37,Match Report,2019-09-17,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,2,0,eng Liverpool,1,0,0,4,10,4,20,12,6,1,0,0,62,12,9,57.1,Match Report
2019-09-22,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,W,4,1,Lecce,4,20,9,45.0,0.15,0.33,18.0,0,1,1,2.9,2.2,0.12,+1.1,+0.8,Match Report,2019-09-22,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,W,4,1,Lecce,3,1,2,100.0,0,1.1,+0.1,1,1,0,0,4,7,57.1,22,1,18.2,26.8,6,50.0,34.7,9,0,0.0,1,18.0,Match Report,2019-09-22,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,W,4,1,Lecce,607,684,88.7,10012,3121,294,319,92.2,225,239,94.1,59,88,67.0,1,1.0,1.0,15,44,14,3,61,Match Report,2019-09-22,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,W,4,1,Lecce,684,643,41,12,1,13,21,15,6,2,3,1,607,0,6,Match Report,2019-09-22,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,W,4,1,Lecce,37,28,3,1,5,0,0,5,2,0,0,3,0,0,Match Report,2019-09-22,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,W,4,1,Lecce,15,9,9,4,2,5,13,38.5,8,11,2,9,11,26,5,0,Match Report,2019-09-22,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,W,4,1,Lecce,62,784,52,160,443,187,29,783,17,9,52.9,8,47.1,577,2791,1548,33,27,5,10,7,606,61,Match Report,2019-09-22,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,W,4,1,Lecce,3,0,0,8,9,0,21,11,9,0,1,0,56,7,8,46.7,Match Report
2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,L,0,1,Cagliari,0,30,5,16.7,0.00,0.00,17.6,0,0,0,2.0,2.0,0.07,-2.0,-2.0,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,L,0,1,Cagliari,1,1,0,0.0,0,0.5,-0.5,0,0,0,0,0,2,0.0,20,2,10.0,25.2,5,0.0,22.8,7,0,0.0,1,18.8,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,L,0,1,Cagliari,578,684,84.5,9403,3120,287,312,92.0,231,264,87.5,43,66,65.2,0,1.6,1.7,20,41,17,6,77,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,L,0,1,Cagliari,684,617,64,16,1,4,37,28,13,4,6,0,578,3,13,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,L,0,1,Cagliari,51,32,8,3,7,1,0,0,0,0,0,0,0,0,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,L,0,1,Cagliari,14,8,6,7,1,2,11,18.2,9,8,0,8,10,24,7,0,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,L,0,1,Cagliari,67,789,34,128,441,226,41,789,21,13,61.9,8,38.1,528,3075,1762,41,28,8,13,9,576,76,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,L,0,1,Cagliari,1,1,0,9,13,3,37,10,8,0,0,0,51,23,12,65.7,Match Report
2019-09-29,12:30 (03:30),Serie A,Matchweek 6,Sun,Home,W,2,1,Brescia,2,20,7,35.0,0.10,0.29,16.9,0,0,0,2.0,2.0,0.10,0.0,0.0,Match Report,2019-09-29,12:30 (03:30),Serie A,Matchweek 6,Sun,Home,W,2,1,Brescia,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,4,7,57.1,23,5,17.4,25.8,9,33.3,26.2,19,2,10.5,1,13.8,Match Report,2019-09-29,12:30 (03:30),Serie A,Matchweek 6,Sun,Home,W,2,1,Brescia,483,565,85.5,7998,2895,243,266,91.4,166,189,87.8,50,70,71.4,2,2.0,1.6,16,34,15,2,55,Match Report,2019-09-29,12:30 (03:30),Serie A,Matchweek 6,Sun,Home,W,2,1,Brescia,565,526,39,10,1,5,29,11,7,3,3,0,483,0,9,Match Report,2019-09-29,12:30 (03:30),Serie A,Matchweek 6,Sun,Home,W,2,1,Brescia,34,27,4,2,1,0,0,4,3,1,0,0,0,0,Match Report,2019-09-29,12:30 (03:30),Serie A,Matchweek 6,Sun,Home,W,2,1,Brescia,16,11,6,8,2,3,9,33.3,6,16,6,10,15,31,23,0,Match Report,2019-09-29,12:30 (03:30),Serie A,Matchweek 6,Sun,Home,W,2,1,Brescia,55,679,65,198,316,169,39,679,16,8,50.0,8,50.0,462,2334,1342,28,12,5,7,3,480,54,Match Report,2019-09-29,12:30 (03:30),Serie A,Matchweek 6,Sun,Home,W,2,1,Brescia,2,0,0,12,8,0,29,15,11,0,0,0,48,11,12,47.8,Match Report
2019-10-02,18:55 (09:55),Champions Lg,Group stage,Wed,Away,D,0,0,be Genk,0,18,2,11.1,0.00,0.00,13.6,1,0,0,3.2,3.2,0.21,-3.2,-3.2,Match Report,2019-10-02,18:55 (09:55),Champions Lg,Group stage,Wed,Away,D,0,0,be Genk,2,0,2,100.0,1,0.6,+0.6,0,0,0,0,3,5,60.0,12,1,8.3,22.3,11,36.4,27.2,26,0,0.0,0,11.3,Match Report,2019-10-02,18:55 (09:55),Champions Lg,Group stage,Wed,Away,D,0,0,be Genk,519,636,81.6,8535,2808,269,301,89.4,191,230,83.0,44,70,62.9,0,2.1,1.4,12,59,6,4,59,Match Report,2019-10-02,18:55 (09:55),Champions Lg,Group stage,Wed,Away,D,0,0,be Genk,636,584,51,6,0,5,37,26,7,3,4,0,519,1,10,Match Report,2019-10-02,18:55 (09:55),Champions Lg,Group stage,Wed,Away,D,0,0,be Genk,29,22,2,0,4,1,0,0,0,0,0,0,0,0,Match Report,2019-10-02,18:55 (09:55),Champions Lg,Group stage,Wed,Away,D,0,0,be Genk,25,20,18,6,1,15,24,62.5,9,6,3,3,9,34,29,1,Match Report,2019-10-02,18:55 (09:55),Champions Lg,Group stage,Wed,Away,D,0,0,be Genk,62,772,66,213,386,178,26,772,12,6,50.0,6,50.0,387,2288,1347,30,17,7,22,12,515,56,Match Report,2019-10-02,18:55 (09:55),Champions Lg,Group stage,Wed,Away,D,0,0,be Genk,2,0,0,14,6,1,37,9,20,0,0,0,64,22,18,55.0,Match Report
2019-10-06,18:00 (09:00),Serie A,Matchweek 7,Sun,Away,D,0,0,Torino,0,16,3,18.8,0.00,0.00,20.8,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Match Report,2019-10-06,18:00 (09:00),Serie A,Matchweek 7,Sun,Away,D,0,0,Torino,4,0,4,100.0,1,0.6,+0.6,0,0,0,0,1,4,25.0,21,6,14.3,21.6,9,11.1,22.3,14,0,0.0,1,22.0,Match Report,2019-10-06,18:00 (09:00),Serie A,Matchweek 7,Sun,Away,D,0,0,Torino,469,574,81.7,7279,2630,245,274,89.4,171,202,84.7,32,54,59.3,0,0.9,0.6,13,34,14,3,50,Match Report,2019-10-06,18:00 (09:00),Serie A,Matchweek 7,Sun,Away,D,0,0,Torino,574,518,55,13,1,1,17,27,5,1,3,0,469,1,11,Match Report,2019-10-06,18:00 (09:00),Serie A,Matchweek 7,Sun,Away,D,0,0,Torino,29,25,2,1,1,0,0,0,0,0,0,0,0,0,Match Report,2019-10-06,18:00 (09:00),Serie A,Matchweek 7,Sun,Away,D,0,0,Torino,16,12,10,3,3,11,23,47.8,12,5,2,3,15,31,15,0,Match Report,2019-10-06,18:00 (09:00),Serie A,Matchweek 7,Sun,Away,D,0,0,Torino,60,684,70,188,304,197,16,684,10,6,60.0,4,40.0,434,2359,1398,21,19,2,14,15,463,49,Match Report,2019-10-06,18:00 (09:00),Serie A,Matchweek 7,Sun,Away,D,0,0,Torino,2,0,0,12,11,1,17,15,12,0,0,0,55,16,12,57.1,Match Report
2019-10-19,18:00 (09:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Hellas Verona,2,21,6,28.6,0.10,0.33,18.0,0,0,0,2.4,2.4,0.12,-0.4,-0.4,Match Report,2019-10-19,18:00 (09:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Hellas Verona,5,0,5,100.0,1,0.9,+0.9,0,0,0,0,6,21,28.6,23,2,60.9,41.7,11,63.6,38.5,17,1,5.9,0,4.7,Match Report,2019-10-19,18:00 (09:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Hellas Verona,414,527,78.6,6240,2415,235,259,90.7,124,154,80.5,34,73,46.6,2,2.1,1.0,16,23,10,1,31,Match Report,2019-10-19,18:00 (09:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Hellas Verona,527,463,61,19,0,2,13,24,6,4,1,0,414,3,11,Match Report,2019-10-19,18:00 (09:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Hellas Verona,38,29,3,0,4,2,0,4,2,1,0,0,1,0,Match Report,2019-10-19,18:00 (09:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Hellas Verona,19,10,8,11,0,8,16,50.0,8,11,6,5,7,26,15,0,Match Report,2019-10-19,18:00 (09:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Hellas Verona,56,636,70,169,327,142,29,636,11,5,45.5,6,54.5,346,1540,666,14,9,2,12,11,411,30,Match Report,2019-10-19,18:00 (09:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Hellas Verona,3,0,0,12,15,3,13,7,10,0,0,0,53,20,10,66.7,Match Report
