Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2019-08-18,20:45 (11:45),Coppa Italia,Third round,Sun,Home,W,3,1,FeralpiSalò,3,0,0,,,,,,0,0,,,,,,Match Report,2019-08-18,20:45 (11:45),Coppa Italia,Third round,Sun,Home,W,3,1,FeralpiSalò,0,1,0,,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2019-08-18,20:45 (11:45),Coppa Italia,Third round,Sun,Home,W,3,1,FeralpiSalò,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2019-08-18,20:45 (11:45),Coppa Italia,Third round,Sun,Home,W,3,1,FeralpiSalò,,,,,,,0,,,,,,,,,Match Report,2019-08-18,20:45 (11:45),Coppa Italia,Third round,Sun,Home,W,3,1,FeralpiSalò,,,,,,,,,,,,,,,Match Report,2019-08-18,20:45 (11:45),Coppa Italia,Third round,Sun,Home,W,3,1,FeralpiSalò,,0,,,,,,,,,,,0,0,,,Match Report,2019-08-18,20:45 (11:45),Coppa Italia,Third round,Sun,Home,W,3,1,FeralpiSalò,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2019-08-18,20:45 (11:45),Coppa Italia,Third round,Sun,Home,W,3,1,FeralpiSalò,2,0,0,0,0,0,0,0,0,,,0,,,,,Match Report
2019-08-25,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,L,2,3,Atalanta,2,9,3,33.3,0.22,0.67,18.8,0,0,0,1.6,1.6,0.17,+0.4,+0.4,Match Report,2019-08-25,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,L,2,3,Atalanta,13,3,10,76.9,0,3.4,+0.4,0,0,0,0,5,16,31.3,30,6,40.0,33.7,8,50.0,41.4,25,0,0.0,0,10.3,Match Report,2019-08-25,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,L,2,3,Atalanta,258,371,69.5,4684,2070,112,133,84.2,115,150,76.7,25,67,37.3,2,1.5,1.1,7,15,5,2,24,Match Report,2019-08-25,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,L,2,3,Atalanta,371,322,47,18,1,1,15,15,2,0,2,0,258,2,4,Match Report,2019-08-25,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,L,2,3,Atalanta,17,15,0,0,0,0,2,4,4,0,0,0,0,0,Match Report,2019-08-25,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,L,2,3,Atalanta,14,4,5,9,0,8,14,57.1,6,11,1,10,9,23,32,0,Match Report,2019-08-25,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,L,2,3,Atalanta,41,484,77,194,226,72,10,484,17,9,52.9,8,47.1,244,1473,788,16,11,2,11,9,256,24,Match Report,2019-08-25,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,L,2,3,Atalanta,2,0,0,13,14,2,15,9,4,0,0,0,48,20,28,41.7,Match Report
2019-08-30,20:45 (11:45),Serie A,Matchweek 2,Fri,Away,L,0,1,Bologna,0,9,1,11.1,0.00,0.00,19.2,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Match Report,2019-08-30,20:45 (11:45),Serie A,Matchweek 2,Fri,Away,L,0,1,Bologna,7,1,6,85.7,0,2.0,+1.0,0,0,0,0,9,24,37.5,23,3,47.8,41.8,18,72.2,50.7,22,0,0.0,0,9.5,Match Report,2019-08-30,20:45 (11:45),Serie A,Matchweek 2,Fri,Away,L,0,1,Bologna,252,369,68.3,4749,2283,112,130,86.2,106,141,75.2,32,86,37.2,0,0.8,0.8,9,18,8,2,28,Match Report,2019-08-30,20:45 (11:45),Serie A,Matchweek 2,Fri,Away,L,0,1,Bologna,369,306,63,15,2,4,16,26,2,0,1,0,252,0,11,Match Report,2019-08-30,20:45 (11:45),Serie A,Matchweek 2,Fri,Away,L,0,1,Bologna,17,14,1,1,0,1,0,0,0,0,0,0,0,0,Match Report,2019-08-30,20:45 (11:45),Serie A,Matchweek 2,Fri,Away,L,0,1,Bologna,15,11,8,6,1,8,23,34.8,15,12,7,5,11,26,17,0,Match Report,2019-08-30,20:45 (11:45),Serie A,Matchweek 2,Fri,Away,L,0,1,Bologna,43,468,83,174,186,115,13,468,12,10,83.3,2,16.7,225,1296,603,13,8,1,12,11,248,27,Match Report,2019-08-30,20:45 (11:45),Serie A,Matchweek 2,Fri,Away,L,0,1,Bologna,2,0,0,15,13,0,16,11,11,0,0,0,55,22,34,39.3,Match Report
2019-09-15,15:00 (06:00),Serie A,Matchweek 3,Sun,Home,W,2,1,Lazio,2,17,3,17.6,0.12,0.67,19.3,0,0,0,1.3,1.3,0.08,+0.7,+0.7,Match Report,2019-09-15,15:00 (06:00),Serie A,Matchweek 3,Sun,Home,W,2,1,Lazio,5,1,4,100.0,0,1.5,+0.5,1,1,0,0,4,9,44.4,27,11,22.2,27.9,9,33.3,30.4,14,2,14.3,0,9.0,Match Report,2019-09-15,15:00 (06:00),Serie A,Matchweek 3,Sun,Home,W,2,1,Lazio,374,460,81.3,6660,2570,174,198,87.9,154,174,88.5,40,69,58.0,1,1.2,0.9,14,29,5,1,30,Match Report,2019-09-15,15:00 (06:00),Serie A,Matchweek 3,Sun,Home,W,2,1,Lazio,460,409,51,12,1,6,19,20,8,5,2,0,374,0,7,Match Report,2019-09-15,15:00 (06:00),Serie A,Matchweek 3,Sun,Home,W,2,1,Lazio,33,24,4,1,2,2,0,3,1,1,0,1,0,0,Match Report,2019-09-15,15:00 (06:00),Serie A,Matchweek 3,Sun,Home,W,2,1,Lazio,10,2,5,2,3,5,14,35.7,9,11,2,9,9,19,27,0,Match Report,2019-09-15,15:00 (06:00),Serie A,Matchweek 3,Sun,Home,W,2,1,Lazio,46,570,75,216,218,143,24,570,12,9,75.0,3,25.0,333,2068,1248,28,20,8,8,10,371,30,Match Report,2019-09-15,15:00 (06:00),Serie A,Matchweek 3,Sun,Home,W,2,1,Lazio,5,0,0,9,11,0,19,9,2,0,1,0,43,18,10,64.3,Match Report
2019-09-22,12:30 (03:30),Serie A,Matchweek 4,Sun,Away,L,0,3,Sassuolo,0,13,3,23.1,0.00,0.00,21.0,2,0,0,1.1,1.1,0.08,-1.1,-1.1,Match Report,2019-09-22,12:30 (03:30),Serie A,Matchweek 4,Sun,Away,L,0,3,Sassuolo,6,3,3,50.0,0,1.5,-1.5,0,0,0,0,4,7,57.1,25,6,20.0,25.7,9,22.2,25.8,9,0,0.0,0,12.0,Match Report,2019-09-22,12:30 (03:30),Serie A,Matchweek 4,Sun,Away,L,0,3,Sassuolo,374,451,82.9,6760,2515,178,197,90.4,156,175,89.1,37,66,56.1,0,0.9,1.2,7,22,3,0,33,Match Report,2019-09-22,12:30 (03:30),Serie A,Matchweek 4,Sun,Away,L,0,3,Sassuolo,451,396,52,17,0,6,19,13,9,3,3,0,374,3,4,Match Report,2019-09-22,12:30 (03:30),Serie A,Matchweek 4,Sun,Away,L,0,3,Sassuolo,23,15,4,0,0,3,1,0,0,0,0,0,0,0,Match Report,2019-09-22,12:30 (03:30),Serie A,Matchweek 4,Sun,Away,L,0,3,Sassuolo,14,8,9,3,2,6,14,42.9,8,8,6,2,11,25,12,0,Match Report,2019-09-22,12:30 (03:30),Serie A,Matchweek 4,Sun,Away,L,0,3,Sassuolo,46,531,64,208,211,122,15,531,11,8,72.7,3,27.3,296,1571,841,8,9,4,12,10,372,32,Match Report,2019-09-22,12:30 (03:30),Serie A,Matchweek 4,Sun,Away,L,0,3,Sassuolo,2,0,0,14,18,3,19,11,8,0,0,0,36,15,7,68.2,Match Report
2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,L,1,3,Lecce,1,18,6,33.3,0.06,0.17,19.6,2,0,0,1.0,1.0,0.06,0.0,0.0,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,L,1,3,Lecce,3,3,0,66.7,0,2.2,-0.8,2,2,0,0,1,3,33.3,21,4,9.5,20.3,3,33.3,43.0,4,1,25.0,1,10.6,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,L,1,3,Lecce,431,520,82.9,8002,2804,187,208,89.9,188,224,83.9,51,74,68.9,1,0.6,0.7,11,51,8,3,55,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,L,1,3,Lecce,520,468,52,13,0,3,40,22,10,3,4,0,431,0,7,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,L,1,3,Lecce,30,21,3,2,1,2,1,2,2,0,0,0,0,0,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,L,1,3,Lecce,16,13,7,9,0,6,12,50.0,6,5,1,4,5,21,8,0,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,L,1,3,Lecce,58,603,36,157,276,176,18,603,17,8,47.1,9,52.9,360,2123,1135,34,13,6,10,11,428,55,Match Report,2019-09-25,21:00 (12:00),Serie A,Matchweek 5,Wed,Home,L,1,3,Lecce,1,0,0,15,13,0,40,5,13,0,2,0,41,9,11,45.0,Match Report
2019-09-28,15:00 (06:00),Serie A,Matchweek 6,Sat,Away,L,0,2,Juventus,0,5,1,20.0,0.00,0.00,17.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Match Report,2019-09-28,15:00 (06:00),Serie A,Matchweek 6,Sat,Away,L,0,2,Juventus,10,2,8,80.0,0,3.6,+1.6,0,0,0,0,6,17,35.3,24,6,50.0,35.0,12,41.7,38.8,21,0,0.0,2,10.3,Match Report,2019-09-28,15:00 (06:00),Serie A,Matchweek 6,Sat,Away,L,0,2,Juventus,276,365,75.6,5010,1984,125,146,85.6,115,133,86.5,34,70,48.6,0,0.2,0.2,4,11,2,1,11,Match Report,2019-09-28,15:00 (06:00),Serie A,Matchweek 6,Sat,Away,L,0,2,Juventus,365,309,54,16,0,6,7,21,2,1,1,0,276,2,8,Match Report,2019-09-28,15:00 (06:00),Serie A,Matchweek 6,Sat,Away,L,0,2,Juventus,9,7,2,0,0,0,0,0,0,0,0,0,0,0,Match Report,2019-09-28,15:00 (06:00),Serie A,Matchweek 6,Sat,Away,L,0,2,Juventus,20,17,15,4,1,9,21,42.9,12,12,4,8,13,33,22,0,Match Report,2019-09-28,15:00 (06:00),Serie A,Matchweek 6,Sat,Away,L,0,2,Juventus,33,484,88,238,179,70,11,484,14,10,71.4,4,28.6,248,1264,629,9,14,1,16,11,274,10,Match Report,2019-09-28,15:00 (06:00),Serie A,Matchweek 6,Sat,Away,L,0,2,Juventus,2,0,0,9,12,2,7,13,17,0,0,0,43,6,9,40.0,Match Report
2019-10-05,15:00 (06:00),Serie A,Matchweek 7,Sat,Home,W,1,0,Parma,1,16,7,43.8,0.06,0.14,17.8,0,0,0,1.2,1.2,0.07,-0.2,-0.2,Match Report,2019-10-05,15:00 (06:00),Serie A,Matchweek 7,Sat,Home,W,1,0,Parma,1,0,1,100.0,1,0.3,+0.3,0,0,0,0,7,15,46.7,22,5,54.5,40.8,4,75.0,54.0,14,1,7.1,0,13.6,Match Report,2019-10-05,15:00 (06:00),Serie A,Matchweek 7,Sat,Home,W,1,0,Parma,284,389,73.0,5460,2211,128,149,85.9,112,147,76.2,38,77,49.4,1,0.9,0.3,9,27,7,2,39,Match Report,2019-10-05,15:00 (06:00),Serie A,Matchweek 7,Sat,Home,W,1,0,Parma,389,337,51,16,0,10,24,25,5,2,3,0,284,1,4,Match Report,2019-10-05,15:00 (06:00),Serie A,Matchweek 7,Sat,Home,W,1,0,Parma,28,20,2,4,1,0,1,1,0,0,0,1,0,0,Match Report,2019-10-05,15:00 (06:00),Serie A,Matchweek 7,Sat,Home,W,1,0,Parma,11,8,7,2,2,2,7,28.6,5,10,4,6,15,26,17,0,Match Report,2019-10-05,15:00 (06:00),Serie A,Matchweek 7,Sat,Home,W,1,0,Parma,47,489,46,138,208,149,18,489,19,14,73.7,5,26.3,274,1716,943,25,15,5,12,7,283,39,Match Report,2019-10-05,15:00 (06:00),Serie A,Matchweek 7,Sat,Home,W,1,0,Parma,5,1,1,10,12,1,24,15,8,0,0,0,47,10,18,35.7,Match Report
2019-10-20,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,L,0,2,Cagliari,0,12,5,41.7,0.00,0.00,17.8,1,0,0,0.7,0.7,0.06,-0.7,-0.7,Match Report,2019-10-20,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,L,0,2,Cagliari,5,2,3,60.0,0,1.2,-0.8,0,0,0,0,2,12,16.7,31,6,19.4,25.1,11,54.5,41.9,22,1,4.5,0,11.0,Match Report,2019-10-20,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,L,0,2,Cagliari,387,470,82.3,6832,2421,171,183,93.4,173,193,89.6,33,71,46.5,0,0.6,0.9,10,36,9,4,43,Match Report,2019-10-20,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,L,0,2,Cagliari,470,418,50,16,0,6,22,14,6,2,3,0,387,2,9,Match Report,2019-10-20,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,L,0,2,Cagliari,21,13,4,2,1,1,0,0,0,0,0,0,0,0,Match Report,2019-10-20,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,L,0,2,Cagliari,14,9,8,6,0,6,15,40.0,9,5,2,3,5,19,16,0,Match Report,2019-10-20,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,L,0,2,Cagliari,56,565,74,199,249,125,17,565,13,7,53.8,6,46.2,317,1755,916,17,12,2,14,9,384,43,Match Report,2019-10-20,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,L,0,2,Cagliari,5,0,0,15,17,2,22,5,9,0,0,0,43,14,15,48.3,Match Report
2019-10-27,15:00 (07:00),Serie A,Matchweek 9,Sun,Home,D,1,1,Napoli,1,10,2,20.0,0.10,0.50,16.1,1,0,0,0.7,0.7,0.07,+0.3,+0.3,Match Report,2019-10-27,15:00 (07:00),Serie A,Matchweek 9,Sun,Home,D,1,1,Napoli,4,1,3,75.0,0,0.5,-0.5,0,0,0,0,14,29,48.3,33,5,63.6,40.5,8,100.0,61.8,22,1,4.5,3,16.3,Match Report,2019-10-27,15:00 (07:00),Serie A,Matchweek 9,Sun,Home,D,1,1,Napoli,226,315,71.7,4371,2268,106,127,83.5,89,111,80.2,30,65,46.2,1,0.3,0.2,5,18,4,1,26,Match Report,2019-10-27,15:00 (07:00),Serie A,Matchweek 9,Sun,Home,D,1,1,Napoli,315,268,45,17,0,2,13,14,4,3,0,1,226,2,5,Match Report,2019-10-27,15:00 (07:00),Serie A,Matchweek 9,Sun,Home,D,1,1,Napoli,15,8,2,1,2,2,0,2,1,0,1,0,0,0,Match Report,2019-10-27,15:00 (07:00),Serie A,Matchweek 9,Sun,Home,D,1,1,Napoli,18,7,10,6,2,4,12,33.3,8,7,3,4,10,28,34,0,Match Report,2019-10-27,15:00 (07:00),Serie A,Matchweek 9,Sun,Home,D,1,1,Napoli,32,421,75,205,152,68,15,421,7,6,85.7,1,14.3,212,1266,525,13,6,2,11,16,225,26,Match Report,2019-10-27,15:00 (07:00),Serie A,Matchweek 9,Sun,Home,D,1,1,Napoli,4,0,0,16,13,2,13,10,7,0,0,0,49,16,10,61.5,Match Report
