Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2020-09-20,15:00 (06:00),Serie A,Matchweek 1,Sun,Away,L,1,4,Genoa,1,13,3,23.1,0.08,0.33,18.8,0.0,0,0,1.6,1.6,0.13,-0.6,-0.6,Match Report,2020-09-20,15:00 (06:00),Serie A,Matchweek 1,Sun,Away,L,1,4,Genoa,6,4,2,33.3,0,3.0,-1.0,0,0,0,0,2.0,5.0,40.0,20.0,3.0,15.0,23.2,6.0,33.3,25.7,9.0,0.0,0.0,3.0,32.0,Match Report,2020-09-20,15:00 (06:00),Serie A,Matchweek 1,Sun,Away,L,1,4,Genoa,449.0,533.0,84.2,8063.0,2620.0,199.0,225.0,88.4,196.0,218.0,89.9,44.0,66.0,66.7,1,1.4,1.0,6.0,28.0,5.0,3.0,43.0,Match Report,2020-09-20,15:00 (06:00),Serie A,Matchweek 1,Sun,Away,L,1,4,Genoa,533.0,486.0,47.0,20.0,0.0,5.0,16,12.0,4.0,3.0,0.0,0.0,449.0,0.0,7.0,Match Report,2020-09-20,15:00 (06:00),Serie A,Matchweek 1,Sun,Away,L,1,4,Genoa,21.0,17.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-09-20,15:00 (06:00),Serie A,Matchweek 1,Sun,Away,L,1,4,Genoa,15.0,12,5.0,8.0,2.0,9.0,20.0,45.0,11.0,12.0,5.0,7.0,6,21,5.0,0.0,Match Report,2020-09-20,15:00 (06:00),Serie A,Matchweek 1,Sun,Away,L,1,4,Genoa,51.0,623.0,51.0,200.0,286.0,142.0,12.0,623.0,13.0,8.0,61.5,5.0,38.5,327.0,1839.0,1086.0,20.0,8.0,1.0,19.0,14.0,447.0,43.0,Match Report,2020-09-20,15:00 (06:00),Serie A,Matchweek 1,Sun,Away,L,1,4,Genoa,2,0,0,14,13,0,16,6,12,0.0,0.0,0,46.0,11.0,6.0,64.7,Match Report
2020-09-27,18:00 (09:00),Serie A,Matchweek 2,Sun,Home,L,0,2,Milan,0,5,0,0.0,0.0,,18.1,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Match Report,2020-09-27,18:00 (09:00),Serie A,Matchweek 2,Sun,Home,L,0,2,Milan,6,2,4,83.3,0,2.7,0.7,1,1,0,0,4.0,12.0,33.3,28.0,5.0,35.7,32.8,9.0,22.2,26.9,8.0,0.0,0.0,4.0,23.8,Match Report,2020-09-27,18:00 (09:00),Serie A,Matchweek 2,Sun,Home,L,0,2,Milan,374.0,477.0,78.4,6950.0,2971.0,148.0,168.0,88.1,166.0,195.0,85.1,44.0,75.0,58.7,0,0.2,0.5,5.0,29.0,10.0,3.0,48.0,Match Report,2020-09-27,18:00 (09:00),Serie A,Matchweek 2,Sun,Home,L,0,2,Milan,477.0,419.0,55.0,18.0,0.0,5.0,22,23.0,2.0,2.0,0.0,0.0,374.0,3.0,11.0,Match Report,2020-09-27,18:00 (09:00),Serie A,Matchweek 2,Sun,Home,L,0,2,Milan,9.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-09-27,18:00 (09:00),Serie A,Matchweek 2,Sun,Home,L,0,2,Milan,15.0,9,4.0,9.0,2.0,4.0,14.0,28.6,10.0,11.0,4.0,7.0,11,26,17.0,1.0,Match Report,2020-09-27,18:00 (09:00),Serie A,Matchweek 2,Sun,Home,L,0,2,Milan,48.0,580.0,71.0,200.0,258.0,126.0,15.0,580.0,12.0,7.0,58.3,5.0,41.7,368.0,1815.0,659.0,12.0,9.0,1.0,19.0,18.0,372.0,47.0,Match Report,2020-09-27,18:00 (09:00),Serie A,Matchweek 2,Sun,Home,L,0,2,Milan,1,0,0,14,15,3,22,11,9,0.0,1.0,0,69.0,13.0,12.0,52.0,Match Report
2020-10-03,15:00 (06:00),Serie A,Matchweek 3,Sat,Away,L,1,4,Sassuolo,1,14,5,35.7,0.0,0.0,18.5,2.0,1,1,1.9,1.1,0.08,-0.9,-1.1,Match Report,2020-10-03,15:00 (06:00),Serie A,Matchweek 3,Sat,Away,L,1,4,Sassuolo,4,4,0,25.0,0,2.4,-1.6,1,1,0,0,3.0,7.0,42.9,21.0,5.0,33.3,30.6,4.0,0.0,18.0,6.0,0.0,0.0,1.0,18.0,Match Report,2020-10-03,15:00 (06:00),Serie A,Matchweek 3,Sat,Away,L,1,4,Sassuolo,338.0,438.0,77.2,5620.0,2599.0,183.0,209.0,87.6,125.0,157.0,79.6,25.0,50.0,50.0,0,0.8,1.1,10.0,27.0,9.0,1.0,45.0,Match Report,2020-10-03,15:00 (06:00),Serie A,Matchweek 3,Sat,Away,L,1,4,Sassuolo,438.0,382.0,53.0,14.0,1.0,1.0,17,26.0,4.0,3.0,0.0,0.0,338.0,3.0,9.0,Match Report,2020-10-03,15:00 (06:00),Serie A,Matchweek 3,Sat,Away,L,1,4,Sassuolo,30.0,21.0,4.0,1.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,Match Report,2020-10-03,15:00 (06:00),Serie A,Matchweek 3,Sat,Away,L,1,4,Sassuolo,14.0,7,2.0,9.0,3.0,2.0,8.0,25.0,6.0,14.0,1.0,13.0,8,22,4.0,1.0,Match Report,2020-10-03,15:00 (06:00),Serie A,Matchweek 3,Sat,Away,L,1,4,Sassuolo,46.0,533.0,39.0,151.0,245.0,141.0,35.0,532.0,16.0,8.0,50.0,8.0,50.0,263.0,1391.0,696.0,19.0,16.0,9.0,16.0,16.0,335.0,45.0,Match Report,2020-10-03,15:00 (06:00),Serie A,Matchweek 3,Sat,Away,L,1,4,Sassuolo,3,0,0,15,15,3,17,8,7,1.0,1.0,0,54.0,10.0,6.0,62.5,Match Report
2020-10-17,20:45 (11:45),Serie A,Matchweek 4,Sat,Home,D,1,1,Juventus,1,9,2,22.2,0.0,0.0,22.6,0.0,1,1,1.2,0.4,0.05,-0.2,-0.4,Match Report,2020-10-17,20:45 (11:45),Serie A,Matchweek 4,Sat,Home,D,1,1,Juventus,2,1,1,50.0,0,1.5,0.5,0,0,0,0,0.0,6.0,0.0,29.0,3.0,20.7,26.0,6.0,0.0,17.2,14.0,0.0,0.0,0.0,7.0,Match Report,2020-10-17,20:45 (11:45),Serie A,Matchweek 4,Sat,Home,D,1,1,Juventus,402.0,492.0,81.7,7543.0,2509.0,157.0,175.0,89.7,191.0,216.0,88.4,45.0,76.0,59.2,0,0.3,0.5,7.0,42.0,8.0,4.0,36.0,Match Report,2020-10-17,20:45 (11:45),Serie A,Matchweek 4,Sat,Home,D,1,1,Juventus,492.0,445.0,47.0,14.0,0.0,6.0,19,22.0,3.0,1.0,0.0,0.0,402.0,0.0,16.0,Match Report,2020-10-17,20:45 (11:45),Serie A,Matchweek 4,Sat,Home,D,1,1,Juventus,15.0,13.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Match Report,2020-10-17,20:45 (11:45),Serie A,Matchweek 4,Sat,Home,D,1,1,Juventus,21.0,10,12.0,6.0,3.0,12.0,27.0,44.4,15.0,6.0,1.0,5.0,11,32,15.0,0.0,Match Report,2020-10-17,20:45 (11:45),Serie A,Matchweek 4,Sat,Home,D,1,1,Juventus,47.0,595.0,71.0,232.0,224.0,143.0,16.0,594.0,10.0,6.0,60.0,4.0,40.0,367.0,2055.0,974.0,20.0,11.0,2.0,17.0,13.0,401.0,36.0,Match Report,2020-10-17,20:45 (11:45),Serie A,Matchweek 4,Sat,Home,D,1,1,Juventus,3,0,0,17,13,0,19,11,10,1.0,0.0,0,46.0,12.0,20.0,37.5,Match Report
2020-10-25,12:30 (04:30),Serie A,Matchweek 5,Sun,Away,L,2,4,Cagliari,2,12,6,50.0,0.17,0.33,14.7,0.0,0,0,1.6,1.6,0.14,0.4,0.4,Match Report,2020-10-25,12:30 (04:30),Serie A,Matchweek 5,Sun,Away,L,2,4,Cagliari,8,4,4,50.0,0,2.5,-1.5,0,0,0,0,1.0,6.0,16.7,51.0,4.0,9.8,23.3,9.0,11.1,20.2,9.0,0.0,0.0,1.0,24.0,Match Report,2020-10-25,12:30 (04:30),Serie A,Matchweek 5,Sun,Away,L,2,4,Cagliari,482.0,559.0,86.2,8871.0,2930.0,172.0,187.0,92.0,267.0,289.0,92.4,37.0,59.0,62.7,1,1.6,0.9,11.0,21.0,10.0,2.0,35.0,Match Report,2020-10-25,12:30 (04:30),Serie A,Matchweek 5,Sun,Away,L,2,4,Cagliari,559.0,502.0,56.0,15.0,1.0,5.0,13,27.0,1.0,1.0,0.0,0.0,482.0,1.0,10.0,Match Report,2020-10-25,12:30 (04:30),Serie A,Matchweek 5,Sun,Away,L,2,4,Cagliari,23.0,18.0,1.0,3.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,Match Report,2020-10-25,12:30 (04:30),Serie A,Matchweek 5,Sun,Away,L,2,4,Cagliari,16.0,8,14.0,2.0,0.0,5.0,15.0,33.3,10.0,10.0,2.0,8.0,8,24,12.0,1.0,Match Report,2020-10-25,12:30 (04:30),Serie A,Matchweek 5,Sun,Away,L,2,4,Cagliari,57.0,660.0,93.0,350.0,228.0,87.0,15.0,660.0,15.0,11.0,73.3,4.0,26.7,371.0,2257.0,1201.0,18.0,10.0,1.0,20.0,16.0,478.0,34.0,Match Report,2020-10-25,12:30 (04:30),Serie A,Matchweek 5,Sun,Away,L,2,4,Cagliari,4,1,1,13,12,1,13,8,8,0.0,0.0,0,53.0,7.0,12.0,36.8,Match Report
2020-10-28,17:00 (09:00),Coppa Italia,Third round,Wed,Home,D,1 (3),1 (4),SPAL,1,1,1,100.0,0.0,0.0,,,1,1,,,,,,Match Report,2020-10-28,17:00 (09:00),Coppa Italia,Third round,Wed,Home,D,1 (3),1 (4),SPAL,1,1,0,0.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2020-10-28,17:00 (09:00),Coppa Italia,Third round,Wed,Home,D,1 (3),1 (4),SPAL,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2020-10-28,17:00 (09:00),Coppa Italia,Third round,Wed,Home,D,1 (3),1 (4),SPAL,,,,,,,0,,,,,,,,,Match Report,2020-10-28,17:00 (09:00),Coppa Italia,Third round,Wed,Home,D,1 (3),1 (4),SPAL,,,,,,,,,,,,,,,Match Report,2020-10-28,17:00 (09:00),Coppa Italia,Third round,Wed,Home,D,1 (3),1 (4),SPAL,,0,,,,,,,,,,,0,0,,,Match Report,2020-10-28,17:00 (09:00),Coppa Italia,Third round,Wed,Home,D,1 (3),1 (4),SPAL,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2020-10-28,17:00 (09:00),Coppa Italia,Third round,Wed,Home,D,1 (3),1 (4),SPAL,1,0,0,0,0,0,0,0,0,,,0,,,,,Match Report
2020-10-31,15:00 (07:00),Serie A,Matchweek 6,Sat,Home,L,1,2,Atalanta,1,6,1,16.7,0.17,1.0,21.6,0.0,0,0,0.6,0.6,0.09,0.4,0.4,Match Report,2020-10-31,15:00 (07:00),Serie A,Matchweek 6,Sat,Home,L,1,2,Atalanta,6,2,4,66.7,0,2.8,0.8,0,0,0,0,8.0,13.0,61.5,43.0,2.0,25.6,26.8,18.0,11.1,23.4,15.0,0.0,0.0,1.0,18.5,Match Report,2020-10-31,15:00 (07:00),Serie A,Matchweek 6,Sat,Home,L,1,2,Atalanta,364.0,471.0,77.3,6553.0,2889.0,148.0,170.0,87.1,169.0,204.0,82.8,39.0,78.0,50.0,1,0.5,0.2,4.0,17.0,1.0,1.0,21.0,Match Report,2020-10-31,15:00 (07:00),Serie A,Matchweek 6,Sat,Home,L,1,2,Atalanta,471.0,407.0,62.0,23.0,0.0,2.0,4,17.0,1.0,1.0,0.0,0.0,364.0,2.0,4.0,Match Report,2020-10-31,15:00 (07:00),Serie A,Matchweek 6,Sat,Home,L,1,2,Atalanta,8.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-10-31,15:00 (07:00),Serie A,Matchweek 6,Sat,Home,L,1,2,Atalanta,18.0,11,9.0,6.0,3.0,6.0,24.0,25.0,18.0,14.0,2.0,12.0,6,24,17.0,1.0,Match Report,2020-10-31,15:00 (07:00),Serie A,Matchweek 6,Sat,Home,L,1,2,Atalanta,42.0,587.0,118.0,287.0,224.0,82.0,6.0,587.0,17.0,8.0,47.1,9.0,52.9,361.0,1664.0,617.0,7.0,9.0,0.0,20.0,13.0,361.0,21.0,Match Report,2020-10-31,15:00 (07:00),Serie A,Matchweek 6,Sat,Home,L,1,2,Atalanta,1,0,0,11,19,2,4,6,11,0.0,0.0,0,60.0,6.0,19.0,24.0,Match Report
2020-11-08,15:00 (06:00),Serie A,Matchweek 7,Sun,Away,D,0,0,Torino,0,8,2,25.0,0.0,0.0,24.1,1.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report,2020-11-08,15:00 (06:00),Serie A,Matchweek 7,Sun,Away,D,0,0,Torino,0,0,0,,1,0.0,0.0,0,0,0,0,2.0,5.0,40.0,30.0,4.0,10.0,24.9,7.0,28.6,34.3,16.0,0.0,0.0,3.0,22.3,Match Report,2020-11-08,15:00 (06:00),Serie A,Matchweek 7,Sun,Away,D,0,0,Torino,402.0,493.0,81.5,7047.0,2419.0,183.0,200.0,91.5,173.0,204.0,84.8,39.0,66.0,59.1,0,0.2,0.2,4.0,23.0,5.0,1.0,26.0,Match Report,2020-11-08,15:00 (06:00),Serie A,Matchweek 7,Sun,Away,D,0,0,Torino,493.0,446.0,45.0,16.0,0.0,1.0,9,18.0,3.0,2.0,0.0,0.0,402.0,2.0,11.0,Match Report,2020-11-08,15:00 (06:00),Serie A,Matchweek 7,Sun,Away,D,0,0,Torino,13.0,7.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-11-08,15:00 (06:00),Serie A,Matchweek 7,Sun,Away,D,0,0,Torino,15.0,9,6.0,5.0,4.0,6.0,13.0,46.2,7.0,9.0,3.0,6.0,10,25,25.0,1.0,Match Report,2020-11-08,15:00 (06:00),Serie A,Matchweek 7,Sun,Away,D,0,0,Torino,51.0,602.0,70.0,223.0,274.0,111.0,11.0,602.0,23.0,11.0,47.8,12.0,52.2,371.0,1558.0,703.0,13.0,11.0,4.0,14.0,6.0,399.0,26.0,Match Report,2020-11-08,15:00 (06:00),Serie A,Matchweek 7,Sun,Away,D,0,0,Torino,4,1,1,16,12,2,9,10,9,0.0,0.0,0,50.0,7.0,12.0,36.8,Match Report
2020-11-21,15:00 (06:00),Serie A,Matchweek 8,Sat,Home,L,0,2,Lazio,0,13,4,30.8,0.0,0.0,22.4,0.0,0,0,1.0,1.0,0.07,-1.0,-1.0,Match Report,2020-11-21,15:00 (06:00),Serie A,Matchweek 8,Sat,Home,L,0,2,Lazio,9,2,7,77.8,0,2.0,0.0,0,0,0,0,3.0,12.0,25.0,19.0,4.0,47.4,37.2,6.0,50.0,36.8,17.0,0.0,0.0,3.0,24.3,Match Report,2020-11-21,15:00 (06:00),Serie A,Matchweek 8,Sat,Home,L,0,2,Lazio,359.0,533.0,67.4,6219.0,2715.0,171.0,201.0,85.1,144.0,203.0,70.9,37.0,96.0,38.5,0,0.4,0.6,10.0,35.0,12.0,4.0,45.0,Match Report,2020-11-21,15:00 (06:00),Serie A,Matchweek 8,Sat,Home,L,0,2,Lazio,533.0,477.0,54.0,12.0,0.0,2.0,25,31.0,2.0,2.0,0.0,0.0,359.0,2.0,13.0,Match Report,2020-11-21,15:00 (06:00),Serie A,Matchweek 8,Sat,Home,L,0,2,Lazio,23.0,16.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-11-21,15:00 (06:00),Serie A,Matchweek 8,Sat,Home,L,0,2,Lazio,19.0,10,6.0,13.0,0.0,6.0,11.0,54.5,5.0,13.0,0.0,13.0,22,41,17.0,1.0,Match Report,2020-11-21,15:00 (06:00),Serie A,Matchweek 8,Sat,Home,L,0,2,Lazio,52.0,668.0,53.0,200.0,305.0,175.0,22.0,668.0,25.0,11.0,44.0,14.0,56.0,323.0,1827.0,1012.0,15.0,15.0,0.0,23.0,9.0,355.0,45.0,Match Report,2020-11-21,15:00 (06:00),Serie A,Matchweek 8,Sat,Home,L,0,2,Lazio,3,0,0,11,10,2,25,22,10,0.0,0.0,0,97.0,14.0,14.0,50.0,Match Report
2020-11-29,15:00 (06:00),Serie A,Matchweek 9,Sun,Away,L,0,1,Bologna,0,8,1,12.5,0.0,0.0,19.4,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,Match Report,2020-11-29,15:00 (06:00),Serie A,Matchweek 9,Sun,Away,L,0,1,Bologna,7,1,6,85.7,0,1.6,0.6,0,0,0,0,3.0,11.0,27.3,21.0,4.0,52.4,36.6,7.0,0.0,18.6,23.0,0.0,0.0,0.0,,Match Report,2020-11-29,15:00 (06:00),Serie A,Matchweek 9,Sun,Away,L,0,1,Bologna,331.0,443.0,74.7,5972.0,2314.0,146.0,175.0,83.4,146.0,177.0,82.5,35.0,74.0,47.3,0,0.4,0.3,7.0,32.0,8.0,2.0,43.0,Match Report,2020-11-29,15:00 (06:00),Serie A,Matchweek 9,Sun,Away,L,0,1,Bologna,443.0,395.0,46.0,19.0,0.0,2.0,19,15.0,3.0,2.0,0.0,0.0,331.0,2.0,7.0,Match Report,2020-11-29,15:00 (06:00),Serie A,Matchweek 9,Sun,Away,L,0,1,Bologna,13.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-11-29,15:00 (06:00),Serie A,Matchweek 9,Sun,Away,L,0,1,Bologna,32.0,21,16.0,15.0,1.0,10.0,12.0,83.3,2.0,14.0,3.0,11.0,16,48,23.0,0.0,Match Report,2020-11-29,15:00 (06:00),Serie A,Matchweek 9,Sun,Away,L,0,1,Bologna,49.0,570.0,72.0,183.0,269.0,124.0,12.0,570.0,8.0,5.0,62.5,3.0,37.5,252.0,1603.0,930.0,15.0,9.0,3.0,21.0,8.0,329.0,42.0,Match Report,2020-11-29,15:00 (06:00),Serie A,Matchweek 9,Sun,Away,L,0,1,Bologna,4,0,0,18,15,2,19,16,21,0.0,0.0,0,56.0,17.0,19.0,47.2,Match Report
