Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2020-09-20,12:30 (03:30),Serie A,Matchweek 1,Sun,Home,L,0,2,Napoli,0,6,2,33.3,0.00,0.00,25.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report,2020-09-20,12:30 (03:30),Serie A,Matchweek 1,Sun,Home,L,0,2,Napoli,6,2,4,66.7,0,1.7,-0.3,0,0,0,0,10,12,83.3,26,4,38.5,32.4,12,16.7,21.4,11,2,18.2,0,5.4,Match Report,2020-09-20,12:30 (03:30),Serie A,Matchweek 1,Sun,Home,L,0,2,Napoli,365,442,82.6,7117,2702,132,147,89.8,185,206,89.8,45,70,64.3,0,0.2,0.5,5,23,6,1,26,Match Report,2020-09-20,12:30 (03:30),Serie A,Matchweek 1,Sun,Home,L,0,2,Napoli,442,391,49,13,1,3,15,17,4,1,0,0,365,2,11,Match Report,2020-09-20,12:30 (03:30),Serie A,Matchweek 1,Sun,Home,L,0,2,Napoli,10,9,1,0,0,0,0,0,0,0,0,0,0,0,Match Report,2020-09-20,12:30 (03:30),Serie A,Matchweek 1,Sun,Home,L,0,2,Napoli,17,7,12,4,1,13,24,54.2,11,15,5,10,17,34,15,2,Match Report,2020-09-20,12:30 (03:30),Serie A,Matchweek 1,Sun,Home,L,0,2,Napoli,39,549,71,238,225,89,13,549,15,7,46.7,8,53.3,260,1447,642,5,7,1,12,11,360,25,Match Report,2020-09-20,12:30 (03:30),Serie A,Matchweek 1,Sun,Home,L,0,2,Napoli,4,0,0,16,11,2,15,17,7,0,0,0,44,12,14,46.2,Match Report
2020-09-28,20:45 (11:45),Serie A,Matchweek 2,Mon,Away,L,1,4,Bologna,1,9,3,33.3,0.11,0.33,17.2,1,0,0,1.4,1.4,0.16,-0.4,-0.4,Match Report,2020-09-28,20:45 (11:45),Serie A,Matchweek 2,Mon,Away,L,1,4,Bologna,8,4,4,50.0,0,2.4,-1.6,0,0,0,0,1,6,16.7,23,6,8.7,25.2,6,66.7,46.8,13,1,7.7,0,4.0,Match Report,2020-09-28,20:45 (11:45),Serie A,Matchweek 2,Mon,Away,L,1,4,Bologna,312,413,75.5,5438,2177,138,164,84.1,139,163,85.3,31,60,51.7,1,1.3,0.9,7,25,5,1,31,Match Report,2020-09-28,20:45 (11:45),Serie A,Matchweek 2,Mon,Away,L,1,4,Bologna,413,357,56,13,2,2,21,23,9,4,0,0,312,0,14,Match Report,2020-09-28,20:45 (11:45),Serie A,Matchweek 2,Mon,Away,L,1,4,Bologna,16,10,1,3,1,1,0,1,1,0,0,0,0,0,Match Report,2020-09-28,20:45 (11:45),Serie A,Matchweek 2,Mon,Away,L,1,4,Bologna,20,12,6,13,1,13,27,48.1,14,8,1,7,9,29,16,0,Match Report,2020-09-28,20:45 (11:45),Serie A,Matchweek 2,Mon,Away,L,1,4,Bologna,42,520,61,195,206,123,15,520,19,11,57.9,8,42.1,235,1432,707,14,7,6,19,16,311,31,Match Report,2020-09-28,20:45 (11:45),Serie A,Matchweek 2,Mon,Away,L,1,4,Bologna,2,1,0,9,12,0,21,9,12,0,0,0,50,13,9,59.1,Match Report
2020-10-04,15:00 (06:00),Serie A,Matchweek 3,Sun,Home,W,1,0,Hellas Verona,1,11,4,36.4,0.09,0.25,16.8,0,0,0,1.1,1.1,0.10,-0.1,-0.1,Match Report,2020-10-04,15:00 (06:00),Serie A,Matchweek 3,Sun,Home,W,1,0,Hellas Verona,2,0,2,100.0,1,0.3,+0.3,0,0,0,0,12,28,42.9,32,2,68.8,43.9,8,75.0,46.5,21,1,4.8,0,3.2,Match Report,2020-10-04,15:00 (06:00),Serie A,Matchweek 3,Sun,Home,W,1,0,Hellas Verona,273,373,73.2,5202,2287,108,133,81.2,124,148,83.8,35,73,47.9,1,1.0,0.8,9,23,4,1,22,Match Report,2020-10-04,15:00 (06:00),Serie A,Matchweek 3,Sun,Home,W,1,0,Hellas Verona,373,314,57,23,0,1,13,18,7,0,0,0,273,2,7,Match Report,2020-10-04,15:00 (06:00),Serie A,Matchweek 3,Sun,Home,W,1,0,Hellas Verona,18,15,0,0,2,0,1,2,2,0,0,0,0,0,Match Report,2020-10-04,15:00 (06:00),Serie A,Matchweek 3,Sun,Home,W,1,0,Hellas Verona,9,4,5,3,1,5,12,41.7,7,7,3,4,13,22,29,0,Match Report,2020-10-04,15:00 (06:00),Serie A,Matchweek 3,Sun,Home,W,1,0,Hellas Verona,40,476,71,174,196,110,17,476,10,4,40.0,6,60.0,176,1177,694,12,13,9,9,4,269,22,Match Report,2020-10-04,15:00 (06:00),Serie A,Matchweek 3,Sun,Home,W,1,0,Hellas Verona,1,0,0,11,18,2,13,13,4,0,0,0,42,19,17,52.8,Match Report
2020-10-18,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,L,2,3,Udinese,2,9,3,33.3,0.22,0.67,18.6,0,0,0,1.0,1.0,0.11,+1.0,+1.0,Match Report,2020-10-18,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,L,2,3,Udinese,4,3,2,25.0,0,1.1,-0.9,0,0,0,0,2,8,25.0,28,6,25.0,35.4,7,14.3,30.9,31,2,6.5,0,5.0,Match Report,2020-10-18,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,L,2,3,Udinese,477,571,83.5,9148,2835,194,214,90.7,201,228,88.2,74,105,70.5,2,1.0,0.8,8,43,3,2,40,Match Report,2020-10-18,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,L,2,3,Udinese,571,529,41,14,0,10,15,14,2,0,1,0,477,1,11,Match Report,2020-10-18,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,L,2,3,Udinese,14,8,1,5,0,0,0,3,2,0,1,0,0,0,Match Report,2020-10-18,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,L,2,3,Udinese,8,6,3,5,0,2,12,16.7,10,10,5,5,9,17,25,1,Match Report,2020-10-18,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,L,2,3,Udinese,58,662,73,218,344,107,13,662,15,12,80.0,3,20.0,417,1988,1220,22,10,5,11,16,473,40,Match Report,2020-10-18,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,L,2,3,Udinese,2,0,0,11,10,1,15,9,6,0,0,1,50,14,10,58.3,Match Report
2020-10-25,15:00 (07:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Spezia,2,16,5,31.3,0.06,0.20,15.2,1,1,1,3.5,2.8,0.18,-1.5,-1.8,Match Report,2020-10-25,15:00 (07:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Spezia,6,2,4,66.7,0,1.3,-0.7,0,0,0,0,0,8,0.0,19,5,36.8,33.5,9,11.1,18.9,10,0,0.0,0,,Match Report,2020-10-25,15:00 (07:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Spezia,363,469,77.4,7129,2565,127,148,85.8,171,191,89.5,52,94,55.3,0,1.5,1.3,12,26,10,5,35,Match Report,2020-10-25,15:00 (07:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Spezia,469,398,67,20,1,4,28,23,12,2,7,0,363,4,11,Match Report,2020-10-25,15:00 (07:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Spezia,29,20,4,1,1,3,0,3,1,0,0,1,1,0,Match Report,2020-10-25,15:00 (07:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Spezia,15,8,8,7,0,2,12,16.7,10,16,2,14,8,23,7,0,Match Report,2020-10-25,15:00 (07:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Spezia,49,558,53,163,281,122,27,557,19,11,57.9,8,42.1,276,1651,830,14,10,3,14,6,360,35,Match Report,2020-10-25,15:00 (07:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Spezia,3,0,0,11,20,4,28,8,8,1,0,0,45,12,13,48.0,Match Report
2020-10-28,18:00 (10:00),Coppa Italia,Third round,Wed,Home,W,3,1,Pescara,3,3,3,100.0,1.00,1.00,,,0,0,,,,,,Match Report,2020-10-28,18:00 (10:00),Coppa Italia,Third round,Wed,Home,W,3,1,Pescara,0,0,0,,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2020-10-28,18:00 (10:00),Coppa Italia,Third round,Wed,Home,W,3,1,Pescara,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2020-10-28,18:00 (10:00),Coppa Italia,Third round,Wed,Home,W,3,1,Pescara,,,,,,,0,,,,,,,,,Match Report,2020-10-28,18:00 (10:00),Coppa Italia,Third round,Wed,Home,W,3,1,Pescara,,,,,,,,,,,,,,,Match Report,2020-10-28,18:00 (10:00),Coppa Italia,Third round,Wed,Home,W,3,1,Pescara,,0,,,,,,,,,,,0,0,,,Match Report,2020-10-28,18:00 (10:00),Coppa Italia,Third round,Wed,Home,W,3,1,Pescara,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2020-10-28,18:00 (10:00),Coppa Italia,Third round,Wed,Home,W,3,1,Pescara,0,0,0,0,0,0,0,0,0,,,0,,,,,Match Report
2020-10-31,18:00 (10:00),Serie A,Matchweek 6,Sat,Away,D,2,2,Inter,2,5,3,60.0,0.40,0.67,21.0,0,0,0,0.9,0.9,0.18,+1.1,+1.1,Match Report,2020-10-31,18:00 (10:00),Serie A,Matchweek 6,Sat,Away,D,2,2,Inter,9,2,7,77.8,0,1.4,-0.6,0,0,0,0,13,22,59.1,28,6,46.4,37.8,16,56.3,42.6,36,1,2.8,0,7.7,Match Report,2020-10-31,18:00 (10:00),Serie A,Matchweek 6,Sat,Away,D,2,2,Inter,209,309,67.6,4298,2049,92,122,75.4,80,108,74.1,36,67,53.7,2,0.8,0.5,3,13,2,0,13,Match Report,2020-10-31,18:00 (10:00),Serie A,Matchweek 6,Sat,Away,D,2,2,Inter,309,254,53,16,2,2,6,16,2,0,1,0,209,2,9,Match Report,2020-10-31,18:00 (10:00),Serie A,Matchweek 6,Sat,Away,D,2,2,Inter,7,5,0,1,0,0,1,4,4,0,0,0,0,0,Match Report,2020-10-31,18:00 (10:00),Serie A,Matchweek 6,Sat,Away,D,2,2,Inter,24,14,17,6,1,11,19,57.9,8,12,5,7,11,35,49,0,Match Report,2020-10-31,18:00 (10:00),Serie A,Matchweek 6,Sat,Away,D,2,2,Inter,32,437,108,262,140,41,4,437,13,7,53.8,6,46.2,211,1205,633,7,7,1,13,5,208,13,Match Report,2020-10-31,18:00 (10:00),Serie A,Matchweek 6,Sat,Away,D,2,2,Inter,1,0,0,7,13,2,6,11,14,0,0,0,35,20,19,51.3,Match Report
2020-11-07,20:45 (11:45),Serie A,Matchweek 7,Sat,Home,D,0,0,Fiorentina,0,5,0,0.0,0.00,,30.3,2,0,0,0.2,0.2,0.04,-0.2,-0.2,Match Report,2020-11-07,20:45 (11:45),Serie A,Matchweek 7,Sat,Home,D,0,0,Fiorentina,4,0,4,100.0,1,0.3,+0.3,0,0,0,0,4,5,80.0,15,5,20.0,30.9,4,50.0,36.5,15,0,0.0,0,5.0,Match Report,2020-11-07,20:45 (11:45),Serie A,Matchweek 7,Sat,Home,D,0,0,Fiorentina,354,429,82.5,6647,2217,140,155,90.3,153,171,89.5,47,75,62.7,0,0.1,0.1,3,19,3,1,22,Match Report,2020-11-07,20:45 (11:45),Serie A,Matchweek 7,Sat,Home,D,0,0,Fiorentina,429,388,38,15,0,3,10,16,2,1,1,0,354,3,7,Match Report,2020-11-07,20:45 (11:45),Serie A,Matchweek 7,Sat,Home,D,0,0,Fiorentina,10,7,1,0,0,2,0,0,0,0,0,0,0,0,Match Report,2020-11-07,20:45 (11:45),Serie A,Matchweek 7,Sat,Home,D,0,0,Fiorentina,29,10,13,16,0,16,32,50.0,16,8,1,7,9,38,17,0,Match Report,2020-11-07,20:45 (11:45),Serie A,Matchweek 7,Sat,Home,D,0,0,Fiorentina,36,530,51,196,273,68,10,530,10,5,50.0,5,50.0,285,1451,846,16,11,4,16,6,349,22,Match Report,2020-11-07,20:45 (11:45),Serie A,Matchweek 7,Sat,Home,D,0,0,Fiorentina,1,0,0,17,16,3,10,9,10,0,0,0,48,9,3,75.0,Match Report
2020-11-22,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,L,0,3,Roma,0,1,1,100.0,0.00,0.00,18.6,0,0,0,0.0,0.0,0.05,0.0,0.0,Match Report,2020-11-22,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,L,0,3,Roma,7,3,4,57.1,0,2.6,-0.4,0,0,0,0,3,6,50.0,29,9,20.7,27.8,7,0.0,25.0,11,0,0.0,2,25.0,Match Report,2020-11-22,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,L,0,3,Roma,459,537,85.5,8808,2725,168,177,94.9,229,253,90.5,61,89,68.5,0,0.0,0.1,1,24,2,0,41,Match Report,2020-11-22,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,L,0,3,Roma,537,508,25,6,0,4,10,7,1,0,1,0,459,4,5,Match Report,2020-11-22,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,L,0,3,Roma,2,2,0,0,0,0,0,0,0,0,0,0,0,0,Match Report,2020-11-22,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,L,0,3,Roma,17,7,11,6,0,8,22,36.4,14,13,7,6,20,37,19,1,Match Report,2020-11-22,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,L,0,3,Roma,42,635,85,301,273,66,4,635,12,9,75.0,3,25.0,412,1532,885,9,8,1,17,9,457,41,Match Report,2020-11-22,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,L,0,3,Roma,0,0,0,4,5,4,10,20,7,0,0,0,53,2,2,50.0,Match Report
2020-11-25,14:30 (05:30),Coppa Italia,Fourth round,Wed,Home,W,2,1,Cosenza,2,2,2,100.0,1.00,1.00,,,0,0,,,,,,Match Report,2020-11-25,14:30 (05:30),Coppa Italia,Fourth round,Wed,Home,W,2,1,Cosenza,1,1,0,0.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2020-11-25,14:30 (05:30),Coppa Italia,Fourth round,Wed,Home,W,2,1,Cosenza,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2020-11-25,14:30 (05:30),Coppa Italia,Fourth round,Wed,Home,W,2,1,Cosenza,,,,,,,0,,,,,,,,,Match Report,2020-11-25,14:30 (05:30),Coppa Italia,Fourth round,Wed,Home,W,2,1,Cosenza,,,,,,,,,,,,,,,Match Report,2020-11-25,14:30 (05:30),Coppa Italia,Fourth round,Wed,Home,W,2,1,Cosenza,,0,,,,,,,,,,,0,0,,,Match Report,2020-11-25,14:30 (05:30),Coppa Italia,Fourth round,Wed,Home,W,2,1,Cosenza,50,,,,,,,,,,,,,,,,,,,,,,,Match Report,2020-11-25,14:30 (05:30),Coppa Italia,Fourth round,Wed,Home,W,2,1,Cosenza,1,0,0,0,0,0,0,0,0,,,0,,,,,Match Report
