Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2021-08-21,20:45 (11:45),Serie A,Matchweek 1,Sat,Away,W,2,1,Torino,2,7,2,28.6,0.29,1.00,14.9,0,0,0,0.7,0.7,0.10,+1.3,+1.3,Match Report,2021-08-21,20:45 (11:45),Serie A,Matchweek 1,Sat,Away,W,2,1,Torino,7,1,6,85.7,0,0.7,-0.3,0,0,0,0,11,21,52.4,34,6,35.3,31.3,9,100.0,64.2,12,0,0.0,5,27.2,Match Report,2021-08-21,20:45 (11:45),Serie A,Matchweek 1,Sat,Away,W,2,1,Torino,329,456,72.1,5952,2515,158,199,79.4,128,163,78.5,37,69,53.6,1,0.7,0.8,6,17,7,1,23,Match Report,2021-08-21,20:45 (11:45),Serie A,Matchweek 1,Sat,Away,W,2,1,Torino,456,399,57,17,0,1,4,28,1,0,1,0,329,0,12,Match Report,2021-08-21,20:45 (11:45),Serie A,Matchweek 1,Sat,Away,W,2,1,Torino,13,10,0,2,1,0,0,4,4,0,0,0,0,0,Match Report,2021-08-21,20:45 (11:45),Serie A,Matchweek 1,Sat,Away,W,2,1,Torino,17,12,8,9,0,9,21,42.9,12,15,8,7,8,25,25,0,Match Report,2021-08-21,20:45 (11:45),Serie A,Matchweek 1,Sat,Away,W,2,1,Torino,52,580,73,237,259,91,16,580,14,9,64.3,5,35.7,314,1239,481,4,8,1,23,9,325,23,Match Report,2021-08-21,20:45 (11:45),Serie A,Matchweek 1,Sat,Away,W,2,1,Torino,2,0,0,13,17,0,4,8,12,0,0,0,61,43,23,65.2,Match Report
2021-08-28,18:30 (09:30),Serie A,Matchweek 2,Sat,Home,D,0,0,Bologna,0,22,3,13.6,0.00,0.00,20.0,2,0,0,0.9,0.9,0.04,-0.9,-0.9,Match Report,2021-08-28,18:30 (09:30),Serie A,Matchweek 2,Sat,Home,D,0,0,Bologna,1,0,1,100.0,1,0.0,0.0,0,0,0,0,4,6,66.7,21,4,19.0,31.8,2,100.0,67.0,11,1,9.1,2,18.5,Match Report,2021-08-28,18:30 (09:30),Serie A,Matchweek 2,Sat,Home,D,0,0,Bologna,469,591,79.4,8113,3022,217,251,86.5,186,224,83.0,47,72,65.3,0,0.6,0.8,17,51,12,2,68,Match Report,2021-08-28,18:30 (09:30),Serie A,Matchweek 2,Sat,Home,D,0,0,Bologna,591,550,39,12,0,9,20,19,5,4,1,0,469,2,10,Match Report,2021-08-28,18:30 (09:30),Serie A,Matchweek 2,Sat,Home,D,0,0,Bologna,40,30,3,1,2,3,1,0,0,0,0,0,0,0,Match Report,2021-08-28,18:30 (09:30),Serie A,Matchweek 2,Sat,Home,D,0,0,Bologna,12,5,6,3,3,5,20,25.0,15,11,1,10,9,21,10,0,Match Report,2021-08-28,18:30 (09:30),Serie A,Matchweek 2,Sat,Home,D,0,0,Bologna,59,712,34,160,297,260,39,712,20,14,70.0,6,30.0,404,2118,1071,23,17,9,21,15,465,67,Match Report,2021-08-28,18:30 (09:30),Serie A,Matchweek 2,Sat,Home,D,0,0,Bologna,2,0,0,11,11,2,20,9,5,0,0,0,77,29,12,70.7,Match Report
2021-09-11,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,L,1,2,Fiorentina,1,12,4,33.3,0.00,0.00,10.7,0,1,1,2.2,1.4,0.12,-1.2,-1.4,Match Report,2021-09-11,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,L,1,2,Fiorentina,2,2,0,100.0,0,2.0,0.0,2,2,0,0,3,3,100.0,16,6,6.3,28.3,2,100.0,62.0,5,0,0.0,1,14.0,Match Report,2021-09-11,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,L,1,2,Fiorentina,460,551,83.5,8544,2894,206,232,88.8,203,230,88.3,46,70,65.7,0,1.4,1.2,12,45,11,3,55,Match Report,2021-09-11,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,L,1,2,Fiorentina,551,493,56,19,3,7,29,22,10,6,2,0,460,2,4,Match Report,2021-09-11,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,L,1,2,Fiorentina,26,18,4,1,1,2,0,2,1,0,0,0,1,0,Match Report,2021-09-11,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,L,1,2,Fiorentina,11,6,3,5,3,7,16,43.8,9,8,2,6,8,19,9,0,Match Report,2021-09-11,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,L,1,2,Fiorentina,55,638,36,155,303,185,30,637,19,7,36.8,12,63.2,325,1551,695,11,11,3,11,6,459,55,Match Report,2021-09-11,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,L,1,2,Fiorentina,4,0,0,13,18,2,29,8,6,1,2,0,48,15,9,62.5,Match Report
2021-09-14,21:00 (12:00),Champions Lg,Group stage,Tue,Away,D,2,2,es Villarreal,2,13,4,30.8,0.15,0.50,19.6,0,0,0,1.3,1.3,0.10,+0.7,+0.7,Match Report,2021-09-14,21:00 (12:00),Champions Lg,Group stage,Tue,Away,D,2,2,es Villarreal,7,2,5,71.4,0,3.4,+1.4,0,0,0,0,4,12,33.3,18,4,38.9,36.2,6,83.3,61.2,11,0,0.0,2,20.5,Match Report,2021-09-14,21:00 (12:00),Champions Lg,Group stage,Tue,Away,D,2,2,es Villarreal,370,473,78.2,6193,2182,196,225,87.1,127,162,78.4,36,64,56.3,2,1.2,0.6,10,26,8,1,30,Match Report,2021-09-14,21:00 (12:00),Champions Lg,Group stage,Tue,Away,D,2,2,es Villarreal,473,427,44,14,2,7,17,17,4,0,4,0,370,2,6,Match Report,2021-09-14,21:00 (12:00),Champions Lg,Group stage,Tue,Away,D,2,2,es Villarreal,24,19,3,2,0,0,0,4,4,0,0,0,0,0,Match Report,2021-09-14,21:00 (12:00),Champions Lg,Group stage,Tue,Away,D,2,2,es Villarreal,25,11,13,5,7,14,19,73.7,5,15,3,12,14,39,13,0,Match Report,2021-09-14,21:00 (12:00),Champions Lg,Group stage,Tue,Away,D,2,2,es Villarreal,52,592,44,162,253,182,18,592,19,13,68.4,6,31.6,366,1890,912,20,18,5,20,4,369,30,Match Report,2021-09-14,21:00 (12:00),Champions Lg,Group stage,Tue,Away,D,2,2,es Villarreal,1,0,0,11,13,2,17,14,11,0,0,0,65,13,15,46.4,Match Report
2021-09-18,20:45 (11:45),Serie A,Matchweek 4,Sat,Away,W,1,0,Salernitana,1,10,3,30.0,0.10,0.33,15.6,1,0,0,1.6,1.6,0.16,-0.6,-0.6,Match Report,2021-09-18,20:45 (11:45),Serie A,Matchweek 4,Sat,Away,W,1,0,Salernitana,1,0,1,100.0,1,0.2,+0.2,0,0,0,0,5,11,45.5,24,4,25.0,29.6,8,62.5,46.5,11,1,9.1,0,7.0,Match Report,2021-09-18,20:45 (11:45),Serie A,Matchweek 4,Sat,Away,W,1,0,Salernitana,475,573,82.9,7635,2656,221,252,87.7,187,205,91.2,34,71,47.9,1,1.0,1.0,8,30,9,0,39,Match Report,2021-09-18,20:45 (11:45),Serie A,Matchweek 4,Sat,Away,W,1,0,Salernitana,573,514,58,22,0,9,14,23,4,1,3,0,475,1,5,Match Report,2021-09-18,20:45 (11:45),Serie A,Matchweek 4,Sat,Away,W,1,0,Salernitana,17,13,1,1,1,1,0,2,1,0,1,0,0,0,Match Report,2021-09-18,20:45 (11:45),Serie A,Matchweek 4,Sat,Away,W,1,0,Salernitana,12,7,6,3,3,5,11,45.5,6,8,2,6,13,25,23,0,Match Report,2021-09-18,20:45 (11:45),Serie A,Matchweek 4,Sat,Away,W,1,0,Salernitana,58,666,51,176,319,177,20,666,9,2,22.2,7,77.8,459,2426,1235,19,18,5,18,6,472,39,Match Report,2021-09-18,20:45 (11:45),Serie A,Matchweek 4,Sat,Away,W,1,0,Salernitana,4,0,0,13,17,1,14,13,7,0,0,0,57,17,18,48.6,Match Report
2021-09-21,20:45 (11:45),Serie A,Matchweek 5,Tue,Home,W,2,1,Sassuolo,2,14,5,35.7,0.14,0.40,16.9,1,0,0,1.9,1.9,0.13,+0.1,+0.1,Match Report,2021-09-21,20:45 (11:45),Serie A,Matchweek 5,Tue,Home,W,2,1,Sassuolo,1,1,0,0.0,0,0.2,-0.8,0,0,0,0,4,8,50.0,19,4,15.8,26.6,7,71.4,42.0,17,1,5.9,0,9.8,Match Report,2021-09-21,20:45 (11:45),Serie A,Matchweek 5,Tue,Home,W,2,1,Sassuolo,395,491,80.4,6906,2412,185,216,85.6,147,165,89.1,44,72,61.1,2,1.8,1.7,12,23,10,3,29,Match Report,2021-09-21,20:45 (11:45),Serie A,Matchweek 5,Tue,Home,W,2,1,Sassuolo,491,444,45,15,2,8,18,16,5,3,2,0,395,2,9,Match Report,2021-09-21,20:45 (11:45),Serie A,Matchweek 5,Tue,Home,W,2,1,Sassuolo,22,16,2,1,1,1,1,4,4,0,0,0,0,0,Match Report,2021-09-21,20:45 (11:45),Serie A,Matchweek 5,Tue,Home,W,2,1,Sassuolo,21,10,11,5,5,13,25,52.0,12,12,3,9,9,30,17,0,Match Report,2021-09-21,20:45 (11:45),Serie A,Matchweek 5,Tue,Home,W,2,1,Sassuolo,48,624,52,196,248,182,31,624,20,8,40.0,12,60.0,401,1978,908,23,13,7,20,9,392,29,Match Report,2021-09-21,20:45 (11:45),Serie A,Matchweek 5,Tue,Home,W,2,1,Sassuolo,2,0,0,16,15,2,18,9,10,0,0,0,62,11,10,52.4,Match Report
2021-09-25,18:00 (09:00),Serie A,Matchweek 6,Sat,Away,D,2,2,Inter,2,22,5,22.7,0.09,0.40,15.2,1,0,0,1.9,1.9,0.09,+0.1,+0.1,Match Report,2021-09-25,18:00 (09:00),Serie A,Matchweek 6,Sat,Away,D,2,2,Inter,6,2,4,66.7,0,3.2,+1.2,1,0,0,1,6,21,28.6,26,3,38.5,37.7,11,100.0,63.6,18,1,5.6,2,12.4,Match Report,2021-09-25,18:00 (09:00),Serie A,Matchweek 6,Sat,Away,D,2,2,Inter,354,454,78.0,6368,2178,167,186,89.8,141,165,85.5,39,77,50.6,0,1.1,1.5,17,22,8,2,32,Match Report,2021-09-25,18:00 (09:00),Serie A,Matchweek 6,Sat,Away,D,2,2,Inter,454,404,49,12,0,3,22,12,11,5,6,0,354,1,13,Match Report,2021-09-25,18:00 (09:00),Serie A,Matchweek 6,Sat,Away,D,2,2,Inter,37,21,7,1,6,0,2,2,0,0,0,1,0,1,Match Report,2021-09-25,18:00 (09:00),Serie A,Matchweek 6,Sat,Away,D,2,2,Inter,8,4,2,5,1,6,9,66.7,3,9,4,5,18,26,20,0,Match Report,2021-09-25,18:00 (09:00),Serie A,Matchweek 6,Sat,Away,D,2,2,Inter,51,566,66,173,254,145,24,566,4,2,50.0,2,50.0,355,1560,769,15,20,3,13,6,353,32,Match Report,2021-09-25,18:00 (09:00),Serie A,Matchweek 6,Sat,Away,D,2,2,Inter,5,0,0,11,11,1,22,18,4,0,1,0,45,25,20,55.6,Match Report
2021-09-29,18:45 (09:45),Champions Lg,Group stage,Wed,Home,W,1,0,ch Young Boys,1,13,7,53.8,0.08,0.14,13.9,0,0,0,2.5,2.5,0.20,-1.5,-1.5,Match Report,2021-09-29,18:45 (09:45),Champions Lg,Group stage,Wed,Home,W,1,0,ch Young Boys,1,0,1,100.0,1,0.0,0.0,0,0,0,0,2,8,25.0,27,4,18.5,27.3,5,60.0,48.2,5,2,40.0,0,12.3,Match Report,2021-09-29,18:45 (09:45),Champions Lg,Group stage,Wed,Home,W,1,0,ch Young Boys,560,657,85.2,10357,3388,227,250,90.8,260,287,90.6,60,85,70.6,1,2.2,2.5,11,46,12,2,69,Match Report,2021-09-29,18:45 (09:45),Champions Lg,Group stage,Wed,Home,W,1,0,ch Young Boys,657,603,53,13,0,11,18,29,5,2,3,0,560,1,11,Match Report,2021-09-29,18:45 (09:45),Champions Lg,Group stage,Wed,Home,W,1,0,ch Young Boys,26,20,1,3,0,1,1,2,1,0,1,0,0,0,Match Report,2021-09-29,18:45 (09:45),Champions Lg,Group stage,Wed,Home,W,1,0,ch Young Boys,22,15,6,11,5,9,16,56.3,7,6,0,6,15,37,9,0,Match Report,2021-09-29,18:45 (09:45),Champions Lg,Group stage,Wed,Home,W,1,0,ch Young Boys,64,792,36,162,381,254,37,792,36,16,44.4,20,55.6,444,2460,1271,26,24,10,25,17,557,69,Match Report,2021-09-29,18:45 (09:45),Champions Lg,Group stage,Wed,Home,W,1,0,ch Young Boys,1,0,0,10,12,1,18,15,15,0,0,0,68,11,12,47.8,Match Report
2021-10-03,20:45 (11:45),Serie A,Matchweek 7,Sun,Home,L,2,3,Milan,2,16,4,25.0,0.06,0.25,17.9,1,1,1,2.1,1.4,0.09,-0.1,-0.4,Match Report,2021-10-03,20:45 (11:45),Serie A,Matchweek 7,Sun,Home,L,2,3,Milan,7,3,4,57.1,0,3.3,+0.3,0,0,0,0,2,7,28.6,25,5,24.0,29.0,4,25.0,30.8,7,0,0.0,2,25.3,Match Report,2021-10-03,20:45 (11:45),Serie A,Matchweek 7,Sun,Home,L,2,3,Milan,408,510,80.0,6961,2701,201,221,91.0,157,186,84.4,41,68,60.3,1,1.1,0.6,12,40,6,0,54,Match Report,2021-10-03,20:45 (11:45),Serie A,Matchweek 7,Sun,Home,L,2,3,Milan,510,454,54,13,0,10,20,24,9,4,5,0,408,2,13,Match Report,2021-10-03,20:45 (11:45),Serie A,Matchweek 7,Sun,Home,L,2,3,Milan,30,18,3,3,5,1,0,3,2,0,0,1,0,0,Match Report,2021-10-03,20:45 (11:45),Serie A,Matchweek 7,Sun,Home,L,2,3,Milan,22,15,13,8,1,12,28,42.9,16,18,4,14,8,30,9,1,Match Report,2021-10-03,20:45 (11:45),Serie A,Matchweek 7,Sun,Home,L,2,3,Milan,56,630,54,181,271,183,23,629,19,13,68.4,6,31.6,298,1740,921,20,17,6,22,10,404,54,Match Report,2021-10-03,20:45 (11:45),Serie A,Matchweek 7,Sun,Home,L,2,3,Milan,1,0,0,13,13,2,20,8,15,0,0,0,62,10,8,55.6,Match Report
2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,W,4,1,Empoli,3,21,7,33.3,0.14,0.43,17.6,0,0,1,3.9,3.2,0.15,-0.9,-0.2,Match Report,2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,W,4,1,Empoli,4,1,3,75.0,0,0.8,-0.2,0,0,0,0,8,13,61.5,34,8,26.5,31.0,9,44.4,43.2,16,0,0.0,0,4.0,Match Report,2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,W,4,1,Empoli,400,499,80.2,7722,3032,170,184,92.4,148,176,84.1,69,105,65.7,3,3.0,3.2,16,31,10,1,46,Match Report,2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,W,4,1,Empoli,499,453,44,15,3,15,10,14,4,4,0,0,400,2,10,Match Report,2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,W,4,1,Empoli,41,28,3,2,6,1,1,6,6,0,0,0,0,0,Match Report,2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,W,4,1,Empoli,16,5,6,7,3,10,18,55.6,8,15,8,7,15,31,17,0,Match Report,2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,W,4,1,Empoli,52,636,88,235,251,153,32,635,17,8,47.1,9,52.9,378,1887,894,18,10,10,15,6,396,46,Match Report,2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,W,4,1,Empoli,2,0,0,16,10,2,10,15,5,1,0,0,58,11,8,57.9,Match Report
