Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2021-08-16,18:00 (09:00),Coppa Italia,First round,Mon,Home,L,4.0,5.0,Ternana,4,23,11,47.8,0.13,0.27,,,1,1,,,,,,Match Report,2021-08-16,18:00 (09:00),Coppa Italia,First round,Mon,Home,L,4.0,5.0,Ternana,6,5,2,33.3,0,,,2,1,0,1,,,,,,,,,,,,,,,,Match Report,2021-08-16,18:00 (09:00),Coppa Italia,First round,Mon,Home,L,4.0,5.0,Ternana,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2021-08-16,18:00 (09:00),Coppa Italia,First round,Mon,Home,L,4.0,5.0,Ternana,,,,,,,19,,,,,,,,,Match Report,2021-08-16,18:00 (09:00),Coppa Italia,First round,Mon,Home,L,4.0,5.0,Ternana,,,,,,,,,,,,,,,Match Report,2021-08-16,18:00 (09:00),Coppa Italia,First round,Mon,Home,L,4.0,5.0,Ternana,,16,,,,,,,,,,,17,0,,,Match Report,2021-08-16,18:00 (09:00),Coppa Italia,First round,Mon,Home,L,4.0,5.0,Ternana,64.0,,,,,,,,,,,,,,,,,,,,,,,Match Report,2021-08-16,18:00 (09:00),Coppa Italia,First round,Mon,Home,L,4.0,5.0,Ternana,1,0,0,14,21,3,19,17,16,,,0,,,,,Match Report
2021-08-22,18:30 (09:30),Serie A,Matchweek 1,Sun,Home,W,3.0,2.0,Salernitana,3,18,7,38.9,0.17,0.43,17.5,2.0,0,0,1.6,1.6,0.09,1.4,1.4,Match Report,2021-08-22,18:30 (09:30),Serie A,Matchweek 1,Sun,Home,W,3.0,2.0,Salernitana,4,2,2,75.0,0,1.9,-0.1,1,1,0,0,3.0,5.0,60.0,14.0,3.0,28.6,29.4,6.0,16.7,24.8,13.0,2.0,15.4,0.0,9.7,Match Report,2021-08-22,18:30 (09:30),Serie A,Matchweek 1,Sun,Home,W,3.0,2.0,Salernitana,483.0,588.0,82.1,7680.0,2706.0,257.0,287.0,89.5,166.0,194.0,85.6,40.0,62.0,64.5,3,1.2,1.2,11.0,33.0,9.0,0.0,47.0,Match Report,2021-08-22,18:30 (09:30),Serie A,Matchweek 1,Sun,Home,W,3.0,2.0,Salernitana,588.0,537.0,51.0,15.0,3.0,5.0,18,18.0,9.0,8.0,0.0,0.0,483.0,0.0,11.0,Match Report,2021-08-22,18:30 (09:30),Serie A,Matchweek 1,Sun,Home,W,3.0,2.0,Salernitana,31.0,20.0,3.0,0.0,6.0,1.0,1.0,6.0,3.0,2.0,0.0,1.0,0.0,0.0,Match Report,2021-08-22,18:30 (09:30),Serie A,Matchweek 1,Sun,Home,W,3.0,2.0,Salernitana,12.0,7,5.0,5.0,2.0,0.0,4.0,0.0,4.0,4.0,2.0,2.0,6,18,23.0,0.0,Match Report,2021-08-22,18:30 (09:30),Serie A,Matchweek 1,Sun,Home,W,3.0,2.0,Salernitana,71.0,698.0,47.0,155.0,360.0,187.0,23.0,698.0,15.0,6.0,40.0,9.0,60.0,371.0,2299.0,1287.0,28.0,16.0,3.0,14.0,6.0,479.0,47.0,Match Report,2021-08-22,18:30 (09:30),Serie A,Matchweek 1,Sun,Home,W,3.0,2.0,Salernitana,6,2,2,13,14,0,18,6,7,0.0,1.0,0,50.0,17.0,15.0,53.1,Match Report
2021-08-28,18:30 (09:30),Serie A,Matchweek 2,Sat,Away,D,0.0,0.0,Atalanta,0,4,1,25.0,0.0,0.0,15.4,0.0,0,0,0.3,0.3,0.07,-0.3,-0.3,Match Report,2021-08-28,18:30 (09:30),Serie A,Matchweek 2,Sat,Away,D,0.0,0.0,Atalanta,3,0,3,100.0,1,0.2,0.2,0,0,0,0,5.0,23.0,21.7,36.0,4.0,47.2,36.1,14.0,42.9,34.9,16.0,0.0,0.0,0.0,10.9,Match Report,2021-08-28,18:30 (09:30),Serie A,Matchweek 2,Sat,Away,D,0.0,0.0,Atalanta,289.0,415.0,69.6,5245.0,2280.0,129.0,154.0,83.8,111.0,143.0,77.6,39.0,93.0,41.9,0,0.3,0.2,4.0,16.0,4.0,3.0,20.0,Match Report,2021-08-28,18:30 (09:30),Serie A,Matchweek 2,Sat,Away,D,0.0,0.0,Atalanta,415.0,358.0,57.0,13.0,0.0,0.0,14,24.0,5.0,4.0,0.0,0.0,289.0,0.0,9.0,Match Report,2021-08-28,18:30 (09:30),Serie A,Matchweek 2,Sat,Away,D,0.0,0.0,Atalanta,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-08-28,18:30 (09:30),Serie A,Matchweek 2,Sat,Away,D,0.0,0.0,Atalanta,21.0,12,12.0,6.0,3.0,6.0,20.0,30.0,14.0,19.0,10.0,9.0,14,35,24.0,1.0,Match Report,2021-08-28,18:30 (09:30),Serie A,Matchweek 2,Sat,Away,D,0.0,0.0,Atalanta,41.0,531.0,100.0,275.0,180.0,80.0,7.0,531.0,20.0,15.0,75.0,5.0,25.0,210.0,1077.0,438.0,8.0,7.0,2.0,16.0,7.0,286.0,20.0,Match Report,2021-08-28,18:30 (09:30),Serie A,Matchweek 2,Sat,Away,D,0.0,0.0,Atalanta,5,0,0,14,10,0,14,14,12,0.0,0.0,0,59.0,12.0,29.0,29.3,Match Report
2021-09-13,20:45 (11:45),Serie A,Matchweek 3,Mon,Home,W,1.0,0.0,Hellas Verona,1,15,3,20.0,0.07,0.33,17.3,0.0,0,0,1.1,1.1,0.07,-0.1,-0.1,Match Report,2021-09-13,20:45 (11:45),Serie A,Matchweek 3,Mon,Home,W,1.0,0.0,Hellas Verona,0,0,0,,1,0.0,0.0,0,0,0,0,8.0,21.0,38.1,26.0,2.0,65.4,44.0,8.0,50.0,36.6,11.0,0.0,0.0,0.0,11.0,Match Report,2021-09-13,20:45 (11:45),Serie A,Matchweek 3,Mon,Home,W,1.0,0.0,Hellas Verona,262.0,366.0,71.6,4828.0,2135.0,119.0,143.0,83.2,105.0,133.0,78.9,34.0,75.0,45.3,1,0.7,0.7,12.0,20.0,9.0,4.0,24.0,Match Report,2021-09-13,20:45 (11:45),Serie A,Matchweek 3,Mon,Home,W,1.0,0.0,Hellas Verona,366.0,305.0,61.0,23.0,0.0,1.0,23,23.0,6.0,4.0,0.0,0.0,262.0,0.0,9.0,Match Report,2021-09-13,20:45 (11:45),Serie A,Matchweek 3,Mon,Home,W,1.0,0.0,Hellas Verona,25.0,17.0,5.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-09-13,20:45 (11:45),Serie A,Matchweek 3,Mon,Home,W,1.0,0.0,Hellas Verona,11.0,5,5.0,6.0,0.0,4.0,12.0,33.3,8.0,9.0,2.0,7.0,15,26,13.0,0.0,Match Report,2021-09-13,20:45 (11:45),Serie A,Matchweek 3,Mon,Home,W,1.0,0.0,Hellas Verona,43.0,467.0,58.0,137.0,200.0,137.0,19.0,467.0,19.0,11.0,57.9,8.0,42.1,262.0,1518.0,652.0,13.0,15.0,1.0,12.0,9.0,258.0,23.0,Match Report,2021-09-13,20:45 (11:45),Serie A,Matchweek 3,Mon,Home,W,1.0,0.0,Hellas Verona,1,0,0,14,21,0,23,15,5,0.0,0.0,0,48.0,20.0,21.0,48.8,Match Report
2021-09-18,18:00 (09:00),Serie A,Matchweek 4,Sat,Away,L,1.0,6.0,Inter,1,7,2,28.6,0.14,0.5,15.5,0.0,0,0,0.5,0.5,0.07,0.5,0.5,Match Report,2021-09-18,18:00 (09:00),Serie A,Matchweek 4,Sat,Away,L,1.0,6.0,Inter,11,6,5,45.5,0,4.7,-1.3,0,0,0,0,3.0,5.0,60.0,20.0,3.0,15.0,30.9,5.0,40.0,38.6,9.0,0.0,0.0,0.0,13.0,Match Report,2021-09-18,18:00 (09:00),Serie A,Matchweek 4,Sat,Away,L,1.0,6.0,Inter,484.0,557.0,86.9,7525.0,2532.0,265.0,281.0,94.3,148.0,168.0,88.1,44.0,63.0,69.8,1,0.3,0.6,6.0,27.0,7.0,4.0,32.0,Match Report,2021-09-18,18:00 (09:00),Serie A,Matchweek 4,Sat,Away,L,1.0,6.0,Inter,557.0,519.0,38.0,12.0,3.0,2.0,17,13.0,1.0,0.0,0.0,0.0,484.0,0.0,5.0,Match Report,2021-09-18,18:00 (09:00),Serie A,Matchweek 4,Sat,Away,L,1.0,6.0,Inter,13.0,10.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-09-18,18:00 (09:00),Serie A,Matchweek 4,Sat,Away,L,1.0,6.0,Inter,14.0,7,6.0,5.0,3.0,8.0,19.0,42.1,11.0,7.0,3.0,4.0,5,19,11.0,0.0,Match Report,2021-09-18,18:00 (09:00),Serie A,Matchweek 4,Sat,Away,L,1.0,6.0,Inter,55.0,637.0,54.0,149.0,324.0,167.0,13.0,637.0,12.0,8.0,66.7,4.0,33.3,404.0,2323.0,1208.0,22.0,26.0,2.0,11.0,8.0,482.0,32.0,Match Report,2021-09-18,18:00 (09:00),Serie A,Matchweek 4,Sat,Away,L,1.0,6.0,Inter,3,0,0,10,10,0,17,5,7,0.0,0.0,0,43.0,7.0,7.0,50.0,Match Report
2021-09-21,18:30 (09:30),Serie A,Matchweek 5,Tue,Home,D,2.0,2.0,Genoa,2,16,4,25.0,0.06,0.25,15.1,1.0,1,1,2.3,1.5,0.1,-0.3,-0.5,Match Report,2021-09-21,18:30 (09:30),Serie A,Matchweek 5,Tue,Home,D,2.0,2.0,Genoa,6,2,4,83.3,0,2.3,0.3,1,1,0,0,1.0,2.0,50.0,21.0,2.0,9.5,27.0,8.0,0.0,10.6,14.0,0.0,0.0,0.0,13.0,Match Report,2021-09-21,18:30 (09:30),Serie A,Matchweek 5,Tue,Home,D,2.0,2.0,Genoa,471.0,574.0,82.1,7388.0,2633.0,242.0,275.0,88.0,171.0,201.0,85.1,36.0,57.0,63.2,0,1.0,1.2,11.0,33.0,9.0,3.0,33.0,Match Report,2021-09-21,18:30 (09:30),Serie A,Matchweek 5,Tue,Home,D,2.0,2.0,Genoa,574.0,519.0,55.0,15.0,2.0,1.0,15,22.0,7.0,4.0,0.0,0.0,471.0,0.0,6.0,Match Report,2021-09-21,18:30 (09:30),Serie A,Matchweek 5,Tue,Home,D,2.0,2.0,Genoa,29.0,20.0,4.0,0.0,2.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,Match Report,2021-09-21,18:30 (09:30),Serie A,Matchweek 5,Tue,Home,D,2.0,2.0,Genoa,14.0,8,4.0,9.0,1.0,8.0,12.0,66.7,4.0,8.0,1.0,7.0,5,19,12.0,0.0,Match Report,2021-09-21,18:30 (09:30),Serie A,Matchweek 5,Tue,Home,D,2.0,2.0,Genoa,60.0,673.0,57.0,194.0,322.0,164.0,24.0,672.0,22.0,13.0,59.1,9.0,40.9,390.0,1861.0,791.0,11.0,13.0,1.0,15.0,5.0,468.0,32.0,Match Report,2021-09-21,18:30 (09:30),Serie A,Matchweek 5,Tue,Home,D,2.0,2.0,Genoa,3,0,0,14,15,0,15,5,8,1.0,1.0,0,46.0,19.0,7.0,73.1,Match Report
2021-09-26,15:00 (06:00),Serie A,Matchweek 6,Sun,Away,L,2.0,4.0,Empoli,2,19,5,26.3,0.11,0.4,15.9,0.0,0,1,2.9,2.1,0.11,-0.9,-0.1,Match Report,2021-09-26,15:00 (06:00),Serie A,Matchweek 6,Sun,Away,L,2.0,4.0,Empoli,7,4,4,57.1,0,2.6,-0.4,1,1,0,0,1.0,1.0,100.0,22.0,10.0,4.5,20.3,4.0,0.0,20.5,14.0,0.0,0.0,1.0,42.0,Match Report,2021-09-26,15:00 (06:00),Serie A,Matchweek 6,Sun,Away,L,2.0,4.0,Empoli,418.0,513.0,81.5,7653.0,2969.0,179.0,204.0,87.7,166.0,193.0,86.0,58.0,78.0,74.4,2,1.5,1.6,15.0,32.0,13.0,7.0,57.0,Match Report,2021-09-26,15:00 (06:00),Serie A,Matchweek 6,Sun,Away,L,2.0,4.0,Empoli,513.0,456.0,56.0,17.0,1.0,8.0,26,20.0,10.0,7.0,1.0,0.0,418.0,1.0,11.0,Match Report,2021-09-26,15:00 (06:00),Serie A,Matchweek 6,Sun,Away,L,2.0,4.0,Empoli,37.0,25.0,5.0,0.0,5.0,2.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,Match Report,2021-09-26,15:00 (06:00),Serie A,Matchweek 6,Sun,Away,L,2.0,4.0,Empoli,10.0,6,4.0,5.0,1.0,4.0,11.0,36.4,7.0,7.0,3.0,4.0,6,16,12.0,0.0,Match Report,2021-09-26,15:00 (06:00),Serie A,Matchweek 6,Sun,Away,L,2.0,4.0,Empoli,63.0,608.0,53.0,160.0,279.0,172.0,30.0,607.0,11.0,7.0,63.6,4.0,36.4,336.0,1631.0,777.0,14.0,16.0,4.0,10.0,10.0,414.0,57.0,Match Report,2021-09-26,15:00 (06:00),Serie A,Matchweek 6,Sun,Away,L,2.0,4.0,Empoli,2,0,0,22,15,1,26,6,6,1.0,1.0,1,34.0,13.0,4.0,76.5,Match Report
2021-10-03,12:30 (03:30),Serie A,Matchweek 7,Sun,Home,W,3.0,0.0,Lazio,3,10,3,30.0,0.3,1.0,18.5,0.0,0,0,0.6,0.6,0.06,2.4,2.4,Match Report,2021-10-03,12:30 (03:30),Serie A,Matchweek 7,Sun,Home,W,3.0,0.0,Lazio,4,0,4,100.0,1,1.1,1.1,0,0,0,0,12.0,22.0,54.5,36.0,6.0,58.3,40.2,4.0,25.0,24.0,11.0,1.0,9.1,0.0,7.5,Match Report,2021-10-03,12:30 (03:30),Serie A,Matchweek 7,Sun,Home,W,3.0,0.0,Lazio,368.0,458.0,80.3,6836.0,2415.0,153.0,177.0,86.4,140.0,168.0,83.3,54.0,82.0,65.9,3,0.6,0.4,9.0,13.0,5.0,3.0,17.0,Match Report,2021-10-03,12:30 (03:30),Serie A,Matchweek 7,Sun,Home,W,3.0,0.0,Lazio,458.0,415.0,42.0,16.0,0.0,4.0,16,18.0,3.0,1.0,0.0,0.0,368.0,1.0,6.0,Match Report,2021-10-03,12:30 (03:30),Serie A,Matchweek 7,Sun,Home,W,3.0,0.0,Lazio,20.0,16.0,3.0,0.0,0.0,0.0,1.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,Match Report,2021-10-03,12:30 (03:30),Serie A,Matchweek 7,Sun,Home,W,3.0,0.0,Lazio,21.0,12,12.0,7.0,2.0,13.0,22.0,59.1,9.0,9.0,2.0,7.0,15,36,24.0,0.0,Match Report,2021-10-03,12:30 (03:30),Serie A,Matchweek 7,Sun,Home,W,3.0,0.0,Lazio,41.0,569.0,68.0,233.0,256.0,86.0,11.0,569.0,21.0,13.0,61.9,8.0,38.1,337.0,1523.0,700.0,8.0,9.0,1.0,10.0,6.0,364.0,16.0,Match Report,2021-10-03,12:30 (03:30),Serie A,Matchweek 7,Sun,Home,W,3.0,0.0,Lazio,2,0,0,5,16,1,16,15,12,0.0,0.0,0,52.0,13.0,13.0,50.0,Match Report
2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,D,1.0,1.0,Udinese,1,24,11,45.8,0.04,0.09,20.2,1.0,0,0,1.4,1.4,0.06,-0.4,-0.4,Match Report,2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,D,1.0,1.0,Udinese,2,1,1,50.0,0,0.9,-0.1,0,0,0,0,1.0,4.0,25.0,13.0,3.0,15.4,27.6,4.0,50.0,38.5,7.0,1.0,14.3,0.0,6.5,Match Report,2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,D,1.0,1.0,Udinese,455.0,526.0,86.5,8097.0,2696.0,209.0,223.0,93.7,190.0,211.0,90.0,50.0,74.0,67.6,1,1.2,0.7,20.0,38.0,10.0,2.0,47.0,Match Report,2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,D,1.0,1.0,Udinese,526.0,485.0,41.0,15.0,1.0,4.0,16,12.0,8.0,1.0,5.0,0.0,455.0,0.0,7.0,Match Report,2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,D,1.0,1.0,Udinese,45.0,37.0,3.0,1.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,D,1.0,1.0,Udinese,15.0,8,7.0,7.0,1.0,5.0,15.0,33.3,10.0,12.0,3.0,9.0,8,23,11.0,0.0,Match Report,2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,D,1.0,1.0,Udinese,59.0,631.0,37.0,163.0,330.0,145.0,21.0,631.0,11.0,7.0,63.6,4.0,36.4,394.0,2085.0,1097.0,20.0,17.0,2.0,14.0,5.0,450.0,47.0,Match Report,2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,D,1.0,1.0,Udinese,7,0,0,11,15,0,16,8,8,0.0,0.0,0,44.0,11.0,8.0,57.9,Match Report
2021-10-23,20:45 (11:45),Serie A,Matchweek 9,Sat,Home,L,2.0,4.0,Milan,1,9,4,44.4,0.11,0.25,14.5,0.0,0,0,0.9,0.9,0.1,0.1,0.1,Match Report,2021-10-23,20:45 (11:45),Serie A,Matchweek 9,Sat,Home,L,2.0,4.0,Milan,7,4,3,42.9,0,1.2,-2.8,0,0,0,0,6.0,15.0,40.0,21.0,3.0,57.1,42.2,8.0,37.5,36.4,11.0,1.0,9.1,2.0,14.8,Match Report,2021-10-23,20:45 (11:45),Serie A,Matchweek 9,Sat,Home,L,2.0,4.0,Milan,297.0,380.0,78.2,5443.0,2242.0,137.0,154.0,89.0,117.0,138.0,84.8,40.0,69.0,58.0,1,0.9,0.5,7.0,27.0,6.0,2.0,24.0,Match Report,2021-10-23,20:45 (11:45),Serie A,Matchweek 9,Sat,Home,L,2.0,4.0,Milan,380.0,329.0,51.0,17.0,2.0,3.0,11,17.0,4.0,3.0,0.0,1.0,297.0,0.0,10.0,Match Report,2021-10-23,20:45 (11:45),Serie A,Matchweek 9,Sat,Home,L,2.0,4.0,Milan,18.0,11.0,3.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-10-23,20:45 (11:45),Serie A,Matchweek 9,Sat,Home,L,2.0,4.0,Milan,19.0,6,15.0,1.0,3.0,9.0,15.0,60.0,6.0,11.0,5.0,6.0,3,22,21.0,0.0,Match Report,2021-10-23,20:45 (11:45),Serie A,Matchweek 9,Sat,Home,L,2.0,4.0,Milan,37.0,469.0,60.0,171.0,219.0,85.0,9.0,469.0,13.0,6.0,46.2,7.0,53.8,265.0,1306.0,592.0,8.0,4.0,0.0,9.0,8.0,295.0,24.0,Match Report,2021-10-23,20:45 (11:45),Serie A,Matchweek 9,Sat,Home,L,2.0,4.0,Milan,1,2,0,7,14,0,11,3,6,0.0,0.0,0,41.0,10.0,10.0,50.0,Match Report
