Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2021-08-19,20:30 (10:30),Conf Lg,Play-off round,Thu,Away,W,2,1,tr Trabzonspor,2,,,,,,,,0,0,,,,,,Match Report,2021-08-19,20:30 (10:30),Conf Lg,Play-off round,Thu,Away,W,2,1,tr Trabzonspor,,,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2021-08-19,20:30 (10:30),Conf Lg,Play-off round,Thu,Away,W,2,1,tr Trabzonspor,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2021-08-19,20:30 (10:30),Conf Lg,Play-off round,Thu,Away,W,2,1,tr Trabzonspor,,,,,,,,,,,,,,,,Match Report,2021-08-19,20:30 (10:30),Conf Lg,Play-off round,Thu,Away,W,2,1,tr Trabzonspor,,,,,,,,,,,,,,,Match Report,2021-08-19,20:30 (10:30),Conf Lg,Play-off round,Thu,Away,W,2,1,tr Trabzonspor,,,,,,,,,,,,,,0,,,Match Report,2021-08-19,20:30 (10:30),Conf Lg,Play-off round,Thu,Away,W,2,1,tr Trabzonspor,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2021-08-19,20:30 (10:30),Conf Lg,Play-off round,Thu,Away,W,2,1,tr Trabzonspor,1,0,0,,,,,,,,,0,,,,,Match Report
2021-08-22,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,3,1,Fiorentina,3,11,6,54.5,0.27,0.50,14.8,0,0,0,2.7,2.7,0.25,+0.3,+0.3,Match Report,2021-08-22,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,3,1,Fiorentina,8,1,7,87.5,0,1.2,+0.2,0,0,0,0,4,11,36.4,30,7,30.0,34.2,3,66.7,44.0,12,0,0.0,0,3.5,Match Report,2021-08-22,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,3,1,Fiorentina,331,405,81.7,6506,2475,129,148,87.2,146,159,91.8,47,74,63.5,3,2.7,1.7,9,22,5,0,36,Match Report,2021-08-22,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,3,1,Fiorentina,405,357,44,17,8,4,11,18,4,3,0,0,331,4,6,Match Report,2021-08-22,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,3,1,Fiorentina,19,11,2,5,1,0,0,5,4,0,1,0,0,0,Match Report,2021-08-22,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,3,1,Fiorentina,13,10,7,5,1,6,14,42.9,8,7,1,6,11,24,17,0,Match Report,2021-08-22,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,3,1,Fiorentina,42,498,51,185,227,92,14,498,22,12,54.5,10,45.5,249,1482,663,12,9,2,13,2,330,35,Match Report,2021-08-22,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,3,1,Fiorentina,3,1,1,12,14,4,11,11,10,0,0,0,42,12,7,63.2,Match Report
2021-08-26,19:00 (10:00),Conf Lg,Play-off round,Thu,Home,W,3,0,tr Trabzonspor,3,,,,,,,,0,0,,,,,,Match Report,2021-08-26,19:00 (10:00),Conf Lg,Play-off round,Thu,Home,W,3,0,tr Trabzonspor,,,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2021-08-26,19:00 (10:00),Conf Lg,Play-off round,Thu,Home,W,3,0,tr Trabzonspor,,,,,,,,,,,,,,,3,,,,,,,,Match Report,2021-08-26,19:00 (10:00),Conf Lg,Play-off round,Thu,Home,W,3,0,tr Trabzonspor,,,,,,,,,,,,,,,,Match Report,2021-08-26,19:00 (10:00),Conf Lg,Play-off round,Thu,Home,W,3,0,tr Trabzonspor,,,,,,,,,,,,,,,Match Report,2021-08-26,19:00 (10:00),Conf Lg,Play-off round,Thu,Home,W,3,0,tr Trabzonspor,,,,,,,,,,,,,,0,,,Match Report,2021-08-26,19:00 (10:00),Conf Lg,Play-off round,Thu,Home,W,3,0,tr Trabzonspor,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2021-08-26,19:00 (10:00),Conf Lg,Play-off round,Thu,Home,W,3,0,tr Trabzonspor,2,0,0,,,,,,,,,0,,,,,Match Report
2021-08-29,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,4,0,Salernitana,4,28,9,32.1,0.14,0.44,18.3,0,0,0,2.1,2.1,0.07,+1.9,+1.9,Match Report,2021-08-29,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,4,0,Salernitana,0,0,0,,1,0.0,0.0,0,0,0,0,4,8,50.0,22,4,27.3,28.9,7,28.6,34.4,9,0,0.0,0,,Match Report,2021-08-29,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,4,0,Salernitana,661,760,87.0,11891,3389,279,301,92.7,311,339,91.7,57,85,67.1,4,1.6,1.8,20,55,15,3,57,Match Report,2021-08-29,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,4,0,Salernitana,760,713,44,14,1,3,27,12,10,8,0,0,661,3,9,Match Report,2021-08-29,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,4,0,Salernitana,51,39,3,1,8,0,0,8,7,0,0,1,0,0,Match Report,2021-08-29,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,4,0,Salernitana,6,4,0,3,3,2,4,50.0,2,9,1,8,8,14,11,0,Match Report,2021-08-29,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,4,0,Salernitana,79,855,42,163,443,254,44,855,13,5,38.5,8,61.5,501,2543,1432,25,22,6,11,5,658,57,Match Report,2021-08-29,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,4,0,Salernitana,2,0,0,11,12,3,27,8,4,0,0,0,43,17,15,53.1,Match Report
2021-09-12,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,W,2,1,Sassuolo,2,17,6,35.3,0.12,0.33,15.2,0,0,0,2.1,2.1,0.13,-0.1,-0.1,Match Report,2021-09-12,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,W,2,1,Sassuolo,7,1,6,85.7,0,2.7,+1.7,0,0,0,0,3,5,60.0,23,4,21.7,26.4,6,0.0,20.2,11,0,0.0,2,25.0,Match Report,2021-09-12,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,W,2,1,Sassuolo,414,485,85.4,7736,2800,143,156,91.7,219,235,93.2,39,66,59.1,2,1.9,0.7,16,25,9,1,43,Match Report,2021-09-12,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,W,2,1,Sassuolo,485,435,49,17,2,1,15,20,4,4,0,0,414,1,6,Match Report,2021-09-12,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,W,2,1,Sassuolo,28,15,4,4,2,2,1,2,0,1,0,0,1,0,Match Report,2021-09-12,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,W,2,1,Sassuolo,8,6,1,5,2,6,13,46.2,7,14,1,13,3,11,19,0,Match Report,2021-09-12,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,W,2,1,Sassuolo,49,587,61,172,309,112,24,587,13,8,61.5,5,38.5,309,1722,780,15,17,6,14,4,413,42,Match Report,2021-09-12,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,W,2,1,Sassuolo,2,0,0,7,11,1,15,3,6,0,0,0,40,5,3,62.5,Match Report
2021-09-16,21:00 (12:00),Conf Lg,Group stage,Thu,Home,W,5,1,bg CSKA Sofia,5,16,7,43.8,0.31,0.71,18.7,2,0,0,3.0,3.0,0.21,+2.0,+2.0,Match Report,2021-09-16,21:00 (12:00),Conf Lg,Group stage,Thu,Home,W,5,1,bg CSKA Sofia,4,1,3,75.0,0,0.3,-0.7,0,0,0,0,2,9,22.2,11,1,45.5,35.0,8,50.0,37.8,11,0,0.0,2,24.5,Match Report,2021-09-16,21:00 (12:00),Conf Lg,Group stage,Thu,Home,W,5,1,bg CSKA Sofia,489,575,85.0,8002,2402,229,253,90.5,221,244,90.6,29,60,48.3,5,2.0,1.7,10,36,9,3,44,Match Report,2021-09-16,21:00 (12:00),Conf Lg,Group stage,Thu,Home,W,5,1,bg CSKA Sofia,575,530,45,10,3,3,11,20,5,5,0,0,489,0,5,Match Report,2021-09-16,21:00 (12:00),Conf Lg,Group stage,Thu,Home,W,5,1,bg CSKA Sofia,27,18,0,2,2,2,3,9,6,0,1,1,0,1,Match Report,2021-09-16,21:00 (12:00),Conf Lg,Group stage,Thu,Home,W,5,1,bg CSKA Sofia,18,7,8,4,6,8,18,44.4,10,5,2,3,11,29,16,0,Match Report,2021-09-16,21:00 (12:00),Conf Lg,Group stage,Thu,Home,W,5,1,bg CSKA Sofia,61,668,43,146,415,112,13,668,19,12,63.2,7,36.8,449,2222,1215,14,15,1,15,3,487,44,Match Report,2021-09-16,21:00 (12:00),Conf Lg,Group stage,Thu,Home,W,5,1,bg CSKA Sofia,0,0,0,12,12,0,11,11,7,0,0,0,42,16,10,61.5,Match Report
2021-09-19,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,L,2,3,Hellas Verona,1,15,2,13.3,0.07,0.50,20.4,0,0,0,0.7,0.7,0.04,+0.3,+0.3,Match Report,2021-09-19,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,L,2,3,Hellas Verona,6,3,3,50.0,0,2.7,-0.3,0,0,0,0,13,29,44.8,47,4,59.6,40.8,9,11.1,14.4,6,0,0.0,4,20.8,Match Report,2021-09-19,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,L,2,3,Hellas Verona,289,423,68.3,5677,2574,108,146,74.0,128,155,82.6,44,90,48.9,1,0.6,0.5,11,27,8,1,32,Match Report,2021-09-19,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,L,2,3,Hellas Verona,423,370,51,17,1,0,19,13,8,6,2,0,289,2,10,Match Report,2021-09-19,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,L,2,3,Hellas Verona,27,19,2,3,2,1,0,2,2,0,0,0,0,0,Match Report,2021-09-19,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,L,2,3,Hellas Verona,19,15,8,10,1,5,12,41.7,7,11,1,10,9,28,11,1,Match Report,2021-09-19,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,L,2,3,Hellas Verona,47,520,68,174,238,119,19,520,13,10,76.9,3,23.1,245,1410,590,15,14,3,23,4,283,32,Match Report,2021-09-19,18:00 (09:00),Serie A,Matchweek 4,Sun,Away,L,2,3,Hellas Verona,2,0,0,13,12,2,19,9,15,0,0,0,53,25,22,53.2,Match Report
2021-09-23,20:45 (11:45),Serie A,Matchweek 5,Thu,Home,W,1,0,Udinese,1,12,2,16.7,0.08,0.50,18.9,0,0,0,1.9,1.9,0.16,-0.9,-0.9,Match Report,2021-09-23,20:45 (11:45),Serie A,Matchweek 5,Thu,Home,W,1,0,Udinese,2,0,2,100.0,1,0.1,+0.1,0,0,0,0,4,8,50.0,12,0,50.0,35.8,9,22.2,27.8,12,0,0.0,2,17.8,Match Report,2021-09-23,20:45 (11:45),Serie A,Matchweek 5,Thu,Home,W,1,0,Udinese,455,543,83.8,8781,2831,149,176,84.7,252,273,92.3,48,74,64.9,1,1.9,1.3,9,39,7,2,48,Match Report,2021-09-23,20:45 (11:45),Serie A,Matchweek 5,Thu,Home,W,1,0,Udinese,543,497,45,10,0,3,18,19,6,5,1,0,455,1,8,Match Report,2021-09-23,20:45 (11:45),Serie A,Matchweek 5,Thu,Home,W,1,0,Udinese,20,16,1,2,1,0,0,2,1,0,1,0,0,0,Match Report,2021-09-23,20:45 (11:45),Serie A,Matchweek 5,Thu,Home,W,1,0,Udinese,19,7,8,9,2,9,22,40.9,13,8,1,7,9,28,18,0,Match Report,2021-09-23,20:45 (11:45),Serie A,Matchweek 5,Thu,Home,W,1,0,Udinese,51,660,48,156,357,149,18,660,15,8,53.3,7,46.7,415,1891,833,15,15,3,23,9,452,46,Match Report,2021-09-23,20:45 (11:45),Serie A,Matchweek 5,Thu,Home,W,1,0,Udinese,4,1,1,22,8,1,18,9,7,0,0,0,53,12,8,60.0,Match Report
2021-09-26,18:00 (09:00),Serie A,Matchweek 6,Sun,Away,L,2,3,Lazio,2,19,7,36.8,0.05,0.14,14.7,0,1,1,2.1,1.4,0.07,-0.1,-0.4,Match Report,2021-09-26,18:00 (09:00),Serie A,Matchweek 6,Sun,Away,L,2,3,Lazio,4,3,1,25.0,0,1.6,-1.4,0,0,0,0,4,6,66.7,17,3,17.6,26.9,10,30.0,28.2,8,0,0.0,0,11.0,Match Report,2021-09-26,18:00 (09:00),Serie A,Matchweek 6,Sun,Away,L,2,3,Lazio,404,488,82.8,8065,2880,156,182,85.7,175,195,89.7,65,96,67.7,1,1.4,1.1,18,37,10,2,54,Match Report,2021-09-26,18:00 (09:00),Serie A,Matchweek 6,Sun,Away,L,2,3,Lazio,488,433,54,13,1,6,25,18,9,8,0,0,404,1,4,Match Report,2021-09-26,18:00 (09:00),Serie A,Matchweek 6,Sun,Away,L,2,3,Lazio,38,18,8,3,5,3,1,4,0,1,0,2,1,0,Match Report,2021-09-26,18:00 (09:00),Serie A,Matchweek 6,Sun,Away,L,2,3,Lazio,20,13,10,7,3,9,20,45.0,11,8,0,8,11,31,5,1,Match Report,2021-09-26,18:00 (09:00),Serie A,Matchweek 6,Sun,Away,L,2,3,Lazio,51,599,46,181,246,179,40,598,26,18,69.2,8,30.8,317,1974,991,23,15,9,22,11,403,54,Match Report,2021-09-26,18:00 (09:00),Serie A,Matchweek 6,Sun,Away,L,2,3,Lazio,4,0,0,13,11,1,25,11,13,1,0,0,43,13,14,48.1,Match Report
2021-09-30,19:45 (09:45),Conf Lg,Group stage,Thu,Away,W,3,0,ua Zorya Luhansk,3,18,10,55.6,0.17,0.30,17.5,0,0,0,3.1,3.1,0.18,-0.1,-0.1,Match Report,2021-09-30,19:45 (09:45),Conf Lg,Group stage,Thu,Away,W,3,0,ua Zorya Luhansk,2,0,2,100.0,1,0.1,+0.1,0,0,0,0,9,17,52.9,36,3,41.7,34.3,7,28.6,25.0,11,1,9.1,0,10.0,Match Report,2021-09-30,19:45 (09:45),Conf Lg,Group stage,Thu,Away,W,3,0,ua Zorya Luhansk,424,528,80.3,7212,2683,217,249,87.1,160,190,84.2,42,71,59.2,2,3.0,2.0,15,25,10,3,27,Match Report,2021-09-30,19:45 (09:45),Conf Lg,Group stage,Thu,Away,W,3,0,ua Zorya Luhansk,528,474,54,10,7,3,14,31,5,5,0,0,424,0,9,Match Report,2021-09-30,19:45 (09:45),Conf Lg,Group stage,Thu,Away,W,3,0,ua Zorya Luhansk,33,27,2,3,1,0,0,6,4,1,1,0,0,0,Match Report,2021-09-30,19:45 (09:45),Conf Lg,Group stage,Thu,Away,W,3,0,ua Zorya Luhansk,16,11,11,4,1,6,23,26.1,17,14,7,7,8,24,17,0,Match Report,2021-09-30,19:45 (09:45),Conf Lg,Group stage,Thu,Away,W,3,0,ua Zorya Luhansk,53,669,77,224,299,152,29,669,31,15,48.4,16,51.6,416,2241,1053,24,14,7,28,7,421,26,Match Report,2021-09-30,19:45 (09:45),Conf Lg,Group stage,Thu,Away,W,3,0,ua Zorya Luhansk,2,0,0,14,9,0,14,8,11,0,0,0,72,8,9,47.1,Match Report
