Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2021-08-16,20:45 (11:45),Coppa Italia,First round,Mon,Home,W,2.0,0.0,US Reggina,2,14,5,35.7,0.14,0.4,,,0,0,,,,,,Match Report,2021-08-16,20:45 (11:45),Coppa Italia,First round,Mon,Home,W,2.0,0.0,US Reggina,6,0,6,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2021-08-16,20:45 (11:45),Coppa Italia,First round,Mon,Home,W,2.0,0.0,US Reggina,,,,,,,,,,,,,,,2,,,,,,,,Match Report,2021-08-16,20:45 (11:45),Coppa Italia,First round,Mon,Home,W,2.0,0.0,US Reggina,,,,,,,13,,,,,,,,,Match Report,2021-08-16,20:45 (11:45),Coppa Italia,First round,Mon,Home,W,2.0,0.0,US Reggina,,,,,,,,,,,,,,,Match Report,2021-08-16,20:45 (11:45),Coppa Italia,First round,Mon,Home,W,2.0,0.0,US Reggina,,8,,,,,,,,,,,11,0,,,Match Report,2021-08-16,20:45 (11:45),Coppa Italia,First round,Mon,Home,W,2.0,0.0,US Reggina,34.0,,,,,,,,,,,,,,,,,,,,,,,Match Report,2021-08-16,20:45 (11:45),Coppa Italia,First round,Mon,Home,W,2.0,0.0,US Reggina,1,0,0,16,9,2,13,11,8,,,0,,,,,Match Report
2021-08-22,18:30 (09:30),Serie A,Matchweek 1,Sun,Away,L,2.0,3.0,Bologna,2,9,3,33.3,0.11,0.33,18.5,1.0,1,1,1.5,0.7,0.08,0.5,0.3,Match Report,2021-08-22,18:30 (09:30),Serie A,Matchweek 1,Sun,Away,L,2.0,3.0,Bologna,7,3,4,57.1,0,1.0,-2.0,0,0,0,0,4.0,15.0,26.7,11.0,3.0,72.7,54.2,7.0,100.0,66.4,13.0,0.0,0.0,0.0,4.0,Match Report,2021-08-22,18:30 (09:30),Serie A,Matchweek 1,Sun,Away,L,2.0,3.0,Bologna,128.0,244.0,52.5,2591.0,1310.0,54.0,78.0,69.2,56.0,89.0,62.9,18.0,63.0,28.6,0,0.1,0.3,4.0,13.0,4.0,1.0,14.0,Match Report,2021-08-22,18:30 (09:30),Serie A,Matchweek 1,Sun,Away,L,2.0,3.0,Bologna,244.0,190.0,52.0,10.0,0.0,1.0,16,27.0,4.0,0.0,4.0,0.0,128.0,2.0,5.0,Match Report,2021-08-22,18:30 (09:30),Serie A,Matchweek 1,Sun,Away,L,2.0,3.0,Bologna,14.0,9.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,Match Report,2021-08-22,18:30 (09:30),Serie A,Matchweek 1,Sun,Away,L,2.0,3.0,Bologna,15.0,9,6.0,8.0,1.0,9.0,15.0,60.0,6.0,15.0,7.0,8.0,7,22,26.0,0.0,Match Report,2021-08-22,18:30 (09:30),Serie A,Matchweek 1,Sun,Away,L,2.0,3.0,Bologna,29.0,344.0,50.0,121.0,137.0,89.0,12.0,343.0,4.0,4.0,100.0,0.0,0.0,151.0,765.0,305.0,8.0,5.0,0.0,11.0,12.0,124.0,14.0,Match Report,2021-08-22,18:30 (09:30),Serie A,Matchweek 1,Sun,Away,L,2.0,3.0,Bologna,3,1,1,15,13,2,16,7,9,1.0,0.0,0,37.0,15.0,17.0,46.9,Match Report
2021-08-29,20:45 (11:45),Serie A,Matchweek 2,Sun,Home,L,0.0,4.0,Roma,0,5,0,0.0,0.0,,14.0,0.0,0,0,0.3,0.3,0.07,-0.3,-0.3,Match Report,2021-08-29,20:45 (11:45),Serie A,Matchweek 2,Sun,Home,L,0.0,4.0,Roma,9,4,5,55.6,0,3.1,-0.9,0,0,0,0,6.0,22.0,27.3,12.0,1.0,91.7,51.6,11.0,100.0,60.7,19.0,0.0,0.0,0.0,7.7,Match Report,2021-08-29,20:45 (11:45),Serie A,Matchweek 2,Sun,Home,L,0.0,4.0,Roma,100.0,201.0,49.8,2018.0,1105.0,38.0,58.0,65.5,39.0,73.0,53.4,18.0,53.0,34.0,0,0.2,0.2,3.0,5.0,2.0,2.0,9.0,Match Report,2021-08-29,20:45 (11:45),Serie A,Matchweek 2,Sun,Home,L,0.0,4.0,Roma,201.0,153.0,46.0,13.0,0.0,0.0,10,16.0,1.0,0.0,1.0,0.0,100.0,2.0,6.0,Match Report,2021-08-29,20:45 (11:45),Serie A,Matchweek 2,Sun,Home,L,0.0,4.0,Roma,7.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-08-29,20:45 (11:45),Serie A,Matchweek 2,Sun,Home,L,0.0,4.0,Roma,13.0,6,9.0,3.0,1.0,8.0,13.0,61.5,5.0,14.0,9.0,5.0,11,24,30.0,0.0,Match Report,2021-08-29,20:45 (11:45),Serie A,Matchweek 2,Sun,Home,L,0.0,4.0,Roma,21.0,305.0,68.0,143.0,111.0,53.0,6.0,305.0,4.0,2.0,50.0,2.0,50.0,82.0,469.0,235.0,4.0,4.0,0.0,9.0,4.0,99.0,8.0,Match Report,2021-08-29,20:45 (11:45),Serie A,Matchweek 2,Sun,Home,L,0.0,4.0,Roma,2,0,0,12,10,2,10,11,6,0.0,0.0,0,40.0,15.0,17.0,46.9,Match Report
2021-09-12,15:00 (06:00),Serie A,Matchweek 3,Sun,Away,L,0.0,4.0,Torino,0,8,2,25.0,0.0,0.0,20.2,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report,2021-09-12,15:00 (06:00),Serie A,Matchweek 3,Sun,Away,L,0.0,4.0,Torino,7,4,3,42.9,0,3.2,-0.8,0,0,0,0,4.0,17.0,23.5,20.0,5.0,60.0,41.2,6.0,83.3,57.0,21.0,0.0,0.0,0.0,,Match Report,2021-09-12,15:00 (06:00),Serie A,Matchweek 3,Sun,Away,L,0.0,4.0,Torino,262.0,375.0,69.9,4533.0,1687.0,111.0,134.0,82.8,113.0,145.0,77.9,25.0,68.0,36.8,0,0.2,0.5,5.0,21.0,5.0,3.0,24.0,Match Report,2021-09-12,15:00 (06:00),Serie A,Matchweek 3,Sun,Away,L,0.0,4.0,Torino,375.0,327.0,47.0,11.0,0.0,2.0,20,21.0,4.0,0.0,4.0,0.0,262.0,1.0,11.0,Match Report,2021-09-12,15:00 (06:00),Serie A,Matchweek 3,Sun,Away,L,0.0,4.0,Torino,10.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-09-12,15:00 (06:00),Serie A,Matchweek 3,Sun,Away,L,0.0,4.0,Torino,9.0,7,6.0,2.0,1.0,4.0,9.0,44.4,5.0,7.0,3.0,4.0,10,19,19.0,0.0,Match Report,2021-09-12,15:00 (06:00),Serie A,Matchweek 3,Sun,Away,L,0.0,4.0,Torino,41.0,463.0,51.0,156.0,208.0,104.0,16.0,463.0,8.0,1.0,12.5,7.0,87.5,266.0,1325.0,682.0,12.0,8.0,2.0,15.0,3.0,257.0,23.0,Match Report,2021-09-12,15:00 (06:00),Serie A,Matchweek 3,Sun,Away,L,0.0,4.0,Torino,2,0,0,11,10,1,20,10,7,0.0,0.0,0,42.0,18.0,19.0,48.6,Match Report
2021-09-18,20:45 (11:45),Serie A,Matchweek 4,Sat,Home,L,0.0,1.0,Atalanta,0,10,1,10.0,0.0,0.0,21.3,0.0,0,0,0.7,0.7,0.07,-0.7,-0.7,Match Report,2021-09-18,20:45 (11:45),Serie A,Matchweek 4,Sat,Home,L,0.0,1.0,Atalanta,3,1,2,66.7,0,0.7,-0.3,0,0,0,0,4.0,9.0,44.4,10.0,4.0,50.0,43.7,7.0,57.1,43.7,7.0,0.0,0.0,1.0,13.7,Match Report,2021-09-18,20:45 (11:45),Serie A,Matchweek 4,Sat,Home,L,0.0,1.0,Atalanta,303.0,416.0,72.8,5211.0,2270.0,144.0,178.0,80.9,127.0,157.0,80.9,25.0,53.0,47.2,0,0.6,0.7,6.0,30.0,5.0,1.0,37.0,Match Report,2021-09-18,20:45 (11:45),Serie A,Matchweek 4,Sat,Home,L,0.0,1.0,Atalanta,416.0,363.0,51.0,14.0,1.0,2.0,17,22.0,6.0,4.0,2.0,0.0,303.0,2.0,8.0,Match Report,2021-09-18,20:45 (11:45),Serie A,Matchweek 4,Sat,Home,L,0.0,1.0,Atalanta,14.0,9.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-09-18,20:45 (11:45),Serie A,Matchweek 4,Sat,Home,L,0.0,1.0,Atalanta,13.0,12,9.0,4.0,0.0,7.0,9.0,77.8,2.0,7.0,4.0,3.0,8,21,16.0,0.0,Match Report,2021-09-18,20:45 (11:45),Serie A,Matchweek 4,Sat,Home,L,0.0,1.0,Atalanta,42.0,513.0,47.0,139.0,252.0,130.0,16.0,513.0,11.0,6.0,54.5,5.0,45.5,273.0,1561.0,712.0,12.0,15.0,2.0,18.0,7.0,300.0,36.0,Match Report,2021-09-18,20:45 (11:45),Serie A,Matchweek 4,Sat,Home,L,0.0,1.0,Atalanta,4,0,0,21,12,2,17,8,12,0.0,0.0,0,62.0,18.0,17.0,51.4,Match Report
2021-09-22,18:30 (09:30),Serie A,Matchweek 5,Wed,Home,D,2.0,2.0,Hellas Verona,2,15,4,26.7,0.13,0.5,13.6,0.0,0,0,2.7,2.7,0.18,-0.7,-0.7,Match Report,2021-09-22,18:30 (09:30),Serie A,Matchweek 5,Wed,Home,D,2.0,2.0,Hellas Verona,5,2,3,60.0,0,2.1,0.1,0,0,0,0,10.0,21.0,47.6,22.0,2.0,77.3,48.6,5.0,80.0,51.0,13.0,2.0,15.4,2.0,15.6,Match Report,2021-09-22,18:30 (09:30),Serie A,Matchweek 5,Wed,Home,D,2.0,2.0,Hellas Verona,308.0,426.0,72.3,5540.0,2571.0,143.0,164.0,87.2,116.0,159.0,73.0,38.0,72.0,52.8,1,2.0,1.2,12.0,31.0,6.0,4.0,37.0,Match Report,2021-09-22,18:30 (09:30),Serie A,Matchweek 5,Wed,Home,D,2.0,2.0,Hellas Verona,426.0,370.0,56.0,18.0,0.0,1.0,29,26.0,4.0,2.0,2.0,0.0,308.0,0.0,14.0,Match Report,2021-09-22,18:30 (09:30),Serie A,Matchweek 5,Wed,Home,D,2.0,2.0,Hellas Verona,27.0,16.0,4.0,1.0,3.0,3.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,Match Report,2021-09-22,18:30 (09:30),Serie A,Matchweek 5,Wed,Home,D,2.0,2.0,Hellas Verona,18.0,11,10.0,8.0,0.0,9.0,16.0,56.3,7.0,10.0,2.0,8.0,15,33,18.0,0.0,Match Report,2021-09-22,18:30 (09:30),Serie A,Matchweek 5,Wed,Home,D,2.0,2.0,Hellas Verona,50.0,538.0,42.0,145.0,225.0,176.0,24.0,538.0,20.0,11.0,55.0,9.0,45.0,318.0,1684.0,780.0,16.0,11.0,7.0,24.0,16.0,304.0,37.0,Match Report,2021-09-22,18:30 (09:30),Serie A,Matchweek 5,Wed,Home,D,2.0,2.0,Hellas Verona,2,0,0,13,16,0,29,15,11,0.0,0.0,0,64.0,22.0,12.0,64.7,Match Report
2021-09-26,15:00 (06:00),Serie A,Matchweek 6,Sun,Away,L,0.0,1.0,Sassuolo,0,12,4,33.3,0.0,0.0,15.0,0.0,0,0,1.1,1.1,0.09,-1.1,-1.1,Match Report,2021-09-26,15:00 (06:00),Serie A,Matchweek 6,Sun,Away,L,0.0,1.0,Sassuolo,6,1,5,83.3,0,1.1,0.1,0,0,0,0,10.0,13.0,76.9,13.0,6.0,30.8,35.2,13.0,69.2,51.7,12.0,1.0,8.3,0.0,4.5,Match Report,2021-09-26,15:00 (06:00),Serie A,Matchweek 6,Sun,Away,L,0.0,1.0,Sassuolo,282.0,379.0,74.4,5402.0,3115.0,135.0,168.0,80.4,90.0,111.0,81.1,46.0,70.0,65.7,0,0.9,1.2,10.0,31.0,10.0,6.0,38.0,Match Report,2021-09-26,15:00 (06:00),Serie A,Matchweek 6,Sun,Away,L,0.0,1.0,Sassuolo,379.0,319.0,54.0,15.0,1.0,0.0,24,16.0,8.0,2.0,6.0,0.0,282.0,6.0,5.0,Match Report,2021-09-26,15:00 (06:00),Serie A,Matchweek 6,Sun,Away,L,0.0,1.0,Sassuolo,21.0,17.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-09-26,15:00 (06:00),Serie A,Matchweek 6,Sun,Away,L,0.0,1.0,Sassuolo,12.0,7,6.0,3.0,3.0,5.0,21.0,23.8,16.0,8.0,4.0,4.0,11,23,16.0,0.0,Match Report,2021-09-26,15:00 (06:00),Serie A,Matchweek 6,Sun,Away,L,0.0,1.0,Sassuolo,43.0,491.0,56.0,131.0,216.0,149.0,22.0,491.0,20.0,15.0,75.0,5.0,25.0,261.0,1189.0,664.0,15.0,10.0,1.0,24.0,2.0,279.0,38.0,Match Report,2021-09-26,15:00 (06:00),Serie A,Matchweek 6,Sun,Away,L,0.0,1.0,Sassuolo,3,0,0,16,14,6,24,11,7,0.0,0.0,0,45.0,20.0,12.0,62.5,Match Report
2021-10-02,15:00 (06:00),Serie A,Matchweek 7,Sat,Home,W,1.0,0.0,Genoa,1,10,4,40.0,0.1,0.25,18.0,0.0,0,0,0.5,0.5,0.05,0.5,0.5,Match Report,2021-10-02,15:00 (06:00),Serie A,Matchweek 7,Sat,Home,W,1.0,0.0,Genoa,3,0,3,100.0,1,0.3,0.3,0,0,0,0,10.0,14.0,71.4,8.0,0.0,75.0,43.9,10.0,80.0,57.1,20.0,0.0,0.0,0.0,7.0,Match Report,2021-10-02,15:00 (06:00),Serie A,Matchweek 7,Sat,Home,W,1.0,0.0,Genoa,306.0,415.0,73.7,5690.0,2668.0,129.0,163.0,79.1,117.0,151.0,77.5,44.0,64.0,68.8,1,0.3,0.6,9.0,24.0,5.0,1.0,34.0,Match Report,2021-10-02,15:00 (06:00),Serie A,Matchweek 7,Sat,Home,W,1.0,0.0,Genoa,415.0,358.0,57.0,17.0,0.0,1.0,27,20.0,9.0,3.0,4.0,0.0,306.0,0.0,10.0,Match Report,2021-10-02,15:00 (06:00),Serie A,Matchweek 7,Sat,Home,W,1.0,0.0,Genoa,18.0,12.0,3.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Match Report,2021-10-02,15:00 (06:00),Serie A,Matchweek 7,Sat,Home,W,1.0,0.0,Genoa,15.0,10,5.0,9.0,1.0,7.0,19.0,36.8,12.0,8.0,5.0,3.0,8,23,28.0,0.0,Match Report,2021-10-02,15:00 (06:00),Serie A,Matchweek 7,Sat,Home,W,1.0,0.0,Genoa,49.0,539.0,57.0,143.0,237.0,165.0,29.0,539.0,18.0,6.0,33.3,12.0,66.7,264.0,1208.0,661.0,17.0,13.0,5.0,24.0,7.0,302.0,33.0,Match Report,2021-10-02,15:00 (06:00),Serie A,Matchweek 7,Sat,Home,W,1.0,0.0,Genoa,2,0,0,15,17,0,27,8,10,0.0,0.0,0,47.0,20.0,14.0,58.8,Match Report
2021-10-16,15:00 (06:00),Serie A,Matchweek 8,Sat,Away,L,1.0,2.0,Spezia,1,15,4,26.7,0.07,0.25,17.7,0.0,0,0,1.7,1.7,0.12,-0.7,-0.7,Match Report,2021-10-16,15:00 (06:00),Serie A,Matchweek 8,Sat,Away,L,1.0,2.0,Spezia,5,2,3,60.0,0,1.3,-0.7,0,0,0,0,5.0,16.0,31.3,16.0,3.0,50.0,42.2,10.0,80.0,57.3,22.0,0.0,0.0,1.0,22.0,Match Report,2021-10-16,15:00 (06:00),Serie A,Matchweek 8,Sat,Away,L,1.0,2.0,Spezia,239.0,358.0,66.8,4464.0,2285.0,102.0,133.0,76.7,98.0,127.0,77.2,30.0,73.0,41.1,1,1.5,0.7,11.0,27.0,7.0,1.0,41.0,Match Report,2021-10-16,15:00 (06:00),Serie A,Matchweek 8,Sat,Away,L,1.0,2.0,Spezia,358.0,310.0,46.0,17.0,1.0,2.0,12,14.0,2.0,1.0,1.0,0.0,239.0,2.0,7.0,Match Report,2021-10-16,15:00 (06:00),Serie A,Matchweek 8,Sat,Away,L,1.0,2.0,Spezia,25.0,16.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,Match Report,2021-10-16,15:00 (06:00),Serie A,Matchweek 8,Sat,Away,L,1.0,2.0,Spezia,14.0,9,7.0,5.0,2.0,10.0,16.0,62.5,6.0,15.0,6.0,9.0,8,22,29.0,0.0,Match Report,2021-10-16,15:00 (06:00),Serie A,Matchweek 8,Sat,Away,L,1.0,2.0,Spezia,42.0,482.0,61.0,166.0,200.0,123.0,23.0,482.0,17.0,12.0,70.6,5.0,29.4,244.0,1304.0,685.0,13.0,6.0,2.0,12.0,8.0,239.0,41.0,Match Report,2021-10-16,15:00 (06:00),Serie A,Matchweek 8,Sat,Away,L,1.0,2.0,Spezia,3,0,0,15,12,2,12,8,9,0.0,0.0,0,59.0,21.0,19.0,52.5,Match Report
2021-10-23,15:00 (06:00),Serie A,Matchweek 9,Sat,Home,L,2.0,4.0,Empoli,1,12,5,41.7,0.08,0.2,13.8,0.0,0,0,1.2,1.2,0.1,-0.2,-0.2,Match Report,2021-10-23,15:00 (06:00),Serie A,Matchweek 9,Sat,Home,L,2.0,4.0,Empoli,5,4,2,40.0,0,1.7,-1.3,1,1,0,0,3.0,8.0,37.5,22.0,5.0,22.7,28.5,8.0,37.5,30.6,9.0,0.0,0.0,2.0,19.3,Match Report,2021-10-23,15:00 (06:00),Serie A,Matchweek 9,Sat,Home,L,2.0,4.0,Empoli,425.0,530.0,80.2,7241.0,2988.0,200.0,223.0,89.7,169.0,203.0,83.3,40.0,70.0,57.1,1,1.1,1.7,11.0,31.0,9.0,2.0,48.0,Match Report,2021-10-23,15:00 (06:00),Serie A,Matchweek 9,Sat,Home,L,2.0,4.0,Empoli,530.0,463.0,65.0,18.0,0.0,2.0,27,27.0,7.0,0.0,5.0,0.0,425.0,2.0,10.0,Match Report,2021-10-23,15:00 (06:00),Serie A,Matchweek 9,Sat,Home,L,2.0,4.0,Empoli,23.0,20.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-10-23,15:00 (06:00),Serie A,Matchweek 9,Sat,Home,L,2.0,4.0,Empoli,16.0,11,9.0,5.0,2.0,8.0,12.0,66.7,4.0,4.0,1.0,3.0,5,21,14.0,0.0,Match Report,2021-10-23,15:00 (06:00),Serie A,Matchweek 9,Sat,Home,L,2.0,4.0,Empoli,60.0,629.0,46.0,161.0,292.0,178.0,25.0,629.0,17.0,7.0,41.2,10.0,58.8,405.0,1752.0,909.0,18.0,10.0,6.0,18.0,11.0,424.0,48.0,Match Report,2021-10-23,15:00 (06:00),Serie A,Matchweek 9,Sat,Home,L,2.0,4.0,Empoli,1,0,0,12,15,2,27,5,11,0.0,1.0,1,49.0,20.0,15.0,57.1,Match Report
