Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2021-08-13,20:45 (11:45),Coppa Italia,First round,Fri,Home,W,3,1,Ascoli,3,12,8,66.7,0.25,0.38,,,0,0,,,,,,Match Report,2021-08-13,20:45 (11:45),Coppa Italia,First round,Fri,Home,W,3,1,Ascoli,5,1,4,80.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2021-08-13,20:45 (11:45),Coppa Italia,First round,Fri,Home,W,3,1,Ascoli,,,,,,,,,,,,,,,2,,,,,,,,Match Report,2021-08-13,20:45 (11:45),Coppa Italia,First round,Fri,Home,W,3,1,Ascoli,,,,,,,13,,,,,,,,,Match Report,2021-08-13,20:45 (11:45),Coppa Italia,First round,Fri,Home,W,3,1,Ascoli,,,,,,,,,,,,,,,Match Report,2021-08-13,20:45 (11:45),Coppa Italia,First round,Fri,Home,W,3,1,Ascoli,,13,,,,,,,,,,,11,0,,,Match Report,2021-08-13,20:45 (11:45),Coppa Italia,First round,Fri,Home,W,3,1,Ascoli,53,,,,,,,,,,,,,,,,,,,,,,,Match Report,2021-08-13,20:45 (11:45),Coppa Italia,First round,Fri,Home,W,3,1,Ascoli,1,0,0,14,14,1,13,11,13,,,0,,,,,Match Report
2021-08-22,18:30 (09:30),Serie A,Matchweek 1,Sun,Home,D,2,2,Juventus,2,11,5,45.5,0.09,0.20,18.3,0,1,1,1.6,0.8,0.08,+0.4,+0.2,Match Report,2021-08-22,18:30 (09:30),Serie A,Matchweek 1,Sun,Home,D,2,2,Juventus,3,2,1,33.3,0,1.8,-0.2,0,0,0,0,3,7,42.9,16,2,37.5,33.0,6,16.7,29.0,6,0,0.0,1,22.0,Match Report,2021-08-22,18:30 (09:30),Serie A,Matchweek 1,Sun,Home,D,2,2,Juventus,357,436,81.9,6030,2005,173,197,87.8,148,173,85.5,30,51,58.8,1,0.4,0.4,8,26,4,1,28,Match Report,2021-08-22,18:30 (09:30),Serie A,Matchweek 1,Sun,Home,D,2,2,Juventus,436,387,47,16,0,1,17,19,3,2,0,0,357,2,2,Match Report,2021-08-22,18:30 (09:30),Serie A,Matchweek 1,Sun,Home,D,2,2,Juventus,20,15,1,0,2,2,0,2,0,0,0,1,1,0,Match Report,2021-08-22,18:30 (09:30),Serie A,Matchweek 1,Sun,Home,D,2,2,Juventus,11,6,5,5,1,5,11,45.5,6,18,0,18,8,19,6,0,Match Report,2021-08-22,18:30 (09:30),Serie A,Matchweek 1,Sun,Home,D,2,2,Juventus,44,519,35,119,281,123,14,518,7,5,71.4,2,28.6,275,1714,870,24,17,0,10,10,356,27,Match Report,2021-08-22,18:30 (09:30),Serie A,Matchweek 1,Sun,Home,D,2,2,Juventus,1,0,0,13,14,2,17,8,6,1,0,0,34,9,8,52.9,Match Report
2021-08-27,18:30 (09:30),Serie A,Matchweek 2,Fri,Home,W,3,0,Venezia,3,21,10,47.6,0.14,0.30,17.3,1,0,0,2.2,2.2,0.11,+0.8,+0.8,Match Report,2021-08-27,18:30 (09:30),Serie A,Matchweek 2,Fri,Home,W,3,0,Venezia,3,0,3,100.0,1,0.9,+0.9,0,0,0,0,7,11,63.6,12,3,50.0,34.9,12,41.7,33.9,12,0,0.0,0,,Match Report,2021-08-27,18:30 (09:30),Serie A,Matchweek 2,Fri,Home,W,3,0,Venezia,362,467,77.5,6366,2272,177,205,86.3,145,173,83.8,36,65,55.4,2,2.0,1.4,17,25,9,4,36,Match Report,2021-08-27,18:30 (09:30),Serie A,Matchweek 2,Fri,Home,W,3,0,Venezia,467,415,48,9,2,3,15,19,7,5,2,0,362,4,10,Match Report,2021-08-27,18:30 (09:30),Serie A,Matchweek 2,Fri,Home,W,3,0,Venezia,34,21,3,2,6,1,1,5,4,0,0,1,0,0,Match Report,2021-08-27,18:30 (09:30),Serie A,Matchweek 2,Fri,Home,W,3,0,Venezia,15,7,7,7,1,8,15,53.3,7,9,2,7,13,28,21,0,Match Report,2021-08-27,18:30 (09:30),Serie A,Matchweek 2,Fri,Home,W,3,0,Venezia,45,592,66,205,267,133,30,592,21,13,61.9,8,38.1,322,1807,996,24,21,8,11,9,360,36,Match Report,2021-08-27,18:30 (09:30),Serie A,Matchweek 2,Fri,Home,W,3,0,Venezia,2,0,0,11,6,4,15,13,7,0,0,0,58,7,12,36.8,Match Report
2021-09-12,15:00 (06:00),Serie A,Matchweek 3,Sun,Away,W,1,0,Spezia,1,9,4,44.4,0.11,0.25,19.8,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Match Report,2021-09-12,15:00 (06:00),Serie A,Matchweek 3,Sun,Away,W,1,0,Spezia,5,0,5,100.0,1,1.1,+1.1,0,0,0,0,7,20,35.0,31,3,48.4,38.6,11,45.5,35.3,15,1,6.7,0,11.1,Match Report,2021-09-12,15:00 (06:00),Serie A,Matchweek 3,Sun,Away,W,1,0,Spezia,331,405,81.7,5902,1953,134,144,93.1,154,168,91.7,29,70,41.4,1,0.8,0.3,8,25,3,0,26,Match Report,2021-09-12,15:00 (06:00),Serie A,Matchweek 3,Sun,Away,W,1,0,Spezia,405,354,49,13,3,1,12,19,5,1,4,0,331,2,5,Match Report,2021-09-12,15:00 (06:00),Serie A,Matchweek 3,Sun,Away,W,1,0,Spezia,17,12,1,3,1,0,0,2,1,0,1,0,0,0,Match Report,2021-09-12,15:00 (06:00),Serie A,Matchweek 3,Sun,Away,W,1,0,Spezia,14,11,8,5,1,7,22,31.8,15,12,7,5,10,24,13,2,Match Report,2021-09-12,15:00 (06:00),Serie A,Matchweek 3,Sun,Away,W,1,0,Spezia,44,512,73,200,212,104,16,512,18,7,38.9,11,61.1,269,1626,974,18,16,8,19,13,323,25,Match Report,2021-09-12,15:00 (06:00),Serie A,Matchweek 3,Sun,Away,W,1,0,Spezia,2,0,0,14,12,2,12,10,11,0,0,0,52,6,11,35.3,Match Report
2021-09-20,20:45 (11:45),Serie A,Matchweek 4,Mon,Home,L,0,4,Napoli,0,9,1,11.1,0.00,0.00,26.3,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Match Report,2021-09-20,20:45 (11:45),Serie A,Matchweek 4,Mon,Home,L,0,4,Napoli,8,4,4,50.0,0,3.4,-0.6,0,0,0,0,4,5,80.0,11,1,27.3,30.6,7,28.6,36.0,10,0,0.0,0,10.5,Match Report,2021-09-20,20:45 (11:45),Serie A,Matchweek 4,Mon,Home,L,0,4,Napoli,349,409,85.3,6123,1939,160,177,90.4,154,166,92.8,29,46,63.0,0,0.2,0.3,6,28,3,1,25,Match Report,2021-09-20,20:45 (11:45),Serie A,Matchweek 4,Mon,Home,L,0,4,Napoli,409,368,38,14,0,5,11,10,2,1,1,0,349,3,5,Match Report,2021-09-20,20:45 (11:45),Serie A,Matchweek 4,Mon,Home,L,0,4,Napoli,14,11,1,2,0,0,0,0,0,0,0,0,0,0,Match Report,2021-09-20,20:45 (11:45),Serie A,Matchweek 4,Mon,Home,L,0,4,Napoli,3,2,2,0,1,2,17,11.8,15,12,2,10,8,11,16,0,Match Report,2021-09-20,20:45 (11:45),Serie A,Matchweek 4,Mon,Home,L,0,4,Napoli,38,494,44,147,248,103,10,494,11,7,63.6,4,36.4,251,1420,706,11,11,4,13,4,347,25,Match Report,2021-09-20,20:45 (11:45),Serie A,Matchweek 4,Mon,Home,L,0,4,Napoli,2,0,0,10,11,3,11,8,2,0,0,0,33,10,9,52.6,Match Report
2021-09-23,20:45 (11:45),Serie A,Matchweek 5,Thu,Away,L,0,1,Roma,0,8,2,25.0,0.00,0.00,16.8,1,0,0,0.6,0.6,0.08,-0.6,-0.6,Match Report,2021-09-23,20:45 (11:45),Serie A,Matchweek 5,Thu,Away,L,0,1,Roma,2,1,1,50.0,0,1.0,0.0,0,0,0,0,3,8,37.5,22,7,27.3,29.5,8,25.0,24.0,14,0,0.0,0,,Match Report,2021-09-23,20:45 (11:45),Serie A,Matchweek 5,Thu,Away,L,0,1,Roma,418,512,81.6,7262,2316,177,202,87.6,184,200,92.0,39,71,54.9,0,0.3,0.3,6,27,7,2,36,Match Report,2021-09-23,20:45 (11:45),Serie A,Matchweek 5,Thu,Away,L,0,1,Roma,512,454,56,22,0,5,16,18,6,2,4,0,418,2,8,Match Report,2021-09-23,20:45 (11:45),Serie A,Matchweek 5,Thu,Away,L,0,1,Roma,16,13,0,1,0,2,0,0,0,0,0,0,0,0,Match Report,2021-09-23,20:45 (11:45),Serie A,Matchweek 5,Thu,Away,L,0,1,Roma,16,7,10,4,2,7,15,46.7,8,10,4,6,13,29,23,0,Match Report,2021-09-23,20:45 (11:45),Serie A,Matchweek 5,Thu,Away,L,0,1,Roma,49,629,70,207,319,110,15,629,22,13,59.1,9,40.9,371,1864,963,13,8,3,21,10,418,36,Match Report,2021-09-23,20:45 (11:45),Serie A,Matchweek 5,Thu,Away,L,0,1,Roma,1,0,0,8,21,2,16,13,7,0,0,0,48,8,12,40.0,Match Report
2021-09-26,15:00 (06:00),Serie A,Matchweek 6,Sun,Home,L,0,1,Fiorentina,0,12,5,41.7,0.00,0.00,19.4,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Match Report,2021-09-26,15:00 (06:00),Serie A,Matchweek 6,Sun,Home,L,0,1,Fiorentina,2,1,1,100.0,0,1.0,0.0,1,1,0,0,6,11,54.5,25,1,44.0,32.6,7,0.0,22.7,8,0,0.0,1,22.0,Match Report,2021-09-26,15:00 (06:00),Serie A,Matchweek 6,Sun,Home,L,0,1,Fiorentina,433,517,83.8,6980,2554,209,232,90.1,168,189,88.9,31,60,51.7,0,0.4,0.4,10,29,5,0,31,Match Report,2021-09-26,15:00 (06:00),Serie A,Matchweek 6,Sun,Home,L,0,1,Fiorentina,517,464,53,11,2,3,15,29,4,0,3,0,433,0,9,Match Report,2021-09-26,15:00 (06:00),Serie A,Matchweek 6,Sun,Home,L,0,1,Fiorentina,20,13,2,3,2,0,0,0,0,0,0,0,0,0,Match Report,2021-09-26,15:00 (06:00),Serie A,Matchweek 6,Sun,Home,L,0,1,Fiorentina,21,10,8,11,2,10,14,71.4,4,8,1,7,4,25,12,0,Match Report,2021-09-26,15:00 (06:00),Serie A,Matchweek 6,Sun,Home,L,0,1,Fiorentina,46,633,59,206,295,145,16,633,33,21,63.6,12,36.4,370,2221,993,19,15,6,26,7,426,31,Match Report,2021-09-26,15:00 (06:00),Serie A,Matchweek 6,Sun,Home,L,0,1,Fiorentina,2,0,0,14,9,0,15,4,10,0,1,0,52,9,14,39.1,Match Report
2021-10-03,15:00 (06:00),Serie A,Matchweek 7,Sun,Away,D,3,3,Sampdoria,3,18,7,38.9,0.17,0.43,14.8,0,0,0,2.3,2.3,0.15,+0.7,+0.7,Match Report,2021-10-03,15:00 (06:00),Serie A,Matchweek 7,Sun,Away,D,3,3,Sampdoria,3,3,1,33.3,0,1.6,-0.4,1,1,0,0,2,6,33.3,18,3,22.2,27.7,4,50.0,38.5,15,2,13.3,0,5.3,Match Report,2021-10-03,15:00 (06:00),Serie A,Matchweek 7,Sun,Away,D,3,3,Sampdoria,294,386,76.2,4810,1774,130,155,83.9,128,157,81.5,23,51,45.1,1,0.8,1.5,11,22,13,5,34,Match Report,2021-10-03,15:00 (06:00),Serie A,Matchweek 7,Sun,Away,D,3,3,Sampdoria,386,339,47,12,1,0,20,19,8,2,2,1,294,0,3,Match Report,2021-10-03,15:00 (06:00),Serie A,Matchweek 7,Sun,Away,D,3,3,Sampdoria,29,15,4,3,6,1,0,4,2,0,0,2,0,0,Match Report,2021-10-03,15:00 (06:00),Serie A,Matchweek 7,Sun,Away,D,3,3,Sampdoria,17,6,10,6,1,7,17,41.2,10,11,2,9,9,26,29,0,Match Report,2021-10-03,15:00 (06:00),Serie A,Matchweek 7,Sun,Away,D,3,3,Sampdoria,46,512,62,201,173,148,37,512,28,15,53.6,13,46.4,296,1740,871,23,14,9,12,7,292,34,Match Report,2021-10-03,15:00 (06:00),Serie A,Matchweek 7,Sun,Away,D,3,3,Sampdoria,5,0,0,15,12,0,20,9,6,0,1,1,51,15,12,55.6,Match Report
2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,D,1,1,Bologna,1,10,2,20.0,0.10,0.50,14.9,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Match Report,2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,D,1,1,Bologna,11,1,10,90.9,0,1.2,+0.2,0,0,0,0,5,15,33.3,16,2,50.0,40.4,13,53.8,44.8,15,0,0.0,2,24.7,Match Report,2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,D,1,1,Bologna,289,369,78.3,4683,1772,152,170,89.4,106,122,86.9,22,51,43.1,1,0.7,1.1,7,22,4,2,30,Match Report,2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,D,1,1,Bologna,369,322,46,11,0,0,9,18,2,1,1,0,289,1,9,Match Report,2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,D,1,1,Bologna,17,13,0,3,1,0,0,2,2,0,0,0,0,0,Match Report,2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,D,1,1,Bologna,9,3,4,3,2,4,11,36.4,7,12,5,7,7,16,14,0,Match Report,2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,D,1,1,Bologna,41,465,63,148,211,109,15,465,15,10,66.7,5,33.3,243,1456,753,19,9,7,17,10,287,30,Match Report,2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,D,1,1,Bologna,3,1,1,15,10,1,9,7,3,0,0,0,30,8,11,42.1,Match Report
2021-10-24,12:30 (03:30),Serie A,Matchweek 9,Sun,Away,D,1,1,Atalanta,1,9,3,33.3,0.11,0.33,15.7,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Match Report,2021-10-24,12:30 (03:30),Serie A,Matchweek 9,Sun,Away,D,1,1,Atalanta,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,9,22,40.9,24,0,79.2,46.0,9,33.3,35.3,12,0,0.0,0,2.0,Match Report,2021-10-24,12:30 (03:30),Serie A,Matchweek 9,Sun,Away,D,1,1,Atalanta,236,330,71.5,4495,2099,106,127,83.5,99,128,77.3,27,63,42.9,1,0.7,0.3,9,21,2,2,20,Match Report,2021-10-24,12:30 (03:30),Serie A,Matchweek 9,Sun,Away,D,1,1,Atalanta,330,290,40,16,2,0,16,10,3,2,1,0,236,0,8,Match Report,2021-10-24,12:30 (03:30),Serie A,Matchweek 9,Sun,Away,D,1,1,Atalanta,16,13,2,0,1,0,0,2,1,1,0,0,0,0,Match Report,2021-10-24,12:30 (03:30),Serie A,Matchweek 9,Sun,Away,D,1,1,Atalanta,19,12,8,9,2,5,9,55.6,4,16,3,13,14,33,21,1,Match Report,2021-10-24,12:30 (03:30),Serie A,Matchweek 9,Sun,Away,D,1,1,Atalanta,32,446,59,171,194,85,11,446,2,1,50.0,1,50.0,269,1248,585,13,5,5,17,14,231,19,Match Report,2021-10-24,12:30 (03:30),Serie A,Matchweek 9,Sun,Away,D,1,1,Atalanta,2,0,0,15,14,0,16,14,12,0,0,0,57,12,13,48.0,Match Report
