Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2021-08-15,20:45 (11:45),Coppa Italia,First round,Sun,Home,D,1 (8),1 (7),Frosinone,1,17,3,17.6,0.00,0.00,,,1,1,,,,,,Match Report,2021-08-15,20:45 (11:45),Coppa Italia,First round,Sun,Home,D,1 (8),1 (7),Frosinone,7,1,6,85.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2021-08-15,20:45 (11:45),Coppa Italia,First round,Sun,Home,D,1 (8),1 (7),Frosinone,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2021-08-15,20:45 (11:45),Coppa Italia,First round,Sun,Home,D,1 (8),1 (7),Frosinone,,,,,,,32,,,,,,,,,Match Report,2021-08-15,20:45 (11:45),Coppa Italia,First round,Sun,Home,D,1 (8),1 (7),Frosinone,,,,,,,,,,,,,,,Match Report,2021-08-15,20:45 (11:45),Coppa Italia,First round,Sun,Home,D,1 (8),1 (7),Frosinone,,11,,,,,,,,,,,13,0,,,Match Report,2021-08-15,20:45 (11:45),Coppa Italia,First round,Sun,Home,D,1 (8),1 (7),Frosinone,60,,,,,,,,,,,,,,,,,,,,,,,Match Report,2021-08-15,20:45 (11:45),Coppa Italia,First round,Sun,Home,D,1 (8),1 (7),Frosinone,1,0,0,14,21,2,32,13,11,,,0,,,,,Match Report
2021-08-22,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,L,0,2,Napoli,0,8,4,50.0,0.00,0.00,17.1,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Match Report,2021-08-22,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,L,0,2,Napoli,4,2,2,75.0,0,1.4,-0.6,2,1,0,1,1,3,33.3,23,3,13.0,25.4,7,0.0,16.4,6,0,0.0,1,14.7,Match Report,2021-08-22,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,L,0,2,Napoli,400,459,87.1,7266,2218,177,193,91.7,176,186,94.6,41,60,68.3,0,0.6,0.4,7,31,8,3,35,Match Report,2021-08-22,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,L,0,2,Napoli,459,424,34,8,0,4,17,14,2,1,1,0,400,1,10,Match Report,2021-08-22,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,L,0,2,Napoli,15,13,1,0,0,0,1,0,0,0,0,0,0,0,Match Report,2021-08-22,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,L,0,2,Napoli,10,7,2,6,2,5,11,45.5,6,11,4,7,10,20,5,1,Match Report,2021-08-22,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,L,0,2,Napoli,44,536,63,172,254,114,14,536,14,5,35.7,9,64.3,278,1703,1046,19,15,2,14,4,398,34,Match Report,2021-08-22,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,L,0,2,Napoli,7,0,0,22,3,1,17,10,7,0,2,0,42,5,5,50.0,Match Report
2021-08-27,18:30 (09:30),Serie A,Matchweek 2,Fri,Away,L,0,3,Udinese,0,11,3,27.3,0.00,0.00,17.2,0,0,0,1.2,1.2,0.13,-1.2,-1.2,Match Report,2021-08-27,18:30 (09:30),Serie A,Matchweek 2,Fri,Away,L,0,3,Udinese,10,3,7,70.0,0,2.5,-0.5,0,0,0,0,2,3,66.7,27,11,7.4,24.0,6,16.7,25.5,14,1,7.1,0,6.0,Match Report,2021-08-27,18:30 (09:30),Serie A,Matchweek 2,Fri,Away,L,0,3,Udinese,473,573,82.5,8721,2957,200,228,87.7,214,246,87.0,53,75,70.7,0,1.3,0.5,9,26,9,3,49,Match Report,2021-08-27,18:30 (09:30),Serie A,Matchweek 2,Fri,Away,L,0,3,Udinese,573,530,41,15,3,7,17,14,2,0,2,0,473,2,11,Match Report,2021-08-27,18:30 (09:30),Serie A,Matchweek 2,Fri,Away,L,0,3,Udinese,19,15,1,1,1,0,1,0,0,0,0,0,0,0,Match Report,2021-08-27,18:30 (09:30),Serie A,Matchweek 2,Fri,Away,L,0,3,Udinese,17,9,8,5,4,8,21,38.1,13,18,9,9,9,26,8,2,Match Report,2021-08-27,18:30 (09:30),Serie A,Matchweek 2,Fri,Away,L,0,3,Udinese,55,685,71,182,392,119,18,685,15,7,46.7,8,53.3,460,2591,1430,28,16,5,16,7,470,49,Match Report,2021-08-27,18:30 (09:30),Serie A,Matchweek 2,Fri,Away,L,0,3,Udinese,3,0,0,8,10,2,17,9,9,0,0,0,54,12,7,63.2,Match Report
2021-09-11,15:00 (06:00),Serie A,Matchweek 3,Sat,Away,W,2,1,Empoli,2,10,3,30.0,0.20,0.67,15.9,0,0,0,1.7,1.7,0.17,+0.3,+0.3,Match Report,2021-09-11,15:00 (06:00),Serie A,Matchweek 3,Sat,Away,W,2,1,Empoli,6,1,5,100.0,0,2.3,+0.2,1,1,0,0,6,14,42.9,25,5,44.0,38.3,10,40.0,39.8,24,0,0.0,0,,Match Report,2021-09-11,15:00 (06:00),Serie A,Matchweek 3,Sat,Away,W,2,1,Empoli,205,289,70.9,4139,2056,82,93,88.2,85,110,77.3,34,69,49.3,1,1.7,0.9,9,7,2,1,11,Match Report,2021-09-11,15:00 (06:00),Serie A,Matchweek 3,Sat,Away,W,2,1,Empoli,289,242,46,14,1,3,9,18,2,0,2,0,205,1,6,Match Report,2021-09-11,15:00 (06:00),Serie A,Matchweek 3,Sat,Away,W,2,1,Empoli,16,13,2,1,0,0,0,4,3,0,1,0,0,0,Match Report,2021-09-11,15:00 (06:00),Serie A,Matchweek 3,Sat,Away,W,2,1,Empoli,19,14,14,5,0,8,21,38.1,13,16,8,8,7,26,39,0,Match Report,2021-09-11,15:00 (06:00),Serie A,Matchweek 3,Sat,Away,W,2,1,Empoli,32,421,96,212,142,72,13,421,13,5,38.5,8,61.5,233,1315,602,14,8,8,22,8,204,11,Match Report,2021-09-11,15:00 (06:00),Serie A,Matchweek 3,Sat,Away,W,2,1,Empoli,5,0,0,21,11,1,9,7,14,0,1,0,46,20,11,64.5,Match Report
2021-09-19,15:00 (06:00),Serie A,Matchweek 4,Sun,Home,L,1,2,Spezia,1,14,3,21.4,0.07,0.33,19.0,2,0,0,0.9,0.9,0.07,+0.1,+0.1,Match Report,2021-09-19,15:00 (06:00),Serie A,Matchweek 4,Sun,Home,L,1,2,Spezia,3,2,1,33.3,0,1.0,-1.0,0,0,0,0,2,9,22.2,25,7,28.0,28.5,6,33.3,29.8,18,0,0.0,0,4.5,Match Report,2021-09-19,15:00 (06:00),Serie A,Matchweek 4,Sun,Home,L,1,2,Spezia,315,420,75.0,5979,2386,133,149,89.3,136,166,81.9,43,88,48.9,1,0.7,0.5,9,25,7,1,35,Match Report,2021-09-19,15:00 (06:00),Serie A,Matchweek 4,Sun,Home,L,1,2,Spezia,420,374,46,8,0,2,22,26,3,1,2,0,315,0,10,Match Report,2021-09-19,15:00 (06:00),Serie A,Matchweek 4,Sun,Home,L,1,2,Spezia,24,17,1,1,0,4,1,2,0,1,0,0,1,0,Match Report,2021-09-19,15:00 (06:00),Serie A,Matchweek 4,Sun,Home,L,1,2,Spezia,17,11,6,8,3,5,15,33.3,10,10,3,7,11,28,21,0,Match Report,2021-09-19,15:00 (06:00),Serie A,Matchweek 4,Sun,Home,L,1,2,Spezia,45,543,66,206,220,123,13,543,14,7,50.0,7,50.0,245,1537,786,13,10,1,21,11,314,35,Match Report,2021-09-19,15:00 (06:00),Serie A,Matchweek 4,Sun,Home,L,1,2,Spezia,4,0,0,13,10,0,22,11,11,0,0,0,51,23,15,60.5,Match Report
2021-09-22,20:45 (11:45),Serie A,Matchweek 5,Wed,Away,L,0,2,Milan,0,8,2,25.0,0.00,0.00,21.0,1,0,0,0.8,0.8,0.10,-0.8,-0.8,Match Report,2021-09-22,20:45 (11:45),Serie A,Matchweek 5,Wed,Away,L,0,2,Milan,4,2,2,50.0,0,1.6,-0.4,0,0,0,0,2,10,20.0,18,3,44.4,33.0,12,16.7,26.3,15,0,0.0,0,5.5,Match Report,2021-09-22,20:45 (11:45),Serie A,Matchweek 5,Wed,Away,L,0,2,Milan,256,346,74.0,4631,1823,120,140,85.7,92,113,81.4,38,71,53.5,0,0.8,0.3,6,13,2,1,25,Match Report,2021-09-22,20:45 (11:45),Serie A,Matchweek 5,Wed,Away,L,0,2,Milan,346,295,50,12,0,4,9,19,4,1,3,0,256,1,10,Match Report,2021-09-22,20:45 (11:45),Serie A,Matchweek 5,Wed,Away,L,0,2,Milan,11,6,2,0,1,1,1,0,0,0,0,0,0,0,Match Report,2021-09-22,20:45 (11:45),Serie A,Matchweek 5,Wed,Away,L,0,2,Milan,17,10,7,9,1,12,30,40.0,18,8,3,5,17,34,18,0,Match Report,2021-09-22,20:45 (11:45),Serie A,Matchweek 5,Wed,Away,L,0,2,Milan,34,462,70,215,189,64,5,462,14,3,21.4,11,78.6,225,1176,577,10,10,1,26,11,253,24,Match Report,2021-09-22,20:45 (11:45),Serie A,Matchweek 5,Wed,Away,L,0,2,Milan,2,0,0,13,12,1,9,17,10,0,0,0,52,15,11,57.7,Match Report
2021-09-27,20:45 (11:45),Serie A,Matchweek 6,Mon,Home,D,1,1,Torino,1,6,0,0.0,0.00,,17.7,1,1,1,1.5,0.7,0.12,-0.5,-0.7,Match Report,2021-09-27,20:45 (11:45),Serie A,Matchweek 6,Mon,Home,D,1,1,Torino,3,1,2,66.7,0,1.6,+0.6,0,0,0,0,3,13,23.1,25,7,48.0,35.4,2,50.0,45.5,13,1,7.7,0,10.0,Match Report,2021-09-27,20:45 (11:45),Serie A,Matchweek 6,Mon,Home,D,1,1,Torino,292,403,72.5,5626,2355,119,140,85.0,129,165,78.2,41,79,51.9,0,0.6,0.8,4,34,6,2,36,Match Report,2021-09-27,20:45 (11:45),Serie A,Matchweek 6,Mon,Home,D,1,1,Torino,403,358,43,17,2,2,16,18,4,1,2,0,292,2,8,Match Report,2021-09-27,20:45 (11:45),Serie A,Matchweek 6,Mon,Home,D,1,1,Torino,14,9,1,1,0,3,0,2,1,0,0,0,1,0,Match Report,2021-09-27,20:45 (11:45),Serie A,Matchweek 6,Mon,Home,D,1,1,Torino,19,11,8,8,3,4,13,30.8,9,14,3,11,5,24,18,0,Match Report,2021-09-27,20:45 (11:45),Serie A,Matchweek 6,Mon,Home,D,1,1,Torino,44,517,58,192,225,106,18,516,15,11,73.3,4,26.7,276,1449,806,16,9,5,13,17,290,36,Match Report,2021-09-27,20:45 (11:45),Serie A,Matchweek 6,Mon,Home,D,1,1,Torino,1,0,0,9,18,2,16,5,11,1,0,0,61,13,22,37.1,Match Report
2021-10-01,20:45 (11:45),Serie A,Matchweek 7,Fri,Away,D,1,1,Cagliari,1,11,4,36.4,0.09,0.25,18.3,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Match Report,2021-10-01,20:45 (11:45),Serie A,Matchweek 7,Fri,Away,D,1,1,Cagliari,3,1,2,66.7,0,1.2,+0.2,0,0,0,0,3,7,42.9,28,10,21.4,28.7,10,10.0,17.3,12,0,0.0,2,22.0,Match Report,2021-10-01,20:45 (11:45),Serie A,Matchweek 7,Fri,Away,D,1,1,Cagliari,453,561,80.7,8380,3250,202,227,89.0,190,222,85.6,54,81,66.7,1,0.5,0.6,7,28,10,2,46,Match Report,2021-10-01,20:45 (11:45),Serie A,Matchweek 7,Fri,Away,D,1,1,Cagliari,561,496,63,17,0,3,21,30,4,1,2,0,453,2,13,Match Report,2021-10-01,20:45 (11:45),Serie A,Matchweek 7,Fri,Away,D,1,1,Cagliari,22,20,2,0,0,0,0,2,2,0,0,0,0,0,Match Report,2021-10-01,20:45 (11:45),Serie A,Matchweek 7,Fri,Away,D,1,1,Cagliari,8,3,8,0,0,1,6,16.7,5,7,2,5,9,17,13,1,Match Report,2021-10-01,20:45 (11:45),Serie A,Matchweek 7,Fri,Away,D,1,1,Cagliari,58,644,77,267,273,109,16,644,10,4,40.0,6,60.0,362,2252,1259,22,10,2,16,6,451,46,Match Report,2021-10-01,20:45 (11:45),Serie A,Matchweek 7,Fri,Away,D,1,1,Cagliari,5,0,0,19,15,2,21,9,3,0,0,0,39,21,18,53.8,Match Report
2021-10-18,20:45 (11:45),Serie A,Matchweek 8,Mon,Home,W,1,0,Fiorentina,1,4,2,50.0,0.25,0.50,14.1,0,0,0,1.1,1.1,0.28,-0.1,-0.1,Match Report,2021-10-18,20:45 (11:45),Serie A,Matchweek 8,Mon,Home,W,1,0,Fiorentina,2,0,2,100.0,1,0.5,+0.5,0,0,0,0,5,15,33.3,23,1,52.2,39.0,10,30.0,26.9,15,1,6.7,2,14.5,Match Report,2021-10-18,20:45 (11:45),Serie A,Matchweek 8,Mon,Home,W,1,0,Fiorentina,296,402,73.6,5265,2289,130,148,87.8,127,149,85.2,29,64,45.3,1,1.0,0.9,2,15,1,1,16,Match Report,2021-10-18,20:45 (11:45),Serie A,Matchweek 8,Mon,Home,W,1,0,Fiorentina,402,352,44,13,5,3,6,18,2,0,1,0,296,6,11,Match Report,2021-10-18,20:45 (11:45),Serie A,Matchweek 8,Mon,Home,W,1,0,Fiorentina,7,6,0,0,0,1,0,2,2,0,0,0,0,0,Match Report,2021-10-18,20:45 (11:45),Serie A,Matchweek 8,Mon,Home,W,1,0,Fiorentina,15,9,10,5,0,9,19,47.4,10,7,2,5,9,24,18,0,Match Report,2021-10-18,20:45 (11:45),Serie A,Matchweek 8,Mon,Home,W,1,0,Fiorentina,39,492,67,230,199,69,10,492,17,6,35.3,11,64.7,260,1225,530,7,6,1,14,5,295,16,Match Report,2021-10-18,20:45 (11:45),Serie A,Matchweek 8,Mon,Home,W,1,0,Fiorentina,2,0,0,17,10,6,6,9,9,0,0,0,52,9,12,42.9,Match Report
2021-10-23,18:00 (09:00),Serie A,Matchweek 9,Sat,Away,L,1,3,Sassuolo,1,8,2,25.0,0.13,0.50,17.1,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Match Report,2021-10-23,18:00 (09:00),Serie A,Matchweek 9,Sat,Away,L,1,3,Sassuolo,7,3,5,57.1,0,1.9,-0.1,0,0,0,0,2,4,50.0,30,8,13.3,23.0,2,0.0,13.5,12,1,8.3,0,12.3,Match Report,2021-10-23,18:00 (09:00),Serie A,Matchweek 9,Sat,Away,L,1,3,Sassuolo,304,388,78.4,5744,2023,126,148,85.1,129,149,86.6,39,59,66.1,1,0.4,0.6,6,21,3,1,19,Match Report,2021-10-23,18:00 (09:00),Serie A,Matchweek 9,Sat,Away,L,1,3,Sassuolo,388,347,36,12,2,3,15,14,4,2,2,0,304,5,10,Match Report,2021-10-23,18:00 (09:00),Serie A,Matchweek 9,Sat,Away,L,1,3,Sassuolo,14,9,1,2,1,0,1,2,2,0,0,0,0,0,Match Report,2021-10-23,18:00 (09:00),Serie A,Matchweek 9,Sat,Away,L,1,3,Sassuolo,16,12,7,6,3,5,13,38.5,8,12,5,7,5,21,15,0,Match Report,2021-10-23,18:00 (09:00),Serie A,Matchweek 9,Sat,Away,L,1,3,Sassuolo,37,474,73,209,198,72,12,474,13,10,76.9,3,23.1,280,1434,871,11,8,3,12,9,301,18,Match Report,2021-10-23,18:00 (09:00),Serie A,Matchweek 9,Sat,Away,L,1,3,Sassuolo,2,0,0,15,11,5,15,5,12,0,0,1,41,7,6,53.8,Match Report
