Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2022-08-08,21:00 (12:00),Coppa Italia,First round,Mon,Home,W,3,2,Ternana,2,15,6,40.0,0.13,0.33,,,0,0,,,,,,Match Report,2022-08-08,21:00 (12:00),Coppa Italia,First round,Mon,Home,W,3,2,Ternana,5,2,3,60.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2022-08-08,21:00 (12:00),Coppa Italia,First round,Mon,Home,W,3,2,Ternana,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2022-08-08,21:00 (12:00),Coppa Italia,First round,Mon,Home,W,3,2,Ternana,,,,,,,22,,,,,,,,,Match Report,2022-08-08,21:00 (12:00),Coppa Italia,First round,Mon,Home,W,3,2,Ternana,,,,,,,,,,,,,,,Match Report,2022-08-08,21:00 (12:00),Coppa Italia,First round,Mon,Home,W,3,2,Ternana,,12,,,,,,,,,,,17,0,,,Match Report,2022-08-08,21:00 (12:00),Coppa Italia,First round,Mon,Home,W,3,2,Ternana,50,,,,,,,,,,,,,,,,,,,,,,,Match Report,2022-08-08,21:00 (12:00),Coppa Italia,First round,Mon,Home,W,3,2,Ternana,3,0,0,14,13,0,22,17,12,,,0,,,,,Match Report
2022-08-14,18:30 (09:30),Serie A,Matchweek 1,Sun,Away,L,2,3,Fiorentina,2,13,4,30.8,0.15,0.50,17.3,2,0,0,1.3,1.3,0.10,+0.7,+0.7,Match Report,2022-08-14,18:30 (09:30),Serie A,Matchweek 1,Sun,Away,L,2,3,Fiorentina,11,3,8,72.7,0,2.5,-0.5,0,0,0,0,5,26,19.2,26,4,76.9,55.3,9,66.7,49.9,23,1,4.3,0,9.9,Match Report,2022-08-14,18:30 (09:30),Serie A,Matchweek 1,Sun,Away,L,2,3,Fiorentina,132,219,60.3,2408,1132,63,80,78.8,54,75,72.0,12,50,24.0,1,0.6,0.3,6,13,7,2,21,Match Report,2022-08-14,18:30 (09:30),Serie A,Matchweek 1,Sun,Away,L,2,3,Fiorentina,219,182,36,9,0,0,13,10,4,2,1,0,132,1,3,Match Report,2022-08-14,18:30 (09:30),Serie A,Matchweek 1,Sun,Away,L,2,3,Fiorentina,18,8,2,1,3,3,1,3,2,0,0,1,0,0,Match Report,2022-08-14,18:30 (09:30),Serie A,Matchweek 1,Sun,Away,L,2,3,Fiorentina,24,10,13,10,1,9,16,56.3,7,13,9,4,7,31,25,2,Match Report,2022-08-14,18:30 (09:30),Serie A,Matchweek 1,Sun,Away,L,2,3,Fiorentina,26,334,74,162,113,63,21,334,14,6,42.9,8,57.1,125,756,408,9,4,3,6,4,130,21,Match Report,2022-08-14,18:30 (09:30),Serie A,Matchweek 1,Sun,Away,L,2,3,Fiorentina,3,1,0,19,9,1,13,7,10,0,0,0,41,13,27,32.5,Match Report
2022-08-22,18:30 (09:30),Serie A,Matchweek 2,Mon,Away,L,0,1,Roma,0,14,3,21.4,0.00,0.00,24.8,1,0,0,0.7,0.7,0.05,-0.7,-0.7,Match Report,2022-08-22,18:30 (09:30),Serie A,Matchweek 2,Mon,Away,L,0,1,Roma,11,1,10,90.9,0,2.5,+1.5,0,0,0,0,3,9,33.3,26,7,34.6,36.8,6,0.0,11.7,8,0,0.0,1,23.0,Match Report,2022-08-22,18:30 (09:30),Serie A,Matchweek 2,Mon,Away,L,0,1,Roma,340,445,76.4,5853,2545,160,181,88.4,136,169,80.5,37,71,52.1,0,0.5,0.6,9,37,8,4,41,Match Report,2022-08-22,18:30 (09:30),Serie A,Matchweek 2,Mon,Away,L,0,1,Roma,445,407,37,7,0,1,27,16,6,3,3,0,340,1,6,Match Report,2022-08-22,18:30 (09:30),Serie A,Matchweek 2,Mon,Away,L,0,1,Roma,26,22,1,0,2,1,0,0,0,0,0,0,0,0,Match Report,2022-08-22,18:30 (09:30),Serie A,Matchweek 2,Mon,Away,L,0,1,Roma,19,9,14,5,0,12,29,41.4,17,17,9,8,16,35,10,0,Match Report,2022-08-22,18:30 (09:30),Serie A,Matchweek 2,Mon,Away,L,0,1,Roma,51,551,59,171,265,120,11,551,8,4,50.0,4,50.0,325,1784,973,21,15,2,8,12,335,41,Match Report,2022-08-22,18:30 (09:30),Serie A,Matchweek 2,Mon,Away,L,0,1,Roma,3,0,0,14,7,1,27,16,9,0,0,0,60,6,20,23.1,Match Report
2022-08-27,18:30 (09:30),Serie A,Matchweek 3,Sat,Home,L,1,2,Torino,1,16,6,37.5,0.06,0.17,17.0,1,0,0,0.8,0.8,0.05,+0.2,+0.2,Match Report,2022-08-27,18:30 (09:30),Serie A,Matchweek 3,Sat,Home,L,1,2,Torino,5,2,3,60.0,0,2.8,+0.8,0,0,0,0,2,15,13.3,26,3,46.2,37.1,6,50.0,45.3,10,2,20.0,0,4.5,Match Report,2022-08-27,18:30 (09:30),Serie A,Matchweek 3,Sat,Home,L,1,2,Torino,292,427,68.4,5181,2452,126,157,80.3,116,152,76.3,35,84,41.7,0,0.5,0.7,11,32,9,4,40,Match Report,2022-08-27,18:30 (09:30),Serie A,Matchweek 3,Sat,Home,L,1,2,Torino,427,373,53,20,0,0,25,21,3,1,1,0,292,1,13,Match Report,2022-08-27,18:30 (09:30),Serie A,Matchweek 3,Sat,Home,L,1,2,Torino,27,15,4,1,2,4,1,2,2,0,0,0,0,0,Match Report,2022-08-27,18:30 (09:30),Serie A,Matchweek 3,Sat,Home,L,1,2,Torino,21,13,6,12,3,12,26,46.2,14,14,5,9,10,31,21,1,Match Report,2022-08-27,18:30 (09:30),Serie A,Matchweek 3,Sat,Home,L,1,2,Torino,53,565,67,161,266,143,26,565,16,5,31.3,6,37.5,282,1163,608,7,9,2,22,5,290,40,Match Report,2022-08-27,18:30 (09:30),Serie A,Matchweek 3,Sat,Home,L,1,2,Torino,0,0,0,9,20,1,25,10,13,0,0,0,62,23,22,51.1,Match Report
2022-08-30,20:45 (11:45),Serie A,Matchweek 4,Tue,Away,L,1,3,Inter,1,11,4,36.4,0.09,0.25,15.4,0,0,0,1.2,1.2,0.11,-0.2,-0.2,Match Report,2022-08-30,20:45 (11:45),Serie A,Matchweek 4,Tue,Away,L,1,3,Inter,7,3,4,57.1,0,3.0,0.0,0,0,0,0,0,5,0.0,19,4,26.3,31.4,12,0.0,18.0,14,0,0.0,1,19.0,Match Report,2022-08-30,20:45 (11:45),Serie A,Matchweek 4,Tue,Away,L,1,3,Inter,353,451,78.3,6012,2379,167,190,87.9,160,185,86.5,23,54,42.6,1,0.9,0.6,9,35,7,2,44,Match Report,2022-08-30,20:45 (11:45),Serie A,Matchweek 4,Tue,Away,L,1,3,Inter,451,397,52,8,0,3,19,22,6,1,4,0,353,2,10,Match Report,2022-08-30,20:45 (11:45),Serie A,Matchweek 4,Tue,Away,L,1,3,Inter,17,13,3,0,1,0,0,2,2,0,0,0,0,0,Match Report,2022-08-30,20:45 (11:45),Serie A,Matchweek 4,Tue,Away,L,1,3,Inter,16,11,9,6,1,11,15,73.3,4,9,4,5,10,26,15,0,Match Report,2022-08-30,20:45 (11:45),Serie A,Matchweek 4,Tue,Away,L,1,3,Inter,47,546,62,163,249,138,17,546,9,3,33.3,5,55.6,286,1592,926,13,10,1,12,5,353,44,Match Report,2022-08-30,20:45 (11:45),Serie A,Matchweek 4,Tue,Away,L,1,3,Inter,3,0,0,14,5,2,19,10,11,0,0,0,36,6,15,28.6,Match Report
2022-09-04,12:30 (03:30),Serie A,Matchweek 5,Sun,Home,D,0,0,Sassuolo,0,10,0,0.0,0.00,,20.6,1,0,0,0.4,0.4,0.04,-0.4,-0.4,Match Report,2022-09-04,12:30 (03:30),Serie A,Matchweek 5,Sun,Home,D,0,0,Sassuolo,7,0,7,100.0,1,0.9,+0.9,0,0,0,0,3,12,25.0,34,6,26.5,32.0,9,33.3,38.3,15,0,0.0,2,28.5,Match Report,2022-09-04,12:30 (03:30),Serie A,Matchweek 5,Sun,Home,D,0,0,Sassuolo,327,427,76.6,6479,2725,111,134,82.8,171,197,86.8,42,75,56.0,0,0.3,0.7,7,30,11,4,30,Match Report,2022-09-04,12:30 (03:30),Serie A,Matchweek 5,Sun,Home,D,0,0,Sassuolo,427,388,36,7,1,1,19,17,2,1,1,0,327,3,12,Match Report,2022-09-04,12:30 (03:30),Serie A,Matchweek 5,Sun,Home,D,0,0,Sassuolo,20,18,0,0,1,1,0,0,0,0,0,0,0,0,Match Report,2022-09-04,12:30 (03:30),Serie A,Matchweek 5,Sun,Home,D,0,0,Sassuolo,18,9,11,6,1,9,17,52.9,8,17,4,13,12,30,18,0,Match Report,2022-09-04,12:30 (03:30),Serie A,Matchweek 5,Sun,Home,D,0,0,Sassuolo,46,524,76,217,209,102,18,524,9,4,44.4,4,44.4,206,1036,569,9,7,2,10,9,321,30,Match Report,2022-09-04,12:30 (03:30),Serie A,Matchweek 5,Sun,Home,D,0,0,Sassuolo,1,0,0,16,6,3,19,12,9,0,0,0,47,8,8,50.0,Match Report
2022-09-11,12:30 (03:30),Serie A,Matchweek 6,Sun,Away,D,1,1,Atalanta,1,7,4,57.1,0.14,0.25,18.2,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Match Report,2022-09-11,12:30 (03:30),Serie A,Matchweek 6,Sun,Away,D,1,1,Atalanta,6,1,5,83.3,0,0.8,-0.2,0,0,0,0,10,26,38.5,53,3,43.4,38.1,7,42.9,35.6,13,3,23.1,1,10.5,Match Report,2022-09-11,12:30 (03:30),Serie A,Matchweek 6,Sun,Away,D,1,1,Atalanta,236,366,64.5,4420,1735,101,129,78.3,103,144,71.5,27,71,38.0,0,0.1,0.3,3,12,0,0,13,Match Report,2022-09-11,12:30 (03:30),Serie A,Matchweek 6,Sun,Away,D,1,1,Atalanta,366,323,43,11,1,2,7,20,3,0,3,0,236,0,7,Match Report,2022-09-11,12:30 (03:30),Serie A,Matchweek 6,Sun,Away,D,1,1,Atalanta,9,4,1,0,3,0,1,1,0,0,0,1,0,0,Match Report,2022-09-11,12:30 (03:30),Serie A,Matchweek 6,Sun,Away,D,1,1,Atalanta,25,11,15,5,5,13,23,56.5,10,14,3,11,20,45,20,0,Match Report,2022-09-11,12:30 (03:30),Serie A,Matchweek 6,Sun,Away,D,1,1,Atalanta,42,487,82,235,190,71,12,487,11,5,45.5,6,54.5,214,1104,577,6,6,0,15,7,230,12,Match Report,2022-09-11,12:30 (03:30),Serie A,Matchweek 6,Sun,Away,D,1,1,Atalanta,5,0,0,17,8,0,7,20,11,0,0,0,61,16,27,37.2,Match Report
2022-09-18,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,L,0,4,Lazio,0,18,3,16.7,0.00,0.00,18.2,0,0,0,1.3,1.3,0.07,-1.3,-1.3,Match Report,2022-09-18,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,L,0,4,Lazio,6,4,2,50.0,0,3.4,-0.6,1,1,0,0,4,9,44.4,33,2,21.2,26.0,10,20.0,30.6,6,0,0.0,1,13.5,Match Report,2022-09-18,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,L,0,4,Lazio,330,426,77.5,6290,2370,132,156,84.6,144,166,86.7,43,79,54.4,0,0.9,1.0,12,28,11,4,30,Match Report,2022-09-18,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,L,0,4,Lazio,426,365,58,9,3,3,24,26,8,1,7,0,330,3,7,Match Report,2022-09-18,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,L,0,4,Lazio,30,20,5,0,3,1,1,0,0,0,0,0,0,0,Match Report,2022-09-18,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,L,0,4,Lazio,10,5,7,2,1,6,12,50.0,6,13,3,10,14,24,6,3,Match Report,2022-09-18,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,L,0,4,Lazio,45,538,74,216,180,148,32,538,23,6,26.1,11,47.8,293,1437,716,21,11,8,20,5,330,30,Match Report,2022-09-18,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,L,0,4,Lazio,1,0,0,12,8,3,24,14,5,0,1,0,57,10,8,55.6,Match Report
2022-10-02,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,D,1,1,Lecce,1,12,3,25.0,0.00,0.00,17.6,0,1,1,1.6,0.8,0.07,-0.6,-0.8,Match Report,2022-10-02,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,D,1,1,Lecce,1,1,0,100.0,0,1.0,0.0,1,1,0,0,3,12,25.0,22,4,31.8,31.6,6,83.3,68.3,12,0,0.0,1,23.5,Match Report,2022-10-02,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,D,1,1,Lecce,249,380,65.5,4318,1908,122,149,81.9,98,136,72.1,23,70,32.9,0,0.8,0.7,9,20,6,2,31,Match Report,2022-10-02,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,D,1,1,Lecce,380,325,52,10,1,2,25,26,8,3,5,0,249,3,12,Match Report,2022-10-02,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,D,1,1,Lecce,26,15,5,1,2,2,1,2,1,0,0,0,1,0,Match Report,2022-10-02,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,D,1,1,Lecce,25,16,15,7,3,11,18,61.1,7,6,1,5,10,35,22,0,Match Report,2022-10-02,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,D,1,1,Lecce,46,481,47,175,183,130,26,480,11,3,27.3,7,63.6,231,1227,594,16,12,6,12,5,244,30,Match Report,2022-10-02,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,D,1,1,Lecce,1,0,0,15,11,3,25,10,16,1,1,0,66,8,13,38.1,Match Report
2022-10-09,18:00 (09:00),Serie A,Matchweek 9,Sun,Home,L,1,4,Napoli,1,12,1,8.3,0.08,1.00,20.3,0,0,0,0.8,0.8,0.07,+0.2,+0.2,Match Report,2022-10-09,18:00 (09:00),Serie A,Matchweek 9,Sun,Home,L,1,4,Napoli,10,4,6,70.0,0,4.0,0.0,1,1,0,0,8,29,27.6,26,1,65.4,49.0,13,92.3,65.4,6,0,0.0,2,25.5,Match Report,2022-10-09,18:00 (09:00),Serie A,Matchweek 9,Sun,Home,L,1,4,Napoli,199,290,68.6,3795,1596,88,100,88.0,82,100,82.0,25,76,32.9,0,0.4,0.3,9,25,5,1,22,Match Report,2022-10-09,18:00 (09:00),Serie A,Matchweek 9,Sun,Home,L,1,4,Napoli,290,242,44,7,0,1,13,15,5,2,1,0,199,4,2,Match Report,2022-10-09,18:00 (09:00),Serie A,Matchweek 9,Sun,Home,L,1,4,Napoli,22,15,3,1,2,0,1,1,0,0,0,1,0,0,Match Report,2022-10-09,18:00 (09:00),Serie A,Matchweek 9,Sun,Home,L,1,4,Napoli,21,12,15,4,2,12,19,63.2,7,7,2,5,5,26,14,0,Match Report,2022-10-09,18:00 (09:00),Serie A,Matchweek 9,Sun,Home,L,1,4,Napoli,31,386,59,159,126,105,19,386,13,4,30.8,8,61.5,158,830,493,9,5,7,12,9,198,22,Match Report,2022-10-09,18:00 (09:00),Serie A,Matchweek 9,Sun,Home,L,1,4,Napoli,2,0,0,18,6,4,13,5,12,0,1,0,45,13,18,41.9,Match Report
