Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2022-08-06,21:00 (12:00),Coppa Italia,First round,Sat,Home,L,1.0,2.0,SPAL,1,23,6,26.1,0.04,0.17,,,0,0,,,,,,Match Report,2022-08-06,21:00 (12:00),Coppa Italia,First round,Sat,Home,L,1.0,2.0,SPAL,3,2,1,33.3,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2022-08-06,21:00 (12:00),Coppa Italia,First round,Sat,Home,L,1.0,2.0,SPAL,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2022-08-06,21:00 (12:00),Coppa Italia,First round,Sat,Home,L,1.0,2.0,SPAL,,,,,,,26,,,,,,,,,Match Report,2022-08-06,21:00 (12:00),Coppa Italia,First round,Sat,Home,L,1.0,2.0,SPAL,,,,,,,,,,,,,,,Match Report,2022-08-06,21:00 (12:00),Coppa Italia,First round,Sat,Home,L,1.0,2.0,SPAL,,5,,,,,,,,,,,10,0,,,Match Report,2022-08-06,21:00 (12:00),Coppa Italia,First round,Sat,Home,L,1.0,2.0,SPAL,54.0,,,,,,,,,,,,,,,,,,,,,,,Match Report,2022-08-06,21:00 (12:00),Coppa Italia,First round,Sat,Home,L,1.0,2.0,SPAL,3,0,0,17,19,4,26,10,5,,,0,,,,,Match Report
2022-08-14,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,L,0.0,1.0,Spezia,0,18,5,27.8,0.0,0.0,23.4,1.0,0,0,0.7,0.7,0.04,-0.7,-0.7,Match Report,2022-08-14,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,L,0.0,1.0,Spezia,2,1,1,50.0,0,0.6,-0.4,0,0,0,0,1.0,6.0,16.7,28.0,6.0,17.9,30.2,7.0,14.3,31.9,20.0,2.0,10.0,1.0,10.6,Match Report,2022-08-14,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,L,0.0,1.0,Spezia,452.0,586.0,77.1,8235.0,2801.0,197.0,239.0,82.4,186.0,224.0,83.0,60.0,91.0,65.9,0,0.6,0.6,15.0,30.0,8.0,3.0,49.0,Match Report,2022-08-14,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,L,0.0,1.0,Spezia,586.0,524.0,61.0,16.0,2.0,6.0,28,32.0,4.0,1.0,2.0,0.0,452.0,1.0,16.0,Match Report,2022-08-14,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,L,0.0,1.0,Spezia,34.0,25.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-08-14,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,L,0.0,1.0,Spezia,14.0,10,5.0,6.0,3.0,8.0,13.0,61.5,5.0,7.0,1.0,6.0,10,24,15.0,1.0,Match Report,2022-08-14,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,L,0.0,1.0,Spezia,59.0,696.0,57.0,192.0,304.0,205.0,20.0,696.0,22.0,11.0,50.0,9.0,40.9,442.0,2554.0,1166.0,23.0,22.0,6.0,15.0,14.0,450.0,49.0,Match Report,2022-08-14,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,L,0.0,1.0,Spezia,1,0,0,8,13,1,28,10,10,0.0,0.0,0,62.0,9.0,3.0,75.0,Match Report
2022-08-21,18:30 (09:30),Serie A,Matchweek 2,Sun,Home,D,0.0,0.0,Fiorentina,0,4,2,50.0,0.0,0.0,13.7,0.0,0,0,0.4,0.4,0.1,-0.4,-0.4,Match Report,2022-08-21,18:30 (09:30),Serie A,Matchweek 2,Sun,Home,D,0.0,0.0,Fiorentina,2,0,2,100.0,1,0.4,0.4,0,0,0,0,7.0,23.0,30.4,34.0,0.0,47.1,38.0,13.0,53.8,42.7,23.0,1.0,4.3,1.0,20.5,Match Report,2022-08-21,18:30 (09:30),Serie A,Matchweek 2,Sun,Home,D,0.0,0.0,Fiorentina,231.0,315.0,73.3,3844.0,1676.0,103.0,122.0,84.4,97.0,119.0,81.5,19.0,50.0,38.0,0,0.4,0.3,4.0,11.0,3.0,1.0,17.0,Match Report,2022-08-21,18:30 (09:30),Serie A,Matchweek 2,Sun,Home,D,0.0,0.0,Fiorentina,315.0,274.0,40.0,12.0,1.0,0.0,6,13.0,1.0,1.0,0.0,0.0,231.0,1.0,4.0,Match Report,2022-08-21,18:30 (09:30),Serie A,Matchweek 2,Sun,Home,D,0.0,0.0,Fiorentina,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-08-21,18:30 (09:30),Serie A,Matchweek 2,Sun,Home,D,0.0,0.0,Fiorentina,14.0,6,9.0,5.0,0.0,8.0,16.0,50.0,8.0,15.0,8.0,7.0,14,28,26.0,0.0,Match Report,2022-08-21,18:30 (09:30),Serie A,Matchweek 2,Sun,Home,D,0.0,0.0,Fiorentina,37.0,422.0,87.0,201.0,170.0,61.0,6.0,422.0,18.0,8.0,44.4,9.0,50.0,232.0,1176.0,494.0,8.0,8.0,2.0,10.0,6.0,230.0,17.0,Match Report,2022-08-21,18:30 (09:30),Serie A,Matchweek 2,Sun,Home,D,0.0,0.0,Fiorentina,1,1,0,13,10,1,6,14,6,0.0,0.0,0,42.0,12.0,7.0,63.2,Match Report
2022-08-28,20:45 (11:45),Serie A,Matchweek 3,Sun,Away,D,1.0,1.0,Lecce,1,9,3,33.3,0.11,0.33,23.2,1.0,0,0,0.4,0.4,0.04,0.6,0.6,Match Report,2022-08-28,20:45 (11:45),Serie A,Matchweek 3,Sun,Away,D,1.0,1.0,Lecce,5,1,4,80.0,0,1.2,0.2,0,0,0,0,7.0,20.0,35.0,69.0,12.0,26.1,31.3,11.0,18.2,19.6,23.0,2.0,8.7,0.0,9.9,Match Report,2022-08-28,20:45 (11:45),Serie A,Matchweek 3,Sun,Away,D,1.0,1.0,Lecce,410.0,519.0,79.0,7484.0,2762.0,172.0,199.0,86.4,197.0,228.0,86.4,36.0,70.0,51.4,0,0.2,0.2,4.0,23.0,6.0,2.0,25.0,Match Report,2022-08-28,20:45 (11:45),Serie A,Matchweek 3,Sun,Away,D,1.0,1.0,Lecce,519.0,460.0,58.0,13.0,1.0,1.0,15,27.0,5.0,3.0,2.0,0.0,410.0,1.0,12.0,Match Report,2022-08-28,20:45 (11:45),Serie A,Matchweek 3,Sun,Away,D,1.0,1.0,Lecce,13.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-08-28,20:45 (11:45),Serie A,Matchweek 3,Sun,Away,D,1.0,1.0,Lecce,11.0,8,5.0,6.0,0.0,3.0,12.0,25.0,9.0,7.0,5.0,2.0,7,18,27.0,0.0,Match Report,2022-08-28,20:45 (11:45),Serie A,Matchweek 3,Sun,Away,D,1.0,1.0,Lecce,59.0,630.0,110.0,287.0,241.0,106.0,8.0,630.0,13.0,5.0,38.5,6.0,46.2,370.0,1730.0,881.0,7.0,10.0,2.0,18.0,9.0,405.0,25.0,Match Report,2022-08-28,20:45 (11:45),Serie A,Matchweek 3,Sun,Away,D,1.0,1.0,Lecce,2,0,0,5,9,1,15,7,8,0.0,0.0,0,37.0,15.0,14.0,51.7,Match Report
2022-08-31,18:30 (09:30),Serie A,Matchweek 4,Wed,Home,D,1.0,1.0,Hellas Verona,1,16,4,25.0,0.06,0.25,23.0,1.0,0,0,1.1,1.1,0.07,-0.1,-0.1,Match Report,2022-08-31,18:30 (09:30),Serie A,Matchweek 4,Wed,Home,D,1.0,1.0,Hellas Verona,3,1,2,66.7,0,1.0,0.0,0,0,0,0,7.0,30.0,23.3,40.0,6.0,70.0,47.4,6.0,33.3,32.5,15.0,2.0,13.3,0.0,7.8,Match Report,2022-08-31,18:30 (09:30),Serie A,Matchweek 4,Wed,Home,D,1.0,1.0,Hellas Verona,285.0,408.0,69.9,5149.0,2265.0,129.0,150.0,86.0,110.0,135.0,81.5,36.0,91.0,39.6,1,1.0,0.7,11.0,22.0,12.0,6.0,28.0,Match Report,2022-08-31,18:30 (09:30),Serie A,Matchweek 4,Wed,Home,D,1.0,1.0,Hellas Verona,408.0,342.0,64.0,22.0,0.0,2.0,23,27.0,7.0,3.0,4.0,0.0,285.0,2.0,10.0,Match Report,2022-08-31,18:30 (09:30),Serie A,Matchweek 4,Wed,Home,D,1.0,1.0,Hellas Verona,25.0,17.0,2.0,1.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-08-31,18:30 (09:30),Serie A,Matchweek 4,Wed,Home,D,1.0,1.0,Hellas Verona,18.0,12,11.0,5.0,2.0,6.0,10.0,60.0,4.0,9.0,2.0,7.0,10,28,22.0,0.0,Match Report,2022-08-31,18:30 (09:30),Serie A,Matchweek 4,Wed,Home,D,1.0,1.0,Hellas Verona,52.0,531.0,61.0,169.0,201.0,166.0,28.0,531.0,17.0,4.0,23.5,8.0,47.1,289.0,1476.0,668.0,16.0,13.0,4.0,12.0,16.0,281.0,28.0,Match Report,2022-08-31,18:30 (09:30),Serie A,Matchweek 4,Wed,Home,D,1.0,1.0,Hellas Verona,0,0,0,5,21,2,23,10,12,0.0,0.0,0,54.0,13.0,18.0,41.9,Match Report
2022-09-05,18:30 (09:30),Serie A,Matchweek 5,Mon,Away,D,2.0,2.0,Salernitana,2,11,5,45.5,0.18,0.4,16.7,0.0,0,0,0.9,0.9,0.08,1.1,1.1,Match Report,2022-09-05,18:30 (09:30),Serie A,Matchweek 5,Mon,Away,D,2.0,2.0,Salernitana,4,2,2,50.0,0,2.3,0.3,0,0,0,0,4.0,8.0,50.0,43.0,13.0,16.3,26.7,6.0,16.7,17.0,18.0,3.0,16.7,1.0,13.8,Match Report,2022-09-05,18:30 (09:30),Serie A,Matchweek 5,Mon,Away,D,2.0,2.0,Salernitana,335.0,443.0,75.6,5979.0,2496.0,127.0,153.0,83.0,167.0,193.0,86.5,31.0,68.0,45.6,1,0.7,0.6,7.0,19.0,5.0,1.0,24.0,Match Report,2022-09-05,18:30 (09:30),Serie A,Matchweek 5,Mon,Away,D,2.0,2.0,Salernitana,443.0,390.0,52.0,11.0,2.0,1.0,20,25.0,7.0,3.0,4.0,0.0,335.0,1.0,13.0,Match Report,2022-09-05,18:30 (09:30),Serie A,Matchweek 5,Mon,Away,D,2.0,2.0,Salernitana,18.0,14.0,1.0,1.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-09-05,18:30 (09:30),Serie A,Matchweek 5,Mon,Away,D,2.0,2.0,Salernitana,19.0,10,9.0,6.0,4.0,7.0,14.0,50.0,7.0,12.0,8.0,4.0,4,23,25.0,0.0,Match Report,2022-09-05,18:30 (09:30),Serie A,Matchweek 5,Mon,Away,D,2.0,2.0,Salernitana,49.0,549.0,88.0,234.0,215.0,103.0,14.0,549.0,19.0,7.0,36.8,11.0,57.9,235.0,1419.0,809.0,19.0,11.0,4.0,12.0,10.0,333.0,24.0,Match Report,2022-09-05,18:30 (09:30),Serie A,Matchweek 5,Mon,Away,D,2.0,2.0,Salernitana,2,0,0,9,7,1,20,4,10,0.0,0.0,0,45.0,11.0,17.0,39.3,Match Report
2022-09-12,20:45 (11:45),Serie A,Matchweek 6,Mon,Home,L,1.0,2.0,Roma,1,20,3,15.0,0.05,0.33,18.7,1.0,0,0,1.1,1.1,0.06,-0.1,-0.1,Match Report,2022-09-12,20:45 (11:45),Serie A,Matchweek 6,Mon,Home,L,1.0,2.0,Roma,6,2,4,66.7,0,3.0,1.0,1,0,0,1,4.0,7.0,57.1,27.0,2.0,25.9,29.7,6.0,0.0,11.2,12.0,1.0,8.3,1.0,12.2,Match Report,2022-09-12,20:45 (11:45),Serie A,Matchweek 6,Mon,Home,L,1.0,2.0,Roma,363.0,464.0,78.2,6710.0,2757.0,151.0,167.0,90.4,161.0,195.0,82.6,44.0,75.0,58.7,1,1.0,0.8,17.0,31.0,8.0,6.0,41.0,Match Report,2022-09-12,20:45 (11:45),Serie A,Matchweek 6,Mon,Home,L,1.0,2.0,Roma,464.0,409.0,55.0,11.0,1.0,4.0,31,28.0,7.0,3.0,1.0,0.0,363.0,0.0,13.0,Match Report,2022-09-12,20:45 (11:45),Serie A,Matchweek 6,Mon,Home,L,1.0,2.0,Roma,37.0,23.0,8.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-09-12,20:45 (11:45),Serie A,Matchweek 6,Mon,Home,L,1.0,2.0,Roma,23.0,13,10.0,8.0,5.0,10.0,16.0,62.5,6.0,8.0,2.0,6.0,8,31,17.0,0.0,Match Report,2022-09-12,20:45 (11:45),Serie A,Matchweek 6,Mon,Home,L,1.0,2.0,Roma,52.0,591.0,65.0,174.0,242.0,181.0,14.0,591.0,12.0,6.0,50.0,4.0,33.3,321.0,1532.0,748.0,15.0,12.0,0.0,15.0,23.0,360.0,41.0,Match Report,2022-09-12,20:45 (11:45),Serie A,Matchweek 6,Mon,Home,L,1.0,2.0,Roma,3,1,0,13,12,0,31,8,13,0.0,1.0,0,66.0,11.0,11.0,50.0,Match Report
2022-09-17,15:00 (06:00),Serie A,Matchweek 7,Sat,Away,W,1.0,0.0,Bologna,1,12,5,41.7,0.08,0.2,16.1,0.0,0,0,1.6,1.6,0.13,-0.6,-0.6,Match Report,2022-09-17,15:00 (06:00),Serie A,Matchweek 7,Sat,Away,W,1.0,0.0,Bologna,3,0,3,100.0,1,0.2,0.2,0,0,0,0,8.0,20.0,40.0,27.0,6.0,63.0,46.6,10.0,30.0,29.6,21.0,1.0,4.8,0.0,6.5,Match Report,2022-09-17,15:00 (06:00),Serie A,Matchweek 7,Sat,Away,W,1.0,0.0,Bologna,196.0,299.0,65.6,3721.0,1921.0,81.0,111.0,73.0,68.0,85.0,80.0,32.0,67.0,47.8,0,0.8,0.7,9.0,15.0,8.0,5.0,23.0,Match Report,2022-09-17,15:00 (06:00),Serie A,Matchweek 7,Sat,Away,W,1.0,0.0,Bologna,299.0,246.0,53.0,15.0,1.0,3.0,22,19.0,8.0,2.0,5.0,0.0,196.0,0.0,11.0,Match Report,2022-09-17,15:00 (06:00),Serie A,Matchweek 7,Sat,Away,W,1.0,0.0,Bologna,19.0,14.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-09-17,15:00 (06:00),Serie A,Matchweek 7,Sat,Away,W,1.0,0.0,Bologna,18.0,13,8.0,5.0,5.0,10.0,14.0,71.4,4.0,17.0,4.0,13.0,7,25,24.0,0.0,Match Report,2022-09-17,15:00 (06:00),Serie A,Matchweek 7,Sat,Away,W,1.0,0.0,Bologna,39.0,416.0,59.0,151.0,152.0,120.0,16.0,416.0,10.0,4.0,40.0,5.0,50.0,181.0,971.0,542.0,12.0,10.0,3.0,24.0,9.0,193.0,23.0,Match Report,2022-09-17,15:00 (06:00),Serie A,Matchweek 7,Sat,Away,W,1.0,0.0,Bologna,3,0,0,16,10,0,22,7,13,0.0,0.0,0,46.0,8.0,12.0,40.0,Match Report
2022-10-01,20:45 (11:45),Serie A,Matchweek 8,Sat,Home,L,1.0,3.0,Milan,1,16,4,25.0,0.06,0.25,17.3,1.0,0,0,1.1,1.1,0.07,-0.1,-0.1,Match Report,2022-10-01,20:45 (11:45),Serie A,Matchweek 8,Sat,Home,L,1.0,3.0,Milan,6,3,3,50.0,0,2.4,-0.6,0,0,0,0,7.0,14.0,50.0,22.0,5.0,54.5,39.4,9.0,22.2,26.0,17.0,1.0,5.9,0.0,8.3,Match Report,2022-10-01,20:45 (11:45),Serie A,Matchweek 8,Sat,Home,L,1.0,3.0,Milan,226.0,316.0,71.5,4424.0,2178.0,90.0,110.0,81.8,91.0,120.0,75.8,38.0,64.0,59.4,0,0.6,0.5,8.0,21.0,6.0,2.0,27.0,Match Report,2022-10-01,20:45 (11:45),Serie A,Matchweek 8,Sat,Home,L,1.0,3.0,Milan,316.0,271.0,43.0,12.0,0.0,3.0,13,16.0,3.0,3.0,0.0,0.0,226.0,2.0,8.0,Match Report,2022-10-01,20:45 (11:45),Serie A,Matchweek 8,Sat,Home,L,1.0,3.0,Milan,28.0,15.0,4.0,3.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,Match Report,2022-10-01,20:45 (11:45),Serie A,Matchweek 8,Sat,Home,L,1.0,3.0,Milan,17.0,10,9.0,7.0,1.0,8.0,20.0,40.0,12.0,12.0,7.0,5.0,12,29,26.0,0.0,Match Report,2022-10-01,20:45 (11:45),Serie A,Matchweek 8,Sat,Home,L,1.0,3.0,Milan,43.0,449.0,78.0,183.0,166.0,105.0,25.0,449.0,19.0,7.0,36.8,10.0,52.6,191.0,1060.0,456.0,9.0,5.0,5.0,21.0,9.0,224.0,27.0,Match Report,2022-10-01,20:45 (11:45),Serie A,Matchweek 8,Sat,Home,L,1.0,3.0,Milan,3,0,0,15,10,2,13,12,10,0.0,0.0,0,53.0,6.0,9.0,40.0,Match Report
2022-10-09,12:30 (03:30),Serie A,Matchweek 9,Sun,Away,D,1.0,1.0,Torino,1,6,2,33.3,0.17,0.5,27.1,0.0,0,0,0.2,0.2,0.03,0.8,0.8,Match Report,2022-10-09,12:30 (03:30),Serie A,Matchweek 9,Sun,Away,D,1.0,1.0,Torino,7,1,6,85.7,0,1.7,0.7,0,0,0,0,6.0,20.0,30.0,39.0,6.0,38.5,36.8,15.0,33.3,28.9,28.0,0.0,0.0,1.0,14.0,Match Report,2022-10-09,12:30 (03:30),Serie A,Matchweek 9,Sun,Away,D,1.0,1.0,Torino,212.0,296.0,71.6,3971.0,1683.0,94.0,111.0,84.7,83.0,110.0,75.5,28.0,58.0,48.3,1,0.1,0.1,5.0,9.0,2.0,1.0,8.0,Match Report,2022-10-09,12:30 (03:30),Serie A,Matchweek 9,Sun,Away,D,1.0,1.0,Torino,296.0,243.0,52.0,17.0,1.0,3.0,5,17.0,1.0,0.0,0.0,0.0,212.0,1.0,8.0,Match Report,2022-10-09,12:30 (03:30),Serie A,Matchweek 9,Sun,Away,D,1.0,1.0,Torino,12.0,10.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Match Report,2022-10-09,12:30 (03:30),Serie A,Matchweek 9,Sun,Away,D,1.0,1.0,Torino,6.0,3,3.0,3.0,0.0,1.0,8.0,12.5,7.0,5.0,2.0,3.0,2,8,27.0,0.0,Match Report,2022-10-09,12:30 (03:30),Serie A,Matchweek 9,Sun,Away,D,1.0,1.0,Torino,34.0,388.0,85.0,214.0,129.0,49.0,4.0,388.0,10.0,5.0,50.0,4.0,40.0,199.0,1059.0,562.0,6.0,8.0,1.0,16.0,3.0,209.0,7.0,Match Report,2022-10-09,12:30 (03:30),Serie A,Matchweek 9,Sun,Away,D,1.0,1.0,Torino,4,0,0,9,14,1,5,2,3,0.0,0.0,0,32.0,11.0,18.0,37.9,Match Report
