Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2022-08-05,21:00 (12:00),Coppa Italia,First round,Fri,Home,L,2.0,3.0,Cittadella,2,16,3,18.8,0.13,0.67,,,0,0,,,,,,Match Report,2022-08-05,21:00 (12:00),Coppa Italia,First round,Fri,Home,L,2.0,3.0,Cittadella,6,3,3,50.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2022-08-05,21:00 (12:00),Coppa Italia,First round,Fri,Home,L,2.0,3.0,Cittadella,,,,,,,,,,,,,,,2,,,,,,,,Match Report,2022-08-05,21:00 (12:00),Coppa Italia,First round,Fri,Home,L,2.0,3.0,Cittadella,,,,,,,24,,,,,,,,,Match Report,2022-08-05,21:00 (12:00),Coppa Italia,First round,Fri,Home,L,2.0,3.0,Cittadella,,,,,,,,,,,,,,,Match Report,2022-08-05,21:00 (12:00),Coppa Italia,First round,Fri,Home,L,2.0,3.0,Cittadella,,10,,,,,,,,,,,8,0,,,Match Report,2022-08-05,21:00 (12:00),Coppa Italia,First round,Fri,Home,L,2.0,3.0,Cittadella,61.0,,,,,,,,,,,,,,,,,,,,,,,Match Report,2022-08-05,21:00 (12:00),Coppa Italia,First round,Fri,Home,L,2.0,3.0,Cittadella,1,0,0,20,22,1,24,8,10,,,0,,,,,Match Report
2022-08-13,20:45 (11:45),Serie A,Matchweek 1,Sat,Home,L,1.0,2.0,Inter,1,10,4,40.0,0.1,0.25,19.1,2.0,0,0,0.7,0.7,0.07,0.3,0.3,Match Report,2022-08-13,20:45 (11:45),Serie A,Matchweek 1,Sat,Home,L,1.0,2.0,Inter,9,2,7,77.8,0,1.8,-0.2,0,0,0,0,4.0,19.0,21.1,25.0,8.0,48.0,38.2,7.0,100.0,65.0,25.0,1.0,4.0,0.0,7.0,Match Report,2022-08-13,20:45 (11:45),Serie A,Matchweek 1,Sat,Home,L,1.0,2.0,Inter,205.0,288.0,71.2,4204.0,1800.0,78.0,96.0,81.3,93.0,106.0,87.7,34.0,75.0,45.3,1,0.5,0.3,7.0,17.0,3.0,1.0,20.0,Match Report,2022-08-13,20:45 (11:45),Serie A,Matchweek 1,Sat,Home,L,1.0,2.0,Inter,288.0,240.0,46.0,19.0,0.0,2.0,13,11.0,6.0,4.0,1.0,0.0,205.0,2.0,6.0,Match Report,2022-08-13,20:45 (11:45),Serie A,Matchweek 1,Sat,Home,L,1.0,2.0,Inter,18.0,12.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-08-13,20:45 (11:45),Serie A,Matchweek 1,Sat,Home,L,1.0,2.0,Inter,9.0,7,7.0,1.0,1.0,5.0,13.0,38.5,8.0,12.0,5.0,7.0,13,22,39.0,0.0,Match Report,2022-08-13,20:45 (11:45),Serie A,Matchweek 1,Sat,Home,L,1.0,2.0,Inter,30.0,400.0,89.0,179.0,152.0,71.0,13.0,400.0,10.0,5.0,50.0,3.0,30.0,174.0,1104.0,529.0,9.0,4.0,4.0,11.0,8.0,204.0,20.0,Match Report,2022-08-13,20:45 (11:45),Serie A,Matchweek 1,Sat,Home,L,1.0,2.0,Inter,4,0,0,21,18,2,13,13,7,0.0,0.0,0,38.0,14.0,14.0,50.0,Match Report
2022-08-20,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,0.0,1.0,Sassuolo,0,7,1,14.3,0.0,0.0,19.3,1.0,0,0,0.5,0.5,0.07,-0.5,-0.5,Match Report,2022-08-20,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,0.0,1.0,Sassuolo,3,1,2,66.7,0,0.8,-0.2,0,0,0,0,4.0,10.0,40.0,28.0,12.0,17.9,25.5,7.0,71.4,47.1,8.0,0.0,0.0,0.0,7.3,Match Report,2022-08-20,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,0.0,1.0,Sassuolo,309.0,394.0,78.4,6389.0,2259.0,108.0,121.0,89.3,141.0,165.0,85.5,54.0,86.0,62.8,0,0.3,0.5,4.0,30.0,8.0,3.0,34.0,Match Report,2022-08-20,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,0.0,1.0,Sassuolo,394.0,347.0,43.0,13.0,1.0,7.0,20,17.0,4.0,2.0,1.0,0.0,309.0,4.0,7.0,Match Report,2022-08-20,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,0.0,1.0,Sassuolo,11.0,7.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-08-20,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,0.0,1.0,Sassuolo,18.0,11,7.0,9.0,2.0,3.0,12.0,25.0,9.0,15.0,5.0,10.0,10,28,23.0,0.0,Match Report,2022-08-20,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,0.0,1.0,Sassuolo,41.0,506.0,70.0,210.0,198.0,101.0,11.0,506.0,11.0,7.0,63.6,2.0,18.2,280.0,1651.0,944.0,15.0,9.0,2.0,17.0,2.0,309.0,34.0,Match Report,2022-08-20,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,0.0,1.0,Sassuolo,1,0,0,12,13,4,20,10,11,0.0,0.0,0,47.0,11.0,7.0,61.1,Match Report
2022-08-28,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,D,1.0,1.0,Empoli,1,15,5,33.3,0.07,0.2,18.6,0.0,0,0,0.9,0.9,0.06,0.1,0.1,Match Report,2022-08-28,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,D,1.0,1.0,Empoli,3,1,2,66.7,0,0.3,-0.7,0,0,0,0,3.0,11.0,27.3,15.0,2.0,33.3,36.7,6.0,100.0,65.3,10.0,0.0,0.0,3.0,15.3,Match Report,2022-08-28,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,D,1.0,1.0,Empoli,256.0,360.0,71.1,4716.0,1788.0,124.0,146.0,84.9,87.0,126.0,69.0,39.0,74.0,52.7,1,0.6,0.4,12.0,30.0,7.0,3.0,28.0,Match Report,2022-08-28,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,D,1.0,1.0,Empoli,360.0,314.0,42.0,6.0,1.0,6.0,27,25.0,3.0,1.0,2.0,0.0,256.0,4.0,2.0,Match Report,2022-08-28,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,D,1.0,1.0,Empoli,28.0,27.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-08-28,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,D,1.0,1.0,Empoli,15.0,9,8.0,4.0,3.0,6.0,11.0,54.5,5.0,11.0,1.0,10.0,12,27,14.0,0.0,Match Report,2022-08-28,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,D,1.0,1.0,Empoli,41.0,479.0,35.0,115.0,207.0,164.0,23.0,479.0,13.0,9.0,69.2,3.0,23.1,233.0,1533.0,853.0,26.0,15.0,7.0,19.0,8.0,255.0,28.0,Match Report,2022-08-28,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,D,1.0,1.0,Empoli,1,0,0,10,5,4,27,12,9,0.0,0.0,0,52.0,14.0,15.0,48.3,Match Report
2022-08-31,20:45 (11:45),Serie A,Matchweek 4,Wed,Away,D,1.0,1.0,Napoli,1,8,3,37.5,0.13,0.33,25.5,1.0,0,1,1.1,0.3,0.04,-0.1,0.7,Match Report,2022-08-31,20:45 (11:45),Serie A,Matchweek 4,Wed,Away,D,1.0,1.0,Napoli,7,1,6,85.7,0,1.6,0.6,0,0,0,0,1.0,26.0,3.8,25.0,5.0,64.0,44.4,13.0,76.9,56.3,17.0,1.0,5.9,5.0,17.0,Match Report,2022-08-31,20:45 (11:45),Serie A,Matchweek 4,Wed,Away,D,1.0,1.0,Napoli,212.0,300.0,70.7,3705.0,1380.0,89.0,107.0,83.2,89.0,104.0,85.6,25.0,73.0,34.2,1,0.2,0.2,7.0,15.0,2.0,0.0,20.0,Match Report,2022-08-31,20:45 (11:45),Serie A,Matchweek 4,Wed,Away,D,1.0,1.0,Napoli,300.0,252.0,45.0,9.0,0.0,3.0,10,17.0,4.0,1.0,3.0,0.0,212.0,3.0,2.0,Match Report,2022-08-31,20:45 (11:45),Serie A,Matchweek 4,Wed,Away,D,1.0,1.0,Napoli,18.0,13.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-08-31,20:45 (11:45),Serie A,Matchweek 4,Wed,Away,D,1.0,1.0,Napoli,26.0,14,13.0,12.0,1.0,10.0,22.0,45.5,12.0,8.0,3.0,5.0,18,44,34.0,0.0,Match Report,2022-08-31,20:45 (11:45),Serie A,Matchweek 4,Wed,Away,D,1.0,1.0,Napoli,29.0,443.0,77.0,199.0,164.0,87.0,7.0,442.0,17.0,7.0,41.2,10.0,58.8,247.0,1299.0,714.0,13.0,8.0,2.0,15.0,10.0,210.0,19.0,Match Report,2022-08-31,20:45 (11:45),Serie A,Matchweek 4,Wed,Away,D,1.0,1.0,Napoli,4,0,0,20,7,3,10,18,14,1.0,0.0,0,49.0,12.0,20.0,37.5,Match Report
2022-09-05,20:45 (11:45),Serie A,Matchweek 5,Mon,Away,L,0.0,1.0,Torino,0,9,2,22.2,0.0,0.0,15.3,1.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report,2022-09-05,20:45 (11:45),Serie A,Matchweek 5,Mon,Away,L,0.0,1.0,Torino,4,1,3,75.0,0,1.2,0.2,0,0,0,0,4.0,15.0,26.7,29.0,4.0,27.6,34.5,10.0,90.0,60.4,13.0,0.0,0.0,0.0,11.5,Match Report,2022-09-05,20:45 (11:45),Serie A,Matchweek 5,Mon,Away,L,0.0,1.0,Torino,255.0,370.0,68.9,5169.0,2099.0,84.0,105.0,80.0,128.0,162.0,79.0,37.0,83.0,44.6,0,0.2,0.5,5.0,26.0,2.0,1.0,24.0,Match Report,2022-09-05,20:45 (11:45),Serie A,Matchweek 5,Mon,Away,L,0.0,1.0,Torino,370.0,314.0,54.0,17.0,0.0,0.0,15,21.0,4.0,2.0,1.0,0.0,255.0,2.0,5.0,Match Report,2022-09-05,20:45 (11:45),Serie A,Matchweek 5,Mon,Away,L,0.0,1.0,Torino,14.0,6.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-09-05,20:45 (11:45),Serie A,Matchweek 5,Mon,Away,L,0.0,1.0,Torino,27.0,11,17.0,9.0,1.0,4.0,16.0,25.0,12.0,11.0,3.0,8.0,13,40,13.0,0.0,Match Report,2022-09-05,20:45 (11:45),Serie A,Matchweek 5,Mon,Away,L,0.0,1.0,Torino,41.0,485.0,53.0,200.0,195.0,100.0,14.0,485.0,15.0,4.0,26.7,5.0,33.3,195.0,1154.0,547.0,10.0,9.0,2.0,16.0,9.0,245.0,23.0,Match Report,2022-09-05,20:45 (11:45),Serie A,Matchweek 5,Mon,Away,L,0.0,1.0,Torino,1,0,0,8,15,2,15,13,11,0.0,0.0,0,51.0,20.0,22.0,47.6,Match Report
2022-09-11,15:00 (06:00),Serie A,Matchweek 6,Sun,Home,D,1.0,1.0,Monza,1,7,3,42.9,0.14,0.33,14.5,1.0,0,0,0.9,0.9,0.13,0.1,0.1,Match Report,2022-09-11,15:00 (06:00),Serie A,Matchweek 6,Sun,Home,D,1.0,1.0,Monza,1,1,0,0.0,0,0.3,-0.7,0,0,0,0,4.0,10.0,40.0,27.0,6.0,37.0,34.7,4.0,0.0,9.8,13.0,2.0,15.4,0.0,11.4,Match Report,2022-09-11,15:00 (06:00),Serie A,Matchweek 6,Sun,Home,D,1.0,1.0,Monza,329.0,427.0,77.0,6268.0,2050.0,122.0,143.0,85.3,140.0,163.0,85.9,52.0,92.0,56.5,0,0.5,0.6,4.0,21.0,4.0,1.0,38.0,Match Report,2022-09-11,15:00 (06:00),Serie A,Matchweek 6,Sun,Home,D,1.0,1.0,Monza,427.0,371.0,55.0,21.0,0.0,11.0,27,20.0,8.0,5.0,3.0,0.0,329.0,1.0,7.0,Match Report,2022-09-11,15:00 (06:00),Serie A,Matchweek 6,Sun,Home,D,1.0,1.0,Monza,13.0,6.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-09-11,15:00 (06:00),Serie A,Matchweek 6,Sun,Home,D,1.0,1.0,Monza,14.0,7,10.0,3.0,1.0,3.0,7.0,42.9,4.0,10.0,1.0,9.0,6,20,15.0,0.0,Match Report,2022-09-11,15:00 (06:00),Serie A,Matchweek 6,Sun,Home,D,1.0,1.0,Monza,53.0,523.0,57.0,184.0,222.0,121.0,16.0,523.0,15.0,7.0,46.7,5.0,33.3,325.0,2037.0,1110.0,25.0,16.0,4.0,18.0,10.0,326.0,37.0,Match Report,2022-09-11,15:00 (06:00),Serie A,Matchweek 6,Sun,Home,D,1.0,1.0,Monza,3,0,0,18,22,1,27,6,7,0.0,0.0,0,44.0,10.0,12.0,45.5,Match Report
2022-09-16,20:45 (11:45),Serie A,Matchweek 7,Fri,Away,W,2.0,1.0,Salernitana,2,13,4,30.8,0.15,0.5,20.7,0.0,0,0,1.5,1.5,0.11,0.5,0.5,Match Report,2022-09-16,20:45 (11:45),Serie A,Matchweek 7,Fri,Away,W,2.0,1.0,Salernitana,4,1,4,75.0,0,1.4,1.4,0,0,0,0,2.0,13.0,15.4,26.0,2.0,46.2,37.3,6.0,16.7,16.8,13.0,0.0,0.0,0.0,14.0,Match Report,2022-09-16,20:45 (11:45),Serie A,Matchweek 7,Fri,Away,W,2.0,1.0,Salernitana,312.0,406.0,76.8,5768.0,2138.0,137.0,159.0,86.2,131.0,160.0,81.9,39.0,74.0,52.7,2,1.3,0.5,9.0,31.0,4.0,0.0,35.0,Match Report,2022-09-16,20:45 (11:45),Serie A,Matchweek 7,Fri,Away,W,2.0,1.0,Salernitana,406.0,360.0,46.0,15.0,3.0,4.0,18,18.0,5.0,3.0,2.0,0.0,312.0,0.0,5.0,Match Report,2022-09-16,20:45 (11:45),Serie A,Matchweek 7,Fri,Away,W,2.0,1.0,Salernitana,22.0,18.0,1.0,2.0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,Match Report,2022-09-16,20:45 (11:45),Serie A,Matchweek 7,Fri,Away,W,2.0,1.0,Salernitana,16.0,9,11.0,4.0,1.0,12.0,18.0,66.7,6.0,7.0,0.0,7.0,10,26,20.0,0.0,Match Report,2022-09-16,20:45 (11:45),Serie A,Matchweek 7,Fri,Away,W,2.0,1.0,Salernitana,42.0,504.0,57.0,198.0,211.0,104.0,14.0,504.0,18.0,10.0,55.6,6.0,33.3,294.0,2199.0,1148.0,26.0,10.0,8.0,7.0,5.0,310.0,34.0,Match Report,2022-09-16,20:45 (11:45),Serie A,Matchweek 7,Fri,Away,W,2.0,1.0,Salernitana,3,0,0,11,9,0,18,10,9,0.0,0.0,1,49.0,7.0,11.0,38.9,Match Report
2022-10-02,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,D,1.0,1.0,Cremonese,1,5,0,0.0,0.0,,21.4,0.0,1,1,1.0,0.2,0.04,0.0,-0.2,Match Report,2022-10-02,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,D,1.0,1.0,Cremonese,4,1,3,100.0,0,1.8,0.8,1,1,0,0,5.0,9.0,55.6,24.0,7.0,25.0,31.5,19.0,15.8,20.6,17.0,3.0,17.6,0.0,5.8,Match Report,2022-10-02,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,D,1.0,1.0,Cremonese,332.0,452.0,73.5,6471.0,2850.0,112.0,150.0,74.7,174.0,217.0,80.2,41.0,72.0,56.9,0,0.2,0.4,5.0,31.0,3.0,0.0,36.0,Match Report,2022-10-02,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,D,1.0,1.0,Cremonese,452.0,381.0,71.0,17.0,2.0,2.0,13,32.0,1.0,1.0,0.0,0.0,332.0,0.0,4.0,Match Report,2022-10-02,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,D,1.0,1.0,Cremonese,10.0,4.0,3.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,Match Report,2022-10-02,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,D,1.0,1.0,Cremonese,12.0,9,7.0,3.0,2.0,7.0,10.0,70.0,3.0,14.0,2.0,12.0,4,16,17.0,0.0,Match Report,2022-10-02,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,D,1.0,1.0,Cremonese,54.0,563.0,70.0,201.0,231.0,134.0,10.0,562.0,19.0,7.0,36.8,11.0,57.9,344.0,1866.0,991.0,9.0,10.0,3.0,23.0,14.0,329.0,35.0,Match Report,2022-10-02,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,D,1.0,1.0,Cremonese,3,0,0,11,15,0,13,4,9,1.0,1.0,0,48.0,13.0,8.0,61.9,Match Report
2022-10-09,20:45 (11:45),Serie A,Matchweek 9,Sun,Away,L,1.0,2.0,Roma,1,6,3,50.0,0.17,0.33,18.0,1.0,0,0,0.3,0.3,0.04,0.7,0.7,Match Report,2022-10-09,20:45 (11:45),Serie A,Matchweek 9,Sun,Away,L,1.0,2.0,Roma,6,2,4,83.3,0,2.4,0.4,1,1,0,0,8.0,19.0,42.1,25.0,4.0,48.0,42.0,9.0,77.8,52.9,25.0,0.0,0.0,0.0,4.0,Match Report,2022-10-09,20:45 (11:45),Serie A,Matchweek 9,Sun,Away,L,1.0,2.0,Roma,219.0,310.0,70.6,4413.0,1751.0,92.0,115.0,80.0,89.0,113.0,78.8,34.0,59.0,57.6,0,0.2,0.2,4.0,17.0,2.0,0.0,18.0,Match Report,2022-10-09,20:45 (11:45),Serie A,Matchweek 9,Sun,Away,L,1.0,2.0,Roma,310.0,258.0,51.0,12.0,0.0,3.0,7,23.0,4.0,3.0,0.0,0.0,219.0,1.0,15.0,Match Report,2022-10-09,20:45 (11:45),Serie A,Matchweek 9,Sun,Away,L,1.0,2.0,Roma,9.0,4.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-10-09,20:45 (11:45),Serie A,Matchweek 9,Sun,Away,L,1.0,2.0,Roma,18.0,12,12.0,4.0,2.0,9.0,14.0,64.3,5.0,11.0,7.0,4.0,8,26,22.0,1.0,Match Report,2022-10-09,20:45 (11:45),Serie A,Matchweek 9,Sun,Away,L,1.0,2.0,Roma,34.0,415.0,73.0,201.0,158.0,63.0,14.0,415.0,12.0,6.0,50.0,4.0,33.3,208.0,1251.0,570.0,11.0,10.0,2.0,13.0,12.0,217.0,17.0,Match Report,2022-10-09,20:45 (11:45),Serie A,Matchweek 9,Sun,Away,L,1.0,2.0,Roma,1,1,0,11,12,1,7,8,12,0.0,1.0,0,36.0,8.0,14.0,36.4,Match Report
