Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2022-08-06,18:00 (09:00),Coppa Italia,First round,Sat,Home,W,5,1,Como,5,15,9,60.0,0.20,0.33,,,2,2,,,,,,Match Report,2022-08-06,18:00 (09:00),Coppa Italia,First round,Sat,Home,W,5,1,Como,2,1,1,50.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2022-08-06,18:00 (09:00),Coppa Italia,First round,Sat,Home,W,5,1,Como,,,,,,,,,,,,,,,3,,,,,,,,Match Report,2022-08-06,18:00 (09:00),Coppa Italia,First round,Sat,Home,W,5,1,Como,,,,,,,13,,,,,,,,,Match Report,2022-08-06,18:00 (09:00),Coppa Italia,First round,Sat,Home,W,5,1,Como,,,,,,,,,,,,,,,Match Report,2022-08-06,18:00 (09:00),Coppa Italia,First round,Sat,Home,W,5,1,Como,,18,,,,,,,,,,,10,0,,,Match Report,2022-08-06,18:00 (09:00),Coppa Italia,First round,Sat,Home,W,5,1,Como,56,,,,,,,,,,,,,,,,,,,,,,,Match Report,2022-08-06,18:00 (09:00),Coppa Italia,First round,Sat,Home,W,5,1,Como,1,0,0,12,8,0,13,10,18,,,0,,,,,Match Report
2022-08-14,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,1,0,Empoli,1,9,2,22.2,0.11,0.50,20.1,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Match Report,2022-08-14,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,1,0,Empoli,5,0,5,100.0,1,0.3,+0.3,0,0,0,0,7,15,46.7,24,3,45.8,36.5,8,50.0,38.9,18,1,5.6,1,9.7,Match Report,2022-08-14,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,1,0,Empoli,292,400,73.0,5413,2087,131,156,84.0,109,137,79.6,45,84,53.6,1,0.4,0.5,6,19,6,2,28,Match Report,2022-08-14,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,1,0,Empoli,400,356,41,8,2,2,21,18,6,2,4,0,292,3,7,Match Report,2022-08-14,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,1,0,Empoli,15,14,0,0,0,0,1,2,2,0,0,0,0,0,Match Report,2022-08-14,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,1,0,Empoli,23,10,5,12,6,9,20,45.0,11,16,5,11,17,40,32,0,Match Report,2022-08-14,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,1,0,Empoli,41,541,72,223,209,116,11,541,14,5,35.7,8,57.1,315,1531,749,11,20,1,21,6,291,28,Match Report,2022-08-14,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,1,0,Empoli,2,0,0,15,8,3,21,17,10,0,0,0,65,3,9,25.0,Match Report
2022-08-20,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,0,3,Inter,0,2,0,0.0,0.00,,7.7,0,0,0,0.5,0.5,0.25,-0.5,-0.5,Match Report,2022-08-20,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,0,3,Inter,8,3,5,62.5,0,2.7,-0.3,0,0,0,0,3,7,42.9,30,7,16.7,28.5,10,20.0,26.4,18,3,16.7,0,9.8,Match Report,2022-08-20,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,0,3,Inter,388,466,83.3,6453,2264,194,211,91.9,162,182,89.0,26,50,52.0,0,0.1,0.3,1,16,7,2,26,Match Report,2022-08-20,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,0,3,Inter,466,404,61,16,0,3,11,27,4,1,2,0,388,1,13,Match Report,2022-08-20,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,0,3,Inter,3,1,1,0,1,0,0,0,0,0,0,0,0,0,Match Report,2022-08-20,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,0,3,Inter,14,8,9,3,2,7,14,50.0,7,8,3,5,7,21,17,0,Match Report,2022-08-20,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,0,3,Inter,46,564,79,222,239,108,13,564,10,2,20.0,6,60.0,374,1980,941,15,13,0,15,11,386,26,Match Report,2022-08-20,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,0,3,Inter,0,0,0,7,9,1,11,7,8,0,0,0,34,6,5,54.5,Match Report
2022-08-27,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,D,2,2,Sassuolo,2,6,1,16.7,0.17,1.00,17.7,0,1,1,1.2,0.4,0.07,+0.8,+0.6,Match Report,2022-08-27,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,D,2,2,Sassuolo,8,2,6,75.0,0,2.2,+0.2,0,0,0,0,5,23,21.7,40,8,37.5,31.1,13,61.5,46.2,18,0,0.0,3,18.0,Match Report,2022-08-27,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,D,2,2,Sassuolo,330,440,75.0,5321,1954,173,196,88.3,119,146,81.5,26,69,37.7,0,0.3,0.6,5,14,6,3,18,Match Report,2022-08-27,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,D,2,2,Sassuolo,440,389,48,10,1,4,10,20,2,2,0,0,330,3,9,Match Report,2022-08-27,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,D,2,2,Sassuolo,13,12,0,0,0,1,0,4,3,0,0,0,1,0,Match Report,2022-08-27,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,D,2,2,Sassuolo,14,8,5,9,0,8,17,47.1,9,7,4,3,5,19,26,2,Match Report,2022-08-27,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,D,2,2,Sassuolo,43,544,93,250,215,84,12,543,11,6,54.5,5,45.5,308,1456,698,8,6,0,12,10,328,17,Match Report,2022-08-27,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,D,2,2,Sassuolo,2,1,1,17,9,3,10,5,8,1,0,0,57,6,15,28.6,Match Report
2022-08-31,20:45 (11:45),Serie A,Matchweek 4,Wed,Away,L,0,2,Juventus,0,9,0,0.0,0.00,,28.8,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Match Report,2022-08-31,20:45 (11:45),Serie A,Matchweek 4,Wed,Away,L,0,2,Juventus,3,2,1,33.3,0,0.8,-1.2,0,0,0,0,4,12,33.3,17,1,52.9,38.1,9,33.3,34.1,10,0,0.0,2,31.5,Match Report,2022-08-31,20:45 (11:45),Serie A,Matchweek 4,Wed,Away,L,0,2,Juventus,395,499,79.2,6907,2499,193,220,87.7,155,186,83.3,39,69,56.5,0,0.2,0.2,7,37,6,2,35,Match Report,2022-08-31,20:45 (11:45),Serie A,Matchweek 4,Wed,Away,L,0,2,Juventus,499,439,58,12,1,3,18,31,3,3,0,0,395,2,6,Match Report,2022-08-31,20:45 (11:45),Serie A,Matchweek 4,Wed,Away,L,0,2,Juventus,16,13,1,1,0,1,0,0,0,0,0,0,0,0,Match Report,2022-08-31,20:45 (11:45),Serie A,Matchweek 4,Wed,Away,L,0,2,Juventus,21,12,7,11,3,5,13,38.5,8,12,5,7,6,27,13,0,Match Report,2022-08-31,20:45 (11:45),Serie A,Matchweek 4,Wed,Away,L,0,2,Juventus,50,613,51,175,335,108,16,613,23,8,34.8,13,56.5,305,1523,709,16,11,3,22,9,395,35,Match Report,2022-08-31,20:45 (11:45),Serie A,Matchweek 4,Wed,Away,L,0,2,Juventus,2,0,0,10,10,2,18,6,12,0,0,0,55,16,10,61.5,Match Report
2022-09-04,15:00 (06:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Bologna,1,15,5,33.3,0.07,0.20,18.5,0,0,0,0.9,0.9,0.06,+0.1,+0.1,Match Report,2022-09-04,15:00 (06:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Bologna,6,2,4,66.7,0,1.1,-0.9,0,0,0,0,6,14,42.9,20,8,20.0,24.5,12,83.3,57.6,8,1,12.5,2,16.2,Match Report,2022-09-04,15:00 (06:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Bologna,304,408,74.5,5334,2305,161,179,89.9,103,128,80.5,36,75,48.0,0,0.7,0.5,10,27,11,2,41,Match Report,2022-09-04,15:00 (06:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Bologna,408,351,57,10,0,5,24,25,7,3,2,0,304,0,14,Match Report,2022-09-04,15:00 (06:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Bologna,25,20,3,0,2,0,0,2,2,0,0,0,0,0,Match Report,2022-09-04,15:00 (06:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Bologna,11,5,4,4,3,7,16,43.8,9,16,0,16,10,21,17,0,Match Report,2022-09-04,15:00 (06:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Bologna,45,523,49,136,208,184,30,523,14,3,21.4,10,71.4,267,1447,806,15,17,3,15,11,303,41,Match Report,2022-09-04,15:00 (06:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Bologna,4,0,0,12,4,0,24,10,5,0,0,0,53,12,7,63.2,Match Report
2022-09-10,15:00 (06:00),Serie A,Matchweek 6,Sat,Away,L,0,1,Napoli,0,10,1,10.0,0.00,0.00,17.6,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report,2022-09-10,15:00 (06:00),Serie A,Matchweek 6,Sat,Away,L,0,1,Napoli,6,1,5,83.3,0,1.0,0.0,0,0,0,0,10,27,37.0,32,6,65.6,43.6,14,50.0,40.2,17,0,0.0,0,,Match Report,2022-09-10,15:00 (06:00),Serie A,Matchweek 6,Sat,Away,L,0,1,Napoli,247,330,74.8,4587,1824,109,125,87.2,102,119,85.7,31,70,44.3,0,0.4,0.2,7,13,2,1,13,Match Report,2022-09-10,15:00 (06:00),Serie A,Matchweek 6,Sat,Away,L,0,1,Napoli,330,285,44,10,0,2,10,13,5,2,2,0,247,1,10,Match Report,2022-09-10,15:00 (06:00),Serie A,Matchweek 6,Sat,Away,L,0,1,Napoli,13,10,1,0,0,2,0,0,0,0,0,0,0,0,Match Report,2022-09-10,15:00 (06:00),Serie A,Matchweek 6,Sat,Away,L,0,1,Napoli,15,10,9,6,0,10,18,55.6,8,17,14,3,5,20,21,0,Match Report,2022-09-10,15:00 (06:00),Serie A,Matchweek 6,Sat,Away,L,0,1,Napoli,37,440,98,210,158,76,15,440,14,7,50.0,6,42.9,207,1235,661,17,11,6,11,7,245,13,Match Report,2022-09-10,15:00 (06:00),Serie A,Matchweek 6,Sat,Away,L,0,1,Napoli,2,0,0,14,6,1,10,5,10,0,0,0,40,10,10,50.0,Match Report
2022-09-17,18:00 (09:00),Serie A,Matchweek 7,Sat,Home,W,2,1,Sampdoria,1,6,3,50.0,0.17,0.33,14.0,0,0,0,0.7,0.7,0.11,+0.3,+0.3,Match Report,2022-09-17,18:00 (09:00),Serie A,Matchweek 7,Sat,Home,W,2,1,Sampdoria,8,1,7,87.5,0,1.0,0.0,0,0,0,0,6,15,40.0,27,5,51.9,40.5,4,25.0,26.8,11,0,0.0,0,14.7,Match Report,2022-09-17,18:00 (09:00),Serie A,Matchweek 7,Sat,Home,W,2,1,Sampdoria,312,435,71.7,6174,2279,113,144,78.5,152,183,83.1,39,80,48.8,1,0.7,0.8,6,23,8,3,29,Match Report,2022-09-17,18:00 (09:00),Serie A,Matchweek 7,Sat,Home,W,2,1,Sampdoria,435,377,54,15,0,9,22,30,3,0,2,0,312,4,7,Match Report,2022-09-17,18:00 (09:00),Serie A,Matchweek 7,Sat,Home,W,2,1,Sampdoria,12,10,2,0,0,0,0,2,2,0,0,0,0,0,Match Report,2022-09-17,18:00 (09:00),Serie A,Matchweek 7,Sat,Home,W,2,1,Sampdoria,32,19,14,12,6,12,18,66.7,6,14,1,13,6,38,26,0,Match Report,2022-09-17,18:00 (09:00),Serie A,Matchweek 7,Sat,Home,W,2,1,Sampdoria,52,563,67,218,216,136,19,563,12,5,41.7,6,50.0,274,1693,792,14,8,5,14,9,311,29,Match Report,2022-09-17,18:00 (09:00),Serie A,Matchweek 7,Sat,Home,W,2,1,Sampdoria,4,0,0,17,14,4,22,6,19,0,0,0,48,25,18,58.1,Match Report
2022-10-02,12:30 (03:30),Serie A,Matchweek 8,Sun,Away,L,0,4,Lazio,0,14,1,7.1,0.00,0.00,18.4,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Match Report,2022-10-02,12:30 (03:30),Serie A,Matchweek 8,Sun,Away,L,0,4,Lazio,6,4,2,33.3,0,2.8,-1.2,1,0,0,1,5,8,62.5,34,6,17.6,24.1,7,28.6,19.7,9,0,0.0,2,12.6,Match Report,2022-10-02,12:30 (03:30),Serie A,Matchweek 8,Sun,Away,L,0,4,Lazio,312,402,77.6,5382,1894,143,161,88.8,142,167,85.0,22,49,44.9,0,0.7,0.3,9,13,4,0,20,Match Report,2022-10-02,12:30 (03:30),Serie A,Matchweek 8,Sun,Away,L,0,4,Lazio,402,354,42,5,2,3,13,19,6,2,3,0,312,6,11,Match Report,2022-10-02,12:30 (03:30),Serie A,Matchweek 8,Sun,Away,L,0,4,Lazio,25,15,3,3,3,1,0,0,0,0,0,0,0,0,Match Report,2022-10-02,12:30 (03:30),Serie A,Matchweek 8,Sun,Away,L,0,4,Lazio,11,5,3,5,3,2,16,12.5,14,8,2,6,5,16,13,0,Match Report,2022-10-02,12:30 (03:30),Serie A,Matchweek 8,Sun,Away,L,0,4,Lazio,39,487,68,201,204,89,11,487,16,8,50.0,6,37.5,297,1541,686,12,9,1,10,9,310,20,Match Report,2022-10-02,12:30 (03:30),Serie A,Matchweek 8,Sun,Away,L,0,4,Lazio,2,0,0,14,3,6,13,5,5,0,1,0,50,12,10,54.5,Match Report
2022-10-09,15:00 (06:00),Serie A,Matchweek 9,Sun,Away,L,0,2,Monza,0,10,1,10.0,0.00,0.00,16.3,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report,2022-10-09,15:00 (06:00),Serie A,Matchweek 9,Sun,Away,L,0,2,Monza,4,2,2,50.0,0,1.0,-1.0,0,0,0,0,0,1,0.0,28,6,3.6,25.0,4,0.0,28.0,8,0,0.0,2,24.3,Match Report,2022-10-09,15:00 (06:00),Serie A,Matchweek 9,Sun,Away,L,0,2,Monza,389,493,78.9,7053,2605,172,193,89.1,159,192,82.8,53,86,61.6,0,0.4,0.8,9,33,10,2,46,Match Report,2022-10-09,15:00 (06:00),Serie A,Matchweek 9,Sun,Away,L,0,2,Monza,493,437,52,12,0,4,17,27,6,5,1,0,389,4,7,Match Report,2022-10-09,15:00 (06:00),Serie A,Matchweek 9,Sun,Away,L,0,2,Monza,18,16,1,0,0,1,0,0,0,0,0,0,0,0,Match Report,2022-10-09,15:00 (06:00),Serie A,Matchweek 9,Sun,Away,L,0,2,Monza,16,12,10,4,2,4,11,36.4,7,8,1,7,13,29,8,0,Match Report,2022-10-09,15:00 (06:00),Serie A,Matchweek 9,Sun,Away,L,0,2,Monza,53,580,54,190,269,127,20,580,13,8,61.5,3,23.1,339,2114,1169,27,11,5,12,16,385,46,Match Report,2022-10-09,15:00 (06:00),Serie A,Matchweek 9,Sun,Away,L,0,2,Monza,2,0,0,20,10,4,17,13,12,0,0,0,65,15,15,50.0,Match Report
