Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2023-08-20,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,W,3,0,Udinese,3,8,3,37.5,0.25,0.67,17.0,0,1,1,1.8,1.1,0.13,+1.2,+0.9,Match Report,2023-08-20,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,W,3,0,Udinese,5,0,5,100.0,1,1.4,+1.4,0,0,0,0,5,14,35.7,34,6,35.3,31.6,14,14.3,21.1,16,1,6.3,0,10.8,Match Report,2023-08-20,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,W,3,0,Udinese,411,503,81.7,6766,2308,203,231,87.9,161,179,89.9,35,65,53.8,2,1.0,0.7,7,19,5,2,19,Match Report,2023-08-20,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,W,3,0,Udinese,503,458,41,14,2,3,8,9,3,0,2,0,411,4,7,Match Report,2023-08-20,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,W,3,0,Udinese,14,12,1,0,0,0,1,4,4,0,0,0,0,0,Match Report,2023-08-20,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,W,3,0,Udinese,21,14,11,9,1,13,20,65.0,7,11,7,4,5,26,21,0,Match Report,2023-08-20,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,W,3,0,Udinese,51,606,84,237,258,118,20,605,19,9,47.4,5,26.3,361,1787,930,18,13,6,10,6,405,19,Match Report,2023-08-20,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,W,3,0,Udinese,3,0,0,10,9,4,8,5,14,0,0,0,42,9,7,56.3,Match Report
2023-08-27,18:30 (09:30),Serie A,Matchweek 2,Sun,Home,D,1,1,Bologna,1,14,3,21.4,0.07,0.33,18.0,1,0,0,0.8,0.8,0.06,+0.2,+0.2,Match Report,2023-08-27,18:30 (09:30),Serie A,Matchweek 2,Sun,Home,D,1,1,Bologna,4,1,3,75.0,0,1.2,+0.2,0,0,0,0,2,2,100.0,13,4,15.4,23.6,8,0.0,17.0,7,0,0.0,2,23.5,Match Report,2023-08-27,18:30 (09:30),Serie A,Matchweek 2,Sun,Home,D,1,1,Bologna,495,593,83.5,8459,2537,217,242,89.7,229,254,90.2,42,68,61.8,1,0.4,1.4,10,48,16,7,57,Match Report,2023-08-27,18:30 (09:30),Serie A,Matchweek 2,Sun,Home,D,1,1,Bologna,593,536,53,12,0,4,26,25,6,2,2,0,495,4,11,Match Report,2023-08-27,18:30 (09:30),Serie A,Matchweek 2,Sun,Home,D,1,1,Bologna,26,23,0,0,2,1,0,2,2,0,0,0,0,0,Match Report,2023-08-27,18:30 (09:30),Serie A,Matchweek 2,Sun,Home,D,1,1,Bologna,13,10,4,7,2,6,11,54.5,5,12,2,10,9,22,10,0,Match Report,2023-08-27,18:30 (09:30),Serie A,Matchweek 2,Sun,Home,D,1,1,Bologna,58,697,41,138,341,220,33,697,26,14,53.8,12,46.2,413,2460,1165,24,15,5,16,6,488,56,Match Report,2023-08-27,18:30 (09:30),Serie A,Matchweek 2,Sun,Home,D,1,1,Bologna,2,0,0,15,12,4,26,9,10,0,0,0,48,12,11,52.2,Match Report
2023-09-03,20:45 (11:45),Serie A,Matchweek 3,Sun,Away,W,2,0,Empoli,2,17,4,23.5,0.12,0.50,17.6,0,0,1,2.7,1.9,0.11,-0.7,+0.1,Match Report,2023-09-03,20:45 (11:45),Serie A,Matchweek 3,Sun,Away,W,2,0,Empoli,0,0,0,,1,0.0,0.0,0,0,0,0,3,11,27.3,29,5,34.5,31.6,8,12.5,16.3,19,2,10.5,0,6.5,Match Report,2023-09-03,20:45 (11:45),Serie A,Matchweek 3,Sun,Away,W,2,0,Empoli,420,507,82.8,7555,2449,203,221,91.9,158,181,87.3,52,84,61.9,1,1.6,1.7,14,27,17,4,50,Match Report,2023-09-03,20:45 (11:45),Serie A,Matchweek 3,Sun,Away,W,2,0,Empoli,507,463,43,14,5,7,19,13,7,0,4,0,420,1,11,Match Report,2023-09-03,20:45 (11:45),Serie A,Matchweek 3,Sun,Away,W,2,0,Empoli,32,26,0,3,2,1,0,3,1,0,1,1,0,0,Match Report,2023-09-03,20:45 (11:45),Serie A,Matchweek 3,Sun,Away,W,2,0,Empoli,17,14,8,8,1,12,19,63.2,7,6,2,4,12,29,25,0,Match Report,2023-09-03,20:45 (11:45),Serie A,Matchweek 3,Sun,Away,W,2,0,Empoli,50,620,66,193,253,178,42,619,17,8,47.1,6,35.3,323,2041,1167,24,22,9,12,2,414,49,Match Report,2023-09-03,20:45 (11:45),Serie A,Matchweek 3,Sun,Away,W,2,0,Empoli,3,0,0,13,14,1,19,12,14,1,0,0,50,5,4,55.6,Match Report
2023-09-16,15:00 (06:00),Serie A,Matchweek 4,Sat,Home,W,3,1,Lazio,3,17,7,41.2,0.18,0.43,12.8,0,0,0,2.2,2.2,0.14,+0.8,+0.8,Match Report,2023-09-16,15:00 (06:00),Serie A,Matchweek 4,Sat,Home,W,3,1,Lazio,5,1,4,80.0,0,1.0,0.0,0,0,0,0,8,14,57.1,26,4,46.2,35.1,11,18.2,26.9,17,0,0.0,0,8.0,Match Report,2023-09-16,15:00 (06:00),Serie A,Matchweek 4,Sat,Home,W,3,1,Lazio,303,375,80.8,5797,2139,114,126,90.5,148,168,88.1,34,63,54.0,3,2.0,1.2,15,22,8,1,30,Match Report,2023-09-16,15:00 (06:00),Serie A,Matchweek 4,Sat,Home,W,3,1,Lazio,375,331,43,12,0,6,11,11,7,1,4,0,303,1,6,Match Report,2023-09-16,15:00 (06:00),Serie A,Matchweek 4,Sat,Home,W,3,1,Lazio,31,20,6,0,4,1,0,6,6,0,0,0,0,0,Match Report,2023-09-16,15:00 (06:00),Serie A,Matchweek 4,Sat,Home,W,3,1,Lazio,14,6,9,4,1,9,14,64.3,5,11,6,5,10,24,17,0,Match Report,2023-09-16,15:00 (06:00),Serie A,Matchweek 4,Sat,Home,W,3,1,Lazio,36,479,70,214,167,99,27,479,16,8,50.0,6,37.5,229,1412,775,16,10,4,9,3,300,30,Match Report,2023-09-16,15:00 (06:00),Serie A,Matchweek 4,Sat,Home,W,3,1,Lazio,5,0,0,13,13,1,11,10,6,0,0,0,41,12,4,75.0,Match Report
2023-09-23,18:00 (09:00),Serie A,Matchweek 5,Sat,Away,L,2,4,Sassuolo,1,15,2,13.3,0.07,0.50,18.2,1,0,0,1.2,1.2,0.08,-0.2,-0.2,Match Report,2023-09-23,18:00 (09:00),Serie A,Matchweek 5,Sat,Away,L,2,4,Sassuolo,7,4,4,42.9,0,1.4,-1.6,0,0,0,0,5,7,71.4,32,4,21.9,25.9,9,0.0,20.3,16,0,0.0,1,9.0,Match Report,2023-09-23,18:00 (09:00),Serie A,Matchweek 5,Sat,Away,L,2,4,Sassuolo,434,522,83.1,7756,2632,203,220,92.3,165,188,87.8,52,84,61.9,1,0.9,1.0,10,19,12,5,30,Match Report,2023-09-23,18:00 (09:00),Serie A,Matchweek 5,Sat,Away,L,2,4,Sassuolo,522,469,51,12,2,6,21,22,3,0,3,0,434,2,5,Match Report,2023-09-23,18:00 (09:00),Serie A,Matchweek 5,Sat,Away,L,2,4,Sassuolo,23,15,4,1,1,2,0,2,2,0,0,0,0,0,Match Report,2023-09-23,18:00 (09:00),Serie A,Matchweek 5,Sat,Away,L,2,4,Sassuolo,16,10,7,6,3,6,16,37.5,10,11,4,7,13,29,22,1,Match Report,2023-09-23,18:00 (09:00),Serie A,Matchweek 5,Sat,Away,L,2,4,Sassuolo,57,654,67,236,264,154,27,654,17,6,35.3,8,47.1,356,1963,1076,21,12,6,13,9,430,30,Match Report,2023-09-23,18:00 (09:00),Serie A,Matchweek 5,Sat,Away,L,2,4,Sassuolo,2,0,0,8,13,2,21,13,10,0,0,1,50,16,6,72.7,Match Report
2023-09-26,20:45 (11:45),Serie A,Matchweek 6,Tue,Home,W,1,0,Lecce,1,15,5,33.3,0.07,0.20,18.2,0,0,0,1.4,1.4,0.10,-0.4,-0.4,Match Report,2023-09-26,20:45 (11:45),Serie A,Matchweek 6,Tue,Home,W,1,0,Lecce,0,0,0,,1,0.0,0.0,0,0,0,0,9,19,47.4,26,3,57.7,42.5,6,66.7,53.7,10,0,0.0,0,4.0,Match Report,2023-09-26,20:45 (11:45),Serie A,Matchweek 6,Tue,Home,W,1,0,Lecce,405,492,82.3,7247,2712,184,205,89.8,170,196,86.7,40,68,58.8,1,1.4,1.6,15,24,7,2,40,Match Report,2023-09-26,20:45 (11:45),Serie A,Matchweek 6,Tue,Home,W,1,0,Lecce,492,445,47,16,2,5,18,19,5,2,0,0,405,0,6,Match Report,2023-09-26,20:45 (11:45),Serie A,Matchweek 6,Tue,Home,W,1,0,Lecce,30,20,7,1,1,1,0,2,2,0,0,0,0,0,Match Report,2023-09-26,20:45 (11:45),Serie A,Matchweek 6,Tue,Home,W,1,0,Lecce,16,10,6,10,0,7,10,70.0,3,5,0,5,10,26,13,0,Match Report,2023-09-26,20:45 (11:45),Serie A,Matchweek 6,Tue,Home,W,1,0,Lecce,50,592,45,144,286,166,32,592,15,6,40.0,6,40.0,405,1995,888,19,19,8,20,5,400,39,Match Report,2023-09-26,20:45 (11:45),Serie A,Matchweek 6,Tue,Home,W,1,0,Lecce,2,0,0,14,14,0,18,10,10,0,0,0,49,13,9,59.1,Match Report
2023-10-01,18:00 (09:00),Serie A,Matchweek 7,Sun,Away,D,0,0,Atalanta,0,5,3,60.0,0.00,0.00,22.3,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Match Report,2023-10-01,18:00 (09:00),Serie A,Matchweek 7,Sun,Away,D,0,0,Atalanta,2,0,2,100.0,1,0.5,+0.5,0,0,0,0,6,10,60.0,44,4,18.2,29.7,12,16.7,26.0,16,0,0.0,1,19.5,Match Report,2023-10-01,18:00 (09:00),Serie A,Matchweek 7,Sun,Away,D,0,0,Atalanta,462,542,85.2,8588,2869,197,214,92.1,210,229,91.7,52,85,61.2,0,0.1,0.2,2,23,2,0,24,Match Report,2023-10-01,18:00 (09:00),Serie A,Matchweek 7,Sun,Away,D,0,0,Atalanta,542,504,37,12,1,1,6,10,2,1,1,0,462,1,4,Match Report,2023-10-01,18:00 (09:00),Serie A,Matchweek 7,Sun,Away,D,0,0,Atalanta,8,4,0,3,0,1,0,0,0,0,0,0,0,0,Match Report,2023-10-01,18:00 (09:00),Serie A,Matchweek 7,Sun,Away,D,0,0,Atalanta,9,7,4,4,1,3,16,18.8,13,11,4,7,6,15,20,0,Match Report,2023-10-01,18:00 (09:00),Serie A,Matchweek 7,Sun,Away,D,0,0,Atalanta,48,638,78,232,341,71,6,638,18,6,33.3,10,55.6,379,1589,825,9,4,1,23,7,455,23,Match Report,2023-10-01,18:00 (09:00),Serie A,Matchweek 7,Sun,Away,D,0,0,Atalanta,2,0,0,7,12,1,6,6,7,0,0,0,51,15,5,75.0,Match Report
2023-10-07,18:00 (09:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Torino,2,17,5,29.4,0.12,0.40,15.1,0,0,0,1.9,1.9,0.12,+0.1,+0.1,Match Report,2023-10-07,18:00 (09:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Torino,1,0,1,100.0,1,0.1,+0.1,0,0,0,0,7,19,36.8,38,7,39.5,37.4,11,36.4,37.0,18,2,11.1,1,8.4,Match Report,2023-10-07,18:00 (09:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Torino,375,469,80.0,6685,2367,177,199,88.9,149,167,89.2,44,80,55.0,1,1.2,0.9,15,21,4,3,20,Match Report,2023-10-07,18:00 (09:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Torino,469,427,40,8,0,3,20,13,7,4,3,0,375,2,6,Match Report,2023-10-07,18:00 (09:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Torino,30,17,5,2,3,2,1,3,0,1,0,2,0,0,Match Report,2023-10-07,18:00 (09:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Torino,11,8,7,4,0,8,11,72.7,3,12,2,10,4,15,21,0,Match Report,2023-10-07,18:00 (09:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Torino,50,576,70,238,244,97,18,576,16,7,43.8,5,31.3,266,1558,852,17,12,4,13,11,370,20,Match Report,2023-10-07,18:00 (09:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Torino,1,0,0,10,8,2,20,4,8,0,0,0,41,21,14,60.0,Match Report
2023-10-22,20:45 (11:45),Serie A,Matchweek 9,Sun,Away,W,1,0,Milan,1,14,4,28.6,0.07,0.25,19.5,1,0,0,1.4,1.4,0.10,-0.4,-0.4,Match Report,2023-10-22,20:45 (11:45),Serie A,Matchweek 9,Sun,Away,W,1,0,Milan,1,0,1,100.0,1,0.2,+0.2,0,0,0,0,3,7,42.9,14,2,42.9,36.7,5,20.0,31.8,25,2,8.0,0,4.0,Match Report,2023-10-22,20:45 (11:45),Serie A,Matchweek 9,Sun,Away,W,1,0,Milan,377,461,81.8,6808,2357,168,180,93.3,158,191,82.7,45,65,69.2,1,0.8,0.7,8,35,8,2,42,Match Report,2023-10-22,20:45 (11:45),Serie A,Matchweek 9,Sun,Away,W,1,0,Milan,461,416,43,11,0,3,24,23,3,1,2,0,377,2,11,Match Report,2023-10-22,20:45 (11:45),Serie A,Matchweek 9,Sun,Away,W,1,0,Milan,21,16,1,0,3,0,1,2,2,0,0,0,0,0,Match Report,2023-10-22,20:45 (11:45),Serie A,Matchweek 9,Sun,Away,W,1,0,Milan,16,12,7,7,2,8,15,53.3,7,8,2,6,5,21,35,0,Match Report,2023-10-22,20:45 (11:45),Serie A,Matchweek 9,Sun,Away,W,1,0,Milan,48,588,61,160,258,174,20,588,16,8,50.0,7,43.8,369,2047,1007,23,15,5,12,13,370,42,Match Report,2023-10-22,20:45 (11:45),Serie A,Matchweek 9,Sun,Away,W,1,0,Milan,4,0,0,16,11,2,24,5,12,0,0,0,45,14,21,40.0,Match Report
2023-10-28,20:45 (11:45),Serie A,Matchweek 10,Sat,Home,W,1,0,Hellas Verona,1,30,5,16.7,0.03,0.20,17.8,0,0,0,3.3,3.3,0.12,-2.3,-2.3,Match Report,2023-10-28,20:45 (11:45),Serie A,Matchweek 10,Sat,Home,W,1,0,Hellas Verona,1,0,1,100.0,1,0.2,+0.2,0,0,0,0,0,1,0.0,16,3,6.3,24.0,7,0.0,22.1,10,2,20.0,0,11.5,Match Report,2023-10-28,20:45 (11:45),Serie A,Matchweek 10,Sat,Home,W,1,0,Hellas Verona,464,544,85.3,8748,3098,156,176,88.6,257,281,91.5,47,69,68.1,0,2.7,1.5,24,52,14,6,65,Match Report,2023-10-28,20:45 (11:45),Serie A,Matchweek 10,Sat,Home,W,1,0,Hellas Verona,544,506,37,9,2,2,22,15,5,1,2,0,464,1,9,Match Report,2023-10-28,20:45 (11:45),Serie A,Matchweek 10,Sat,Home,W,1,0,Hellas Verona,54,40,2,5,6,1,0,1,0,0,0,1,0,0,Match Report,2023-10-28,20:45 (11:45),Serie A,Matchweek 10,Sat,Home,W,1,0,Hellas Verona,9,7,6,1,2,7,10,70.0,3,3,0,3,8,17,10,0,Match Report,2023-10-28,20:45 (11:45),Serie A,Matchweek 10,Sat,Home,W,1,0,Hellas Verona,54,649,35,99,367,186,34,649,19,12,63.2,6,31.6,459,2654,1389,21,20,7,18,8,457,62,Match Report,2023-10-28,20:45 (11:45),Serie A,Matchweek 10,Sat,Home,W,1,0,Hellas Verona,3,0,0,13,8,1,22,8,7,0,0,0,55,13,14,48.1,Match Report
